##NAMES=Fersmanite
##RRUFFID=R070290
##IDEAL CHEMISTRY=Ca_4_(Na,Ca)_4_(Ti,Nb)_4_(Si_2_O_7_)_2_O_8_F_3_
##LOCALITY=Vein No. 1 of Labuntsov, 3rd left tributary of Vuonnemijok river, Eveslogchorr Mt, Khibiny Massif, Kola peninsula, Murmanskaja oblast', Northern Region, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brown crystals frozen in orthoclase, associated with red eudialyte and black arfvedsonite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070290
178.5888, 4726.926
179.0710, 4660.066
179.5531, 4611.203
180.0352, 4567.854
180.5173, 4531.619
180.9994, 4494.904
181.4815, 4439.523
181.9637, 4365.988
182.4458, 4297.959
182.9279, 4258.090
183.4100, 4241.094
183.8921, 4227.281
184.3742, 4214.449
184.8564, 4199.695
185.3385, 4175.006
185.8206, 4139.955
186.3027, 4099.932
186.7848, 4045.648
187.2669, 3982.967
187.7491, 3956.234
188.2312, 4008.666
188.7133, 4110.016
189.1954, 4143.266
189.6775, 4099.832
190.1596, 4024.584
190.6418, 3966.590
191.1239, 3925.746
191.6060, 3888.990
192.0881, 3850.684
192.5702, 3811.475
193.0524, 3776.420
193.5345, 3744.590
194.0166, 3719.305
194.4987, 3709.510
194.9808, 3716.293
195.4629, 3688.471
195.9451, 3645.129
196.4272, 3586.555
196.9093, 3559.434
197.3914, 3573.285
197.8735, 3605.344
198.3556, 3606.701
198.8378, 3570.480
199.3199, 3544.611
199.8020, 3570.912
200.2841, 3655.105
200.7662, 3681.680
201.2483, 3620.766
201.7305, 3518.574
202.2126, 3496.504
202.6947, 3572.641
203.1768, 3671.869
203.6589, 3748.387
204.1410, 3796.162
204.6232, 3848.525
205.1053, 3913.197
205.5874, 3982.146
206.0695, 4024.238
206.5516, 4030.062
207.0337, 4033.768
207.5159, 4060.076
207.9980, 4112.541
208.4801, 4166.613
208.9622, 4218.457
209.4443, 4269.580
209.9264, 4332.865
210.4086, 4420.912
210.8907, 4495.988
211.3728, 4526.840
211.8549, 4506.215
212.3370, 4465.732
212.8191, 4402.988
213.3013, 4322.010
213.7834, 4251.906
214.2655, 4191.727
214.7476, 4143.781
215.2297, 4113.635
215.7118, 4109.252
216.1940, 4099.742
216.6761, 4078.908
217.1582, 4047.189
217.6403, 4017.357
218.1224, 3997.719
218.6045, 3969.369
219.0867, 3909.406
219.5688, 3800.975
220.0509, 3701.889
220.5330, 3628.164
221.0151, 3579.424
221.4972, 3526.744
221.9794, 3466.381
222.4615, 3405.725
222.9436, 3353.428
223.4257, 3316.805
223.9078, 3271.766
224.3899, 3206.188
224.8721, 3114.971
225.3542, 3060.178
225.8363, 3058.643
226.3184, 3077.016
226.8005, 3075.613
227.2827, 3047.047
227.7648, 3012.516
228.2469, 2975.574
228.7290, 2935.506
229.2111, 2896.527
229.6932, 2843.930
230.1754, 2804.875
230.6575, 2822.418
231.1396, 2940.244
231.6217, 3036.768
232.1038, 3071.582
232.5859, 3029.055
233.0681, 3008.680
233.5502, 3015.666
234.0323, 3040.980
234.5144, 3070.568
234.9965, 3096.488
235.4786, 3140.625
235.9608, 3215.824
236.4429, 3332.215
236.9250, 3428.289
237.4071, 3495.350
237.8892, 3546.859
238.3713, 3600.447
238.8535, 3641.682
239.3356, 3709.873
239.8177, 3828.705
240.2998, 4024.549
240.7819, 4168.193
241.2640, 4242.660
241.7462, 4276.811
242.2283, 4318.594
242.7104, 4365.520
243.1925, 4424.203
243.6746, 4497.232
244.1567, 4586.539
244.6389, 4686.906
245.1210, 4809.232
245.6031, 4935.963
246.0852, 5032.203
246.5673, 5078.023
247.0494, 5127.605
247.5316, 5206.248
248.0137, 5334.061
248.4958, 5420.465
248.9779, 5447.305
249.4600, 5442.580
249.9421, 5457.180
250.4243, 5495.227
250.9064, 5545.297
251.3885, 5610.434
251.8706, 5707.545
252.3527, 5760.730
252.8348, 5755.844
253.3170, 5716.227
253.7991, 5687.051
254.2812, 5680.301
254.7633, 5661.986
255.2454, 5613.590
255.7275, 5521.324
256.2097, 5452.314
256.6918, 5409.018
257.1739, 5388.404
257.6560, 5392.145
258.1381, 5443.977
258.6202, 5470.711
259.1024, 5437.559
259.5845, 5327.629
260.0666, 5229.902
260.5487, 5143.801
261.0308, 5070.670
261.5129, 5007.283
261.9951, 4952.682
262.4772, 4912.688
262.9593, 4900.002
263.4414, 4929.248
263.9235, 4916.541
264.4056, 4848.320
264.8878, 4750.939
265.3699, 4661.750
265.8520, 4571.678
266.3341, 4507.324
266.8162, 4485.434
267.2983, 4515.590
267.7805, 4532.580
268.2626, 4541.805
268.7447, 4534.916
269.2268, 4485.541
269.7089, 4375.160
270.1910, 4283.201
270.6732, 4247.445
271.1553, 4276.287
271.6374, 4283.369
272.1195, 4261.934
272.6016, 4227.602
273.0837, 4210.328
273.5659, 4214.074
274.0480, 4215.266
274.5301, 4200.299
275.0122, 4167.711
275.4943, 4145.342
275.9764, 4139.785
276.4586, 4135.406
276.9407, 4095.502
277.4228, 4013.650
277.9049, 3962.240
278.3870, 3990.637
278.8691, 4093.195
279.3513, 4138.643
279.8334, 4120.281
280.3155, 4063.600
280.7976, 3992.434
281.2798, 3907.385
281.7619, 3830.594
282.2440, 3763.875
282.7261, 3708.805
283.2082, 3691.537
283.6903, 3721.500
284.1725, 3760.871
284.6546, 3760.422
285.1367, 3721.096
285.6188, 3674.008
286.1009, 3619.486
286.5830, 3565.682
287.0652, 3556.934
287.5473, 3601.941
288.0294, 3653.062
288.5115, 3649.744
288.9936, 3597.293
289.4757, 3550.549
289.9579, 3527.637
290.4400, 3522.576
290.9221, 3518.676
291.4042, 3516.191
291.8863, 3513.506
292.3684, 3502.354
292.8506, 3488.754
293.3327, 3495.352
293.8148, 3545.135
294.2969, 3608.213
294.7790, 3619.037
295.2611, 3577.176
295.7433, 3527.633
