##NAMES=Rhodonite
##RRUFFID=R100038
##IDEAL CHEMISTRY=Mn^2+^SiO_3_
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Pale red, tabular to blocky crystals associated with black langbanite R100037
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100038
214.3962, 36.87593
214.8783, 36.11751
215.3604, 35.98294
215.8425, 36.93375
216.3246, 37.47330
216.8067, 36.75679
217.2889, 34.27095
217.7710, 32.27751
218.2531, 30.84982
218.7352, 29.90480
219.2173, 29.31468
219.6994, 29.31683
220.1816, 29.21494
220.6637, 28.64084
221.1458, 27.33424
221.6279, 26.31926
222.1100, 25.69772
222.5921, 25.34366
223.0743, 24.92966
223.5564, 24.41759
224.0385, 23.92247
224.5206, 23.52486
225.0027, 23.36374
225.4848, 23.01106
225.9670, 22.26817
226.4491, 21.38974
226.9312, 21.08795
227.4133, 21.61868
227.8954, 22.17583
228.3775, 22.40909
228.8597, 22.24937
229.3418, 22.14963
229.8239, 21.98245
230.3060, 21.84012
230.7881, 22.08763
231.2702, 23.01790
231.7524, 23.83540
232.2345, 24.13396
232.7166, 23.62999
233.1987, 23.30312
233.6808, 23.24384
234.1629, 23.36198
234.6451, 23.36572
235.1272, 23.01250
235.6093, 22.90384
236.0914, 23.35234
236.5735, 24.70651
237.0556, 25.90363
237.5378, 26.99260
238.0199, 27.92282
238.5020, 28.55269
238.9841, 28.87492
239.4662, 28.94000
239.9483, 28.69333
240.4305, 27.78391
240.9126, 27.39391
241.3947, 27.70729
241.8768, 28.47629
242.3589, 29.06918
242.8410, 29.25192
243.3232, 29.60280
243.8053, 30.40671
244.2874, 31.96474
244.7695, 33.24020
245.2516, 34.15289
245.7337, 34.82639
246.2159, 35.52414
246.6980, 36.23773
247.1801, 36.99814
247.6622, 37.86783
248.1443, 38.98650
248.6264, 39.83717
249.1086, 40.38416
249.5907, 40.69632
250.0728, 40.86931
250.5549, 40.72447
251.0370, 40.73895
251.5191, 41.12128
252.0013, 41.96597
252.4834, 42.88223
252.9655, 44.14278
253.4476, 45.29276
253.9297, 45.34689
254.4118, 43.65678
254.8940, 42.06233
255.3761, 41.24991
255.8582, 41.42871
256.3403, 41.51790
256.8224, 41.30597
257.3046, 41.16852
257.7867, 41.80823
258.2688, 43.63654
258.7509, 45.41135
259.2330, 46.73738
259.7151, 47.60271
260.1973, 48.18097
260.6794, 48.38589
261.1615, 48.37531
261.6436, 48.33841
262.1257, 48.26035
262.6078, 48.21643
263.0900, 48.33617
263.5721, 48.70352
264.0542, 48.40768
264.5363, 47.28854
265.0184, 45.69357
265.5005, 44.01212
265.9827, 42.23889
266.4648, 40.42828
266.9469, 38.74359
267.4290, 37.21060
267.9111, 34.66534
268.3932, 30.56799
268.8754, 26.31436
269.3575, 23.68198
269.8396, 23.15387
270.3217, 22.39789
270.8038, 20.77377
271.2859, 18.32748
271.7681, 16.09375
272.2502, 14.07788
272.7323, 12.26733
273.2144, 10.64340
273.6965, 9.160339
274.1786, 8.087372
274.6608, 7.549438
275.1429, 7.486023
275.6250, 7.541168
276.1071, 7.818970
276.5892, 7.921356
277.0714, 7.377472
277.5535, 6.112549
278.0356, 4.909760
278.5177, 3.899475
278.9998, 3.066376
279.4819, 2.365295
279.9641, 1.812225
280.4462, 1.329071
280.9283, 0.9167480
281.4104, 0.5844120
281.8925, 4.7180001E-02
282.3746, 0.8138120
282.8568, 1.849701
283.3389, 2.724304
283.8210, 3.464996
284.3031, 3.851013
284.7852, 3.393433
285.2673, 2.185150
285.7495, 1.812317
286.2316, 2.691376
286.7137, 4.191040
287.1958, 5.073334
287.6779, 5.334320
288.1600, 5.219208
288.6422, 4.759918
289.1243, 3.996002
289.6064, 3.253723
290.0885, 2.522552
290.5706, 1.871979
291.0527, 1.462585
291.5349, 1.276917
292.0170, 1.092957
292.4991, 0.8631590
292.9812, 0.5434270
293.4633, 3.4363002E-02
293.9454, 0.9239500
294.4276, 1.922394
294.9097, 2.717560
295.3918, 3.357147
295.8739, 4.066162
296.3560, 5.098236
296.8381, 6.257446
297.3203, 6.958008
297.8024, 7.138000
298.2845, 7.264618
298.7666, 7.922302
299.2487, 8.938965
299.7308, 9.821442
300.2130, 10.18173
300.6951, 10.35309
301.1772, 10.98660
301.6593, 12.07770
302.1414, 13.11890
302.6235, 13.82822
303.1057, 14.15594
303.5878, 13.92539
304.0699, 12.50323
304.5520, 10.96698
305.0341, 10.81549
305.5162, 11.89362
305.9984, 12.90219
306.4805, 12.57761
306.9626, 11.68045
307.4447, 11.32312
307.9268, 12.20520
308.4089, 13.17953
308.8911, 13.12491
309.3732, 12.24429
309.8553, 11.38184
310.3374, 11.08807
310.8195, 11.02899
311.3016, 10.83832
311.7838, 10.31140
312.2659, 9.916351
312.7480, 10.08533
313.2301, 10.63620
313.7122, 11.12421
314.1943, 11.27087
314.6765, 11.33466
315.1586, 11.40247
315.6407, 11.37204
316.1228, 11.80295
316.6049, 13.20627
317.0870, 15.23282
317.5692, 17.24155
318.0513, 18.89273
318.5334, 20.64990
319.0155, 22.89514
319.4976, 25.72565
319.9797, 28.14645
320.4619, 29.21716
320.9440, 29.94473
321.4261, 31.43698
321.9082, 35.00751
322.3903, 38.36407
322.8724, 40.77319
323.3546, 42.15533
323.8367, 43.16855
324.3188, 43.89261
324.8009, 44.42664
325.2830, 44.81339
325.7651, 44.49646
326.2473, 44.67941
326.7294, 45.91321
327.2115, 48.01785
327.6936, 49.53925
328.1757, 50.05582
328.6578, 50.20520
329.1400, 50.29794
329.6221, 50.20157
330.1042, 50.21545
330.5863, 50.32794
331.0684, 50.54910
331.5505, 50.89624
