##NAMES=Stottite
##RRUFFID=R120089
##IDEAL CHEMISTRY=Fe^2+^Ge^4+^(OH)_6_
##LOCALITY=Tsumeb, Namibia
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Yellow to red gemmy crystals and fragments associated with chalcocite R120090, siderite and tennantite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120089
271.4330, 36.72781
271.9152, 34.94603
272.3973, 33.99528
272.8794, 33.47530
273.3615, 33.45602
273.8436, 34.14380
274.3257, 35.64614
274.8079, 37.78576
275.2900, 40.48616
275.7721, 43.73275
276.2542, 47.34860
276.7363, 51.23912
277.2184, 55.42610
277.7006, 59.93723
278.1827, 64.88974
278.6648, 70.02171
279.1469, 75.37746
279.6290, 80.87962
280.1111, 85.90019
280.5933, 89.87208
281.0754, 93.04473
281.5575, 96.56057
282.0396, 100.6844
282.5217, 104.9727
283.0038, 109.0057
283.4860, 112.8383
283.9681, 116.9817
284.4502, 121.6396
284.9323, 126.8713
285.4144, 132.5807
285.8965, 138.6561
286.3787, 145.3902
286.8608, 152.9321
287.3429, 161.2604
287.8250, 170.3153
288.3071, 179.9546
288.7892, 190.5395
289.2714, 202.5505
289.7535, 215.9686
290.2356, 230.1254
290.7177, 244.6360
291.1998, 259.6297
291.6819, 275.7344
292.1641, 293.2746
292.6462, 311.6983
293.1283, 330.9435
293.6104, 350.8366
294.0925, 369.9399
294.5746, 388.9812
295.0568, 406.5777
295.5389, 420.5681
296.0210, 431.3766
296.5031, 436.5296
296.9852, 432.8073
297.4673, 421.7887
297.9495, 405.6587
298.4316, 384.2405
298.9137, 358.5350
299.3958, 328.7764
299.8779, 294.0001
300.3600, 259.8823
300.8422, 229.9877
301.3243, 203.4650
301.8064, 179.7990
302.2885, 158.9813
302.7706, 140.5715
303.2527, 124.1587
303.7349, 109.7088
304.2170, 96.84059
304.6991, 85.80223
305.1812, 76.17065
305.6633, 67.31744
306.1454, 59.12878
306.6276, 51.91149
307.1097, 46.20614
307.5918, 41.95299
308.0739, 37.89389
308.5560, 33.44817
309.0381, 29.29265
309.5203, 26.15472
310.0024, 24.09211
310.4845, 22.49561
310.9666, 20.95560
311.4487, 19.52858
311.9308, 18.56746
312.4130, 18.35398
312.8951, 18.33448
313.3772, 17.86581
313.8593, 17.04185
314.3414, 16.53123
314.8235, 16.90151
315.3057, 17.81995
315.7878, 18.39736
316.2699, 18.44199
316.7520, 18.42793
317.2341, 18.72729
317.7162, 19.23345
318.1984, 19.72252
318.6805, 19.94546
319.1626, 20.21645
319.6447, 21.02489
320.1268, 22.41737
320.6089, 24.03791
321.0911, 25.65047
321.5732, 27.40850
322.0553, 29.52924
322.5374, 32.04781
323.0195, 34.92711
323.5016, 38.16455
323.9838, 41.76718
324.4659, 45.54277
324.9480, 49.32101
325.4301, 53.36907
325.9122, 57.90602
326.3943, 62.98615
326.8765, 68.36420
327.3586, 74.17153
327.8407, 80.32293
328.3228, 86.09339
328.8049, 91.49167
329.2870, 96.11917
329.7692, 99.76513
330.2513, 102.4574
330.7334, 104.1362
331.2155, 105.0070
331.6976, 104.8118
332.1797, 102.9101
332.6619, 99.14647
333.1440, 93.90726
333.6261, 86.63509
334.1082, 78.07964
334.5903, 69.86952
335.0724, 62.47770
335.5546, 55.76141
336.0367, 49.44196
336.5188, 43.49716
337.0009, 38.45732
337.4830, 34.89143
337.9651, 32.42548
338.4473, 30.31367
338.9294, 28.40067
339.4115, 26.95725
339.8936, 26.48251
340.3757, 26.83494
340.8578, 26.93919
341.3400, 26.26102
341.8221, 25.27945
342.3042, 24.66556
342.7863, 24.39854
343.2684, 24.51086
343.7505, 25.39509
344.2327, 26.65787
344.7148, 27.25684
345.1969, 26.81755
345.6790, 26.09503
346.1611, 26.01028
346.6432, 26.45529
347.1254, 26.79693
347.6075, 26.79033
348.0896, 26.63195
348.5717, 26.51334
349.0538, 26.44597
349.5359, 26.51799
350.0181, 26.80637
350.5002, 27.30570
350.9823, 27.91673
351.4644, 28.85013
351.9465, 29.70667
352.4286, 30.04717
352.9108, 30.00658
353.3929, 30.27114
353.8750, 31.25428
354.3571, 32.66781
354.8392, 33.78655
355.3214, 34.52737
355.8035, 35.21577
356.2856, 36.00263
356.7677, 36.80607
357.2498, 37.53095
357.7319, 38.17662
358.2141, 38.59557
358.6962, 38.56455
359.1783, 38.06183
359.6604, 37.26636
360.1425, 36.13783
360.6246, 34.75676
361.1068, 33.20983
361.5889, 31.49129
362.0710, 29.55201
362.5531, 27.30301
363.0352, 24.73957
363.5173, 22.31192
363.9995, 20.05299
364.4816, 17.86926
364.9637, 15.73318
365.4458, 13.64339
365.9279, 11.56117
366.4100, 9.438316
366.8922, 7.378189
367.3743, 5.769501
367.8564, 4.619331
368.3385, 3.862778
368.8206, 3.880501
369.3027, 4.123550
369.7849, 3.888893
370.2670, 2.998940
370.7491, 1.898628
371.2312, 1.201843
371.7133, 1.058258
372.1954, 0.9226530
372.6776, 0.8323670
373.1597, 0.7201160
373.6418, 0.5242310
374.1239, 0.2600750
374.6060, 1.2558000E-02
375.0881, 0.1352040
375.5703, 0.1913450
376.0524, 0.4785460
376.5345, 1.277763
377.0166, 1.983681
377.4987, 2.426178
377.9808, 2.702435
378.4630, 2.982533
378.9451, 3.345551
379.4272, 3.706116
379.9093, 3.859852
380.3914, 3.731476
380.8735, 3.499763
381.3557, 3.037319
381.8378, 2.580578
382.3199, 2.386936
382.8020, 2.441952
383.2841, 2.439869
383.7662, 1.973511
384.2484, 0.9236340
384.7305, 0.2371640
385.2126, 0.3286630
385.6947, 0.3973010
386.1768, 0.1243480
386.6589, 0.3603480
387.1411, 0.7354390
387.6232, 0.7682000
388.1053, 0.6132700
388.5874, 0.8588290
389.0695, 1.761482
389.5516, 2.587170
390.0338, 2.968700
390.5159, 3.316792
390.9980, 4.113697
391.4801, 5.485630
391.9622, 6.906128
392.4443, 7.670155
392.9265, 7.700603
393.4086, 7.811306
393.8907, 8.053959
394.3728, 8.458420
394.8549, 9.032066
395.3370, 9.773987
395.8192, 10.67970
396.3013, 11.84734
396.7834, 13.17665
397.2655, 14.28467
397.7476, 15.05002
398.2297, 15.90493
398.7119, 17.28276
