##NAMES=Cryolite
##RRUFFID=R120026
##IDEAL CHEMISTRY=Na_3_AlF_6_
##LOCALITY=Francon quarry, Montréal, Québec, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Colorless, pseudo-octahedral crystals
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120026
325.7651, 34.50916
326.2473, 36.03214
326.7294, 42.73761
327.2115, 47.99680
327.6936, 50.31406
328.1757, 50.36215
328.6578, 51.60770
329.1400, 54.98001
329.6221, 58.80124
330.1042, 62.44604
330.5863, 65.63177
331.0684, 69.06412
331.5505, 72.79102
332.0327, 76.73047
332.5148, 80.62079
332.9969, 84.01251
333.4790, 87.96738
333.9611, 93.15659
334.4432, 100.1876
334.9254, 105.9268
335.4075, 109.8454
335.8896, 112.8326
336.3717, 115.9406
336.8538, 118.8398
337.3359, 122.6218
337.8180, 127.9020
338.3001, 134.6204
338.7823, 140.4317
339.2644, 145.3031
339.7465, 149.2385
340.2286, 152.1930
340.7107, 154.1174
341.1928, 155.2226
341.6750, 155.2937
342.1571, 154.5902
342.6392, 154.3564
343.1213, 154.8967
343.6034, 154.5892
344.0855, 151.7577
344.5677, 146.5045
345.0498, 141.3603
345.5319, 136.6446
346.0140, 132.1671
346.4961, 128.0582
346.9782, 124.3007
347.4604, 119.5492
347.9425, 112.1462
348.4246, 102.9680
348.9067, 95.80679
349.3888, 91.15649
349.8709, 87.11621
350.3531, 80.63614
350.8352, 72.46701
351.3173, 65.78461
351.7994, 62.93106
352.2815, 62.03714
352.7636, 60.17111
353.2458, 57.32559
353.7279, 53.76620
354.2100, 48.87192
354.6921, 43.53519
355.1742, 39.38583
355.6563, 37.59158
356.1385, 36.41199
356.6206, 33.99677
357.1027, 30.61319
357.5848, 27.66330
358.0669, 26.26328
358.5490, 25.52509
359.0312, 24.59787
359.5133, 23.19415
359.9954, 21.83987
360.4775, 21.11575
360.9596, 20.66129
361.4417, 19.72388
361.9239, 17.18271
362.4060, 14.69998
362.8881, 13.35840
363.3702, 13.51590
363.8523, 13.48590
364.3344, 12.26395
364.8166, 10.72504
365.2987, 9.860809
365.7808, 10.60150
366.2629, 11.46698
366.7450, 11.89850
367.2271, 11.81100
367.7093, 12.08609
368.1914, 13.72208
368.6735, 15.30728
369.1556, 15.82913
369.6377, 13.38208
370.1198, 12.04230
370.6020, 12.39093
371.0841, 14.05814
371.5662, 15.74954
372.0483, 17.56976
372.5304, 19.25797
373.0125, 20.74033
373.4947, 22.08322
373.9768, 22.92288
374.4589, 22.92502
374.9410, 22.70099
375.4231, 23.20901
375.9052, 24.54257
376.3874, 26.38705
376.8695, 28.80835
377.3516, 31.95801
377.8337, 34.71359
378.3158, 36.85226
378.7979, 38.72632
379.2801, 40.79855
379.7622, 43.16907
380.2443, 45.66949
380.7264, 48.22513
381.2085, 50.83853
381.6906, 53.54816
382.1728, 56.35022
382.6549, 59.50589
383.1370, 63.19162
383.6191, 67.36188
384.1012, 71.73492
384.5833, 76.35132
385.0655, 81.05087
385.5476, 85.37711
386.0297, 89.54169
386.5118, 94.09933
386.9939, 100.2077
387.4760, 106.5613
387.9582, 111.2803
388.4403, 114.3604
