##NAMES=Berthierine
##RRUFFID=R110177
##IDEAL CHEMISTRY=(Fe^2+^,Fe^3+^,Al)_3_(Si,Al)_2_O_5_(OH)_4_
##LOCALITY=DeMix quarry, Mont St-Hilaire, Quebec
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Hexagonal prisms, with gray transparent terminations. We sample the terminations.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R110177
323.9838, 3.732056
324.4659, 3.460999
324.9480, 6.341614
325.4301, 10.16766
325.9122, 12.29956
326.3943, 12.50702
326.8765, 11.64117
327.3586, 9.958862
327.8407, 7.595459
328.3228, 5.241699
328.8049, 2.779297
329.2870, 0.7955930
329.7692, 0.1894530
330.2513, 0.2332150
330.7334, 0.3273320
331.2155, 2.248108
331.6976, 4.578247
332.1797, 4.798035
332.6619, 2.076538
333.1440, 1.155884
333.6261, 3.040344
334.1082, 3.924194
334.5903, 4.455261
335.0724, 4.308044
335.5546, 4.164978
336.0367, 4.893311
336.5188, 6.521912
337.0009, 8.807190
337.4830, 12.36890
337.9651, 16.26105
338.4473, 18.58618
338.9294, 18.26184
339.4115, 17.73236
339.8936, 19.11023
340.3757, 22.16168
340.8578, 25.12109
341.3400, 27.38354
341.8221, 29.19208
342.3042, 30.87903
342.7863, 32.37665
343.2684, 34.12274
343.7505, 36.48553
344.2327, 39.24866
344.7148, 42.04279
345.1969, 44.97394
345.6790, 47.42175
346.1611, 47.85913
346.6432, 46.66968
347.1254, 46.89386
347.6075, 50.36145
348.0896, 55.15796
348.5717, 58.99011
349.0538, 61.66608
349.5359, 63.80695
350.0181, 65.53217
350.5002, 67.08746
350.9823, 69.45508
351.4644, 73.82489
351.9465, 78.03815
352.4286, 80.31116
352.9108, 81.01599
353.3929, 81.89325
353.8750, 83.61310
354.3571, 86.21283
354.8392, 89.77399
355.3214, 94.47809
355.8035, 99.51562
356.2856, 105.4255
356.7677, 111.3158
357.2498, 115.1757
357.7319, 116.1910
358.2141, 116.4470
358.6962, 119.0525
359.1783, 124.5072
359.6604, 129.0974
360.1425, 131.7888
360.6246, 133.8397
361.1068, 136.1805
361.5889, 138.9810
362.0710, 142.3929
362.5531, 146.6988
363.0352, 151.8926
363.5173, 156.5256
363.9995, 159.9033
364.4816, 163.4794
364.9637, 168.2051
365.4458, 173.6917
365.9279, 178.7657
366.4100, 182.6909
366.8922, 186.0754
367.3743, 190.9253
367.8564, 199.1336
368.3385, 206.0314
368.8206, 209.9976
369.3027, 212.7837
369.7849, 216.3625
370.2670, 221.2706
370.7491, 226.8193
371.2312, 232.1206
371.7133, 237.2104
372.1954, 241.7334
372.6776, 245.9017
373.1597, 249.3752
373.6418, 251.6532
374.1239, 252.9590
