##NAMES=Pyrophanite
##RRUFFID=R070211
##IDEAL CHEMISTRY=Mn^2+^TiO_3_
##LOCALITY=Harstigen Mine, Pajsberg, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Red-brown platy crystals with deep red internal hints, associated with barite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070211
189.9621, 714.0835
190.4442, 757.3853
190.9263, 831.5435
191.4084, 922.0298
191.8905, 991.5852
192.3727, 1021.690
192.8548, 1064.421
193.3369, 1129.333
193.8190, 1208.460
194.3011, 1294.644
194.7832, 1385.079
195.2654, 1481.271
195.7475, 1585.066
196.2296, 1696.001
196.7117, 1818.572
197.1938, 1940.170
197.6759, 2078.085
198.1581, 2251.468
198.6402, 2466.508
199.1223, 2704.773
199.6044, 2937.316
200.0865, 3182.883
200.5686, 3381.224
201.0508, 3553.622
201.5329, 3672.543
202.0150, 3714.233
202.4971, 3672.800
202.9792, 3558.963
203.4613, 3384.329
203.9435, 3129.013
204.4256, 2854.250
204.9077, 2542.670
205.3898, 2229.496
205.8719, 1929.974
206.3540, 1650.632
206.8362, 1399.769
207.3183, 1189.027
207.8004, 1029.451
208.2825, 888.9224
208.7646, 771.1272
209.2467, 664.5422
209.7289, 558.5762
210.2110, 454.1055
210.6931, 361.7729
211.1752, 296.3076
211.6573, 265.4702
212.1395, 234.7610
212.6216, 203.7373
213.1037, 173.3210
213.5858, 142.9465
214.0679, 113.3838
214.5500, 86.66333
215.0322, 64.86597
215.5143, 48.34106
215.9964, 34.94092
216.4785, 24.31665
216.9606, 17.01978
217.4427, 15.62280
217.9249, 18.21729
218.4070, 19.63354
218.8891, 14.49170
219.3712, 2.391113
219.8533, 1.635742
220.3354, 6.317139
220.8176, 19.18628
221.2997, 38.80127
221.7818, 61.95947
222.2639, 83.04443
222.7460, 97.67456
223.2281, 106.7148
223.7103, 117.8740
224.1924, 136.9351
224.6745, 151.6851
225.1566, 154.7805
225.6387, 152.9551
226.1208, 156.1499
226.6030, 170.2124
227.0851, 193.2156
227.5672, 217.1814
228.0493, 242.8110
228.5314, 268.7256
229.0135, 293.4241
229.4957, 318.6089
229.9778, 345.8035
230.4599, 375.6355
230.9420, 408.5137
231.4241, 446.6975
231.9062, 496.6763
232.3884, 540.2688
232.8705, 571.4219
233.3526, 598.9475
233.8347, 630.5183
234.3168, 668.1577
234.7989, 708.4719
235.2811, 748.1289
235.7632, 794.3818
236.2453, 819.1045
236.7274, 803.9197
237.2095, 781.1592
237.6916, 773.5989
238.1738, 784.6904
238.6559, 800.0083
239.1380, 800.3867
239.6201, 780.4631
240.1022, 766.9204
240.5843, 753.4497
241.0665, 751.7100
241.5486, 771.6667
242.0307, 811.1465
242.5128, 856.5999
242.9949, 892.9717
243.4770, 918.2588
243.9592, 959.9690
244.4413, 1025.980
244.9234, 1102.349
245.4055, 1187.203
245.8876, 1279.330
246.3697, 1376.016
246.8519, 1474.707
247.3340, 1576.739
247.8161, 1688.112
248.2982, 1811.370
248.7803, 1942.464
249.2624, 2083.024
249.7446, 2229.621
250.2267, 2375.910
250.7088, 2519.152
251.1909, 2660.590
251.6730, 2802.128
252.1551, 2936.555
252.6373, 3088.060
253.1194, 3268.426
253.6015, 3465.467
254.0836, 3665.343
254.5657, 3861.681
255.0478, 4064.061
255.5300, 4290.815
256.0121, 4545.743
256.4942, 4808.783
256.9763, 5073.643
257.4584, 5344.716
257.9406, 5629.962
258.4227, 5930.974
258.9048, 6239.679
259.3869, 6553.417
259.8690, 6873.377
260.3511, 7186.207
260.8333, 7524.300
261.3154, 7822.145
261.7975, 8046.298
262.2796, 8193.493
262.7617, 8265.870
263.2438, 8266.478
263.7260, 8194.205
264.2081, 8042.696
264.6902, 7805.975
265.1723, 7490.396
265.6544, 7084.417
266.1365, 6607.184
266.6187, 6124.790
267.1008, 5657.661
267.5829, 5207.979
268.0650, 4780.040
268.5471, 4374.591
269.0292, 3990.633
269.5114, 3628.851
269.9935, 3290.250
270.4756, 2979.272
270.9577, 2696.198
271.4398, 2442.183
271.9219, 2224.320
272.4041, 2042.938
272.8862, 1874.361
273.3683, 1708.081
273.8504, 1547.917
274.3325, 1399.833
274.8146, 1264.797
275.2968, 1140.245
275.7789, 1021.823
276.2610, 911.7083
276.7431, 819.1230
277.2252, 750.3076
277.7073, 697.0327
278.1895, 646.7930
278.6716, 600.7681
279.1537, 552.2542
279.6358, 494.7776
280.1179, 434.2256
280.6000, 380.2561
281.0822, 334.5857
281.5643, 297.1509
282.0464, 269.9446
282.5285, 253.9756
283.0106, 237.1055
283.4927, 219.5784
283.9749, 199.6023
284.4570, 172.4775
284.9391, 138.8489
285.4212, 108.7859
285.9033, 91.80371
286.3854, 87.76318
286.8676, 77.92188
287.3497, 51.77612
287.8318, 30.48242
288.3139, 30.83447
288.7960, 45.02515
289.2781, 51.40674
289.7603, 37.29492
290.2424, 7.509766
290.7245, 17.65576
291.2066, 38.30054
291.6887, 54.69946
292.1708, 71.99365
292.6530, 83.22559
293.1351, 75.55933
293.6172, 44.93140
294.0993, 5.482666
294.5814, 17.48047
295.0635, 14.32153
295.5457, 11.60278
296.0278, 12.45142
296.5099, 11.51953
296.9920, 1.679199
297.4741, 15.79590
297.9562, 30.69678
298.4384, 31.81763
298.9205, 16.86548
299.4026, 3.808594
299.8847, 11.41772
300.3668, 20.81738
300.8489, 14.21704
301.3311, 0.3518070
301.8131, 4.812012
302.2953, 15.09717
302.7774, 52.14258
303.2595, 67.97363
303.7416, 43.62842
304.2237, 25.35474
304.7058, 21.98389
305.1880, 29.12793
305.6701, 44.17505
306.1522, 66.47046
306.6343, 90.21558
307.1164, 103.3940
307.5985, 100.4758
308.0807, 107.4998
308.5628, 141.5645
309.0449, 178.3691
309.5270, 200.3813
310.0091, 207.3552
310.4912, 216.1855
310.9734, 246.9272
311.4555, 296.5977
311.9376, 328.8452
312.4197, 325.2524
312.9018, 327.2268
313.3839, 366.9570
313.8661, 432.2744
314.3482, 491.0962
314.8303, 523.6953
315.3124, 543.3374
315.7945, 572.3594
316.2766, 611.2441
316.7588, 656.4236
317.2409, 706.1824
317.7230, 761.0991
318.2051, 822.7520
318.6872, 894.7231
319.1693, 966.8835
319.6515, 1025.645
320.1336, 1075.725
320.6157, 1141.619
321.0978, 1235.997
321.5799, 1342.081
322.0620, 1435.375
322.5442, 1515.518
323.0263, 1589.348
323.5084, 1648.367
323.9905, 1707.479
324.4726, 1790.229
324.9547, 1900.465
325.4369, 2012.659
325.9190, 2099.353
326.4011, 2156.933
326.8832, 2239.029
327.3653, 2360.433
327.8474, 2492.570
328.3296, 2622.341
328.8117, 2749.742
329.2938, 2876.711
329.7759, 3003.969
330.2580, 3132.531
330.7401, 3260.893
331.2223, 3409.055
331.7044, 3532.836
332.1865, 3632.046
332.6686, 3702.448
333.1507, 3735.118
333.6328, 3728.603
334.1150, 3697.107
