##NAMES=Kuksite
##RRUFFID=R110039
##IDEAL CHEMISTRY=Pb_3_Zn_3_Te^6+^O_6_(PO_4_)_2_
##LOCALITY=Blue Bell claims, Baker, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=Brent Thorne
##DESCRIPTION=Pale-green short-primatic hexagonal crystals, associated with colorless elongated tabular hemimorphite and yellow to brown-yellow andradite.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R110039
229.3418, 26.86063
229.8239, 26.16635
230.3060, 25.60007
230.7881, 25.20755
231.2702, 25.00104
231.7524, 25.13705
232.2345, 25.87213
232.7166, 26.56436
233.1987, 26.77472
233.6808, 26.12857
234.1629, 25.82321
234.6451, 26.07806
235.1272, 26.73169
235.6093, 27.11823
236.0914, 27.30222
236.5735, 27.13376
237.0556, 26.43246
237.5378, 24.70901
238.0199, 23.54764
238.5020, 23.16537
238.9841, 23.41602
239.4662, 23.77805
239.9483, 24.54044
240.4305, 25.04666
240.9126, 24.88541
241.3947, 23.62195
241.8768, 22.66656
242.3589, 22.10114
242.8410, 21.88931
243.3232, 21.91629
243.8053, 22.29739
244.2874, 22.75760
244.7695, 23.18588
245.2516, 23.61142
245.7337, 23.92358
246.2159, 24.07159
246.6980, 24.34601
247.1801, 24.82382
247.6622, 25.34100
248.1443, 25.83093
248.6264, 25.87683
249.1086, 25.25876
249.5907, 24.82739
250.0728, 24.67386
250.5549, 24.73538
251.0370, 24.91803
251.5191, 25.68860
252.0013, 25.87656
252.4834, 24.68991
252.9655, 21.03564
253.4476, 18.96899
253.9297, 19.11856
254.4118, 20.62622
254.8940, 21.60364
255.3761, 21.95303
255.8582, 21.93500
256.3403, 21.52060
256.8224, 20.38660
257.3046, 19.92145
257.7867, 20.46964
258.2688, 21.46872
258.7509, 21.82568
259.2330, 21.28549
259.7151, 20.60925
260.1973, 20.11182
260.6794, 19.91223
261.1615, 19.32996
261.6436, 18.06036
262.1257, 16.68420
262.6078, 16.31125
263.0900, 17.40649
263.5721, 18.42236
264.0542, 18.72275
264.5363, 18.13254
265.0184, 18.15695
265.5005, 19.14386
265.9827, 20.35132
266.4648, 20.56235
266.9469, 19.32224
267.4290, 18.42072
267.9111, 18.50897
268.3932, 19.66107
268.8754, 20.57233
269.3575, 21.23868
269.8396, 21.65421
270.3217, 21.73511
270.8038, 21.37421
271.2859, 21.04965
271.7681, 20.83829
272.2502, 20.74118
272.7323, 20.96927
273.2144, 21.58966
273.6965, 22.39261
274.1786, 23.20209
274.6608, 24.05142
275.1429, 24.75928
275.6250, 25.26694
276.1071, 25.59305
276.5892, 25.83447
277.0714, 25.94052
277.5535, 26.10782
278.0356, 26.65073
278.5177, 27.64005
278.9998, 28.19849
279.4819, 27.94995
279.9641, 27.16937
280.4462, 27.27148
280.9283, 28.48917
281.4104, 29.58005
281.8925, 29.36490
282.3746, 27.82568
282.8568, 26.47766
283.3389, 25.60526
283.8210, 25.06592
284.3031, 24.60812
284.7852, 24.29150
285.2673, 23.61426
285.7495, 21.93561
286.2316, 19.36664
286.7137, 17.33557
287.1958, 16.13190
287.6779, 15.39703
288.1600, 14.39111
288.6422, 13.10748
289.1243, 11.85019
289.6064, 10.92535
290.0885, 10.23404
290.5706, 9.297577
291.0527, 8.012543
291.5349, 6.590210
292.0170, 5.353821
292.4991, 4.297424
292.9812, 3.273407
293.4633, 2.077789
293.9454, 0.8449400
294.4276, 7.8185998E-02
294.9097, 0.1375120
295.3918, 0.1032100
295.8739, 8.7890001E-03
296.3560, 8.2947001E-02
296.8381, 0.1388850
297.3203, 1.192444
297.8024, 2.586151
298.2845, 3.227570
298.7666, 3.044556
299.2487, 2.642700
299.7308, 2.785065
300.2130, 3.229034
300.6951, 3.269958
301.1772, 2.356415
301.6593, 1.016479
302.1414, 8.9050002E-02
302.6235, 0.9509280
303.1057, 1.556458
303.5878, 1.741699
304.0699, 1.671204
