##NAMES=Quenselite
##RRUFFID=R100036
##IDEAL CHEMISTRY=PbMn^3+^O_2_(OH)
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Tabular to rectangular blocky, black with a hint of red highlights
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100036
218.7352, 35.07753
219.2173, 37.57987
219.6994, 39.93273
220.1816, 42.48129
220.6637, 45.57100
221.1458, 49.68007
221.6279, 52.89729
222.1100, 54.79562
222.5921, 55.96115
223.0743, 58.12750
223.5564, 61.95662
224.0385, 65.60421
224.5206, 67.95726
225.0027, 68.18363
225.4848, 69.45864
225.9670, 71.94739
226.4491, 75.45177
226.9312, 79.68245
227.4133, 85.16878
227.8954, 90.48450
228.3775, 94.72535
228.8597, 97.23820
229.3418, 100.4696
229.8239, 104.6127
230.3060, 109.4479
230.7881, 114.2522
231.2702, 119.0778
231.7524, 123.8842
232.2345, 128.6350
232.7166, 133.5879
233.1987, 138.0698
233.6808, 142.0820
234.1629, 145.6046
234.6451, 148.6772
235.1272, 151.3988
235.6093, 153.4974
236.0914, 154.8108
236.5735, 155.0930
237.0556, 155.2108
237.5378, 155.4000
238.0199, 155.3708
238.5020, 154.3307
238.9841, 151.8640
239.4662, 148.9975
239.9483, 146.2559
240.4305, 144.2581
240.9126, 140.9847
241.3947, 136.2180
241.8768, 130.2416
242.3589, 123.5587
242.8410, 115.3065
243.3232, 107.6698
243.8053, 101.8166
244.2874, 98.85615
244.7695, 94.89912
245.2516, 89.41601
245.7337, 83.12483
246.2159, 77.59430
246.6980, 72.88975
247.1801, 68.83897
247.6622, 65.44387
248.1443, 63.00739
248.6264, 60.30421
249.1086, 57.07524
249.5907, 53.71022
250.0728, 50.92203
250.5549, 48.51621
251.0370, 47.02206
251.5191, 46.84290
252.0013, 48.52718
252.4834, 49.64017
252.9655, 49.88461
253.4476, 49.69298
253.9297, 49.89851
254.4118, 50.70914
254.8940, 51.50244
255.3761, 51.90863
255.8582, 51.57068
256.3403, 52.53025
256.8224, 55.31229
257.3046, 58.89825
257.7867, 61.58447
258.2688, 63.10097
258.7509, 64.52612
259.2330, 66.08265
259.7151, 67.71938
260.1973, 69.71373
260.6794, 71.98706
261.1615, 74.64515
261.6436, 77.82056
262.1257, 81.64621
262.6078, 85.79703
263.0900, 90.17812
263.5721, 94.85023
264.0542, 99.43414
264.5363, 103.8884
265.0184, 108.3496
265.5005, 113.0588
265.9827, 117.8125
266.4648, 123.2700
266.9469, 129.6974
267.4290, 137.0677
267.9111, 144.6552
268.3932, 152.4552
268.8754, 160.3925
269.3575, 168.4428
269.8396, 176.8137
270.3217, 184.8060
270.8038, 192.1329
271.2859, 198.8954
271.7681, 205.9789
272.2502, 213.7124
272.7323, 221.0901
273.2144, 227.0407
273.6965, 231.6240
274.1786, 234.6789
274.6608, 236.1682
275.1429, 236.1086
275.6250, 234.6673
276.1071, 231.8258
276.5892, 227.6850
277.0714, 222.3132
277.5535, 215.6413
278.0356, 208.2265
278.5177, 200.1874
278.9998, 191.4840
279.4819, 181.6574
279.9641, 170.3081
280.4462, 159.1160
280.9283, 149.5062
281.4104, 141.6109
281.8925, 133.6729
282.3746, 125.3937
282.8568, 116.9304
283.3389, 108.6037
283.8210, 100.3659
284.3031, 92.60601
284.7852, 85.37601
285.2673, 78.76653
285.7495, 73.53990
286.2316, 70.17513
286.7137, 67.69412
287.1958, 63.75577
287.6779, 58.30943
288.1600, 53.25554
288.6422, 50.06474
289.1243, 48.47467
289.6064, 46.66446
290.0885, 44.38542
290.5706, 42.04791
291.0527, 40.38193
291.5349, 39.30963
292.0170, 38.40506
292.4991, 37.50821
292.9812, 36.61983
293.4633, 35.73347
293.9454, 34.75799
294.4276, 33.84550
