##NAMES=Normandite
##RRUFFID=R120066
##IDEAL CHEMISTRY=NaCa(Mn,Fe)(Ti,Nb,Zr)(Si_2_O_7_)OF
##LOCALITY=Partomchorr Mt., Khibiny Massif, Kola Peninsula, Murmanskaja Oblast', Northern Region, Russia
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Radiating aggregate of brown bladed crystals, twinned around (001)
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120066
231.8995, 144.1527
232.3816, 145.2672
232.8637, 146.9284
233.3458, 149.7296
233.8279, 153.3982
234.3101, 157.0167
234.7922, 160.1837
235.2743, 163.9682
235.7564, 169.1722
236.2385, 175.3249
236.7206, 181.5220
237.2028, 187.0942
237.6849, 192.2656
238.1670, 198.2277
238.6491, 205.8786
239.1312, 212.9419
239.6133, 218.2970
240.0955, 222.5728
240.5776, 226.8712
241.0597, 231.7612
241.5418, 237.1938
242.0239, 242.8705
242.5060, 249.1108
242.9882, 255.1809
243.4703, 261.0110
243.9524, 266.5426
244.4345, 271.6186
244.9166, 276.0299
245.3987, 280.0499
245.8809, 284.9660
246.3630, 292.0455
246.8451, 298.3739
247.3272, 303.2712
247.8093, 307.1534
248.2914, 310.5800
248.7736, 313.8739
249.2557, 316.8790
249.7378, 318.9208
250.2199, 319.2405
250.7020, 319.4454
251.1841, 319.5496
251.6663, 319.7242
252.1484, 320.2065
252.6305, 321.1163
253.1126, 322.2918
253.5947, 323.2375
254.0768, 324.3789
254.5590, 324.6761
255.0411, 323.4182
255.5232, 321.5523
256.0053, 320.0433
256.4874, 319.3090
256.9695, 319.1797
257.4517, 319.2481
257.9338, 319.8276
258.4159, 320.2299
258.8980, 320.2703
259.3801, 320.2038
259.8622, 320.3454
260.3444, 320.7798
260.8265, 321.1341
261.3086, 321.0476
261.7907, 320.9182
262.2728, 319.6920
262.7549, 316.7728
263.2371, 312.9700
263.7192, 309.3515
264.2013, 306.2175
264.6834, 302.7858
265.1655, 297.7611
265.6476, 290.2379
266.1298, 283.3036
266.6119, 277.6083
267.0940, 272.2143
267.5761, 266.4047
268.0582, 260.0294
268.5403, 253.2131
269.0225, 246.0442
269.5046, 238.4005
269.9867, 230.2801
270.4688, 220.9319
270.9509, 211.5948
271.4330, 203.4658
271.9152, 196.6522
272.3973, 190.1333
272.8794, 182.9968
273.3615, 175.1683
273.8436, 167.6451
274.3257, 159.8365
274.8079, 152.6929
275.2900, 147.4827
275.7721, 144.0704
276.2542, 140.6342
276.7363, 135.6682
277.2184, 129.3790
277.7006, 123.6675
278.1827, 118.2772
278.6648, 113.6895
279.1469, 110.7263
279.6290, 109.1907
280.1111, 107.4813
280.5933, 104.5383
281.0754, 100.7617
281.5575, 97.58350
282.0396, 95.20538
282.5217, 93.19757
283.0038, 91.32339
283.4860, 89.60764
283.9681, 88.10803
284.4502, 86.76224
284.9323, 85.76904
285.4144, 85.44724
285.8965, 85.96082
286.3787, 86.69681
286.8608, 87.24399
287.3429, 87.71973
287.8250, 88.57141
288.3071, 90.02319
288.7892, 91.82404
289.2714, 93.53070
289.7535, 95.08276
290.2356, 96.92944
290.7177, 99.66357
291.1998, 102.8649
291.6819, 105.3658
292.1641, 106.7267
292.6462, 107.6817
293.1283, 108.8264
293.6104, 110.1580
294.0925, 112.0740
294.5746, 115.0044
295.0568, 118.5790
295.5389, 122.1265
296.0210, 125.6174
296.5031, 128.9315
296.9852, 131.7879
297.4673, 134.3598
297.9495, 137.1556
298.4316, 140.5338
298.9137, 144.1474
299.3958, 147.4531
299.8779, 150.3900
300.3600, 153.2622
300.8422, 156.2974
301.3243, 159.3961
301.8064, 162.3631
302.2885, 165.2476
