##NAMES=Ktenasite
##RRUFFID=R090002
##IDEAL CHEMISTRY=(Cu,Zn)_5_(SO_4_)_2_(OH)_6_&#183;6H_2_O
##LOCALITY=Oh mine, Gila County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Radial aggregates of bluish green tabular crystals associated with serpierite, R060475
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R090002
336.8873, 2.547241
337.3694, 1.948853
337.8515, 1.057068
338.3336, 0.5606080
338.8158, 0.5694580
339.2979, 0.7135010
339.7800, 0.5141600
340.2621, 0.1607670
340.7442, 0.1469120
341.2263, 1.180664
341.7085, 3.124878
342.1906, 2.895569
342.6727, 0.1081540
343.1548, 2.498169
343.6369, 2.445374
344.1190, 3.2349002E-02
344.6012, 0.6085820
345.0833, 1.791321
345.5654, 5.061646
346.0475, 4.790100
346.5296, 1.229187
347.0117, 1.544250
347.4939, 0.2695920
347.9760, 3.595825
348.4581, 5.099609
348.9402, 3.682617
349.4223, 1.763123
349.9044, 2.312805
350.3866, 4.708496
350.8687, 6.806885
351.3508, 7.182556
351.8329, 7.006165
352.3150, 8.571838
352.7971, 11.82306
353.2793, 14.50934
353.7614, 14.02710
354.2435, 12.02350
354.7256, 11.25043
355.2077, 13.21356
355.6898, 15.78162
356.1720, 17.69257
356.6541, 18.80542
357.1362, 18.56757
357.6183, 15.13214
358.1004, 11.03101
358.5826, 8.580505
359.0647, 8.522156
359.5468, 9.340759
360.0289, 10.64355
360.5110, 12.22443
360.9931, 13.69971
361.4753, 15.88055
361.9574, 17.12848
362.4395, 16.03906
362.9216, 11.98718
363.4037, 8.900208
363.8858, 7.464722
364.3680, 7.772034
364.8501, 9.931580
365.3322, 17.22485
365.8143, 22.93787
366.2964, 25.33728
366.7785, 24.44366
367.2607, 22.62982
367.7428, 17.77850
368.2249, 13.57239
368.7070, 12.22620
369.1891, 16.29193
369.6712, 19.89380
370.1534, 23.39923
370.6355, 26.49219
371.1176, 27.98517
371.5997, 26.60059
372.0818, 25.17047
372.5639, 24.78363
373.0461, 25.72699
373.5282, 26.64844
374.0103, 27.25616
374.4924, 28.15533
374.9745, 30.61664
375.4566, 35.56372
375.9388, 39.05518
376.4209, 39.24713
376.9030, 36.53400
377.3851, 36.40234
377.8672, 39.58881
378.3493, 43.60260
378.8315, 45.82104
379.3136, 46.16638
379.7957, 46.42957
380.2778, 46.75403
380.7599, 47.59961
381.2420, 50.69946
381.7242, 56.00562
382.2063, 61.05975
382.6884, 63.62946
383.1705, 64.45026
383.6526, 66.02649
384.1347, 68.62213
384.6169, 71.78510
385.0990, 74.90381
385.5811, 78.24927
386.0632, 81.95862
386.5453, 86.61078
387.0274, 91.04095
387.5096, 93.57794
387.9917, 94.42542
388.4738, 95.15582
388.9559, 96.60468
389.4380, 98.78754
389.9201, 101.6418
390.4023, 104.8090
390.8844, 108.5916
391.3665, 114.3865
391.8486, 121.6838
392.3307, 127.4319
392.8128, 127.6243
393.2950, 127.2381
393.7771, 130.3007
394.2592, 139.4014
394.7413, 146.7357
395.2234, 148.4960
395.7055, 147.1554
396.1877, 146.4942
396.6698, 146.7917
397.1519, 148.3507
397.6340, 152.0024
398.1161, 158.1899
398.5982, 162.7253
399.0804, 164.4280
399.5625, 164.7939
400.0446, 165.0234
400.5267, 165.1208
401.0088, 165.2966
401.4909, 165.1061
401.9731, 164.9433
402.4552, 166.6101
402.9373, 171.1318
403.4194, 175.9017
403.9015, 179.7925
404.3836, 182.7687
404.8658, 184.9211
405.3479, 186.1673
405.8300, 186.7714
406.3121, 186.8704
406.7942, 186.2641
407.2763, 186.5604
407.7585, 188.9759
408.2406, 192.7960
408.7227, 193.5543
409.2048, 190.9457
409.6869, 187.7448
410.1690, 186.7624
410.6512, 187.4623
411.1333, 187.0673
411.6154, 184.6756
412.0975, 181.6805
412.5796, 181.0523
413.0617, 182.0921
413.5439, 181.3363
414.0260, 175.2241
414.5081, 166.7175
414.9902, 160.2521
415.4723, 156.2877
415.9544, 152.5814
416.4366, 147.3545
416.9187, 141.2440
417.4008, 135.2227
417.8829, 128.7787
418.3650, 123.2307
418.8471, 119.5359
419.3293, 117.5159
419.8114, 115.9138
420.2935, 114.7287
420.7756, 113.4461
421.2577, 111.8028
421.7398, 109.9681
422.2220, 107.3396
422.7041, 102.6185
423.1862, 97.17468
423.6683, 93.44843
424.1504, 92.88470
424.6325, 92.88507
425.1147, 92.64185
425.5968, 92.00659
426.0789, 92.51471
426.5610, 95.23975
427.0431, 98.13794
427.5252, 99.33069
428.0074, 97.60455
428.4895, 97.05432
428.9716, 98.48865
429.4537, 101.2527
429.9358, 103.2568
430.4179, 104.3156
430.9001, 105.2335
431.3822, 106.1434
431.8643, 107.0293
432.3464, 109.1375
432.8285, 112.6836
433.3106, 116.7617
433.7928, 120.3019
434.2749, 123.3519
434.7570, 126.2145
435.2391, 128.5020
435.7212, 131.0403
436.2033, 135.9258
436.6855, 142.9160
437.1676, 149.9761
437.6497, 155.6881
438.1318, 160.5239
438.6139, 165.2337
439.0960, 170.0062
439.5782, 174.4131
440.0603, 177.2503
440.5424, 179.5529
441.0245, 183.2000
441.5066, 189.8381
441.9887, 197.3865
442.4709, 205.3643
442.9530, 213.6359
443.4351, 220.1964
443.9172, 222.6855
444.3993, 224.0566
444.8814, 226.4036
445.3636, 230.6423
445.8457, 235.1273
446.3278, 240.3021
446.8099, 245.5466
447.2920, 249.4579
447.7741, 251.3801
448.2563, 252.7135
448.7384, 253.9139
449.2205, 255.1093
449.7026, 255.3459
450.1847, 254.5439
450.6668, 252.9121
451.1490, 250.5153
451.6311, 247.1485
452.1132, 243.8812
452.5953, 241.0591
453.0774, 238.2794
453.5595, 234.1765
454.0417, 228.6362
454.5238, 222.6161
455.0059, 216.7661
455.4880, 210.9205
455.9701, 203.5018
456.4522, 194.2466
456.9344, 185.0780
457.4165, 178.5410
457.8986, 173.7686
458.3807, 168.4436
458.8628, 160.9331
459.3449, 153.4708
459.8271, 149.1032
460.3092, 147.1828
460.7913, 144.8274
461.2734, 139.8776
461.7555, 134.0717
462.2376, 128.7571
462.7198, 124.1757
463.2019, 120.0704
463.6840, 116.0947
464.1661, 112.5984
464.6482, 110.0391
465.1303, 109.4202
465.6125, 108.9493
466.0946, 108.6355
466.5767, 108.2333
467.0588, 106.4927
467.5409, 101.3820
468.0230, 96.81848
468.5052, 94.60736
468.9873, 95.67096
469.4694, 96.91144
469.9515, 98.55286
470.4336, 99.99280
470.9157, 100.2145
471.3979, 98.65234
471.8800, 97.96594
472.3621, 99.20935
472.8442, 101.9437
473.3263, 103.5174
473.8084, 103.7437
474.2906, 104.4489
474.7727, 107.0355
475.2548, 111.1329
475.7369, 115.7289
