##NAMES=Aphthitalite
##RRUFFID=R050651
##IDEAL CHEMISTRY=K_3_Na(SO_4_)_2_
##LOCALITY=Searles Lake, Trona, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless hexagonal crystals displaying P-3m1 space group symmetry, associated with halite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050651
425.3352, 13.86719
425.8173, 1.482422
426.2994, 5.464600
426.7816, 4.739746
427.2637, 0.6618650
427.7458, 4.152344
428.2279, 11.26123
428.7100, 15.67383
429.1921, 16.31665
429.6743, 14.55786
430.1564, 13.70581
430.6385, 14.24487
431.1206, 13.75586
431.6027, 9.869873
432.0848, 2.912109
432.5670, 1.875977
433.0491, 7.564941
433.5312, 15.95996
434.0133, 23.58081
434.4954, 30.43286
434.9775, 36.36499
435.4597, 40.98682
435.9418, 45.15845
436.4239, 49.98438
436.9060, 55.47437
437.3881, 61.96191
437.8702, 71.56689
438.3524, 81.58081
438.8345, 87.45044
439.3166, 88.15723
439.7987, 88.24780
440.2808, 91.60742
440.7629, 96.65015
441.2451, 100.8755
441.7272, 101.1101
442.2093, 102.1797
442.6914, 107.8721
443.1735, 117.3662
443.6556, 125.1016
444.1378, 126.5000
444.6199, 127.3059
445.1020, 130.8281
445.5841, 137.3044
446.0662, 147.0303
446.5483, 162.0383
447.0305, 179.9851
447.5126, 197.0598
447.9947, 212.1885
448.4768, 227.3801
448.9590, 242.7642
449.4411, 258.2346
449.9232, 275.7419
450.4053, 297.3801
450.8874, 318.2053
451.3695, 336.2603
451.8517, 353.9912
452.3338, 358.0420
452.8159, 346.2327
453.2980, 321.2378
453.7801, 284.2273
454.2622, 234.5146
454.7444, 187.1951
455.2265, 148.6501
455.7086, 118.1372
456.1907, 94.73340
456.6728, 78.36792
457.1549, 67.04956
457.6371, 60.17188
458.1192, 56.60498
458.6013, 53.73120
459.0834, 51.73926
459.5655, 48.76587
460.0476, 40.90918
460.5298, 29.95020
461.0119, 21.61157
461.4940, 20.41846
461.9761, 21.06250
462.4582, 18.93237
462.9403, 13.37476
463.4225, 9.065918
463.9046, 8.976074
464.3867, 10.78784
464.8688, 12.71631
465.3509, 15.23340
465.8330, 15.76636
466.3152, 12.29102
466.7973, 6.414063
467.2794, 2.931152
467.7615, 5.453857
468.2436, 7.079102
468.7257, 4.405029
469.2079, 4.799072
469.6900, 7.381836
470.1721, 0.6782230
470.6542, 10.95117
471.1363, 13.89087
471.6184, 7.353027
472.1006, 2.271240
472.5827, 0.8256840
473.0648, 2.156494
473.5469, 3.366211
474.0291, 4.311035
474.5112, 5.099365
474.9933, 5.598389
475.4754, 5.974365
475.9575, 7.214600
476.4396, 9.517334
476.9218, 11.49927
477.4039, 11.04126
477.8860, 9.116943
478.3681, 8.056152
478.8502, 9.155273
479.3323, 10.68652
479.8145, 10.65430
480.2966, 9.528809
480.7787, 9.044678
481.2608, 9.822510
481.7429, 11.18433
482.2250, 13.40430
482.7072, 17.07666
483.1893, 18.06396
483.6714, 11.40381
484.1535, 2.673096
484.6356, 1.962646
485.1177, 3.143799
485.5999, 7.200928
486.0820, 8.190674
486.5641, 6.865479
487.0462, 5.724854
487.5283, 3.729248
488.0104, 3.484131
488.4926, 7.102783
488.9747, 15.95728
489.4568, 19.27856
489.9389, 15.33472
490.4210, 8.936279
490.9031, 4.878906
491.3853, 3.122070
491.8674, 4.144775
492.3495, 9.438477
492.8316, 15.83813
493.3137, 14.92334
493.7958, 7.379395
494.2780, 1.126709
494.7601, 2.890381
495.2422, 8.568359
495.7243, 9.521240
496.2064, 5.170654
496.6885, 1.342041
497.1707, 4.303955
497.6528, 10.14746
498.1349, 13.29492
498.6170, 9.884277
499.0992, 6.824707
499.5813, 9.108154
500.0634, 14.65430
500.5455, 18.38525
501.0276, 16.46484
501.5097, 14.34399
501.9919, 14.51904
502.4740, 17.59595
502.9561, 19.83447
503.4382, 20.76050
503.9203, 20.93750
504.4024, 20.82007
504.8846, 20.97510
505.3667, 19.57495
505.8488, 15.79053
506.3309, 10.87061
506.8130, 7.657471
507.2951, 6.548584
507.7773, 5.661865
508.2594, 3.274902
508.7415, 0.1306150
509.2236, 4.7851998E-02
509.7057, 4.073730
510.1878, 8.433350
510.6700, 10.08545
511.1521, 9.772949
511.6342, 9.837402
512.1163, 10.81982
512.5984, 11.58960
513.0806, 10.65649
513.5627, 8.625000
514.0448, 6.754150
514.5269, 5.531982
515.0090, 4.678223
515.4911, 3.551758
515.9733, 2.365234
516.4554, 2.629150
516.9375, 6.872559
517.4196, 11.25952
517.9017, 13.53711
518.3839, 13.01514
518.8660, 11.35840
519.3481, 6.999756
519.8302, 2.387695
520.3123, 0.4858400
520.7944, 4.152100
521.2766, 5.130371
521.7587, 0.5981450
522.2408, 7.259766
522.7229, 9.625000
523.2050, 5.253418
523.6871, 0.2202150
524.1693, 4.544434
524.6514, 7.645752
525.1335, 8.473877
525.6156, 6.663086
526.0977, 5.122803
526.5798, 8.745361
527.0620, 14.91650
527.5441, 16.12988
528.0262, 9.268066
528.5083, 0.7858890
528.9904, 2.257324
529.4725, 1.200684
529.9547, 0.8212890
530.4368, 2.797119
530.9189, 4.718018
531.4010, 6.941895
531.8831, 9.427979
532.3652, 10.43408
532.8474, 6.921875
533.3295, 3.463867
533.8116, 3.140137
534.2937, 9.449707
534.7758, 13.57910
535.2579, 15.07983
535.7401, 14.48413
536.2222, 12.28467
536.7043, 7.608398
537.1864, 3.302246
537.6685, 0.7124020
538.1506, 3.755371
538.6328, 1.219482
539.1149, 8.124268
539.5970, 15.78491
540.0791, 14.43066
540.5612, 6.480957
541.0433, 4.226807
541.5255, 8.626221
