##NAMES=Petersenite-(Ce)
##RRUFFID=R120035
##IDEAL CHEMISTRY=Na_4_Ce_2_(CO_3_)_5_
##LOCALITY=Mont Saint-Hilaire, Rouville RCM, Montérégie, Québec, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Pale yellow or pink (depending on light source) hexagonal prismatic crystals, associated with albite and aegirine.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120035
212.4677, 59.09831
212.9498, 60.03113
213.4319, 60.82246
213.9140, 61.74278
214.3962, 62.86935
214.8783, 63.86159
215.3604, 64.62975
215.8425, 65.25214
216.3246, 65.99765
216.8067, 66.89365
217.2889, 67.86888
217.7710, 68.88875
218.2531, 69.94975
218.7352, 71.05621
219.2173, 72.18088
219.6994, 73.36060
220.1816, 74.74838
220.6637, 76.50885
221.1458, 78.21939
221.6279, 79.55017
222.1100, 80.30403
222.5921, 81.24693
223.0743, 82.58572
223.5564, 84.16989
224.0385, 85.29607
224.5206, 85.66745
225.0027, 86.02322
225.4848, 86.84705
225.9670, 88.36368
226.4491, 89.82089
226.9312, 91.24022
227.4133, 92.57092
227.8954, 93.55167
228.3775, 93.84137
228.8597, 94.25534
229.3418, 95.36325
229.8239, 97.62132
230.3060, 99.47974
230.7881, 100.6237
231.2702, 100.9217
231.7524, 101.6184
232.2345, 102.8393
232.7166, 104.2470
233.1987, 105.6721
233.6808, 107.2517
234.1629, 108.5032
234.6451, 109.2533
235.1272, 109.6358
235.6093, 110.2676
236.0914, 111.2375
236.5735, 112.3314
237.0556, 113.4098
237.5378, 114.3358
238.0199, 115.5087
238.5020, 117.0862
238.9841, 118.9735
239.4662, 120.6927
239.9483, 122.3175
240.4305, 123.6445
240.9126, 124.4738
241.3947, 124.2617
241.8768, 124.8117
242.3589, 126.5789
242.8410, 129.1378
243.3232, 130.9574
243.8053, 131.5356
244.2874, 132.0490
244.7695, 133.1168
245.2516, 135.0953
245.7337, 136.8345
246.2159, 138.3199
246.6980, 139.5342
247.1801, 140.3727
247.6622, 140.6354
248.1443, 140.8228
248.6264, 141.1709
249.1086, 141.7611
249.5907, 142.2925
250.0728, 142.6225
250.5549, 142.9324
251.0370, 143.7494
251.5191, 145.3602
252.0013, 147.0378
252.4834, 148.4849
252.9655, 149.6191
253.4476, 150.7424
253.9297, 151.9718
254.4118, 153.1430
254.8940, 153.8732
255.3761, 153.9746
255.8582, 153.9628
256.3403, 153.9816
256.8224, 153.9065
257.3046, 154.2816
257.7867, 155.2708
258.2688, 156.5903
