##NAMES=Kamchatkite
##RRUFFID=R070039
##IDEAL CHEMISTRY=KCu_3_O(SO_4_)_2_Cl
##LOCALITY=Great Tolbachik Eruption (1975-6), Tolbachik Volcano, Kamchatka Peninsula, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Light apple green poorly formed crystals, co-type material
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070039
174.2877, 721.0090
174.7699, 735.6123
175.2520, 746.6762
175.7341, 749.3412
176.2162, 755.9337
176.6983, 787.8541
177.1804, 848.3683
177.6626, 913.1973
178.1447, 966.6013
178.6268, 1008.117
179.1089, 1033.087
179.5910, 1027.582
180.0731, 1005.536
180.5553, 999.6227
181.0374, 1019.470
181.5195, 1038.757
182.0016, 1022.206
182.4837, 972.1423
182.9658, 905.6644
183.4479, 823.5226
183.9301, 732.1176
184.4122, 655.5872
184.8943, 598.7454
185.3764, 557.5907
185.8585, 524.1013
186.3406, 498.6134
186.8228, 477.4365
187.3049, 459.4521
187.7870, 444.1288
188.2691, 427.2594
188.7512, 405.2942
189.2333, 381.3814
189.7155, 365.5131
190.1976, 357.8274
190.6797, 357.4358
191.1618, 367.4785
191.6439, 387.3984
192.1260, 403.2435
192.6082, 407.1305
193.0903, 400.5781
193.5724, 397.1650
194.0545, 396.4825
194.5366, 399.7532
195.0187, 413.8270
195.5009, 440.1694
195.9830, 457.6557
196.4651, 448.4545
196.9472, 412.2935
197.4293, 391.4435
197.9114, 391.6451
198.3936, 404.2376
198.8757, 409.5756
199.3578, 406.4653
199.8399, 401.4258
200.3220, 397.7535
200.8041, 395.2832
201.2863, 395.5001
201.7684, 397.2181
202.2505, 402.0835
202.7326, 418.7155
203.2147, 450.2051
203.6968, 485.0055
204.1790, 513.6287
204.6611, 535.3809
205.1432, 553.7994
205.6253, 567.0825
206.1074, 576.3049
206.5895, 594.6796
207.0716, 625.0161
207.5538, 659.7115
208.0359, 686.1939
208.5180, 696.6766
209.0001, 725.7026
209.4822, 789.9780
209.9643, 893.2482
210.4465, 975.2659
210.9286, 1028.869
211.4107, 1069.316
211.8928, 1121.216
212.3749, 1188.195
212.8570, 1255.644
213.3392, 1312.992
213.8213, 1349.806
214.3034, 1422.129
214.7855, 1545.621
215.2676, 1694.596
215.7497, 1808.112
216.2319, 1872.754
216.7140, 1926.932
217.1961, 1988.552
217.6782, 2057.904
218.1603, 2130.755
218.6424, 2204.867
219.1246, 2281.376
219.6067, 2371.391
220.0888, 2484.459
220.5709, 2596.769
221.0530, 2692.864
221.5351, 2761.439
222.0173, 2840.781
222.4994, 2936.750
222.9815, 3048.151
223.4636, 3159.129
223.9457, 3272.088
224.4278, 3382.027
224.9100, 3488.718
225.3921, 3597.203
225.8742, 3690.960
226.3563, 3762.423
226.8384, 3812.041
227.3205, 3874.194
227.8027, 3961.334
228.2848, 4048.951
228.7669, 4113.152
229.2490, 4158.356
229.7311, 4174.065
230.2132, 4163.013
230.6953, 4127.768
231.1775, 4031.265
231.6596, 3856.432
232.1417, 3634.187
232.6238, 3404.667
233.1059, 3161.310
233.5880, 2921.872
234.0702, 2691.140
234.5523, 2469.520
235.0344, 2254.212
235.5165, 2040.134
235.9986, 1835.728
236.4807, 1652.706
236.9629, 1496.626
237.4450, 1355.530
237.9271, 1224.327
238.4092, 1101.642
238.8913, 997.2297
239.3734, 913.8605
239.8556, 847.2028
240.3377, 786.6870
240.8198, 733.3167
241.3019, 684.6338
241.7840, 639.8449
242.2661, 601.0447
242.7483, 561.7098
243.2304, 516.3998
243.7125, 471.0206
244.1946, 447.7438
244.6767, 464.5072
245.1588, 478.7305
245.6410, 465.6517
246.1231, 409.0864
246.6052, 360.6693
247.0873, 322.7229
247.5694, 295.0485
248.0515, 279.3334
248.5337, 285.0616
249.0158, 290.0106
249.4979, 279.1832
249.9800, 242.7893
250.4621, 209.2576
250.9442, 181.1376
251.4263, 158.4850
251.9085, 139.1389
252.3906, 125.0444
252.8727, 112.1330
253.3548, 96.73920
253.8369, 75.28149
254.3190, 59.55524
254.8012, 51.60834
255.2833, 50.35071
255.7654, 50.17792
256.2475, 53.67383
256.7296, 56.26642
257.2118, 52.71924
257.6939, 39.18481
258.1760, 28.40613
258.6581, 23.92603
259.1402, 25.36798
259.6223, 21.37604
260.1045, 9.054382
260.5866, 5.510986
261.0687, 16.05804
261.5508, 21.52026
262.0329, 24.11285
262.5150, 23.60645
262.9971, 20.12274
263.4792, 17.06097
263.9614, 13.78461
264.4435, 12.57776
264.9256, 17.26123
265.4077, 30.70276
265.8898, 36.87115
266.3719, 30.46686
266.8541, 13.17566
267.3362, 1.593445
267.8183, 4.326355
268.3004, 7.243652
268.7825, 8.718079
269.2646, 7.146851
269.7468, 6.613831
270.2289, 9.203064
270.7110, 15.27185
271.1931, 20.57147
271.6752, 26.00092
272.1573, 29.25482
272.6395, 26.37750
273.1216, 16.35602
273.6037, 4.564331
274.0858, 7.227722
274.5679, 18.99475
275.0500, 32.99597
275.5322, 52.03735
276.0143, 68.56897
276.4964, 68.66144
276.9785, 49.76288
277.4606, 29.75659
277.9427, 15.68500
278.4249, 7.621704
278.9070, 0.2068480
279.3891, 7.506226
279.8712, 12.83942
280.3533, 8.038147
280.8354, 8.361206
281.3176, 18.82031
281.7997, 9.407715
282.2818, 18.45605
282.7639, 28.53748
283.2460, 16.11865
283.7281, 4.622681
284.2103, 9.783325
284.6924, 1.012085
285.1745, 11.10413
285.6566, 10.79108
286.1387, 1.568115
286.6208, 6.025330
287.1030, 12.72668
287.5851, 14.54230
288.0672, 0.3727420
288.5493, 31.10718
289.0314, 55.27081
289.5135, 57.54279
289.9957, 42.41559
290.4778, 28.04047
290.9599, 14.90662
291.4420, 4.872620
291.9241, 1.3245000E-02
292.4063, 0.4141850
292.8884, 7.308044
293.3705, 30.37695
293.8526, 60.88824
294.3347, 71.24335
294.8168, 55.33154
295.2990, 31.59296
295.7811, 22.62830
296.2632, 26.53925
296.7453, 33.47980
297.2274, 40.12830
297.7095, 45.75824
298.1917, 48.39050
298.6738, 47.41510
299.1559, 45.14575
299.6380, 44.64709
300.1201, 45.23578
300.6022, 44.56616
301.0844, 38.04120
301.5665, 30.47217
302.0486, 30.48694
302.5307, 40.83215
303.0128, 51.44293
303.4949, 50.46478
303.9771, 41.55090
304.4592, 34.59052
304.9413, 39.77301
305.4234, 47.40656
305.9055, 44.33533
306.3876, 26.19885
306.8697, 9.383179
307.3518, 8.283875
307.8340, 18.06183
308.3161, 27.90466
308.7982, 35.50360
309.2803, 39.23895
309.7624, 36.63794
310.2445, 26.11060
310.7267, 14.87982
311.2088, 4.768555
311.6909, 2.874817
312.1730, 5.373657
312.6551, 4.950928
313.1372, 16.30701
313.6194, 20.46924
314.1015, 15.09985
314.5836, 8.778503
315.0657, 3.853821
315.5478, 0.9020390
316.0299, 0.8751220
316.5121, 4.120361
316.9942, 10.35406
317.4763, 21.97131
317.9584, 41.76178
318.4405, 54.04889
318.9226, 47.82336
319.4048, 32.46454
319.8869, 20.33722
320.3690, 14.90369
320.8511, 13.15503
321.3332, 16.51178
321.8153, 27.52429
322.2975, 30.71484
322.7796, 10.66638
323.2617, 15.00940
323.7438, 25.21155
324.2259, 3.612366
324.7080, 29.44598
325.1902, 38.20532
325.6723, 24.01337
326.1544, 19.62372
326.6365, 36.22900
327.1186, 59.56366
327.6007, 74.66669
328.0829, 73.69946
328.5650, 73.21820
329.0471, 76.66418
329.5292, 84.67896
330.0113, 90.89838
330.4934, 95.04083
330.9756, 97.53003
331.4577, 98.37921
331.9398, 94.52582
332.4219, 93.59766
332.9040, 99.41107
333.3861, 111.6650
333.8683, 112.2103
334.3504, 95.24469
334.8325, 76.72571
335.3146, 71.85376
335.7967, 86.45526
336.2788, 95.61298
336.7610, 92.48407
337.2431, 79.05469
337.7252, 73.77026
338.2073, 78.57098
338.6894, 86.79388
339.1715, 92.87341
339.6537, 97.09998
340.1358, 104.8883
340.6179, 118.0666
341.1000, 134.4603
341.5821, 145.2772
342.0642, 150.4510
342.5464, 152.1701
343.0285, 151.7653
343.5106, 148.9783
343.9927, 139.5052
344.4748, 119.1912
344.9569, 95.56818
345.4391, 86.86279
345.9212, 94.45374
346.4033, 104.1034
346.8854, 105.6234
347.3675, 101.2961
347.8496, 97.42023
348.3318, 94.60828
348.8139, 93.19318
349.2960, 92.05457
349.7781, 91.77179
350.2602, 96.33881
350.7423, 113.5840
351.2245, 136.2592
351.7065, 151.6998
352.1887, 157.7906
352.6708, 158.4620
353.1529, 154.5078
353.6350, 147.7915
354.1171, 143.5330
354.5992, 146.5821
355.0814, 152.6812
355.5635, 159.0603
356.0456, 167.0385
356.5277, 170.6799
357.0098, 157.2517
357.4919, 137.9365
357.9741, 131.2934
358.4562, 160.2903
358.9383, 194.6299
359.4204, 215.4153
359.9025, 219.4887
360.3846, 217.3054
360.8668, 209.2311
361.3489, 199.5339
361.8310, 193.6970
362.3131, 191.4368
362.7952, 194.7131
363.2773, 212.9212
363.7595, 246.5320
364.2416, 263.3591
364.7237, 240.1251
365.2058, 204.1858
365.6879, 179.1711
366.1700, 175.1259
366.6522, 176.9281
367.1343, 183.9630
367.6164, 195.8329
368.0985, 207.4586
368.5806, 226.2108
369.0627, 238.7380
369.5449, 236.7609
370.0270, 206.4444
370.5091, 184.3442
370.9912, 173.7906
371.4733, 172.8882
371.9554, 175.9868
372.4376, 187.5737
372.9197, 196.3460
373.4018, 194.6022
373.8839, 176.1057
374.3660, 168.3683
374.8481, 176.1913
375.3303, 192.9783
375.8124, 203.3135
376.2945, 205.7399
376.7766, 205.5448
377.2587, 203.4844
377.7408, 199.2555
378.2230, 201.2253
378.7051, 212.0122
379.1872, 224.3000
379.6693, 225.6221
380.1514, 215.9342
380.6335, 205.4122
381.1157, 199.8649
381.5978, 197.6033
382.0799, 189.6818
382.5620, 174.5359
383.0441, 159.2426
383.5262, 151.9084
384.0084, 151.2252
384.4905, 153.2982
384.9726, 157.7612
385.4547, 162.8213
385.9368, 169.1861
386.4189, 176.4042
386.9011, 175.4786
387.3832, 147.3422
387.8653, 109.8865
388.3474, 90.49341
388.8295, 108.6062
389.3116, 132.3923
389.7938, 139.7518
390.2759, 132.6776
390.7580, 119.7759
391.2401, 91.29486
391.7222, 67.10846
392.2043, 66.23071
392.6865, 108.5801
393.1686, 142.6124
393.6507, 142.6891
394.1328, 120.3887
394.6149, 100.1730
395.0970, 86.10815
395.5792, 78.42017
396.0613, 79.26904
396.5434, 93.50531
397.0255, 101.9993
397.5076, 101.4706
397.9897, 94.23468
398.4718, 83.19952
398.9539, 56.67523
399.4361, 39.48755
399.9182, 39.90863
400.4003, 60.51550
400.8824, 74.25311
401.3645, 82.82886
401.8466, 82.92206
402.3288, 68.09741
402.8109, 25.73181
403.2930, 0.5106810
403.7751, 6.1400998E-02
404.2572, 22.43219
404.7393, 41.18030
405.2215, 57.69940
405.7036, 66.51434
406.1857, 58.45404
406.6678, 31.91016
407.1499, 19.71448
407.6320, 29.77167
408.1142, 50.20251
408.5963, 56.43445
409.0784, 48.50275
409.5605, 38.55591
410.0426, 34.92407
410.5247, 34.88239
411.0069, 27.18036
411.4890, 9.459106
411.9711, 7.408081
412.4532, 7.452026
412.9353, 4.244629
413.4174, 12.76300
413.8996, 9.018188
414.3817, 0.3251950
414.8638, 6.628357
415.3459, 9.783203
415.8280, 15.61084
416.3102, 37.30109
416.7923, 61.12469
417.2744, 70.22693
417.7565, 48.99200
418.2386, 21.13190
418.7207, 10.58942
419.2029, 42.02142
419.6850, 52.60321
420.1671, 11.36957
420.6492, 37.70642
421.1313, 67.20398
421.6134, 65.05267
422.0956, 54.58606
422.5777, 31.57904
423.0598, 3.234741
423.5419, 15.14758
424.0240, 11.80347
424.5061, 7.923706
424.9883, 10.09546
425.4704, 20.69250
425.9525, 28.74872
426.4346, 34.94293
426.9167, 38.18140
427.3988, 35.88684
427.8810, 23.73334
428.3631, 16.54889
428.8452, 17.43103
429.3273, 26.18408
429.8094, 43.61456
430.2915, 74.17096
430.7737, 101.2939
431.2558, 106.8425
431.7379, 90.83118
432.2200, 82.31531
432.7021, 87.26855
433.1842, 99.90985
433.6664, 109.8441
434.1485, 117.0404
434.6306, 122.0961
435.1127, 121.2806
435.5948, 118.9578
436.0769, 127.2532
436.5591, 148.8756
437.0412, 172.3178
437.5233, 187.2928
438.0054, 195.1702
438.4875, 199.0132
438.9696, 187.6637
439.4518, 181.3480
439.9339, 204.6678
440.4160, 256.7021
440.8981, 300.6284
441.3802, 316.2545
441.8623, 314.1623
442.3444, 304.0145
442.8265, 276.6943
443.3087, 255.0425
443.7908, 247.6539
444.2729, 251.7828
444.7550, 257.0474
445.2371, 263.4482
445.7192, 268.9470
446.2014, 273.6142
446.6835, 282.7902
447.1656, 279.6510
447.6477, 255.6728
448.1298, 223.1816
448.6119, 200.8015
449.0941, 190.8143
449.5762, 187.1895
450.0583, 190.7933
450.5404, 201.7358
451.0225, 204.8722
451.5046, 198.5576
451.9868, 188.4594
452.4689, 178.6674
452.9510, 168.9569
453.4331, 162.5860
453.9152, 160.2227
454.3973, 161.3320
454.8795, 166.2619
455.3616, 174.8336
455.8437, 181.8110
456.3258, 184.7546
456.8079, 183.6288
457.2900, 175.1403
457.7722, 156.5547
458.2543, 143.2281
458.7364, 156.4251
459.2185, 186.7402
459.7006, 214.3376
460.1827, 231.5906
460.6649, 242.3704
461.1470, 247.1619
461.6291, 246.9482
462.1112, 247.9724
462.5933, 254.1133
463.0754, 261.5786
463.5576, 267.0560
464.0397, 264.8307
464.5218, 266.9385
465.0039, 281.5085
465.4860, 303.0878
465.9681, 315.9996
466.4503, 312.6405
466.9324, 305.2147
467.4145, 297.0085
467.8966, 286.7004
468.3787, 280.3627
468.8608, 282.1194
469.3430, 284.3533
469.8251, 276.1738
470.3072, 253.9954
470.7893, 235.3458
471.2714, 225.0178
471.7535, 220.8606
472.2357, 210.2902
472.7178, 191.6638
473.1999, 173.8599
473.6820, 166.4424
474.1641, 166.1984
474.6462, 154.4437
475.1284, 126.8287
475.6105, 98.46234
476.0926, 90.69745
476.5747, 98.86572
477.0568, 105.6490
477.5389, 101.7968
478.0211, 92.68555
478.5032, 80.74597
478.9853, 66.37610
479.4674, 57.33087
479.9495, 64.10632
480.4316, 77.22388
480.9138, 84.99750
481.3959, 67.40625
481.8780, 59.54047
482.3601, 83.81573
482.8422, 130.3629
483.3243, 166.8594
483.8065, 180.3842
484.2886, 186.5831
484.7707, 187.8332
485.2528, 169.6746
485.7349, 185.8020
486.2170, 261.7316
486.6991, 356.3663
487.1812, 419.9892
487.6634, 436.1672
488.1455, 456.4634
488.6276, 491.5846
489.1097, 539.9028
489.5918, 589.6092
490.0739, 642.1004
490.5561, 692.5800
491.0382, 735.2891
491.5203, 771.4645
492.0024, 812.8129
492.4845, 861.0012
492.9666, 914.2094
493.4488, 976.2567
493.9309, 1043.642
494.4130, 1101.790
494.8951, 1133.600
495.3772, 1157.916
495.8593, 1205.131
496.3415, 1274.717
496.8236, 1336.629
497.3057, 1372.387
497.7878, 1389.745
498.2699, 1396.911
498.7520, 1392.525
499.2342, 1383.078
499.7163, 1378.308
500.1984, 1370.565
500.6805, 1341.197
501.1626, 1267.497
501.6447, 1188.260
502.1269, 1115.436
502.6090, 1051.163
503.0911, 990.2285
503.5732, 926.5917
504.0553, 871.2842
504.5374, 837.0753
505.0196, 832.6188
505.5017, 825.0349
505.9838, 803.3524
506.4659, 778.3054
506.9480, 787.5767
507.4301, 835.3793
507.9123, 890.0175
508.3944, 939.7031
508.8765, 983.2310
509.3586, 1006.759
509.8407, 1005.664
510.3228, 1009.195
510.8050, 1056.936
511.2871, 1135.109
511.7692, 1208.987
512.2513, 1266.163
512.7334, 1314.412
513.2155, 1357.059
513.6976, 1396.025
514.1797, 1438.785
514.6619, 1494.510
515.1440, 1552.353
515.6261, 1604.187
516.1082, 1646.854
516.5903, 1689.957
517.0724, 1746.895
517.5546, 1803.025
518.0367, 1839.756
518.5188, 1840.244
519.0009, 1833.379
519.4830, 1825.559
519.9651, 1814.692
520.4473, 1785.937
520.9294, 1737.223
521.4115, 1676.946
521.8936, 1606.804
522.3757, 1526.601
522.8578, 1442.419
523.3400, 1352.721
523.8221, 1263.440
524.3042, 1183.772
524.7863, 1112.613
525.2684, 1046.816
525.7505, 983.9222
526.2327, 927.0907
526.7148, 887.0580
527.1969, 861.9223
527.6790, 831.1635
528.1611, 769.6858
528.6432, 699.6987
529.1254, 646.9674
529.6075, 619.3608
530.0896, 597.8257
530.5717, 575.8359
531.0538, 551.9976
531.5359, 523.7732
532.0181, 490.1267
532.5002, 453.4109
532.9823, 409.9243
533.4644, 359.4196
533.9465, 321.5132
534.4286, 298.9331
534.9108, 285.2375
535.3929, 278.2731
535.8750, 283.0706
536.3571, 278.8160
536.8392, 261.3609
537.3214, 240.6278
537.8035, 229.8206
538.2856, 229.0263
538.7677, 240.7361
539.2498, 273.5460
539.7319, 315.8104
540.2141, 330.6940
540.6962, 319.4224
541.1783, 307.3134
541.6604, 310.4071
542.1425, 325.6154
542.6246, 352.1503
543.1068, 393.6147
543.5889, 429.5558
544.0710, 440.1594
544.5531, 436.4513
545.0352, 434.7408
545.5173, 442.2217
545.9995, 451.5177
546.4816, 464.3591
546.9637, 478.8835
547.4458, 481.3993
547.9279, 458.2638
548.4100, 432.3445
548.8922, 412.9800
549.3743, 399.7557
549.8564, 396.0150
550.3385, 410.0532
550.8206, 424.5002
551.3027, 413.4758
551.7849, 371.6221
552.2670, 336.1248
552.7491, 316.2971
553.2312, 307.8347
553.7133, 302.4656
554.1954, 299.9128
554.6776, 290.5323
555.1597, 260.2198
555.6418, 220.9160
556.1239, 198.3095
556.6060, 196.1452
557.0881, 191.6470
557.5703, 158.8069
558.0524, 114.8519
558.5345, 83.16254
559.0166, 80.65283
559.4987, 80.74249
559.9808, 74.56689
560.4630, 63.00806
560.9451, 48.98248
561.4272, 24.03156
561.9093, 5.459412
562.3914, 2.238464
562.8735, 18.31671
563.3557, 22.91351
563.8378, 9.425171
564.3199, 7.137207
564.8020, 14.10919
565.2841, 10.51550
565.7662, 1.564697
566.2484, 15.03735
566.7305, 32.32288
567.2126, 34.04675
567.6947, 21.68445
568.1768, 12.48206
568.6589, 18.39917
569.1411, 31.22241
569.6232, 36.16583
570.1053, 33.74121
570.5874, 32.84790
571.0695, 44.51666
571.5516, 58.41840
572.0338, 63.54004
572.5159, 54.60400
572.9980, 44.17542
573.4801, 41.29340
573.9622, 38.81079
574.4443, 26.38409
574.9265, 16.67035
575.4086, 48.36176
575.8907, 59.27747
576.3728, 51.47363
576.8549, 40.17603
577.3370, 21.67950
577.8192, 7.362854
578.3013, 6.091125
578.7834, 18.93512
579.2655, 24.78790
579.7476, 22.45544
580.2297, 16.79681
580.7119, 14.67499
581.1940, 14.48688
581.6761, 9.175659
582.1582, 5.680969
582.6403, 22.67120
583.1224, 34.05072
583.6046, 40.50952
584.0867, 44.14178
584.5688, 43.09973
585.0509, 41.86768
585.5330, 44.93707
586.0151, 53.04279
586.4973, 56.26904
586.9794, 47.55334
587.4615, 35.83972
587.9436, 27.71472
588.4257, 28.87646
588.9078, 24.23370
589.3900, 10.37683
589.8721, 7.124756
590.3542, 19.05853
590.8363, 24.99139
591.3184, 27.40961
591.8005, 27.48529
592.2827, 24.43488
592.7648, 14.75861
593.2469, 1.506165
593.7290, 20.96478
594.2111, 41.71515
594.6932, 65.21973
595.1754, 92.43616
595.6575, 123.6310
596.1396, 154.5473
