##NAMES=Herbertsmithite
##RRUFFID=R070099
##IDEAL CHEMISTRY=Cu_3_Zn(OH)_6_Cl_2_
##LOCALITY=San Francisco mine, Sierra Gorda, Antofagasta, Chile
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Blue-green crystals scattered on matrix, showing a range of habits from hexagonal plates to pseudo-octahedra
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070099
222.0175, 889.5938
222.4996, 896.9292
222.9818, 892.8391
223.4639, 899.8911
223.9460, 924.2397
224.4281, 955.5889
224.9102, 977.5798
225.3923, 981.7991
225.8745, 989.6235
226.3566, 1009.103
226.8387, 1044.763
227.3208, 1075.125
227.8029, 1100.822
228.2850, 1120.991
228.7672, 1132.588
229.2493, 1130.112
229.7314, 1130.115
230.2135, 1139.835
230.6956, 1164.548
231.1777, 1182.105
231.6599, 1191.297
232.1420, 1194.098
232.6241, 1195.184
233.1062, 1198.290
233.5883, 1194.552
234.0704, 1178.859
234.5526, 1145.284
235.0347, 1109.278
235.5168, 1069.376
235.9989, 1029.015
236.4810, 995.9336
236.9631, 979.3740
237.4453, 957.7407
237.9274, 919.4761
238.4095, 856.8174
238.8916, 794.7378
239.3737, 728.9517
239.8558, 664.1519
240.3380, 617.5049
240.8201, 600.1372
241.3022, 586.0669
241.7843, 561.3083
242.2664, 520.1011
242.7485, 479.5657
243.2307, 439.5310
243.7128, 400.6667
244.1949, 365.3552
244.6770, 331.9297
245.1591, 304.0396
245.6412, 285.2085
246.1233, 282.4504
246.6055, 273.7017
247.0876, 254.5615
247.5697, 227.1868
248.0518, 206.0266
248.5339, 194.7300
249.0160, 184.5405
249.4982, 168.1436
249.9803, 137.3110
250.4624, 118.8635
250.9445, 121.4651
251.4266, 140.7815
251.9087, 146.3022
252.3909, 131.2485
252.8730, 111.2688
253.3551, 97.80005
253.8372, 92.86646
254.3193, 89.62329
254.8014, 88.22437
255.2836, 88.24658
255.7657, 85.35107
256.2478, 77.57324
256.7299, 69.57397
257.2120, 64.96265
257.6941, 64.85010
258.1762, 65.48315
258.6584, 66.78125
259.1405, 68.57495
259.6226, 68.30347
260.1047, 63.61035
260.5868, 60.33740
261.0689, 66.09595
261.5511, 88.63940
262.0332, 97.09326
262.5153, 79.70728
262.9974, 40.61865
263.4795, 21.40845
263.9616, 29.77710
264.4438, 45.60400
264.9259, 51.41235
265.4080, 44.10254
265.8901, 36.61938
266.3722, 31.23535
266.8543, 27.78149
267.3365, 24.16211
267.8186, 19.85327
268.3007, 16.43042
268.7828, 16.11304
269.2649, 20.11450
269.7470, 21.83618
270.2292, 17.86621
270.7113, 9.611084
271.1934, 12.98486
271.6755, 32.85767
272.1576, 52.98560
272.6397, 56.00879
273.1219, 38.05762
273.6040, 24.37402
274.0861, 22.69531
274.5682, 30.36743
275.0503, 24.93628
275.5324, 1.461182
276.0146, 20.89893
276.4967, 19.99341
276.9788, 7.668701
277.4609, 28.03345
277.9430, 33.50903
278.4251, 25.49902
278.9073, 8.576660
279.3894, 19.71216
279.8715, 46.93945
280.3536, 59.25659
280.8357, 56.12549
281.3178, 55.13867
281.8000, 62.37476
282.2821, 74.39697
282.7642, 76.48242
283.2463, 67.58716
283.7284, 54.45068
284.2105, 42.23779
284.6927, 30.95410
285.1748, 20.52759
285.6569, 9.496338
286.1390, 0.1367190
286.6211, 7.9346001E-02
287.1032, 10.63745
287.5853, 22.85376
288.0674, 27.62280
288.5496, 25.95825
289.0317, 25.95020
289.5138, 30.08447
289.9959, 36.73511
290.4780, 44.25830
290.9601, 52.91699
291.4423, 55.93140
291.9244, 43.40845
292.4065, 19.11719
292.8886, 1.502197
293.3707, 15.28564
293.8528, 22.85889
294.3350, 22.38647
294.8171, 14.10596
295.2992, 8.353271
295.7813, 17.48364
296.2634, 35.93237
296.7455, 47.93237
297.2277, 49.08350
297.7098, 43.13794
298.1919, 32.14331
298.6740, 16.94556
299.1561, 6.139160
299.6382, 11.35596
300.1204, 24.86938
300.6025, 29.92163
301.0846, 16.60376
301.5667, 2.725830
302.0488, 14.75439
302.5309, 48.09912
303.0131, 77.32812
303.4952, 81.88354
303.9773, 72.84766
304.4594, 64.63037
304.9415, 57.74634
305.4236, 56.84717
305.9058, 75.35352
306.3879, 106.6121
306.8700, 125.2522
307.3521, 99.22534
307.8342, 59.91309
308.3163, 42.83569
308.7985, 62.96802
309.2806, 88.79321
309.7627, 98.91455
310.2448, 96.85938
310.7269, 92.03931
311.2090, 82.11377
311.6912, 75.64966
312.1733, 80.92920
312.6554, 103.2058
313.1375, 127.6091
313.6196, 152.3816
314.1017, 173.7983
314.5839, 184.0867
315.0660, 169.7605
315.5481, 150.3870
316.0302, 137.7100
316.5123, 134.7332
316.9944, 133.9956
317.4766, 127.3601
317.9587, 121.6658
318.4408, 128.7297
318.9229, 166.1355
319.4050, 205.9248
319.8871, 237.5850
320.3692, 260.5833
320.8513, 272.7632
321.3335, 261.0928
321.8156, 241.6790
322.2977, 236.1404
322.7798, 266.9465
323.2619, 295.0627
323.7440, 305.1287
324.2262, 290.2625
324.7083, 286.4995
325.1904, 306.5110
325.6725, 335.8289
326.1546, 358.4268
326.6367, 373.8193
327.1189, 382.2224
327.6010, 378.6074
328.0831, 359.8071
328.5652, 355.3708
329.0473, 372.4163
329.5294, 400.1465
330.0116, 428.9978
330.4937, 459.4082
330.9758, 489.7820
331.4579, 520.7563
331.9400, 552.4282
332.4221, 578.5088
332.9043, 594.8513
333.3864, 609.1851
333.8685, 625.7927
334.3506, 641.7568
334.8327, 673.7368
335.3148, 727.9136
335.7970, 798.6865
336.2791, 857.5339
336.7612, 897.3953
337.2433, 937.7869
337.7254, 997.7324
338.2076, 1083.684
338.6897, 1159.573
339.1718, 1218.304
339.6539, 1264.932
340.1360, 1316.694
340.6181, 1372.016
341.1003, 1441.758
341.5824, 1534.634
342.0645, 1651.500
342.5466, 1771.920
343.0287, 1895.081
343.5108, 2021.888
343.9930, 2150.400
344.4751, 2279.934
344.9572, 2425.066
345.4393, 2597.811
345.9214, 2794.292
346.4035, 3004.495
346.8857, 3227.752
347.3678, 3460.154
347.8499, 3698.518
348.3320, 3942.248
348.8141, 4187.326
349.2962, 4418.222
349.7784, 4655.054
350.2605, 4947.030
350.7426, 5298.759
351.2247, 5667.908
351.7068, 6010.819
352.1889, 6339.960
352.6710, 6682.507
353.1531, 7057.351
353.6353, 7451.023
354.1174, 7852.357
354.5995, 8261.147
355.0816, 8676.761
355.5637, 9095.309
356.0458, 9518.874
356.5280, 9941.870
357.0101, 10374.91
357.4922, 10796.28
357.9743, 11203.73
358.4564, 11592.88
358.9385, 11937.60
359.4207, 12220.72
359.9028, 12452.25
360.3849, 12640.03
360.8670, 12801.29
361.3491, 12898.83
361.8312, 12935.02
362.3134, 12900.05
362.7955, 12762.17
363.2776, 12481.30
363.7597, 12117.05
364.2418, 11695.61
364.7239, 11209.89
365.2061, 10685.00
365.6882, 10120.50
366.1703, 9522.362
366.6524, 8906.830
367.1345, 8237.925
367.6166, 7586.218
368.0988, 6963.651
368.5809, 6360.024
369.0630, 5812.556
369.5451, 5332.354
370.0272, 4899.344
370.5093, 4485.148
370.9915, 4080.616
371.4736, 3714.782
371.9557, 3402.187
372.4378, 3142.244
372.9199, 2900.535
373.4020, 2673.373
373.8842, 2465.918
374.3663, 2287.934
374.8484, 2143.807
375.3305, 2009.231
375.8126, 1882.599
376.2947, 1762.818
376.7769, 1653.476
377.2590, 1553.985
377.7411, 1466.251
378.2232, 1389.049
378.7053, 1320.710
379.1874, 1264.941
379.6696, 1223.876
380.1517, 1197.234
380.6338, 1183.875
381.1159, 1182.773
381.5980, 1186.716
382.0801, 1191.402
382.5623, 1197.981
383.0444, 1209.041
383.5265, 1224.342
384.0086, 1248.956
384.4907, 1290.237
384.9728, 1344.180
385.4549, 1401.891
385.9370, 1463.008
386.4192, 1526.400
386.9013, 1585.642
387.3834, 1638.931
387.8655, 1697.379
388.3476, 1769.503
388.8297, 1852.221
389.3119, 1940.458
389.7940, 2033.404
390.2761, 2131.349
390.7582, 2237.753
391.2403, 2351.370
391.7224, 2462.399
392.2046, 2561.649
392.6867, 2658.605
393.1688, 2761.280
393.6509, 2876.708
394.1330, 2990.759
394.6151, 3102.555
395.0973, 3211.046
395.5794, 3312.265
396.0615, 3406.909
396.5436, 3493.845
397.0257, 3574.354
397.5078, 3656.920
397.9900, 3715.254
398.4721, 3737.221
398.9542, 3736.473
399.4363, 3734.470
399.9184, 3750.821
400.4005, 3741.103
400.8827, 3690.076
401.3648, 3593.126
401.8469, 3493.745
402.3290, 3394.726
402.8111, 3290.210
403.2932, 3172.958
403.7754, 3041.187
404.2575, 2904.689
404.7396, 2763.863
405.2217, 2620.487
405.7038, 2486.528
406.1859, 2362.369
406.6681, 2246.184
407.1502, 2139.057
407.6323, 2042.407
408.1144, 1940.964
408.5965, 1832.070
409.0786, 1718.994
409.5608, 1605.983
410.0429, 1493.230
410.5250, 1389.524
411.0071, 1302.600
411.4892, 1228.174
411.9713, 1155.794
412.4535, 1084.410
412.9356, 1014.092
413.4177, 939.9810
413.8998, 865.7939
414.3819, 801.2478
414.8640, 756.4287
415.3462, 718.5146
415.8283, 674.0369
416.3104, 623.2620
416.7925, 573.4705
417.2746, 522.8833
417.7567, 477.7986
418.2388, 444.3145
418.7209, 433.6165
419.2031, 422.6731
419.6852, 399.5391
420.1673, 368.1787
420.6494, 341.2913
421.1315, 333.6843
421.6136, 322.4751
422.0958, 292.7422
422.5779, 227.1191
423.0600, 181.7939
423.5421, 181.8525
424.0242, 200.7144
424.5063, 199.2786
424.9885, 157.8899
425.4706, 119.6707
425.9527, 94.77051
426.4348, 83.82690
426.9169, 70.50757
427.3990, 50.00098
427.8812, 33.16797
428.3633, 31.14722
428.8454, 50.26294
429.3275, 61.57422
429.8096, 59.35791
430.2917, 47.58325
430.7739, 39.30371
431.2560, 35.03247
431.7381, 31.14453
432.2202, 26.06909
432.7023, 19.69653
433.1844, 11.16235
433.6666, 0.3637700
434.1487, 12.83301
434.6308, 33.27026
435.1129, 58.31592
435.5950, 74.20850
436.0771, 65.07471
436.5593, 47.03296
437.0414, 49.38354
437.5235, 71.57080
438.0056, 92.68311
438.4877, 95.23267
438.9698, 87.10767
439.4520, 78.88403
439.9341, 71.86792
440.4162, 67.78735
440.8983, 73.44507
441.3804, 84.07056
441.8625, 84.77466
442.3447, 55.78442
442.8268, 24.52710
443.3089, 8.710693
443.7910, 16.31177
444.2731, 21.31689
444.7552, 16.92529
445.2374, 7.015869
445.7195, 3.181396
446.2016, 16.87891
446.6837, 26.81372
447.1658, 28.95874
447.6479, 23.19165
448.1301, 24.43164
448.6122, 34.10254
449.0943, 49.28198
449.5764, 68.70898
450.0585, 94.76245
450.5406, 117.9438
451.0227, 135.3994
451.5049, 150.6716
451.9870, 173.7529
452.4691, 205.6958
452.9512, 238.8015
453.4333, 270.6545
453.9154, 300.9805
