##NAMES=Corundum
##RRUFFID=X080005
##IDEAL CHEMISTRY=Al_2_O_3_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted pink sapphire gemstone, 2.51 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080005
262.5241, 1.083538
263.0063, 1.437649
263.4884, 1.251534
263.9705, 0.5970880
264.4526, 0.1083640
264.9347, 0.1471900
265.4168, 0.5049930
265.8990, 0.7357830
266.3811, 0.7911570
266.8632, 0.8167420
267.3453, 0.9717330
267.8274, 1.223789
268.3095, 1.299839
268.7917, 0.9720190
269.2738, 0.5355530
269.7559, 0.3965070
270.2380, 0.6054760
270.7201, 0.8794630
271.2022, 1.055496
271.6844, 1.140701
272.1665, 1.155041
272.6486, 1.035934
273.1307, 0.9086420
273.6128, 0.9254950
274.0949, 1.087112
274.5771, 1.231934
275.0592, 1.261341
275.5413, 1.184914
276.0234, 1.048241
276.5055, 0.7780570
276.9876, 0.5591050
277.4698, 0.5423930
277.9519, 0.6932790
278.4340, 0.8640440
278.9161, 0.9460220
279.3982, 0.9646870
279.8803, 1.060032
280.3625, 1.354668
280.8446, 1.534878
281.3267, 1.255043
281.8088, 0.7215390
282.2909, 0.4299960
282.7730, 0.8386500
283.2552, 1.685768
283.7373, 2.067738
284.2194, 1.759666
284.7015, 1.392387
285.1836, 1.240780
285.6658, 1.232327
286.1479, 1.276867
286.6300, 1.381546
287.1121, 1.470608
287.5942, 1.341370
288.0764, 0.8893200
288.5585, 0.4630970
289.0406, 0.1653750
289.5227, 3.3333000E-02
290.0048, 0.1567610
290.4869, 0.2171060
290.9691, 0.1981890
291.4512, 4.3262001E-02
291.9333, 0.3088070
292.4154, 0.6017760
292.8975, 0.8271750
293.3796, 0.9366460
293.8618, 0.8182600
294.3439, 0.4448170
294.8260, 4.3007001E-02
295.3081, 0.1063650
295.7902, 1.7128000E-02
296.2723, 0.2953380
296.7545, 0.9988100
297.2366, 1.649334
297.7187, 1.941936
298.2008, 1.863205
298.6829, 1.635708
299.1650, 1.479198
299.6472, 1.405224
300.1293, 1.281445
300.6114, 0.9125290
301.0935, 0.6702730
301.5756, 0.8734660
302.0577, 1.397762
302.5399, 1.781727
303.0220, 1.592297
303.5041, 0.8661040
303.9862, 0.4308200
304.4683, 0.5054170
304.9504, 0.6418650
305.4326, 0.7100940
305.9147, 0.7167170
306.3968, 0.6826250
306.8789, 0.6054530
307.3610, 0.5064200
307.8431, 0.4830630
308.3253, 0.5854840
308.8074, 0.6893770
309.2895, 0.8196030
309.7716, 0.9121970
310.2537, 0.8359680
310.7358, 0.5034100
311.2180, 0.1169820
311.7001, 0.1987610
312.1822, 1.100552
312.6643, 1.683735
313.1464, 1.553024
313.6285, 1.164978
314.1107, 0.8828770
314.5928, 0.8045880
315.0749, 0.7685280
315.5570, 0.4811400
316.0391, 0.2073520
316.5212, 0.5938840
317.0034, 0.3742520
317.4855, 1.5675001E-02
317.9676, 0.2940140
318.4497, 0.5103990
318.9318, 0.6268040
319.4139, 0.5968930
319.8961, 0.3976780
320.3782, 0.2830700
320.8603, 0.3461040
321.3424, 0.4125820
321.8245, 0.4008410
322.3066, 0.3354950
322.7888, 0.2901150
323.2709, 0.3198320
323.7530, 0.4155430
324.2351, 0.5173800
324.7172, 0.6330800
325.1993, 0.7442780
325.6815, 0.9084590
326.1636, 1.050022
326.6457, 1.051319
327.1278, 0.8373070
327.6099, 0.4958880
328.0920, 0.2446400
328.5742, 6.7893997E-02
329.0563, 4.4495001E-02
329.5384, 0.1132130
330.0205, 0.1210020
330.5026, 5.9739999E-03
330.9847, 0.2583050
331.4669, 0.5389370
331.9490, 0.6264840
332.4311, 0.4563060
332.9132, 0.2547840
333.3953, 8.4141001E-02
333.8774, 0.3475420
334.3596, 0.3786430
334.8417, 0.1870650
335.3238, 7.2903000E-02
335.8059, 0.2713810
336.2880, 0.4083290
336.7701, 0.5348820
337.2523, 0.7131840
337.7344, 0.8032230
338.2165, 0.6754420
338.6986, 0.4135020
339.1807, 0.2049670
339.6628, 0.1539080
340.1450, 0.2469860
340.6271, 0.4832080
341.1092, 1.051098
341.5913, 1.383595
342.0735, 1.042736
342.5556, 0.4504050
343.0377, 0.1502910
343.5198, 0.3962780
