##NAMES=Grossular
##RRUFFID=R060442
##IDEAL CHEMISTRY=Ca_3_Al_2_(SiO_4_)_3_
##LOCALITY=Pakistan(?)
##OWNER=RRUFF
##SOURCE=Gemological Institute of America
##DESCRIPTION=Orange crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060442
##MEASURED CHEMISTRY=(Ca_2.85_Fe^2+^_0.15_)_Σ=3_(Al_1.85_Fe^3+^_0.15_)_Σ=2_(Si_1.00_O_4_)_3_; trace amounts of Ti, Mg
517.1217, 3.208981
517.6038, 2.795280
518.0859, 2.669132
518.5681, 3.229889
519.0502, 4.003803
519.5323, 4.052559
520.0144, 3.124596
520.4965, 1.954762
520.9786, 1.433022
521.4608, 1.660015
521.9429, 1.945831
522.4250, 2.343559
522.9071, 2.735760
523.3892, 3.097710
523.8713, 3.421108
524.3535, 3.699532
524.8356, 3.928844
525.3177, 4.110413
525.7998, 4.209812
526.2819, 4.181370
526.7640, 4.301243
527.2462, 4.701962
527.7283, 5.136848
528.2104, 5.483471
528.6925, 5.771652
529.1746, 6.068172
529.6567, 6.362732
530.1389, 6.739910
530.6210, 7.323601
531.1031, 8.107258
531.5852, 9.014515
532.0673, 10.13338
532.5494, 11.19672
533.0316, 11.73085
533.5137, 11.77264
533.9958, 12.13168
534.4779, 13.15488
534.9600, 14.39969
535.4421, 15.57427
535.9243, 16.67860
536.4064, 17.79158
536.8885, 18.94354
537.3706, 20.25291
537.8527, 21.90132
538.3348, 23.92970
538.8170, 26.14147
539.2991, 28.53439
539.7812, 31.16010
540.2633, 34.03642
540.7454, 37.21436
541.2275, 40.77462
541.7097, 44.73972
542.1918, 49.01542
542.6739, 53.41492
543.1560, 57.93790
543.6381, 62.79234
544.1202, 68.58794
544.6024, 74.16227
545.0845, 79.20699
545.5666, 83.54202
546.0487, 86.38909
546.5308, 87.28104
547.0129, 86.49594
547.4951, 84.50211
547.9772, 81.29266
548.4593, 76.41676
548.9414, 69.26237
549.4235, 60.87183
549.9056, 52.97135
550.3878, 45.48130
550.8699, 38.71606
551.3520, 32.77798
551.8341, 27.61790
552.3162, 23.23483
552.7983, 19.59891
553.2805, 16.70669
553.7626, 14.58252
554.2447, 13.02895
554.7268, 11.45303
555.2089, 9.674892
555.6910, 8.215057
556.1732, 7.126011
556.6553, 6.274075
557.1374, 5.703205
557.6195, 5.301495
558.1016, 4.768372
558.5837, 3.821499
559.0659, 2.751736
559.5480, 2.332428
560.0301, 2.690971
560.5122, 2.941494
560.9943, 2.715374
561.4764, 2.405960
561.9586, 2.467575
562.4407, 2.868465
562.9228, 3.107510
563.4049, 2.860847
563.8870, 2.459084
564.3691, 2.221989
564.8513, 2.147484
565.3334, 2.186069
565.8155, 2.343269
566.2976, 2.519619
566.7797, 2.519718
567.2618, 2.245922
567.7440, 2.010815
568.2261, 1.800575
568.7082, 1.643188
569.1903, 1.526398
569.6724, 1.477619
570.1545, 1.583828
570.6367, 1.903122
571.1188, 2.293411
571.6009, 2.429123
572.0830, 2.232285
572.5651, 2.078697
573.0472, 2.006908
573.5294, 1.991436
574.0115, 2.011127
574.4936, 2.073681
574.9757, 2.222294
575.4578, 2.593891
575.9399, 2.896069
576.4221, 2.669651
576.9042, 2.021961
577.3863, 1.567287
577.8684, 1.495041
578.3505, 1.632687
578.8326, 1.865257
579.3148, 2.209095
579.7969, 2.235924
580.2790, 1.581985
580.7611, 0.9761700
581.2432, 0.7995110
581.7253, 0.9005240
582.2075, 1.019707
