##NAMES=Graphite
##RRUFFID=R090047
##IDEAL CHEMISTRY=C
##LOCALITY=Merelani, Tanzania
##OWNER=RRUFF
##SOURCE=Wendell Wilson
##DESCRIPTION=Silver gray platelets associated with diopside, R090046
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R090047
216.0962, 2.287647
216.5783, 2.011667
217.0604, 1.604218
217.5425, 1.177750
218.0246, 0.6339860
218.5067, 0.3701460
218.9889, 0.5268500
219.4710, 0.9972630
219.9531, 1.229475
220.4352, 1.142527
220.9173, 0.9599650
221.3994, 0.8165190
221.8816, 0.7155090
222.3637, 0.6368640
222.8458, 0.5521760
223.3279, 0.4595180
223.8100, 0.4813610
224.2922, 0.7427430
224.7743, 0.9981580
225.2564, 1.057659
225.7385, 0.7714040
226.2206, 0.5828340
226.7027, 0.5327990
227.1849, 0.6095240
227.6670, 0.7813550
228.1491, 1.138243
228.6312, 1.455898
229.1133, 1.585495
229.5954, 1.472128
230.0776, 1.280655
230.5597, 0.9296260
231.0418, 0.4982640
231.5239, 0.4058990
232.0060, 0.8994120
232.4881, 1.391855
232.9703, 1.503925
233.4524, 0.9344290
233.9345, 0.6479800
234.4166, 0.7641410
234.8987, 1.193668
235.3808, 1.532265
235.8630, 1.814632
236.3451, 1.960396
236.8272, 1.903959
237.3093, 1.518831
237.7914, 1.191589
238.2735, 0.9275780
238.7557, 0.7359310
239.2378, 0.6745660
239.7199, 0.8526150
240.2020, 1.013472
240.6841, 0.9859730
241.1662, 0.5686040
241.6484, 0.4028680
242.1305, 0.6154860
242.6126, 1.099674
243.0947, 1.472204
243.5768, 1.747618
244.0589, 1.893209
244.5411, 1.872522
245.0232, 1.590296
245.5053, 1.360464
245.9874, 1.228756
246.4695, 1.152403
246.9516, 0.9505160
247.4338, 0.3825950
247.9159, 2.9827001E-02
248.3980, 0.1621910
248.8801, 1.513353
249.3622, 2.170412
249.8443, 1.764637
250.3265, 0.7276120
250.8086, 0.2729210
251.2907, 0.7213460
251.7728, 1.249582
252.2549, 1.461931
252.7370, 1.189306
253.2192, 1.049099
253.7013, 1.080441
254.1834, 1.228409
254.6655, 1.350515
255.1476, 1.381910
255.6297, 1.506239
256.1119, 1.896305
256.5940, 2.807707
257.0761, 3.018835
257.5582, 2.252220
258.0403, 1.028675
258.5225, 0.3526820
259.0046, 0.4309060
259.4867, 0.6356050
259.9688, 0.7681900
260.4509, 0.8455940
260.9330, 0.7319760
261.4152, 0.2897820
261.8973, 0.2204190
262.3794, 0.3276310
262.8615, 0.1229380
263.3436, 0.6110760
263.8257, 0.9790690
264.3079, 1.230913
264.7900, 1.329636
265.2721, 1.206350
265.7542, 1.016296
266.2363, 1.024412
266.7184, 1.346729
267.2006, 1.514362
267.6827, 1.275906
268.1648, 0.5848290
268.6469, 0.3966200
269.1290, 0.9033260
269.6111, 1.613470
270.0933, 1.917429
270.5754, 1.729248
271.0575, 1.445135
271.5396, 1.127834
272.0217, 0.7827570
272.5038, 0.5599610
272.9860, 0.4647390
273.4681, 0.4801160
273.9502, 0.6347410
274.4323, 0.9683170
274.9144, 1.205721
275.3965, 1.257044
275.8787, 1.144587
276.3608, 1.051441
276.8429, 0.9803660
277.3250, 0.9339500
277.8071, 0.9095920
278.2892, 0.9068070
278.7714, 0.9511430
279.2535, 1.104815
279.7356, 1.296284
280.2177, 1.156971
280.6998, 0.6206700
281.1819, 7.9374000E-02
281.6641, 9.8447002E-02
282.1462, 8.9974999E-02
282.6283, 0.1981930
283.1104, 0.1281050
283.5925, 5.0422002E-02
284.0746, 0.1722230
284.5568, 0.2120060
285.0389, 0.1385310
285.5210, 0.1114200
286.0031, 0.5322730
286.4852, 0.8949340
286.9673, 1.182521
287.4495, 1.377398
287.9316, 1.427166
288.4137, 1.330536
288.8958, 1.165459
289.3779, 0.9728220
289.8600, 0.7517990
290.3422, 0.4414220
290.8243, 2.8821001E-02
291.3064, 0.4244580
291.7885, 0.2548260
292.2706, 0.4297910
292.7527, 1.042863
293.2349, 1.170649
293.7170, 0.9771220
294.1991, 0.9828320
294.6812, 1.243953
295.1633, 1.564377
295.6454, 1.718434
296.1276, 1.724037
296.6097, 1.666323
297.0918, 1.589026
297.5739, 1.474548
298.0560, 1.209433
298.5381, 0.7688350
299.0203, 0.4477140
299.5024, 0.7324610
299.9845, 1.394381
300.4666, 1.790956
300.9487, 1.423449
301.4308, 0.7807720
301.9130, 0.6037380
302.3951, 0.8775080
302.8772, 1.159328
303.3593, 0.9481930
303.8414, 0.5098310
304.3235, 0.3393330
304.8057, 0.7929140
305.2878, 1.380160
305.7699, 1.571969
306.2520, 1.423993
306.7341, 1.253315
307.2162, 1.340253
307.6984, 1.504319
308.1805, 1.508389
308.6626, 1.212171
309.1447, 0.8734960
309.6268, 0.6200880
310.1089, 0.4681690
310.5911, 0.4649720
311.0732, 0.7935450
311.5553, 1.198083
312.0374, 1.441628
312.5195, 1.449789
313.0016, 1.407339
313.4838, 1.482864
313.9659, 1.590648
314.4480, 1.548688
314.9301, 1.109179
315.4122, 0.6145530
315.8943, 0.2635380
316.3765, 8.4338002E-02
316.8586, 1.9036001E-02
317.3407, 0.1464460
317.8228, 0.3513490
318.3049, 0.4655170
318.7870, 0.2942640
319.2692, 0.1691260
319.7513, 0.2410690
320.2334, 0.5367290
320.7155, 0.8551630
321.1976, 1.275095
321.6797, 1.602495
322.1619, 1.660475
322.6440, 1.107717
323.1261, 0.5968410
323.6082, 0.2487200
324.0903, 6.5955997E-02
324.5724, 3.1179000E-02
325.0546, 0.2270670
325.5367, 0.5142510
326.0188, 0.8079540
326.5009, 1.369040
326.9830, 1.623837
327.4651, 1.275130
327.9473, 0.5142610
328.4294, 0.1417480
328.9115, 0.5217240
329.3936, 0.9746190
329.8757, 1.228824
330.3578, 1.170624
330.8400, 1.116912
331.3221, 1.016476
331.8042, 0.9338470
332.2863, 1.023396
332.7684, 1.513429
333.2505, 1.842437
333.7327, 1.769299
334.2148, 1.163633
334.6969, 0.7897880
335.1790, 0.6655790
335.6611, 0.7590940
336.1432, 1.107374
336.6254, 1.901768
337.1075, 2.433149
337.5896, 2.450432
338.0717, 1.985398
338.5538, 1.748766
339.0359, 1.841962
339.5181, 1.943280
340.0002, 1.741831
340.4823, 1.191607
340.9644, 0.6182720
341.4465, 4.2280001E-03
341.9286, -2.7285658E-02
342.4108, -0.1139037
342.8929, 0.2096870
343.3750, 0.3762270
343.8571, 0.9537710
344.3392, 1.501721
344.8214, 1.752592
345.3035, 1.614213
345.7856, 1.288653
346.2677, 1.110563
346.7498, 1.073717
347.2319, 1.047134
347.7141, 0.9174290
348.1962, 0.7406650
348.6783, 0.7277480
349.1604, 0.8947810
349.6425, 1.084666
350.1247, 1.090200
350.6068, 0.9356420
351.0889, 0.7449640
351.5710, 0.4693300
352.0531, 0.2276560
352.5352, 0.2789530
353.0174, 0.6102510
353.4995, 0.9074020
353.9816, 0.8759950
354.4637, 0.6602780
354.9458, 0.4843530
355.4279, 0.3841440
355.9101, 0.3819170
356.3922, 0.5986590
356.8743, 0.9665830
357.3564, 1.206321
357.8385, 1.004471
358.3206, 0.6868030
358.8028, 0.5661700
359.2849, 0.7670400
359.7670, 0.9778570
360.2491, 1.087996
360.7312, 1.090400
361.2133, 0.9722570
361.6955, 0.4898560
362.1776, 7.9637997E-02
362.6597, 1.2460001E-03
363.1418, 0.3132350
363.6239, 0.6373160
364.1060, 0.9724000
364.5882, 1.219874
365.0703, 1.275328
365.5524, 0.8373790
366.0345, 0.4967270
366.5166, 0.4385770
366.9987, 0.6436040
367.4809, 0.8215870
367.9630, 1.076950
368.4451, 1.207696
368.9272, 1.095485
369.4093, 0.3282520
369.8914, 0.1319960
370.3736, 9.2099003E-02
370.8557, 0.2618890
371.3378, 0.4898300
371.8199, 0.5226720
372.3020, 0.5209870
372.7841, 0.5788150
373.2663, 0.7163710
373.7484, 0.6738720
374.2305, 0.3267100
374.7126, 7.0823997E-02
375.1947, 0.1546470
375.6768, 0.1942230
376.1590, 0.5025710
376.6411, 0.6378480
377.1232, 0.6180500
377.6053, 1.5663000E-02
378.0874, 0.7915850
378.5695, 1.236217
379.0517, 1.351685
379.5338, 0.1902430
380.0159, 0.6759130
380.4980, 0.5014580
380.9801, 0.2999080
381.4622, 1.017330
381.9444, 4.1243002E-02
382.4265, 0.7438450
382.9086, 0.7764470
383.3907, 1.116243
383.8728, 0.7925600
384.3549, 0.6735090
384.8371, 1.218184
385.3192, 1.394839
385.8013, 0.9934640
386.2834, 1.352373
386.7655, 0.3533700
387.2477, 0.5461290
387.7298, 1.252807
388.2119, 0.8845660
388.6940, 1.255187
389.1761, 1.344357
389.6582, 0.1546360
390.1404, 1.188960
390.6225, 1.261404
391.1046, 0.3465060
391.5867, 1.304876
392.0688, 0.5257880
392.5509, 0.3667790
393.0331, 0.6762780
393.5152, 0.5227550
393.9973, 1.138922
394.4794, 0.9901450
394.9615, 0.7740610
395.4436, 0.8461690
395.9258, 0.6534060
396.4079, 0.8750380
396.8900, 0.6117210
397.3721, 0.8622340
397.8542, 1.229219
398.3363, 0.7037610
398.8185, 1.123464
399.3006, 8.2024999E-02
399.7827, 0.2352140
400.2648, 0.2441250
400.7469, 1.063259
401.2290, 2.2701001E-02
401.7112, 0.1668630
402.1933, 0.8154440
402.6754, 0.7581370
403.1575, 0.9959140
403.6396, 0.3601970
404.1217, 0.5449860
404.6039, 0.5035090
405.0860, 1.243760
405.5681, 1.367269
406.0502, 0.7471580
406.5323, 0.1306010
407.0144, 0.9287180
407.4966, 0.3857360
407.9787, 0.5647550
408.4608, 3.2939999E-03
408.9429, 7.3591001E-02
409.4250, 0.1401960
409.9071, 0.5378050
410.3893, 0.4697830
410.8714, 0.6296860
411.3535, 0.5743750
411.8356, 0.7401400
412.3177, 0.8812850
412.7998, 0.9706230
413.2820, 0.8257640
413.7641, 1.134588
414.2462, 0.4772620
414.7283, 0.1799720
415.2104, 0.1402600
415.6925, 1.321943
416.1747, 1.367906
416.6568, 5.6334000E-02
417.1389, 1.184061
417.6210, 0.8110060
418.1031, 0.8838850
418.5852, 0.7940000
419.0674, 0.7522400
419.5495, 0.8111520
420.0316, 0.2504530
420.5137, 1.058978
420.9958, 0.7492630
421.4779, 1.199736
421.9601, 0.2642410
422.4422, 0.1513520
422.9243, 0.2567680
423.4064, 0.4417720
423.8885, 9.5950002E-03
424.3706, 0.1497350
424.8528, 0.1001310
425.3349, 2.4801999E-02
425.8170, 6.0665999E-02
426.2991, 3.5773002E-02
426.7812, 0.2135820
427.2633, 0.6316020
