##NAMES=Mimetite
##RRUFFID=R130731
##IDEAL CHEMISTRY=Pb^2+^_5_(As^5+^O_4_)_3_Cl
##LOCALITY=Tsumeb mine, Tsumeb, Otavi District, Oshikoto, Namibia
##OWNER=RRUFF
##SOURCE=Bob Downs
##DESCRIPTION=Pale yellow transparent hexagonal prisms, monoclinic polytype
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130731
222.2853, 261.7041
222.7674, 245.3347
223.2496, 230.7349
223.7317, 217.4670
224.2138, 208.1018
224.6959, 203.8286
225.1780, 202.6140
225.6601, 202.2373
226.1423, 206.4670
226.6244, 204.4272
227.1065, 191.0378
227.5886, 162.2742
228.0707, 140.3816
228.5528, 126.5098
229.0350, 118.2939
229.5171, 112.9854
229.9992, 113.3118
230.4813, 111.2271
230.9634, 103.3079
231.4455, 86.80664
231.9276, 74.68945
232.4098, 68.89697
232.8919, 66.28662
233.3740, 61.10498
233.8561, 48.01367
234.3382, 41.36987
234.8203, 49.55396
235.3025, 82.78381
235.7846, 94.62671
236.2667, 75.06641
236.7488, 39.24536
237.2309, 15.54712
237.7130, 10.04797
238.1952, 7.502441
238.6773, 2.349854
239.1594, 7.918335
239.6415, 12.80859
240.1236, 10.81519
240.6057, 4.169922
241.0879, 3.651611
241.5700, 16.99939
242.0521, 24.65894
242.5342, 20.36157
243.0163, 4.148560
243.4984, 16.23694
243.9806, 9.525146
244.4627, 6.834106
244.9448, 13.96167
245.4269, 7.147705
245.9090, 1.896851
246.3911, 9.311768
246.8732, 15.03052
247.3554, 19.38293
247.8375, 21.54822
248.3196, 22.77100
248.8017, 26.08887
249.2838, 34.04810
249.7659, 39.78857
250.2481, 39.46655
250.7302, 28.12866
251.2123, 25.46643
251.6944, 36.65381
252.1765, 53.85083
252.6586, 60.39844
253.1408, 49.30396
253.6229, 39.33728
254.1050, 39.03418
254.5871, 53.83582
255.0692, 60.30029
255.5513, 54.54785
256.0334, 42.47876
256.5156, 36.11328
256.9977, 37.11548
257.4798, 40.90710
257.9619, 46.60425
258.4440, 56.17700
258.9261, 61.50513
259.4083, 62.28467
259.8904, 59.19556
260.3725, 52.84717
260.8546, 41.12195
261.3367, 30.51587
261.8188, 23.62378
262.3010, 21.00195
262.7831, 20.00061
263.2652, 20.69409
263.7473, 23.00330
264.2294, 27.93115
264.7115, 38.02490
265.1937, 44.47620
265.6758, 41.37146
266.1579, 25.17725
266.6400, 19.17297
267.1221, 27.34741
267.6042, 41.87585
268.0864, 47.68335
268.5685, 41.64209
269.0506, 35.98254
269.5327, 37.04822
270.0148, 46.87390
270.4969, 47.43018
270.9791, 34.67773
271.4612, 17.66296
271.9433, 12.87146
272.4254, 23.31567
272.9075, 34.35254
273.3896, 41.54224
273.8718, 44.99536
274.3539, 41.24402
274.8360, 28.04065
275.3181, 11.09009
275.8002, 0.7521970
276.2823, 6.677368
276.7645, 11.76868
277.2466, 18.28601
277.7287, 26.24719
278.2108, 31.56799
278.6929, 33.57532
279.1750, 34.41699
279.6572, 36.10229
280.1393, 38.33496
280.6214, 44.23352
281.1035, 56.41455
281.5856, 74.18127
282.0677, 88.96472
282.5499, 100.3126
283.0320, 109.9835
283.5141, 119.0245
283.9962, 127.3527
284.4783, 138.7251
284.9604, 155.1818
285.4425, 176.0959
285.9247, 197.1195
286.4068, 218.1418
286.8889, 239.4647
287.3710, 259.3331
287.8531, 278.2303
288.3352, 303.3815
288.8174, 338.1028
289.2995, 380.7416
289.7816, 426.2350
290.2637, 473.7676
290.7458, 523.8292
291.2279, 576.5195
291.7101, 631.7478
292.1922, 689.2440
292.6743, 745.5938
293.1564, 805.2947
293.6385, 878.1931
294.1206, 964.0791
294.6028, 1060.567
295.0849, 1167.131
295.5670, 1283.455
296.0491, 1409.614
296.5312, 1546.525
297.0133, 1690.333
297.4955, 1833.017
297.9776, 1973.295
298.4597, 2123.986
298.9418, 2295.724
299.4239, 2483.876
299.9060, 2677.182
300.3882, 2873.081
300.8703, 3068.531
301.3524, 3264.981
301.8345, 3461.051
302.3166, 3639.792
302.7987, 3788.936
303.2809, 3911.771
303.7630, 4018.870
304.2451, 4114.588
304.7272, 4188.772
305.2093, 4217.734
305.6914, 4210.814
306.1736, 4203.372
306.6557, 4208.885
307.1378, 4228.558
307.6199, 4266.987
308.1020, 4332.149
308.5841, 4402.321
309.0663, 4448.653
309.5484, 4483.677
310.0305, 4539.947
310.5126, 4658.925
310.9947, 4795.995
311.4768, 4914.196
311.9590, 5008.917
312.4411, 5077.832
312.9232, 5122.018
313.4053, 5140.253
313.8874, 5128.729
314.3695, 5074.049
314.8517, 4996.785
315.3337, 4911.754
315.8159, 4823.124
316.2980, 4712.000
316.7801, 4559.409
317.2622, 4381.730
317.7443, 4200.375
318.2264, 4018.434
318.7086, 3840.784
319.1907, 3664.732
319.6728, 3487.800
320.1549, 3333.285
320.6370, 3211.865
321.1191, 3114.488
321.6013, 3031.536
322.0834, 2961.104
322.5655, 2904.872
323.0476, 2863.771
323.5297, 2838.376
324.0118, 2828.408
324.4940, 2829.927
324.9761, 2846.870
325.4582, 2882.537
325.9403, 2940.671
326.4224, 3015.811
326.9045, 3108.781
327.3867, 3218.774
327.8688, 3340.415
328.3509, 3488.704
328.8330, 3639.587
329.3151, 3780.439
329.7972, 3886.404
330.2794, 4014.660
330.7615, 4181.354
331.2436, 4376.403
331.7257, 4551.295
332.2078, 4698.319
332.6899, 4837.812
333.1721, 4981.221
333.6542, 5137.732
334.1363, 5274.695
334.6184, 5391.359
335.1005, 5488.960
335.5826, 5575.366
336.0648, 5659.035
336.5469, 5714.475
337.0290, 5727.727
337.5111, 5690.778
337.9932, 5649.727
338.4753, 5606.002
338.9575, 5556.249
339.4396, 5496.189
339.9217, 5426.430
340.4038, 5341.328
340.8859, 5237.200
341.3680, 5115.171
341.8502, 4978.433
342.3323, 4827.849
342.8144, 4667.672
343.2965, 4508.402
343.7786, 4348.992
344.2607, 4176.218
344.7429, 3974.840
345.2250, 3758.302
345.7071, 3577.527
346.1892, 3433.071
346.6713, 3299.085
347.1534, 3149.272
347.6355, 2986.513
348.1176, 2821.681
348.5998, 2651.023
349.0819, 2483.848
349.5640, 2340.904
350.0461, 2218.569
350.5282, 2097.828
351.0103, 1955.548
351.4925, 1805.159
351.9746, 1673.157
352.4567, 1569.225
352.9388, 1475.510
353.4209, 1370.982
353.9030, 1259.594
354.3852, 1154.399
354.8673, 1061.137
355.3494, 978.9475
355.8315, 908.3909
356.3136, 851.0464
356.7957, 798.9194
357.2779, 746.9517
357.7600, 696.4573
358.2421, 650.5007
358.7242, 610.5254
359.2063, 574.8796
359.6884, 541.3254
360.1706, 509.5002
360.6527, 484.9736
361.1348, 471.4170
361.6169, 466.0554
362.0990, 465.9939
362.5811, 470.9434
363.0633, 480.3062
363.5454, 493.0388
364.0275, 509.3804
364.5096, 532.3186
364.9917, 557.9583
365.4738, 593.2964
365.9560, 643.0850
366.4381, 719.3516
366.9202, 796.5283
367.4023, 869.0393
367.8844, 939.9270
368.3665, 1020.768
368.8487, 1126.294
369.3308, 1230.573
369.8129, 1324.348
370.2950, 1412.858
370.7771, 1480.406
371.2592, 1531.432
371.7414, 1559.666
372.2235, 1552.761
372.7056, 1497.823
373.1877, 1428.293
373.6698, 1354.184
374.1519, 1276.532
374.6341, 1185.407
375.1162, 1075.472
375.5983, 960.7656
376.0804, 856.3000
376.5625, 763.1770
377.0446, 679.8440
377.5267, 608.7578
378.0089, 547.6785
378.4910, 486.0073
378.9731, 422.8826
379.4552, 364.1885
379.9373, 313.7246
380.4194, 271.3521
380.9016, 244.3655
381.3837, 237.4602
381.8658, 241.3142
382.3479, 235.1506
382.8300, 219.8533
383.3121, 208.3435
383.7943, 210.2554
384.2764, 222.1921
384.7585, 233.5100
385.2406, 241.2849
385.7227, 256.4011
386.2048, 300.1453
386.6870, 362.3201
387.1691, 415.4680
387.6512, 444.6064
388.1333, 457.8630
388.6154, 462.5051
389.0975, 458.5989
389.5797, 450.0322
390.0618, 437.8894
390.5439, 423.3208
391.0260, 408.1633
391.5081, 394.6448
391.9902, 379.5107
392.4724, 357.3486
392.9545, 330.4978
393.4366, 310.4690
393.9187, 304.5210
394.4008, 305.9441
394.8829, 308.7954
395.3651, 303.7029
395.8472, 314.0012
396.3293, 354.1694
396.8114, 413.1306
397.2935, 467.8733
397.7756, 504.6951
398.2578, 547.0681
398.7399, 601.7524
399.2220, 670.1487
399.7041, 742.5269
400.1862, 820.5234
400.6683, 903.1602
401.1505, 989.1523
401.6326, 1077.118
402.1147, 1174.620
402.5968, 1283.684
403.0789, 1402.307
403.5610, 1515.453
404.0432, 1616.680
404.5253, 1725.037
405.0074, 1858.587
405.4895, 2025.886
