##NAMES=Fluorellestadite
##RRUFFID=R130124
##IDEAL CHEMISTRY=Ca_5_(SiO_4_)_1.5_(SO_4_)_1.5_F
##LOCALITY=Kopeisk, South Urals, Russia
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Green to blue acicular or hexagonal prismatic crystals, associated with opaque nenadkevichite.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130124
371.8820, 2.205933
372.3641, 2.109924
372.8463, 2.273499
373.3284, 2.361191
373.8105, 1.706131
374.2926, 0.2538910
374.7747, 1.663513
375.2568, 1.739746
375.7390, 0.4597780
376.2211, 0.1737980
376.7032, 1.172913
377.1853, 2.550903
377.6674, 3.453888
378.1495, 3.832291
378.6317, 4.182907
379.1138, 4.575623
379.5959, 5.021866
380.0780, 5.577484
380.5601, 6.244431
381.0422, 6.984894
381.5244, 7.718231
382.0065, 8.488327
382.4886, 9.530548
382.9707, 10.93333
383.4528, 12.45763
383.9349, 13.73709
384.4171, 14.83232
384.8992, 16.04616
385.3813, 17.68692
385.8634, 19.51009
386.3455, 21.06448
386.8276, 22.31578
387.3098, 23.63075
387.7919, 25.44801
388.2740, 27.55046
388.7561, 29.53090
389.2382, 31.16013
389.7203, 32.72577
390.2025, 34.49663
390.6846, 36.40915
391.1667, 38.21814
391.6488, 39.63829
392.1309, 40.95465
392.6130, 42.45561
393.0952, 44.34106
393.5773, 46.04854
394.0594, 47.18405
394.5415, 47.97920
395.0236, 48.86281
395.5057, 50.29437
395.9879, 51.55478
396.4700, 52.26512
396.9521, 52.29793
397.4342, 52.46379
397.9163, 52.95601
398.3984, 53.60529
398.8806, 54.25670
399.3627, 55.12820
399.8448, 55.73727
400.3269, 55.98109
400.8090, 55.89197
401.2911, 55.70694
401.7733, 55.35637
402.2554, 54.98959
402.7375, 54.71039
403.2196, 54.64908
403.7017, 54.32005
404.1838, 53.59311
404.6660, 52.69568
405.1481, 52.08571
405.6302, 51.81915
406.1123, 51.63770
406.5944, 51.58647
407.0765, 51.63133
407.5587, 50.86990
408.0408, 49.07199
408.5229, 47.32480
409.0050, 47.05452
409.4871, 48.13121
409.9692, 48.60040
410.4514, 47.78131
410.9335, 46.39627
411.4156, 46.05157
411.8977, 46.66515
412.3798, 47.26045
412.8619, 47.15845
413.3441, 46.58478
413.8262, 45.95988
414.3083, 45.37590
414.7904, 44.69579
415.2725, 43.56912
415.7546, 42.23688
416.2368, 41.16426
416.7189, 40.63823
417.2010, 40.41473
417.6831, 40.48041
418.1652, 40.80565
418.6473, 40.88539
419.1295, 40.27330
419.6116, 39.39133
420.0937, 38.62268
420.5758, 38.23460
421.0579, 37.71454
421.5400, 36.64465
422.0222, 35.27347
422.5043, 34.24210
422.9864, 34.03471
423.4685, 33.88710
423.9506, 33.52383
424.4327, 32.90121
424.9149, 32.47534
425.3970, 32.39629
425.8791, 32.33311
426.3612, 32.05409
426.8433, 31.59010
427.3254, 30.97525
427.8076, 30.06990
428.2897, 28.89378
428.7718, 27.99284
429.2539, 27.44240
429.7360, 27.09224
430.2181, 26.92802
430.7003, 27.00662
431.1824, 26.71155
431.6645, 25.95404
432.1466, 25.13185
432.6287, 24.72324
433.1108, 24.68576
433.5930, 24.68469
434.0751, 24.63489
434.5572, 24.63327
435.0393, 24.79602
435.5214, 25.10248
436.0035, 25.44916
436.4857, 25.76108
436.9678, 26.04283
437.4499, 26.23782
437.9320, 26.15186
438.4141, 26.34177
438.8962, 27.82246
439.3784, 30.17889
439.8605, 32.11465
440.3426, 32.37607
440.8247, 32.30170
441.3068, 32.99300
441.7889, 34.55650
442.2711, 36.56677
442.7532, 39.26404
443.2353, 42.10889
443.7174, 44.54121
444.1995, 45.93576
444.6816, 47.40773
445.1638, 49.12535
445.6459, 51.12769
446.1280, 53.65878
446.6101, 57.09959
447.0922, 60.78172
447.5743, 64.42688
448.0565, 67.87045
448.5386, 71.56389
449.0207, 75.37701
449.5028, 79.52184
449.9849, 84.23470
450.4670, 89.75528
450.9492, 95.34305
451.4313, 100.6797
451.9134, 105.8986
452.3955, 111.9414
452.8776, 118.8544
453.3597, 126.0403
453.8419, 133.1666
454.3240, 140.1741
454.8061, 147.1012
455.2882, 153.9485
455.7703, 160.5601
456.2524, 166.6139
456.7346, 172.1808
457.2167, 177.1676
457.6988, 181.9130
458.1809, 185.9849
458.6630, 188.6010
459.1451, 189.7782
459.6273, 190.2084
460.1094, 190.5122
460.5915, 190.3259
461.0736, 189.1293
461.5557, 186.6028
