##NAMES=Lanarkite
##RRUFFID=R080116
##IDEAL CHEMISTRY=Pb_2_O(SO_4_)
##LOCALITY=Leadhills, Lanarkshire,  Scotland
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Cream colored, elongated prismatic crystals
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R080116
262.0586, 1557.736
262.5407, 1615.919
263.0228, 1680.826
263.5049, 1753.165
263.9871, 1833.517
264.4692, 1915.872
264.9513, 2000.598
265.4334, 2088.019
265.9155, 2180.334
266.3976, 2275.486
266.8798, 2376.417
267.3619, 2483.885
267.8440, 2597.887
268.3261, 2709.370
268.8082, 2816.810
269.2903, 2924.396
269.7725, 3035.671
270.2546, 3150.703
270.7367, 3261.309
271.2188, 3363.194
271.7009, 3458.993
272.1830, 3563.594
272.6652, 3678.412
273.1473, 3795.727
273.6294, 3911.392
274.1115, 4024.579
274.5936, 4139.881
275.0757, 4257.326
275.5579, 4378.626
276.0400, 4505.258
276.5221, 4637.623
277.0042, 4773.372
277.4863, 4911.150
277.9684, 5050.880
278.4506, 5193.925
278.9327, 5341.387
279.4148, 5490.925
279.8969, 5639.356
280.3790, 5787.458
280.8611, 5929.053
281.3433, 6064.078
281.8254, 6193.012
282.3075, 6305.109
282.7896, 6404.313
283.2717, 6479.586
283.7538, 6511.732
284.2360, 6500.265
284.7181, 6460.619
285.2002, 6404.547
285.6823, 6329.222
286.1644, 6206.292
286.6465, 6034.589
287.1287, 5823.856
287.6108, 5578.986
288.0929, 5301.166
288.5750, 5012.416
289.0571, 4715.356
289.5392, 4412.470
290.0214, 4118.552
290.5035, 3834.641
290.9856, 3560.542
291.4677, 3296.603
291.9498, 3042.090
292.4319, 2800.375
292.9141, 2568.451
293.3962, 2349.758
293.8783, 2152.469
294.3604, 1977.583
294.8425, 1819.994
295.3246, 1677.639
295.8068, 1547.963
296.2889, 1425.047
296.7710, 1305.740
297.2531, 1192.503
297.7352, 1089.877
298.2173, 998.2153
298.6995, 916.9618
299.1816, 850.6467
299.6637, 794.5823
300.1458, 740.3612
300.6279, 685.4133
301.1100, 632.8879
301.5922, 587.0918
302.0743, 547.5232
302.5564, 512.3856
303.0385, 480.7810
303.5206, 452.7693
304.0027, 427.2974
304.4849, 403.9525
304.9670, 385.3857
305.4491, 376.7838
305.9312, 375.3855
306.4133, 374.5637
306.8954, 368.1763
307.3776, 362.3446
307.8597, 363.2603
308.3418, 371.3899
308.8239, 384.2245
309.3060, 400.4126
309.7881, 420.2479
310.2703, 443.7783
310.7524, 471.2915
311.2345, 502.2538
311.7166, 535.6967
312.1987, 571.6763
312.6808, 611.3259
313.1630, 656.0996
313.6451, 704.9817
314.1272, 757.2627
314.6093, 810.0400
315.0914, 867.9885
315.5735, 934.3368
316.0557, 1007.855
316.5378, 1082.725
317.0199, 1156.087
317.5020, 1229.881
317.9841, 1306.621
318.4662, 1385.669
318.9484, 1467.214
319.4305, 1553.318
319.9126, 1641.915
320.3947, 1727.799
320.8768, 1805.671
321.3589, 1883.946
321.8411, 1967.172
322.3232, 2055.579
322.8053, 2146.552
323.2874, 2241.116
323.7695, 2337.717
324.2516, 2433.807
324.7338, 2527.629
325.2159, 2621.892
325.6980, 2717.185
326.1801, 2813.813
326.6622, 2911.622
327.1443, 3014.423
327.6265, 3117.398
328.1086, 3216.085
328.5907, 3307.147
329.0728, 3396.821
329.5549, 3487.724
330.0370, 3580.284
330.5192, 3664.572
331.0013, 3743.778
331.4834, 3812.677
331.9655, 3868.658
332.4476, 3912.596
332.9297, 3942.330
333.4119, 3957.134
333.8940, 3957.476
334.3761, 3945.150
334.8582, 3922.426
335.3403, 3884.118
335.8224, 3827.988
336.3046, 3754.035
336.7867, 3660.544
337.2688, 3543.839
337.7509, 3409.814
338.2330, 3265.908
338.7151, 3111.383
339.1973, 2952.437
339.6794, 2787.809
340.1615, 2618.470
340.6436, 2454.417
341.1257, 2297.753
341.6078, 2145.723
342.0900, 1991.995
342.5721, 1838.293
343.0542, 1696.336
343.5363, 1572.920
344.0184, 1465.426
344.5005, 1358.370
344.9827, 1251.832
345.4648, 1151.813
345.9469, 1068.320
346.4290, 998.3885
346.9111, 927.7655
347.3932, 851.2660
347.8754, 774.7979
348.3575, 712.7480
348.8396, 664.4736
349.3217, 619.7300
349.8038, 571.5972
350.2859, 522.3303
350.7681, 477.8104
351.2502, 439.1990
351.7323, 403.4983
352.2144, 366.9324
352.6965, 330.1680
353.1786, 296.4440
353.6608, 268.1759
354.1429, 243.4357
354.6250, 220.7288
355.1071, 200.0900
355.5892, 179.0128
356.0714, 153.8290
356.5535, 127.3644
357.0356, 103.8011
357.5177, 86.18396
357.9998, 70.61267
358.4819, 54.80371
358.9641, 38.90796
359.4462, 24.32202
359.9283, 12.37390
360.4104, 1.705933
360.8925, 8.867676
361.3746, 20.05701
361.8568, 30.47180
362.3389, 39.37646
362.8210, 47.04907
363.3031, 54.44373
363.7852, 61.81677
364.2673, 69.01746
364.7495, 76.42786
365.2316, 84.82654
365.7137, 90.75159
366.1958, 91.31274
366.6779, 89.70349
367.1600, 89.73376
367.6422, 94.46863
368.1243, 98.13757
368.6064, 99.20398
369.0885, 97.52686
369.5706, 96.10364
370.0527, 94.57410
370.5349, 93.58093
371.0170, 93.65747
371.4991, 95.43066
371.9812, 97.17615
372.4633, 99.48010
372.9454, 101.6719
373.4276, 101.0164
373.9097, 96.17249
374.3918, 90.88477
374.8739, 86.91589
