##NAMES=Salammoniac
##RRUFFID=R060521
##IDEAL CHEMISTRY=NH_4_Cl
##LOCALITY=Tien-Shan Mountains, Tadzhikistan, U.S.S.R
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White dendritic
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060521
##MEASURED CHEMISTRY=NH_4_Cl_1.00_ ; N, H not measured but estimated by stoichiometry
108.505, 81.136
108.987, 45.184
109.469, 37.628
109.951, 178.070
110.433, 359.235
110.915, 564.246
111.397, 824.297
111.879, 1076.298
112.362, 1306.577
112.844, 1504.888
113.326, 1694.879
113.808, 1880.792
114.290, 2062.271
114.772, 2231.972
115.254, 2365.798
115.736, 2501.615
116.218, 2660.235
116.701, 2835.372
117.183, 3046.744
117.665, 3304.168
118.147, 3604.044
118.629, 3937.278
119.111, 4306.014
119.593, 4702.488
120.075, 5112.802
120.558, 5523.255
121.040, 5956.374
121.522, 6456.542
122.004, 7027.727
122.486, 7555.326
122.968, 7967.059
123.450, 8277.401
123.932, 8513.622
124.414, 8632.204
124.897, 8704.809
125.379, 8814.556
125.861, 8966.630
126.343, 9157.649
126.825, 9391.453
127.307, 9664.075
127.789, 9959.566
128.271, 10251.985
128.753, 10557.764
129.236, 10912.344
129.718, 11322.895
130.200, 11783.054
130.682, 12291.060
131.164, 12842.167
131.646, 13421.019
132.128, 14020.062
132.610, 14633.256
133.093, 15259.725
133.575, 15902.255
134.057, 16554.129
134.539, 17231.580
135.021, 17946.662
135.503, 18638.740
135.985, 19219.838
136.467, 19686.570
136.949, 20133.352
137.432, 20599.551
137.914, 21086.732
138.396, 21510.703
138.878, 21877.922
139.360, 22166.406
139.842, 22326.066
140.324, 22329.910
140.806, 22280.082
141.288, 22223.277
141.771, 22179.361
142.253, 22052.479
142.735, 21812.406
143.217, 21500.029
143.699, 21234.205
144.181, 21027.760
144.663, 20846.068
145.145, 20670.816
145.628, 20516.197
146.110, 20340.059
146.592, 20124.160
147.074, 19875.010
147.556, 19666.848
148.038, 19530.250
148.520, 19406.555
149.002, 19257.580
149.484, 19041.145
149.967, 18845.607
150.449, 18680.697
150.931, 18546.391
151.413, 18433.348
151.895, 18355.250
152.377, 18292.982
152.859, 18231.588
153.342, 18164.404
153.824, 18106.158
154.306, 18063.695
154.788, 18041.609
155.270, 18021.658
155.752, 17993.740
156.234, 17970.389
156.716, 17967.645
157.198, 17993.994
157.680, 18022.699
158.163, 18063.293
158.645, 18112.477
159.127, 18179.855
159.609, 18278.166
160.091, 18395.027
160.573, 18506.992
161.055, 18595.314
161.538, 18679.080
162.020, 18767.400
162.502, 18862.285
162.984, 18958.943
163.466, 19063.359
163.948, 19167.045
164.430, 19248.369
164.912, 19299.684
165.394, 19325.656
165.876, 19329.037
166.359, 19308.908
166.841, 19268.221
167.323, 19218.643
167.805, 19155.902
168.287, 19051.246
168.769, 18874.141
169.251, 18652.484
169.733, 18416.834
170.216, 18190.645
170.698, 17947.941
171.180, 17667.812
171.662, 17349.568
172.144, 17007.521
172.626, 16636.268
173.108, 16248.396
173.590, 15858.505
174.072, 15470.903
174.555, 15086.363
175.037, 14694.414
175.519, 14292.464
176.001, 13902.860
176.483, 13557.872
176.965, 13243.678
177.447, 12933.529
177.929, 12595.239
178.412, 12257.089
178.894, 11969.863
179.376, 11745.639
179.858, 11547.666
180.340, 11338.756
180.822, 11122.059
181.304, 10908.229
181.786, 10701.614
182.268, 10502.281
182.751, 10309.263
183.233, 10120.661
183.715, 9946.119
184.197, 9814.446
184.679, 9720.524
185.161, 9624.700
185.643, 9491.875
186.125, 9333.752
186.607, 9183.055
187.090, 9043.936
187.572, 8918.285
188.054, 8810.908
188.536, 8722.627
189.018, 8641.014
189.500, 8559.835
189.982, 8479.790
190.464, 8397.827
190.947, 8316.624
191.429, 8232.134
191.911, 8131.719
192.393, 8013.173
192.875, 7895.806
193.357, 7801.438
193.839, 7730.488
194.321, 7645.921
194.803, 7534.818
195.286, 7404.095
195.768, 7279.367
196.250, 7161.888
196.732, 7049.579
197.214, 6942.408
197.696, 6840.938
198.178, 6736.901
198.661, 6629.132
199.143, 6516.844
199.625, 6390.920
200.107, 6247.605
200.589, 6099.279
201.071, 5957.194
201.553, 5819.029
202.035, 5692.996
202.517, 5585.139
202.999, 5495.127
203.482, 5394.333
203.964, 5281.546
204.446, 5157.564
204.928, 5018.772
205.410, 4859.897
205.892, 4711.113
206.374, 4588.480
206.857, 4493.822
207.339, 4392.788
207.821, 4284.717
208.303, 4170.578
208.785, 4051.410
209.267, 3925.313
209.749, 3795.875
210.231, 3662.723
210.713, 3523.354
211.195, 3400.227
211.678, 3297.496
212.160, 3205.666
212.642, 3108.578
213.124, 3006.093
213.606, 2901.812
214.088, 2795.888
214.570, 2682.408
215.052, 2583.420
215.535, 2503.429
216.017, 2436.279
216.499, 2365.548
216.981, 2284.935
217.463, 2207.806
217.945, 2143.719
218.427, 2103.956
218.909, 2047.669
219.391, 1963.105
219.874, 1862.177
220.356, 1788.656
220.838, 1758.984
221.320, 1731.055
221.802, 1680.080
222.284, 1593.599
222.766, 1517.333
223.248, 1458.824
223.731, 1413.377
224.213, 1363.151
224.695, 1303.859
225.177, 1245.536
225.659, 1192.959
226.141, 1147.187
226.623, 1106.101
227.105, 1072.155
227.587, 1043.863
228.070, 1010.536
228.552, 968.844
229.034, 924.728
229.516, 883.072
229.998, 845.923
230.480, 810.572
230.962, 775.497
231.444, 739.936
231.926, 705.270
232.409, 672.920
232.891, 641.272
233.373, 609.909
233.855, 584.120
234.337, 548.235
234.819, 493.283
235.301, 422.741
235.783, 375.178
236.266, 363.597
236.748, 360.024
237.230, 344.212
237.712, 309.178
238.194, 275.881
238.676, 247.954
239.158, 225.025
239.640, 203.446
240.122, 182.786
240.605, 162.279
241.087, 140.889
241.569, 116.005
242.051, 94.079
242.533, 75.746
243.015, 60.969
243.497, 46.092
243.980, 31.062
244.462, 16.313
244.944, 0.884
245.426, 20.141
245.908, 30.918
246.390, 22.654
246.872, 2.460
247.354, 2.577
247.836, 39.404
248.318, 86.319
248.801, 108.616
249.283, 117.931
249.765, 108.378
250.247, 103.504
250.729, 102.971
251.211, 119.775
251.693, 114.141
252.176, 117.455
252.658, 120.948
253.140, 111.921
253.622, 126.000
254.104, 117.308
254.586, 117.772
255.068, 114.063
255.550, 119.388
256.032, 121.925
256.514, 123.059
256.997, 112.686
257.479, 111.015
257.961, 130.505
258.443, 168.885
258.925, 189.225
259.407, 186.446
259.889, 174.542
260.371, 165.498
260.854, 162.737
261.336, 153.539
261.818, 132.256
262.300, 101.330
262.782, 84.531
263.264, 86.228
263.746, 94.854
264.228, 101.535
264.711, 106.503
265.193, 109.799
265.675, 112.715
266.157, 114.368
266.639, 106.862
267.121, 84.862
267.603, 63.937
268.085, 59.726
268.567, 78.833
269.050, 86.203
269.532, 71.411
270.014, 40.003
270.496, 24.005
270.978, 28.111
271.460, 35.897
271.942, 32.938
272.424, 15.632
272.906, 7.422
273.389, 15.893
273.871, 35.297
274.353, 38.622
274.835, 21.279
275.317, 2.210
275.799, 1.688
276.281, 12.345
276.763, 16.799
277.246, 5.241
277.728, 17.191
278.210, 32.673
278.692, 39.381
279.174, 46.240
279.656, 61.799
280.138, 86.539
280.620, 104.260
281.103, 111.020
281.585, 110.885
282.067, 114.377
282.549, 121.653
283.031, 130.956
283.513, 143.042
283.995, 157.552
284.477, 165.489
284.959, 162.744
285.441, 156.947
285.924, 170.477
286.406, 204.716
