##NAMES=Uramarsite
##RRUFFID=R061122
##IDEAL CHEMISTRY=N^3-^H_4_(U^6+^O_2_)As^5+^O_4_&#183;3H_2_O
##LOCALITY=Bota-Burum Uranium deposit, Kazakhstan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brownish green cleavage fragment, co-type material
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R061122
319.7146, 8.753784
320.1967, 9.577759
320.6788, 2.714600
321.1609, 14.51367
321.6431, 27.18945
322.1252, 35.25012
322.6073, 35.09888
323.0894, 16.27429
323.5715, 3.064331
324.0536, 1.005981
324.5358, 7.470825
325.0179, 14.54370
325.5000, 26.00244
325.9821, 34.13806
326.4642, 35.00647
326.9464, 19.16663
327.4285, 11.90881
327.9106, 22.04944
328.3927, 40.19604
328.8748, 47.55835
329.3569, 33.87354
329.8391, 20.53955
330.3212, 15.03052
330.8033, 21.96680
331.2854, 22.57190
331.7675, 10.83472
332.2496, 4.064819
332.7318, 7.374390
333.2139, 9.018311
333.6960, 23.21741
334.1781, 28.68701
334.6602, 24.11646
335.1423, 21.75659
335.6245, 22.35339
336.1066, 24.19507
336.5887, 25.49255
337.0708, 26.40076
337.5529, 26.34973
338.0350, 25.63147
338.5172, 24.06091
338.9993, 18.32410
339.4814, 6.550049
339.9635, 4.859863
340.4456, 9.572266
340.9277, 6.986938
341.4099, 3.652710
341.8920, 0.7875980
342.3741, 1.993408
342.8562, 7.134399
343.3383, 15.23328
343.8204, 21.39368
344.3026, 19.22070
344.7847, 10.02039
345.2668, 7.202148
345.7489, 14.35303
346.2310, 26.32141
346.7131, 34.06165
347.1953, 37.57788
347.6774, 37.75574
348.1595, 33.85413
348.6416, 26.97668
349.1237, 19.31934
349.6058, 10.44666
350.0880, 3.279053
350.5700, 3.437622
351.0522, 9.080444
351.5343, 13.02026
352.0164, 9.435303
352.4985, 2.662598
352.9806, 0.7828370
353.4627, 0.2087400
353.9449, 1.265503
354.4270, 1.165527
354.9091, 17.65979
355.3912, 0.4678960
355.8733, 9.951782
356.3554, 13.96472
356.8376, 7.604248
357.3197, 3.853638
357.8018, 2.064941
