##NAMES=Eglestonite
##RRUFFID=R060612
##IDEAL CHEMISTRY=Hg^1+^_6_OCl_3_(OH)
##LOCALITY=Cahill mine, Poverty Peak District, Humboldt County, Nevada, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brown fragments
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060612
##MEASURED CHEMISTRY=Hg^1+^_6.00_OCl_3.00_(OH) ; O,H not measured but estimated by difference and stoichiometry
91.148, 0.000
91.631, 0.142
92.113, 3.485
92.595, 6.853
93.077, 10.481
93.559, 13.791
94.041, 16.432
94.523, 20.317
95.005, 24.877
95.487, 29.752
95.970, 32.038
96.452, 30.823
96.934, 34.813
97.416, 39.401
97.898, 32.481
98.380, 20.065
98.862, 10.621
99.344, 7.530
99.826, 11.256
100.309, 12.767
100.791, 11.701
101.273, 8.524
101.755, 3.753
102.237, 3.749
102.719, 10.115
103.201, 13.083
103.683, 12.308
104.165, 8.865
104.648, 1.420
105.130, 9.462
105.612, 15.994
106.094, 15.086
106.576, 12.584
107.058, 13.389
107.540, 18.946
108.022, 26.040
108.505, 34.733
108.987, 45.457
109.469, 55.461
109.951, 61.515
110.433, 67.559
110.915, 78.785
111.397, 97.354
111.879, 119.330
112.362, 144.847
112.844, 177.769
113.326, 206.112
113.808, 225.175
114.290, 238.228
114.772, 252.667
115.254, 271.901
115.736, 292.217
116.218, 311.185
116.701, 321.617
117.183, 337.971
117.665, 366.977
118.147, 407.236
118.629, 451.324
119.111, 500.704
119.593, 550.366
120.075, 594.340
120.558, 630.508
121.040, 660.761
121.522, 684.293
122.004, 700.808
122.486, 717.249
122.968, 738.218
123.450, 762.493
123.932, 788.318
124.414, 816.733
124.897, 845.017
125.379, 867.747
125.861, 882.061
126.343, 898.536
126.825, 927.438
127.307, 967.999
127.789, 1016.988
128.271, 1074.634
128.753, 1138.940
129.236, 1204.370
129.718, 1269.226
130.200, 1335.937
130.682, 1409.083
131.164, 1488.040
131.646, 1571.577
132.128, 1662.471
132.610, 1758.528
133.093, 1849.057
133.575, 1931.693
134.057, 2006.293
134.539, 2077.261
135.021, 2146.060
135.503, 2205.379
135.985, 2245.947
136.467, 2267.477
136.949, 2276.208
137.432, 2273.593
137.914, 2259.677
138.396, 2234.747
138.878, 2196.342
139.360, 2150.793
139.842, 2107.113
140.324, 2064.141
140.806, 2027.287
141.288, 2000.566
141.771, 1987.747
142.253, 1970.820
142.735, 1946.654
143.217, 1919.237
143.699, 1900.763
144.181, 1891.512
144.663, 1890.583
145.145, 1899.950
145.628, 1934.325
146.110, 1950.792
146.592, 1940.154
147.074, 1905.349
147.556, 1877.331
148.038, 1864.253
148.520, 1851.292
149.002, 1827.709
149.484, 1777.706
149.967, 1736.010
150.449, 1704.993
150.931, 1684.138
151.413, 1678.426
151.895, 1675.153
152.377, 1692.243
152.859, 1746.813
153.342, 1832.796
153.824, 1962.090
154.306, 2126.861
154.788, 2313.763
