##NAMES=Cuprite
##RRUFFID=R140763
##IDEAL CHEMISTRY=Cu^1+^_2_O
##LOCALITY=Milpillas mine, Municipio de Santa Cruz, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Semimetallic deep red, massive
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R140763
141.3697, 99.32016
141.8518, 100.0620
142.3339, 100.3515
142.8160, 100.9312
143.2982, 102.2354
143.7803, 104.7234
144.2624, 106.4288
144.7445, 107.3013
145.2266, 107.3952
145.7087, 106.7504
146.1909, 104.8797
146.6730, 102.8932
147.1551, 101.2490
147.6372, 100.2733
148.1193, 98.75894
148.6014, 96.46259
149.0836, 93.62125
149.5657, 90.90627
150.0478, 88.52802
150.5299, 86.15894
151.0120, 83.64035
151.4941, 80.66565
151.9763, 77.90045
152.4584, 75.43454
152.9405, 73.22380
153.4226, 70.98962
153.9047, 68.03876
154.3868, 65.48909
154.8690, 63.89462
155.3511, 64.52429
155.8332, 64.88531
156.3153, 64.60152
156.7974, 63.74872
157.2795, 62.69604
157.7617, 61.03790
158.2438, 59.38957
158.7259, 58.18265
159.2080, 58.23407
159.6901, 58.10605
160.1722, 57.30467
160.6544, 55.84827
161.1365, 54.24001
161.6186, 52.32335
162.1007, 50.48183
162.5828, 49.03001
163.0649, 48.89928
163.5471, 48.50160
164.0292, 46.71490
164.5113, 43.49939
164.9934, 40.78671
165.4755, 39.72301
165.9576, 39.65967
166.4398, 39.79977
166.9219, 39.69930
167.4040, 39.79465
167.8861, 40.41383
168.3682, 41.58955
168.8503, 42.99043
169.3325, 44.35660
169.8146, 45.82213
170.2967, 47.57596
170.7788, 49.84703
171.2609, 52.39337
171.7430, 54.98016
172.2252, 57.60498
172.7073, 60.29677
173.1894, 62.94177
173.6715, 65.68881
174.1536, 68.75766
174.6357, 72.53519
175.1179, 76.63574
175.6000, 80.58980
176.0821, 84.29247
176.5642, 88.00311
177.0463, 92.34784
177.5284, 97.00636
178.0106, 100.9247
178.4927, 103.0837
178.9748, 104.2619
179.4569, 105.5774
179.9390, 107.0680
180.4211, 109.0203
180.9033, 111.9801
181.3854, 115.8236
181.8675, 119.8519
182.3496, 123.5420
182.8317, 127.1265
183.3138, 131.4472
183.7960, 136.6622
184.2781, 142.3065
184.7602, 147.7664
185.2423, 153.0756
185.7244, 158.0842
186.2065, 162.6803
186.6887, 166.9217
187.1708, 171.1586
187.6529, 175.4790
188.1350, 179.6710
188.6171, 183.4068
189.0992, 186.7098
189.5814, 189.3247
190.0635, 190.9895
190.5456, 191.7913
191.0277, 192.0948
191.5098, 191.8046
191.9919, 191.2652
192.4741, 191.1189
192.9562, 191.3670
193.4383, 191.9580
193.9204, 192.5415
194.4025, 193.1920
194.8846, 195.2541
195.3668, 199.0125
195.8489, 204.1214
196.3310, 209.9262
196.8131, 216.4738
197.2952, 223.3432
197.7773, 230.6598
198.2595, 238.3866
198.7416, 245.3195
199.2237, 251.3499
199.7058, 256.4536
200.1879, 260.3913
200.6700, 263.1544
201.1522, 265.0134
201.6343, 265.7950
202.1164, 265.3135
202.5985, 265.2068
203.0806, 265.3681
203.5627, 266.3095
204.0449, 269.7495
204.5270, 276.0293
205.0091, 283.4123
205.4912, 290.8197
