##NAMES=Greifensteinite
##RRUFFID=R070613
##IDEAL CHEMISTRY=Ca_2_Fe^2+^_5_Be_4_(PO_4_)_6_(OH)_4_&#183;6H_2_O
##LOCALITY=Tip Top mine, Custer County, South Dakota, USA
##OWNER=RRUFF
##SOURCE=Dakota Matrix Minerals
##DESCRIPTION=Darker orange-brown blebs in pale salmon colored montgomeryite, associated with tiptopite (R070609)
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070613
209.1956, 48.61769
209.6778, 49.04955
210.1599, 48.91960
210.6420, 48.97736
211.1241, 49.55421
211.6062, 49.99601
212.0883, 49.97807
212.5705, 49.49619
213.0526, 48.69818
213.5347, 47.65956
214.0168, 46.34071
214.4989, 45.19083
214.9810, 44.51071
215.4632, 43.75244
215.9453, 42.53481
216.4274, 40.84412
216.9095, 38.94589
217.3916, 37.06922
217.8737, 35.18777
218.3559, 33.11259
218.8380, 30.58637
219.3201, 28.01567
219.8022, 25.69911
220.2843, 23.65747
220.7664, 21.86827
221.2486, 20.47195
221.7307, 19.34946
222.2128, 18.04134
222.6949, 16.25422
223.1770, 14.36726
223.6591, 12.78368
224.1413, 11.50439
224.6234, 10.42532
225.1055, 9.642883
225.5876, 9.035622
226.0697, 8.388855
226.5518, 7.651878
227.0340, 6.847023
227.5161, 5.952477
227.9982, 4.900391
228.4803, 4.002800
228.9624, 3.590050
229.4445, 3.406334
229.9267, 3.112885
230.4088, 2.526642
230.8909, 1.820633
231.3730, 1.364372
231.8551, 1.278961
232.3372, 1.139717
232.8194, 0.6204680
233.3015, 2.1360000E-03
233.7836, 0.3695140
234.2657, 0.2635270
234.7478, 6.2019002E-02
235.2299, 1.9012000E-02
235.7121, 0.8221820
236.1942, 1.389465
236.6763, 1.256401
237.1584, 0.8551030
237.6405, 0.6845020
238.1227, 0.9941100
238.6048, 1.519539
239.0869, 1.544418
239.5690, 0.6763380
240.0511, 1.3443000E-02
240.5332, 0.3450320
241.0154, 0.4206920
241.4975, 0.2646410
241.9796, 0.1175990
242.4617, 0.5731120
242.9438, 0.7106860
243.4259, 0.3869710
243.9081, 6.8893000E-02
244.3902, 0.7766720
244.8723, 1.508369
245.3544, 1.962791
245.8365, 2.036301
246.3186, 1.998123
246.8007, 2.508713
247.2829, 4.368263
247.7650, 5.599358
248.2471, 5.669838
248.7292, 5.346611
249.2113, 5.336555
249.6934, 5.882477
250.1756, 6.727242
250.6577, 7.363731
251.1398, 7.558258
251.6219, 7.834732
252.1040, 8.273430
252.5861, 8.775040
253.0683, 9.238297
253.5504, 9.617271
254.0325, 9.896942
254.5146, 10.00961
254.9967, 9.771248
255.4788, 9.715569
255.9610, 10.10571
256.4431, 10.52868
256.9252, 10.54429
257.4073, 10.07259
