##NAMES=Lavinskyite
##RRUFFID=R141115
##IDEAL CHEMISTRY=K(LiCu^2+^)Cu^2+^_6_(Si_4_O_11_)_2_(OH)_4_
##LOCALITY=Wessels mine, South Africa
##OWNER=RRUFF
##SOURCE=Jaco and Tania Janse van Nieuwenhuizen
##DESCRIPTION=Greenish blue or light blue platy crystals, associated with dark blue scottyite (R141116) and blue wesselsite (with cleavage)
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R141115
##MEASURED CHEMISTRY=(K_0.98_Sr_0.01_)_Σ=0.99_(Li_1.25_Cu_0.71_Na_0.08_)_Σ=2.04_Cu_6_(Si_4.03_O_11_)_2_(OH)_4_; (Lavinskyite is the dark grey material in the image, associated with light grey R141116 scottyite)
341.9302, 93.09200
342.4124, 92.72153
342.8945, 92.08459
343.3766, 91.36813
343.8587, 90.50375
344.3408, 89.05438
344.8229, 86.99857
345.3051, 84.63385
345.7872, 82.32335
346.2693, 80.00314
346.7514, 77.03531
347.2335, 73.04398
347.7156, 68.77533
348.1978, 65.78778
348.6799, 63.93898
349.1620, 62.18616
349.6441, 60.11166
350.1262, 57.62473
350.6083, 54.31589
351.0905, 49.80728
351.5726, 45.20166
352.0547, 41.68689
352.5368, 39.14394
353.0189, 37.26239
353.5010, 36.46286
353.9832, 35.93036
354.4653, 34.93239
354.9474, 33.46138
355.4295, 31.14336
355.9116, 26.67642
356.3937, 21.34435
356.8759, 17.13763
357.3580, 15.67418
357.8401, 14.77557
358.3222, 12.89352
358.8043, 10.20132
359.2864, 7.759964
359.7686, 6.172440
360.2507, 5.047150
360.7328, 4.092224
361.2149, 3.330338
361.6970, 2.558273
362.1791, 1.602463
362.6613, 0.5707700
363.1434, 0.2856290
363.6255, 0.6299590
364.1076, 0.9913020
364.5897, 1.530426
365.0718, 2.128998
365.5540, 3.351028
366.0361, 6.019775
366.5182, 9.122391
367.0003, 11.44368
367.4824, 13.40050
367.9645, 13.99515
368.4467, 12.29648
368.9288, 8.180466
369.4109, 5.358383
369.8930, 4.213730
370.3751, 4.055832
370.8572, 4.549728
371.3394, 6.754349
371.8215, 7.777802
372.3036, 6.982819
372.7857, 4.867569
373.2678, 3.111557
373.7499, 1.497803
374.2321, 0.6052700
374.7142, 1.064575
375.1963, 3.563156
375.6784, 4.492233
376.1605, 3.677582
376.6426, 1.491745
377.1248, 2.043823
377.6069, 7.443863
378.0890, 11.27716
378.5711, 11.74866
379.0532, 9.468872
379.5353, 9.114822
380.0175, 11.00842
380.4996, 13.20122
380.9817, 13.09390
381.4638, 11.14351
381.9459, 11.49692
382.4280, 15.73903
382.9102, 21.71896
383.3923, 25.15973
383.8744, 26.28130
384.3565, 27.04799
384.8386, 28.66975
385.3207, 30.84006
385.8029, 32.81747
386.2850, 34.48473
386.7671, 36.29939
387.2492, 38.77443
387.7313, 41.77353
388.2134, 44.94275
388.6956, 47.84186
389.1777, 50.97513
389.6598, 55.40013
390.1419, 60.97652
390.6240, 65.55334
391.1061, 66.13364
391.5883, 65.79361
392.0704, 67.98239
392.5525, 76.25763
393.0346, 83.60524
393.5167, 86.07880
393.9988, 85.09517
394.4810, 84.68851
394.9631, 86.31567
395.4452, 88.82263
395.9273, 91.81122
396.4094, 95.51917
396.8915, 98.79446
397.3737, 101.6107
397.8558, 103.8168
398.3379, 105.2262
398.8200, 104.1364
399.3021, 104.0341
399.7842, 106.2145
400.2664, 110.6590
400.7485, 113.4983
401.2306, 113.2063
401.7127, 112.7538
402.1948, 114.0717
402.6769, 117.9858
403.1591, 121.9522
403.6412, 126.1612
404.1233, 130.1789
404.6054, 132.8813
405.0875, 133.8557
405.5696, 134.6499
406.0518, 135.7795
406.5339, 137.2428
407.0160, 139.2042
407.4981, 141.6611
407.9802, 144.5821
408.4623, 148.0026
408.9445, 151.9379
409.4266, 156.0679
409.9087, 160.3263
410.3908, 164.7139
410.8729, 169.3581
411.3550, 174.2631
411.8372, 178.8167
412.3193, 182.2063
412.8014, 184.9927
413.2835, 188.6083
413.7656, 193.3919
414.2477, 198.4974
414.7299, 203.0951
415.2120, 207.2911
415.6941, 211.2150
416.1762, 214.7032
416.6583, 218.1335
417.1404, 221.9819
417.6226, 226.2537
418.1047, 230.2188
418.5868, 232.7465
419.0689, 235.1090
419.5510, 238.6468
420.0331, 244.8629
