##NAMES=Pumpellyite-(Mg)
##RRUFFID=R120172
##IDEAL CHEMISTRY=Ca_2_MgAl_2_(SiO_4_)(Si_2_O_7_)(OH)_2_&#183;H_2_O
##LOCALITY=Archidona, Malaga Province, Spain
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Aggregates of dark-green acicular crystals, associated with light green epidote
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120172
488.9758, 91.26868
489.4579, 89.28101
489.9401, 87.50769
490.4222, 86.43555
490.9043, 85.86096
491.3864, 84.79260
491.8685, 83.18372
492.3506, 81.36121
492.8328, 79.52917
493.3149, 77.67834
493.7970, 75.71216
494.2791, 73.61926
494.7612, 71.44104
495.2433, 69.21704
495.7255, 66.94153
496.2076, 64.55164
496.6897, 61.61511
497.1718, 58.97205
497.6539, 57.83643
498.1360, 57.83948
498.6182, 57.52612
499.1003, 55.92419
499.5824, 53.87671
500.0645, 51.82397
500.5466, 49.63965
501.0287, 48.15686
501.5109, 48.02356
501.9930, 48.50696
502.4751, 48.87695
502.9572, 48.93835
503.4393, 48.97827
503.9214, 48.93274
504.4036, 48.87292
504.8857, 49.08130
505.3678, 49.76257
505.8499, 50.37708
506.3320, 50.70020
506.8141, 50.71777
507.2963, 50.74414
507.7784, 50.82910
508.2605, 50.82397
508.7426, 50.54932
509.2247, 50.00635
509.7068, 49.39771
510.1890, 48.81116
510.6711, 48.11682
511.1532, 47.00757
511.6353, 45.51611
512.1174, 43.98376
512.5995, 42.36389
513.0817, 40.95288
513.5638, 40.33252
514.0459, 40.42529
514.5280, 40.12695
515.0101, 37.76611
515.4922, 35.21765
515.9744, 34.41821
516.4565, 36.82593
516.9386, 38.94470
517.4207, 39.52197
517.9028, 39.12512
518.3849, 38.67358
518.8671, 37.57300
519.3492, 37.23328
519.8313, 38.24231
520.3134, 40.48511
520.7955, 42.37366
521.2776, 43.89832
521.7598, 45.09167
522.2419, 45.87598
522.7240, 46.13257
523.2061, 46.45435
523.6882, 46.74902
524.1703, 47.28137
524.6525, 48.47314
525.1346, 50.30127
525.6167, 52.35620
526.0988, 54.77332
526.5809, 57.06006
527.0630, 57.91956
527.5452, 57.62451
528.0273, 57.70886
528.5094, 59.43933
528.9915, 61.86877
529.4736, 63.81226
529.9557, 65.16052
530.4379, 66.89575
530.9200, 70.22498
531.4021, 73.93994
531.8842, 76.74976
532.3663, 76.51917
532.8484, 77.94678
533.3306, 83.67896
533.8127, 91.74292
534.2948, 97.84155
534.7769, 100.9401
535.2590, 102.8854
535.7411, 103.5013
536.2233, 102.8740
536.7054, 104.0217
537.1875, 107.5740
537.6696, 111.7137
538.1517, 115.4943
538.6339, 118.9152
539.1160, 121.6366
539.5981, 123.4988
540.0802, 125.0442
540.5623, 127.0844
541.0444, 129.5149
541.5266, 131.8661
542.0087, 134.3475
542.4908, 136.2456
542.9729, 136.2502
543.4550, 134.6492
543.9371, 132.6335
544.4193, 130.6796
544.9014, 128.6836
545.3835, 126.7703
545.8656, 124.9843
546.3477, 122.3535
546.8298, 117.7892
547.3120, 112.5409
547.7941, 107.6919
548.2762, 104.1594
548.7583, 99.93481
549.2404, 94.46655
549.7225, 88.33252
550.2047, 82.43250
550.6868, 76.53284
551.1689, 71.32202
551.6510, 67.15369
552.1331, 63.87317
552.6152, 60.71094
553.0974, 57.76172
553.5795, 54.52942
554.0616, 50.22437
554.5437, 45.20801
555.0258, 41.67090
555.5079, 39.85474
555.9901, 38.68835
556.4722, 36.91113
556.9543, 34.94861
557.4364, 33.74500
557.9185, 33.95337
558.4006, 34.37158
558.8828, 33.82751
559.3649, 32.73523
559.8470, 32.04883
560.3291, 32.09106
560.8112, 32.63135
561.2933, 33.63501
561.7755, 35.08057
562.2576, 36.64185
562.7397, 38.35156
563.2218, 40.05811
563.7039, 41.71619
564.1860, 43.40283
564.6682, 44.84009
565.1503, 45.94812
565.6324, 46.95581
566.1145, 47.98804
566.5966, 49.00952
567.0787, 50.89197
567.5609, 54.06201
568.0430, 57.95837
568.5251, 61.26355
569.0072, 64.08508
569.4893, 66.97241
569.9714, 70.11609
570.4536, 73.51318
570.9357, 77.26135
571.4178, 81.37061
571.8999, 85.67078
572.3820, 90.43311
572.8641, 94.98865
573.3463, 98.53613
573.8284, 100.4430
574.3105, 102.7678
574.7926, 106.2562
575.2747, 110.4186
575.7568, 114.6454
576.2390, 119.2686
576.7211, 123.5123
577.2032, 127.1240
577.6853, 130.2964
578.1674, 133.6959
578.6495, 137.5118
579.1317, 141.1956
579.6138, 144.6042
580.0959, 147.6665
580.5780, 149.6832
581.0601, 150.5283
581.5422, 151.6967
582.0244, 154.9512
582.5065, 159.5469
582.9886, 163.5616
583.4707, 166.7975
583.9528, 169.2863
584.4349, 170.3743
584.9171, 170.9147
585.3992, 172.1948
585.8813, 175.5828
586.3634, 178.8082
586.8455, 180.3320
587.3276, 180.9282
587.8098, 182.6643
588.2919, 186.9769
588.7740, 191.3960
589.2561, 195.1873
589.7382, 198.3370
590.2203, 201.5885
590.7025, 205.0166
591.1846, 208.3324
591.6667, 211.1555
592.1488, 213.4175
592.6309, 216.6217
593.1130, 221.0370
593.5952, 225.6970
594.0773, 229.6118
594.5594, 232.8075
595.0415, 235.2419
595.5236, 236.5812
596.0057, 237.9067
596.4879, 240.7850
596.9700, 244.5863
597.4521, 247.8082
597.9342, 250.0503
598.4163, 251.2589
598.8984, 251.3154
599.3806, 250.2576
599.8627, 248.4412
600.3448, 245.8014
600.8269, 242.5223
601.3090, 238.7281
601.7911, 234.5098
602.2733, 229.2527
602.7554, 222.7125
603.2375, 215.4746
603.7196, 208.2991
604.2017, 201.2133
604.6838, 193.2020
605.1660, 183.8982
605.6481, 174.0480
606.1302, 165.0223
606.6123, 156.6401
607.0944, 148.0663
607.5765, 138.6482
608.0587, 129.1272
608.5408, 120.2087
609.0229, 111.8458
609.5050, 103.5370
609.9871, 94.48950
610.4692, 85.93945
610.9514, 78.77661
611.4335, 73.03491
611.9156, 67.62036
612.3977, 62.95007
612.8798, 58.03186
613.3619, 52.15479
613.8441, 43.87183
614.3262, 38.16797
614.8083, 35.99219
615.2904, 35.06543
615.7725, 32.46570
616.2546, 28.08191
616.7368, 24.17419
617.2189, 21.21643
617.7010, 18.79968
618.1831, 16.12769
618.6652, 13.33557
619.1473, 10.95044
619.6295, 9.371338
620.1116, 8.259033
620.5937, 7.372559
621.0758, 6.686157
621.5579, 6.037354
622.0400, 5.645508
622.5222, 5.049438
623.0043, 3.815308
623.4864, 1.695801
623.9685, 0.1352540
624.4506, 0.3308110
624.9327, 0.5399170
625.4149, 1.035767
625.8970, 1.912964
626.3791, 2.836792
626.8612, 3.925049
627.3433, 4.844727
627.8254, 4.848755
628.3076, 4.002686
628.7897, 3.830933
629.2718, 4.984619
629.7539, 6.546570
630.2360, 7.003723
630.7181, 6.613220
631.2003, 6.170166
631.6824, 6.135376
632.1645, 6.146667
632.6466, 5.868286
633.1287, 5.344299
633.6108, 4.915405
634.0930, 4.865234
634.5751, 4.797058
635.0572, 4.422852
635.5393, 3.587158
636.0214, 3.258179
636.5035, 3.817444
636.9857, 4.429443
637.4678, 4.456543
637.9499, 3.845886
638.4320, 2.995972
638.9141, 1.833679
639.3962, 0.7506100
639.8784, 0.4467770
640.3605, 0.7343750
640.8426, 0.7872310
641.3247, 0.3585210
641.8068, 0.3699950
642.2889, 1.274414
642.7711, 2.333984
643.2532, 3.517212
643.7353, 5.181274
644.2174, 6.603394
644.6995, 7.271973
645.1816, 7.303101
645.6638, 7.538940
646.1459, 8.490601
646.6280, 9.262573
647.1101, 9.447998
647.5922, 8.987854
648.0743, 8.985962
648.5565, 9.593689
649.0386, 10.23901
649.5207, 10.44910
650.0028, 10.26044
650.4849, 9.849854
650.9670, 9.116882
651.4492, 8.893677
651.9313, 10.68091
652.4134, 13.50635
652.8955, 15.49945
653.3776, 16.06299
653.8597, 16.08514
654.3419, 15.98877
654.8240, 15.76642
655.3061, 15.40564
655.7882, 14.45996
656.2703, 13.92065
656.7524, 14.35266
657.2346, 15.37476
657.7167, 15.78845
658.1988, 15.29254
658.6809, 14.88623
659.1630, 14.80743
659.6451, 15.08899
660.1273, 16.14355
660.6094, 18.02252
661.0915, 19.70117
661.5736, 20.19531
662.0557, 20.08826
662.5378, 20.48938
663.0200, 21.44684
663.5021, 22.75018
663.9842, 24.61230
664.4663, 26.53979
664.9484, 28.01160
665.4305, 28.77649
665.9127, 29.59784
666.3948, 30.47571
666.8769, 31.61859
667.3590, 33.27789
667.8411, 35.89722
668.3232, 38.08148
668.8054, 39.59491
669.2875, 40.76141
669.7696, 41.91187
670.2517, 43.02936
670.7338, 45.01257
671.2159, 48.48914
671.6981, 52.44250
672.1802, 54.34595
672.6623, 54.98840
673.1444, 57.29773
673.6265, 65.51257
674.1086, 73.71320
674.5908, 76.73285
675.0729, 75.28119
675.5550, 74.74799
676.0371, 77.16992
676.5192, 80.58661
677.0013, 84.30768
677.4835, 88.35480
677.9656, 92.34180
678.4477, 96.03918
678.9298, 100.1600
679.4119, 105.1591
679.8940, 111.0972
680.3762, 117.6549
680.8583, 125.0087
681.3404, 132.2528
681.8225, 138.1401
682.3046, 143.3116
682.7867, 149.3727
683.2689, 156.7421
683.7510, 164.3923
684.2331, 171.4215
684.7152, 178.2349
685.1973, 185.1967
685.6794, 191.9816
686.1616, 199.7136
686.6437, 209.1810
687.1258, 219.4727
687.6079, 228.9698
688.0900, 237.4454
688.5721, 245.7546
689.0543, 254.1053
689.5364, 262.2277
690.0185, 269.6226
690.5006, 276.2683
690.9827, 282.2777
691.4648, 287.9441
691.9470, 292.8707
692.4291, 297.0842
692.9112, 300.3777
693.3933, 301.5547
693.8754, 297.6898
694.3575, 293.1987
694.8397, 291.7394
695.3218, 294.0105
695.8039, 293.6910
696.2860, 288.8124
696.7681, 282.3281
697.2502, 275.5052
697.7324, 268.3563
698.2145, 260.6986
698.6966, 252.4854
699.1787, 243.9454
699.6608, 235.3643
700.1429, 226.7228
700.6251, 217.4016
701.1072, 207.2297
701.5893, 196.9166
702.0714, 186.9893
702.5535, 177.3884
703.0356, 167.9709
703.5178, 158.5479
703.9999, 149.5862
704.4820, 141.2213
704.9641, 133.5417
705.4462, 126.5555
705.9283, 120.4170
706.4105, 114.6559
706.8926, 109.3855
707.3747, 104.3761
707.8568, 98.85242
708.3389, 92.70813
