##NAMES=Sahamalite-(Ce)
##RRUFFID=R080043
##IDEAL CHEMISTRY=Ce_2_Mg(CO_3_)_4_
##LOCALITY=Mountain Pass Mine (Sulfide Queen mine; Bastnaesite deposit; Mountain Pass carbonatite), Ivanpah, Mountain Pass District, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Dull white, semitransparent flat crystal associated with dolomite.
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080043
253.1983, 0.9904790
253.6804, 1.325863
254.1626, 1.509117
254.6447, 1.676235
255.1268, 1.921459
255.6089, 2.216370
256.0910, 2.517567
256.5731, 2.807072
257.0552, 3.103485
257.5374, 3.451763
258.0195, 3.869904
258.5016, 4.248062
258.9837, 4.404499
259.4658, 4.519176
259.9479, 4.841187
260.4301, 5.533913
260.9122, 6.323868
261.3943, 6.778881
261.8764, 6.803452
262.3585, 6.956310
262.8406, 7.603138
263.3228, 8.450596
263.8049, 9.256359
264.2870, 9.952385
264.7691, 10.61045
265.2512, 11.30929
265.7333, 12.05002
266.2155, 12.83947
266.6976, 13.65931
267.1797, 14.54736
267.6618, 15.55948
268.1439, 16.71000
268.6260, 17.92157
269.1082, 19.05079
269.5903, 20.04209
270.0724, 21.25686
270.5545, 22.94835
271.0366, 24.77735
271.5187, 26.52579
272.0009, 28.16723
272.4830, 29.86819
272.9651, 31.84105
273.4472, 34.12376
273.9293, 36.45856
274.4114, 38.63484
274.8936, 41.01539
275.3757, 43.88852
275.8578, 47.20793
276.3399, 50.67699
276.8220, 53.94191
277.3041, 56.91482
277.7863, 60.22784
278.2684, 64.16047
278.7505, 68.25132
279.2326, 72.50758
279.7147, 76.79727
280.1968, 80.85257
280.6790, 84.37918
281.1611, 87.37714
281.6432, 90.32343
282.1253, 93.09224
282.6074, 95.95209
283.0895, 98.96928
283.5717, 102.1475
284.0538, 105.4535
284.5359, 108.8774
285.0180, 112.4130
285.5001, 115.9919
285.9822, 119.5705
286.4644, 123.2262
286.9465, 126.9701
287.4286, 130.7903
287.9107, 134.6347
288.3928, 138.4892
288.8749, 142.3741
289.3571, 146.3706
289.8392, 150.4963
290.3213, 154.7443
290.8034, 159.3254
291.2855, 163.9639
291.7676, 168.3802
292.2498, 172.4265
292.7319, 176.1124
293.2140, 179.4802
293.6961, 182.5720
294.1782, 185.2629
294.6603, 187.3660
295.1425, 189.1824
295.6246, 191.2222
296.1067, 193.5840
296.5888, 195.5987
297.0709, 196.1342
297.5530, 195.0281
298.0351, 192.4435
298.5172, 188.4361
298.9994, 183.2402
299.4815, 176.7850
299.9636, 169.1593
300.4457, 160.7522
300.9278, 151.9106
301.4099, 142.4081
301.8921, 133.1595
302.3742, 124.1049
302.8563, 115.2352
303.3384, 106.3327
303.8205, 97.49342
304.3026, 89.17595
304.7848, 81.82876
305.2669, 75.44183
305.7490, 69.66103
306.2311, 64.63266
306.7132, 60.00679
307.1953, 55.73703
307.6775, 51.78517
308.1596, 48.12002
308.6417, 44.68226
309.1238, 41.48769
309.6059, 38.80642
310.0880, 36.96594
310.5702, 35.31248
311.0523, 33.90101
311.5344, 32.58077
312.0165, 31.08194
312.4986, 29.25070
312.9807, 27.29881
313.4629, 25.86824
313.9450, 25.48253
314.4271, 24.99772
314.9092, 24.22096
315.3913, 23.37232
315.8734, 22.71408
316.3556, 22.32361
316.8377, 22.01917
317.3198, 21.45412
317.8019, 20.37992
318.2840, 19.49481
318.7661, 18.70463
319.2483, 18.13710
319.7304, 17.98224
320.2125, 18.21059
320.6946, 18.54246
321.1767, 18.65493
321.6588, 18.50468
322.1410, 18.29167
322.6231, 17.96778
323.1052, 17.63510
323.5873, 17.35158
324.0694, 17.10377
324.5515, 16.83546
325.0337, 16.48579
325.5158, 16.05623
325.9979, 15.75089
326.4800, 15.70004
326.9621, 15.63787
327.4442, 15.51832
327.9264, 15.34118
328.4085, 15.07272
328.8906, 14.67648
329.3727, 14.24761
329.8548, 14.19521
330.3369, 15.11383
330.8191, 15.65051
331.3012, 15.46186
331.7833, 14.93881
332.2654, 14.43692
332.7475, 14.09668
333.2296, 13.89717
333.7118, 13.80746
334.1939, 13.87272
334.6760, 13.97056
335.1581, 14.26173
335.6402, 14.46318
336.1223, 14.29556
336.6045, 13.77162
337.0866, 13.20755
337.5687, 13.00486
338.0508, 13.31339
338.5329, 13.26682
339.0150, 12.45859
339.4972, 11.69394
339.9793, 11.40578
340.4614, 11.44978
340.9435, 11.37915
341.4256, 10.82830
341.9077, 9.845684
342.3898, 9.034054
342.8719, 8.558910
343.3541, 8.067440
343.8362, 7.422283
344.3183, 6.734531
344.8004, 6.159004
345.2825, 5.773129
345.7646, 5.528782
346.2468, 5.295776
346.7289, 5.016308
347.2110, 4.867893
347.6931, 5.055321
348.1752, 5.248756
348.6573, 5.136978
349.1395, 4.658958
349.6216, 4.056492
350.1037, 3.653633
350.5858, 3.510590
351.0679, 3.339195
351.5500, 3.032207
352.0322, 2.775387
352.5143, 2.702225
352.9964, 2.776550
353.4785, 2.841637
353.9606, 2.759251
354.4427, 2.539661
354.9249, 2.346359
355.4070, 2.166245
355.8891, 2.013920
356.3712, 1.878555
356.8533, 1.783669
357.3354, 1.770702
357.8176, 1.876507
358.2997, 2.037315
358.7818, 2.101063
359.2639, 2.045139
359.7460, 1.971260
360.2281, 1.863968
360.7103, 1.775932
