##NAMES=Rudenkoite
##RRUFFID=R070048
##IDEAL CHEMISTRY=Sr_3_Al_3.5_Si_3.5_O_10_(OH,O)_8_Cl_2_&#183;H_2_O
##LOCALITY=80 km SEE of Aldan, Yakutia, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White fragment embedded in epoxy, co-type material
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070048
199.3566, 61.67139
199.8387, 45.46338
200.3208, 40.84619
200.8029, 51.57617
201.2850, 65.93848
201.7671, 68.87988
202.2493, 59.24756
202.7314, 43.97510
203.2135, 20.72559
203.6956, 11.39795
204.1777, 24.21387
204.6598, 11.05225
205.1420, 12.25000
205.6241, 20.57080
206.1062, 10.11914
206.5883, 1.813477
207.0704, 7.810059
207.5526, 6.287598
208.0347, 10.10156
208.5168, 23.01611
208.9989, 37.86865
209.4810, 37.37744
209.9631, 13.88330
210.4453, 4.863770
210.9274, 2.201172
211.4095, 32.07861
211.8916, 45.42725
212.3737, 28.10107
212.8558, 5.907715
213.3380, 18.15479
213.8201, 0.8901370
214.3022, 15.99463
214.7843, 7.489746
215.2664, 32.63721
215.7485, 60.78369
216.2307, 70.04932
216.7128, 66.72217
217.1949, 72.51709
217.6770, 91.56982
218.1591, 111.8149
218.6412, 126.0190
219.1234, 130.4312
219.6055, 140.1357
220.0876, 156.3325
220.5697, 177.6738
221.0518, 201.9482
221.5339, 230.5444
222.0161, 261.4795
222.4982, 293.3457
222.9803, 328.9111
223.4624, 359.7842
223.9445, 383.6973
224.4266, 401.7544
224.9088, 423.7485
225.3909, 452.4780
225.8730, 481.2681
226.3551, 503.2725
226.8372, 512.3726
227.3193, 529.4736
227.8015, 559.3149
228.2836, 600.6787
228.7657, 635.6704
229.2478, 659.1724
229.7299, 682.7114
230.2120, 716.2539
230.6942, 766.1455
231.1763, 814.0479
231.6584, 860.6650
232.1405, 906.0015
232.6226, 931.0742
233.1047, 922.8809
233.5869, 907.9263
234.0690, 910.6572
234.5511, 944.1084
235.0332, 970.6411
235.5153, 983.8472
235.9974, 983.6353
236.4796, 978.8462
236.9617, 974.2422
237.4438, 960.4736
237.9259, 927.6060
238.4080, 869.1318
238.8902, 804.0317
239.3723, 732.5049
239.8544, 654.2412
240.3365, 581.5508
240.8186, 510.6289
241.3007, 448.6587
241.7829, 404.9141
242.2650, 392.0327
242.7471, 374.5283
243.2292, 341.8613
243.7113, 291.8047
244.1934, 257.4336
244.6756, 249.1753
245.1577, 247.2573
245.6398, 228.7275
246.1219, 180.0068
246.6040, 139.0645
247.0861, 114.9814
247.5683, 109.1343
248.0504, 105.0938
248.5325, 103.4570
249.0146, 103.0850
249.4967, 103.8809
249.9788, 83.25830
250.4610, 103.3076
250.9431, 112.5122
251.4252, 111.6577
251.9073, 57.70410
252.3894, 82.25244
252.8715, 81.42920
253.3537, 83.74121
253.8358, 131.7417
254.3179, 107.8003
254.8000, 151.6187
255.2821, 170.3433
255.7642, 180.7002
256.2464, 179.9092
256.7285, 173.5195
257.2106, 167.7036
257.6927, 161.7290
258.1748, 157.9697
258.6570, 158.6768
259.1391, 164.8081
259.6212, 164.6543
260.1033, 154.6201
260.5854, 141.8237
261.0675, 136.3682
261.5497, 142.7271
262.0318, 142.1216
262.5139, 126.8228
262.9960, 95.43604
263.4781, 82.60156
263.9602, 96.22559
264.4424, 116.5757
264.9245, 117.2407
265.4066, 88.52979
265.8887, 70.28857
266.3708, 80.48682
266.8529, 121.0483
267.3351, 127.9502
267.8172, 90.82861
268.2993, 39.11133
268.7814, 9.786133
269.2635, 7.791504
269.7456, 2.375488
270.2278, 16.29102
270.7099, 47.48926
271.1920, 63.52637
271.6741, 62.12598
272.1562, 54.46240
272.6383, 51.42676
273.1205, 52.87256
273.6026, 54.13574
274.0847, 54.55615
274.5668, 54.05371
275.0489, 49.53174
275.5310, 39.02637
276.0132, 28.64453
276.4953, 28.58154
276.9774, 41.45068
277.4595, 45.16846
277.9416, 31.04248
278.4237, 0.9833980
278.9059, 26.26025
279.3880, 51.13965
279.8701, 72.00635
280.3522, 80.56445
280.8343, 75.26270
281.3164, 88.64307
281.7986, 137.0845
282.2807, 212.0830
282.7628, 270.2266
283.2449, 310.2817
283.7270, 336.5288
284.2091, 346.1875
284.6913, 339.9385
285.1734, 343.4736
285.6555, 369.1953
286.1376, 408.5986
286.6197, 427.6157
287.1018, 423.6357
287.5840, 418.1440
288.0661, 438.3120
288.5482, 479.9683
289.0303, 505.0771
289.5124, 497.2622
289.9945, 470.1387
290.4767, 457.4458
290.9588, 459.6250
291.4409, 468.7495
291.9230, 478.9136
292.4051, 490.3550
292.8872, 504.4204
293.3694, 523.7695
293.8515, 543.8521
294.3336, 555.5547
294.8157, 559.1108
295.2978, 559.9741
295.7799, 562.9800
296.2621, 566.9844
296.7442, 568.7539
297.2263, 568.1128
297.7084, 564.3438
298.1905, 555.7441
298.6726, 542.6182
299.1548, 527.0044
299.6369, 508.6133
300.1190, 488.9844
300.6011, 469.3101
301.0832, 444.4180
301.5653, 430.7773
302.0475, 455.2368
302.5296, 464.5386
303.0117, 459.5044
303.4938, 397.0864
303.9759, 408.8706
304.4580, 390.9775
304.9402, 398.1738
305.4223, 456.2705
305.9044, 514.6895
306.3865, 570.0918
306.8686, 608.5244
307.3507, 600.9219
307.8329, 583.5444
308.3150, 597.3677
308.7971, 657.1650
309.2792, 723.3267
309.7613, 763.1479
310.2434, 788.0381
310.7256, 821.7061
311.2077, 889.7031
311.6898, 962.1860
312.1719, 1013.509
312.6540, 1036.069
313.1361, 1055.834
313.6183, 1080.655
314.1004, 1112.879
314.5825, 1156.792
315.0646, 1222.330
315.5468, 1293.188
316.0289, 1360.646
316.5110, 1424.269
316.9931, 1486.399
317.4752, 1541.299
317.9573, 1597.143
318.4395, 1664.658
318.9216, 1747.737
319.4037, 1841.529
319.8858, 1947.831
320.3679, 2067.994
320.8500, 2184.916
321.3322, 2290.766
321.8143, 2393.009
322.2964, 2498.844
322.7785, 2623.067
323.2606, 2737.445
323.7427, 2829.812
324.2249, 2899.397
324.7070, 2980.014
325.1891, 3086.620
325.6712, 3199.218
326.1533, 3303.093
326.6354, 3403.920
327.1176, 3488.581
327.5997, 3554.094
328.0818, 3600.522
328.5639, 3639.019
329.0460, 3689.359
329.5281, 3717.390
330.0103, 3701.431
330.4924, 3617.851
330.9745, 3526.217
331.4566, 3431.324
331.9387, 3331.549
332.4208, 3220.602
332.9030, 3098.548
333.3851, 2967.511
333.8672, 2826.178
334.3493, 2668.714
334.8314, 2517.120
335.3135, 2374.565
335.7957, 2239.631
336.2778, 2103.890
336.7599, 1961.539
337.2420, 1829.415
337.7241, 1713.043
338.2062, 1613.720
338.6884, 1528.417
339.1705, 1458.244
339.6526, 1401.748
340.1347, 1358.129
340.6168, 1329.263
341.0989, 1303.527
341.5811, 1273.126
342.0632, 1238.938
342.5453, 1225.337
343.0274, 1236.202
343.5095, 1255.391
343.9916, 1260.476
344.4738, 1252.281
344.9559, 1252.768
345.4380, 1266.369
345.9201, 1294.634
346.4022, 1352.849
346.8843, 1444.112
347.3665, 1531.135
347.8486, 1569.464
348.3307, 1572.464
348.8128, 1592.344
349.2949, 1650.125
349.7770, 1727.029
