##NAMES=Nepheline
##RRUFFID=R090059
##IDEAL CHEMISTRY=KNa_3_(AlSiO_4_)_4_
##LOCALITY=Lajuar Madan, Sar-e-Sang District, Badakhshan, Afghanistan
##OWNER=RRUFF
##SOURCE=Dudley Blauwet
##DESCRIPTION=Colorless blocky crystals coated with colorless sodalite with electric blue inclusions, on a marble matrix
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R090059
220.5523, 82.72022
221.0344, 84.07794
221.5165, 84.67294
221.9986, 84.12455
222.4808, 82.57719
222.9629, 81.38148
223.4450, 80.74241
223.9271, 80.30087
224.4092, 80.42851
224.8913, 80.65717
225.3735, 80.19321
225.8556, 78.43381
226.3377, 75.53176
226.8198, 73.07143
227.3019, 71.54667
227.7840, 70.04058
228.2662, 68.25242
228.7483, 66.27978
229.2304, 64.54202
229.7125, 63.40583
230.1946, 62.71882
230.6767, 60.69009
231.1589, 56.22255
231.6410, 51.79095
232.1231, 47.83621
232.6052, 44.34879
233.0873, 41.18322
233.5694, 38.22540
234.0516, 35.46898
234.5337, 33.12893
235.0158, 31.67676
235.4979, 30.05800
235.9800, 27.81235
236.4621, 25.15822
236.9443, 22.62423
237.4264, 20.53595
237.9085, 18.74335
238.3906, 16.63137
238.8727, 13.72038
239.3548, 11.18091
239.8370, 9.797657
240.3191, 9.145328
240.8012, 8.046458
241.2833, 5.684988
241.7654, 2.671264
242.2475, 0.7864170
242.7297, 0.3400090
243.2118, 0.3044470
243.6939, 0.4981440
244.1760, 0.7924390
244.6581, 0.7897830
245.1402, 0.2534040
245.6224, 0.5670490
246.1045, 1.243408
246.5866, 1.832597
247.0687, 2.030942
247.5508, 1.455581
248.0329, 0.3819480
248.5151, 3.2283999E-02
248.9972, 1.023694
249.4793, 2.240831
249.9614, 1.844226
250.4435, 0.2176040
250.9256, 2.406707
251.4078, 3.842338
251.8899, 4.721295
252.3720, 5.883903
252.8541, 7.642476
253.3362, 9.564878
253.8183, 11.10563
254.3005, 12.27740
254.7826, 13.65873
255.2647, 15.68207
255.7468, 18.25282
256.2289, 20.87755
256.7110, 23.45289
257.1931, 26.09490
257.6753, 28.78109
258.1574, 31.53736
258.6395, 34.55693
259.1216, 37.99847
259.6037, 41.85939
260.0858, 45.89719
260.5680, 50.49358
261.0501, 54.66562
261.5322, 57.82030
262.0143, 60.12926
262.4964, 62.11756
262.9785, 64.07939
263.4607, 65.98882
263.9428, 67.74499
264.4249, 69.44977
264.9070, 70.80210
265.3891, 71.91043
265.8712, 72.62978
266.3534, 72.60709
266.8355, 71.40828
267.3176, 69.33883
267.7997, 67.73357
268.2818, 67.21973
268.7639, 66.03819
269.2461, 63.27814
269.7282, 59.61717
270.2103, 56.05553
270.6924, 53.16392
271.1745, 50.70357
271.6566, 47.98896
272.1388, 44.93822
272.6209, 41.87102
273.1030, 38.73531
273.5851, 35.66750
274.0672, 32.91477
274.5493, 30.60048
275.0315, 28.51274
275.5136, 26.08800
275.9957, 22.89044
276.4778, 20.19119
276.9599, 18.40759
277.4420, 17.02624
277.9242, 15.51913
278.4063, 13.69483
278.8884, 11.88644
279.3705, 10.76115
279.8526, 10.74544
280.3347, 10.53409
280.8169, 9.781115
281.2990, 8.954870
281.7811, 8.474583
282.2632, 8.413396
282.7453, 8.443830
283.2274, 8.093875
283.7096, 7.285317
284.1917, 6.261154
284.6738, 4.485227
285.1559, 2.931598
285.6380, 2.232048
286.1201, 2.421205
286.6023, 3.079590
287.0844, 3.851286
287.5665, 4.930679
288.0486, 5.288287
288.5307, 4.323411
289.0128, 3.237469
289.4950, 2.395971
289.9771, 1.899200
290.4592, 1.807791
290.9413, 2.238909
291.4234, 3.249249
291.9055, 4.021478
292.3877, 4.656743
292.8698, 4.962342
293.3519, 4.628830
293.8340, 3.905465
294.3161, 3.331140
294.7982, 3.329437
295.2804, 3.824262
295.7625, 3.828146
296.2446, 2.880292
296.7267, 1.907658
297.2088, 1.005671
297.6909, 0.2018750
298.1731, 0.1165560
298.6552, 0.2399650
299.1373, 0.4703860
299.6194, 0.7978470
300.1015, 1.536360
300.5836, 1.974222
301.0658, 1.972280
301.5479, 1.676266
302.0300, 1.068572
302.5121, 0.1672170
302.9942, 0.6528470
303.4763, 0.5659590
303.9585, 1.755497
304.4406, 2.923287
304.9227, 1.888475
305.4048, 0.4928730
305.8869, 0.4099110
306.3690, 1.874598
306.8512, 3.651199
307.3333, 4.049607
307.8154, 2.411885
308.2975, 1.571810
308.7796, 1.937309
309.2617, 2.434383
309.7439, 2.388811
310.2260, 1.793702
310.7081, 1.057055
311.1902, 0.5664040
311.6723, 0.3289570
312.1544, 0.2784010
312.6366, 0.5226110
313.1187, 0.8177660
313.6008, 1.135188
314.0829, 1.429942
314.5650, 1.655075
315.0471, 1.795926
315.5293, 1.833090
316.0114, 1.491768
316.4935, 0.2190010
316.9756, 0.8198150
317.4577, 1.367223
317.9398, 1.530304
318.4220, 1.388099
318.9041, 0.9606360
319.3862, 0.4459480
319.8683, 0.4850710
320.3504, 1.732417
320.8326, 2.742493
321.3147, 3.277540
321.7968, 3.627887
322.2789, 4.120508
322.7610, 4.846981
323.2431, 5.613458
323.7253, 5.844071
324.2074, 5.690887
324.6895, 5.889576
325.1716, 5.850553
325.6537, 4.869558
326.1358, 3.682923
326.6180, 2.418880
327.1001, 1.409492
327.5822, 1.090771
328.0643, 1.707721
328.5464, 1.732457
329.0285, 0.7667270
329.5107, 0.3225270
329.9928, 1.255374
