##NAMES=Claraite
##RRUFFID=R110020
##IDEAL CHEMISTRY=Cu^2+^_3_CO_3_(OH)_4_&#183;4H_2_O
##LOCALITY=Sommerau District, Brixlegg - Rattenberg, Brixlegg - Schwaz area, Inn valley, North Tyrol, Tyrol, Austria
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Light blue massive coating with scattered isolated crystals, associated with dark blue azurite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R110020
323.8367, 121.9180
324.3188, 122.8580
324.8009, 122.7722
325.2830, 120.5896
325.7651, 117.7239
326.2473, 115.1270
326.7294, 113.5505
327.2115, 111.5877
327.6936, 108.5388
328.1757, 104.8237
328.6578, 102.3799
329.1400, 102.4210
329.6221, 102.7635
330.1042, 102.5104
330.5863, 101.5199
331.0684, 100.1257
331.5505, 97.89484
332.0327, 95.33423
332.5148, 93.64307
332.9969, 93.47797
333.4790, 93.24329
333.9611, 92.44812
334.4432, 91.10498
334.9254, 89.04321
335.4075, 85.96777
335.8896, 82.40039
336.3717, 79.00134
336.8538, 75.69861
337.3359, 72.78955
337.8180, 70.45728
338.3001, 68.69812
338.7823, 67.02124
339.2644, 65.70227
339.7465, 64.01233
340.2286, 60.92554
340.7107, 56.11798
341.1928, 52.01550
341.6750, 49.26349
342.1571, 47.55933
342.6392, 45.93591
343.1213, 44.43439
343.6034, 42.78815
344.0855, 40.45587
344.5677, 37.51758
345.0498, 35.64966
345.5319, 35.29724
346.0140, 35.72546
346.4961, 35.34930
346.9782, 34.21100
347.4604, 33.54327
347.9425, 34.63293
348.4246, 36.86627
348.9067, 37.76440
349.3888, 37.04407
349.8709, 35.79602
350.3531, 35.13495
350.8352, 35.00708
351.3173, 35.22156
351.7994, 36.07178
352.2815, 37.08917
352.7636, 37.57782
353.2458, 37.53149
353.7279, 36.92303
354.2100, 35.28619
354.6921, 33.13379
355.1742, 31.46545
355.6563, 31.48102
356.1385, 31.13824
356.6206, 27.59619
357.1027, 21.54242
357.5848, 16.50250
358.0669, 15.49805
358.5490, 15.99866
359.0312, 15.60583
359.5133, 13.60345
359.9954, 11.23175
360.4775, 8.995605
360.9596, 6.913940
361.4417, 5.053345
361.9239, 4.025635
362.4060, 2.777527
362.8881, 0.3386230
363.3702, 3.801392
363.8523, 6.877136
364.3344, 7.245117
364.8166, 6.323425
365.2987, 5.736450
365.7808, 5.287292
366.2629, 5.817627
366.7450, 7.961060
367.2271, 11.71149
367.7093, 15.06989
368.1914, 18.69550
368.6735, 21.31482
369.1556, 22.07294
369.6377, 18.51947
370.1198, 16.16296
370.6020, 15.75653
371.0841, 16.79980
371.5662, 17.44568
372.0483, 17.80774
372.5304, 17.64624
373.0125, 16.53503
373.4947, 13.37817
373.9768, 12.73077
374.4589, 16.05139
374.9410, 20.69769
375.4231, 22.22174
375.9052, 19.61102
376.3874, 16.68494
376.8695, 14.47949
377.3516, 12.93579
377.8337, 11.84192
378.3158, 11.36597
378.7979, 10.75079
379.2801, 9.106262
379.7622, 6.345154
380.2443, 3.721130
380.7264, 1.225037
381.2085, 0.8234250
381.6906, 1.058289
382.1728, 0.5781860
382.6549, 1.723389
383.1370, 0.4057620
383.6191, 2.809448
384.1012, 5.664551
384.5833, 7.942993
385.0655, 9.866089
385.5476, 11.56342
386.0297, 13.11572
386.5118, 14.69568
386.9939, 16.31897
387.4760, 18.08044
387.9582, 20.15790
388.4403, 22.58826
388.9224, 25.19189
389.4045, 28.01306
389.8866, 30.84454
390.3687, 33.39520
390.8509, 35.19818
391.3330, 37.05835
391.8151, 40.16858
392.2972, 44.04779
392.7793, 46.80200
393.2614, 46.45673
393.7436, 45.28278
394.2257, 44.71149
394.7078, 44.62286
395.1899, 46.06012
395.6720, 50.25653
396.1541, 56.05096
396.6363, 61.58112
397.1184, 66.99176
397.6005, 71.50287
398.0826, 74.23633
