##NAMES=Simonkolleite
##RRUFFID=R130616
##IDEAL CHEMISTRY=Zn_5_(OH)_8_Cl_2_&#183;H_2_O
##LOCALITY=Rowley mine, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Colorless tabular crystals, associated with the blue platy crystals with the chemistry CuZnCl(OH)3.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130616
152.7887, 0.2601520
153.2708, 0.6738130
153.7529, 1.027301
154.2351, 1.336211
154.7172, 1.638440
155.1993, 1.966815
155.6814, 2.250839
156.1635, 2.362208
156.6456, 2.282863
157.1278, 2.269966
157.6099, 2.341072
158.0920, 2.456725
158.5741, 2.436845
159.0562, 2.324660
159.5383, 2.075900
160.0205, 1.537234
160.5026, 0.7681300
160.9847, 9.4737999E-02
161.4668, 0.3414000
161.9489, 0.5190530
162.4310, 0.4710600
162.9131, 0.1994730
163.3953, 0.7098730
163.8774, 0.5188330
164.3595, 0.3175050
164.8416, 1.274653
165.3237, 2.153070
165.8058, 2.889341
166.2880, 3.365984
166.7701, 3.404636
167.2522, 3.309964
167.7343, 3.407504
168.2164, 3.712411
168.6985, 4.139835
169.1807, 4.827044
169.6628, 5.565995
170.1449, 6.061771
170.6270, 6.067899
171.1091, 5.841255
171.5912, 6.018512
172.0734, 6.861386
172.5555, 7.637534
173.0376, 7.993101
173.5197, 8.126499
174.0018, 8.311049
174.4839, 8.696240
174.9661, 9.262411
175.4482, 9.907215
175.9303, 10.79169
176.4124, 11.57269
176.8945, 12.09547
177.3766, 12.45589
177.8588, 12.82315
178.3409, 13.32935
178.8230, 13.97818
179.3051, 14.55023
179.7872, 14.86999
180.2693, 15.28356
180.7515, 15.92970
181.2336, 16.76805
181.7157, 17.67475
182.1978, 18.55074
182.6799, 19.39445
183.1620, 20.21025
183.6441, 20.93253
184.1263, 21.68866
184.6084, 22.55682
185.0905, 23.52659
185.5726, 24.51649
186.0547, 25.43624
186.5368, 26.26936
187.0190, 27.21801
187.5011, 28.32084
187.9832, 29.48988
188.4653, 30.62797
188.9474, 31.72676
189.4296, 32.93054
189.9117, 34.44983
190.3938, 36.26829
190.8759, 37.93261
191.3580, 39.08187
191.8401, 40.18660
192.3223, 41.86433
192.8044, 44.26426
193.2865, 46.83865
193.7686, 48.98952
194.2507, 50.86228
194.7328, 52.91972
195.2150, 55.36954
195.6971, 58.09361
196.1792, 60.85820
196.6613, 63.60755
197.1434, 66.49878
197.6255, 69.64439
198.1077, 73.01019
198.5898, 76.47819
199.0719, 79.96755
199.5540, 83.47996
200.0361, 87.14136
200.5182, 90.97643
201.0004, 95.06153
201.4825, 99.31664
201.9646, 103.7894
202.4467, 108.5509
202.9288, 113.7564
203.4109, 119.3875
203.8930, 124.8716
204.3752, 130.0398
204.8573, 135.1923
205.3394, 140.5231
205.8215, 145.8886
206.3036, 151.0426
206.7857, 155.8262
207.2679, 160.2846
207.7500, 164.1395
208.2321, 167.0322
208.7142, 169.5956
209.1963, 172.3665
209.6784, 175.0092
210.1606, 176.6576
210.6427, 176.4348
211.1248, 174.1657
211.6069, 171.5193
212.0890, 168.7647
212.5711, 165.4475
213.0533, 161.3016
213.5354, 156.3975
214.0175, 150.9573
214.4996, 145.1805
214.9817, 139.0466
215.4638, 132.4863
215.9460, 125.2179
216.4281, 117.8676
216.9102, 110.5956
217.3923, 103.5000
217.8744, 96.63791
218.3565, 90.08698
218.8387, 83.85491
219.3208, 77.91544
219.8029, 72.32314
220.2850, 66.90008
220.7671, 61.34745
221.2492, 55.71793
221.7314, 50.58284
222.2135, 46.48701
222.6956, 43.51324
223.1777, 40.48407
223.6598, 37.14967
224.1419, 33.93359
224.6240, 31.25143
225.1062, 29.09637
225.5883, 27.03580
226.0704, 24.67786
226.5525, 22.09418
227.0346, 19.76752
227.5167, 17.67698
227.9989, 15.89194
228.4810, 14.60640
228.9631, 13.84250
229.4452, 13.17335
229.9273, 12.25485
230.4094, 11.20314
230.8916, 10.33850
231.3737, 9.710025
231.8558, 9.298070
232.3379, 9.148515
232.8200, 9.297096
233.3021, 9.452546
233.7843, 9.245086
234.2664, 8.960632
234.7485, 9.079091
235.2306, 9.883975
235.7127, 11.00602
236.1948, 11.97056
236.6770, 12.76194
237.1591, 13.47854
237.6412, 13.95310
238.1233, 14.45134
238.6054, 15.31627
239.0875, 16.71846
239.5697, 18.43906
240.0518, 20.10094
240.5339, 21.63514
241.0160, 23.36648
241.4981, 25.31838
241.9802, 27.57525
242.4624, 30.27801
242.9445, 33.48759
