##NAMES=Gadolinium gallium garnet
##RRUFFID=X090007
##IDEAL CHEMISTRY=Gd_3_Ga_2_(GaO_4_)_3_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted colorless gemstone, 1.70 ct
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/X090007
253.8860, 206.5215
254.3681, 208.3126
254.8503, 211.9284
255.3324, 216.0399
255.8145, 219.0419
256.2966, 221.5018
256.7787, 226.4678
257.2608, 235.4468
257.7430, 245.9903
258.2251, 257.2853
258.7072, 268.8414
259.1893, 277.3985
259.6714, 281.6069
260.1535, 281.3368
260.6357, 275.3497
261.1178, 261.1871
261.5999, 243.8195
262.0820, 225.0524
262.5641, 205.7811
263.0462, 188.6008
263.5284, 175.0037
264.0105, 164.8773
264.4926, 157.3417
264.9747, 152.9747
265.4568, 150.7661
265.9389, 149.8867
266.4211, 150.4340
266.9032, 152.6071
267.3853, 156.4355
267.8674, 161.9638
268.3495, 169.5969
268.8316, 180.1894
269.3138, 191.8283
269.7959, 204.4548
270.2780, 217.3602
270.7601, 229.8544
271.2422, 242.1227
271.7243, 253.1729
272.2065, 259.5631
272.6886, 260.8712
273.1707, 257.4805
273.6528, 249.4098
274.1349, 237.6856
274.6170, 223.0654
275.0992, 205.6022
275.5813, 186.4508
276.0634, 168.4301
276.5455, 151.1014
277.0276, 135.8834
277.5097, 123.3556
277.9919, 112.4270
278.4740, 102.0897
278.9561, 91.93549
279.4382, 82.35248
279.9203, 73.95642
280.4024, 66.88068
280.8846, 60.93469
281.3667, 56.31372
281.8488, 52.45154
282.3309, 49.06165
282.8130, 46.03394
283.2951, 43.29822
283.7773, 40.85089
284.2594, 39.02716
284.7415, 36.63000
285.2236, 32.65686
285.7057, 28.91357
286.1878, 26.60260
286.6700, 25.78503
287.1521, 25.58508
287.6342, 24.94061
288.1163, 23.53674
288.5984, 22.96533
289.0805, 23.85486
289.5627, 24.93396
290.0448, 25.54053
290.5269, 25.76691
291.0090, 26.17639
291.4911, 27.35724
291.9732, 29.40466
292.4554, 30.95422
292.9375, 30.95911
293.4196, 31.51526
293.9017, 34.22815
294.3838, 38.06488
294.8659, 40.74530
295.3481, 40.53082
295.8302, 37.66528
296.3123, 35.42871
296.7944, 34.64380
297.2765, 33.63293
297.7586, 31.98956
298.2408, 29.93597
298.7229, 27.90326
299.2050, 26.15613
299.6871, 24.49792
300.1692, 22.15814
300.6513, 18.35291
301.1335, 14.78607
301.6156, 11.54736
302.0977, 8.664612
302.5798, 6.192078
303.0619, 4.154053
303.5440, 2.426208
304.0262, 0.7016600
304.5083, 1.342834
304.9904, 2.825562
305.4725, 3.171143
305.9546, 3.343872
306.4367, 4.265869
306.9189, 6.089111
307.4010, 8.130737
307.8831, 9.429626
308.3652, 9.730286
308.8473, 9.893738
309.3294, 9.958679
309.8116, 9.890686
310.2937, 9.518555
310.7758, 8.932312
311.2579, 8.539001
311.7400, 8.857727
312.2221, 10.14111
312.7043, 10.27979
313.1864, 7.870789
313.6685, 5.856567
314.1506, 5.807129
314.6327, 7.158630
315.1148, 8.348328
315.5970, 8.218445
316.0791, 6.868835
316.5612, 5.681641
317.0433, 4.579529
317.5254, 3.710327
318.0075, 3.535095
318.4897, 3.527649
318.9718, 2.887512
319.4539, 1.190796
319.9360, 1.296021
320.4181, 3.739929
320.9002, 5.535828
321.3824, 8.073059
321.8645, 12.30841
322.3466, 16.86462
322.8287, 20.17804
323.3108, 21.77258
323.7929, 22.74841
324.2751, 24.94867
324.7572, 28.77679
325.2393, 33.22198
325.7214, 38.89026
326.2035, 44.66962
326.6856, 49.60809
327.1678, 53.72656
327.6499, 57.92682
328.1320, 63.14752
328.6141, 69.39142
329.0962, 76.83051
329.5783, 85.77618
330.0605, 95.43945
330.5426, 105.7585
331.0247, 116.5654
331.5068, 127.3545
331.9889, 137.6249
332.4710, 147.5068
332.9532, 159.1304
333.4353, 173.5013
333.9174, 188.7744
334.3995, 205.1100
334.8816, 221.9863
335.3637, 238.6310
335.8459, 254.5241
336.3280, 270.2111
336.8101, 286.8705
337.2922, 305.2471
337.7743, 323.6709
338.2564, 341.2627
338.7386, 359.3307
339.2206, 379.0334
339.7028, 400.7426
340.1849, 423.6749
340.6670, 446.5146
341.1491, 468.1576
341.6312, 492.4727
342.1133, 519.3923
342.5955, 548.4778
343.0776, 578.9735
343.5597, 611.2433
344.0418, 646.6252
344.5239, 686.3439
345.0060, 730.4445
345.4882, 778.0877
345.9703, 829.2110
346.4524, 884.5031
346.9345, 944.4540
347.4166, 1008.811
347.8987, 1077.328
348.3809, 1149.606
348.8630, 1225.725
349.3451, 1304.988
349.8272, 1392.726
350.3093, 1476.383
350.7914, 1557.557
351.2736, 1632.331
351.7557, 1697.649
352.2378, 1752.608
352.7199, 1794.810
353.2020, 1820.741
353.6841, 1831.359
354.1663, 1821.728
354.6484, 1787.184
355.1305, 1736.139
355.6126, 1669.866
356.0947, 1590.023
356.5768, 1501.470
357.0590, 1406.246
357.5411, 1304.540
358.0232, 1205.525
358.5053, 1107.533
358.9874, 1015.060
359.4695, 930.3744
359.9517, 852.5289
360.4338, 779.7204
360.9159, 710.4481
361.3980, 645.8217
361.8801, 588.4684
362.3622, 539.6539
362.8444, 496.1436
363.3265, 457.7130
363.8086, 423.0688
364.2907, 391.0323
364.7728, 361.0632
365.2549, 333.5407
365.7371, 309.3234
366.2192, 288.5928
366.7013, 269.0965
367.1834, 249.6910
367.6655, 232.0828
368.1476, 217.8529
368.6298, 206.9028
369.1119, 197.3853
369.5940, 188.1932
370.0761, 179.3011
370.5582, 170.8720
371.0403, 162.7748
371.5225, 155.8145
372.0046, 150.2173
372.4867, 145.8941
372.9688, 142.9569
373.4509, 142.0699
373.9330, 142.3972
374.4152, 142.5494
374.8973, 142.4326
375.3794, 142.8318
375.8615, 143.7714
376.3436, 145.6637
376.8257, 149.3347
377.3079, 155.5526
377.7900, 161.9111
378.2721, 166.3251
378.7542, 169.2757
379.2363, 173.1736
379.7184, 179.4796
380.2006, 185.6457
380.6827, 188.1372
381.1648, 187.1093
381.6469, 185.5766
382.1290, 184.1614
382.6111, 182.9277
383.0933, 181.8333
383.5754, 180.8454
384.0575, 180.4576
384.5396, 181.0240
385.0217, 182.6241
385.5038, 185.0526
385.9860, 188.5533
386.4681, 192.6534
386.9502, 197.4120
387.4323, 202.5943
387.9144, 207.3867
388.3965, 211.2246
388.8787, 214.6830
389.3608, 219.4335
389.8429, 226.3693
390.3250, 232.5399
390.8071, 237.4966
391.2892, 241.4946
391.7714, 244.8373
392.2535, 247.5475
392.7356, 248.7861
393.2177, 247.2819
393.6998, 242.1851
394.1819, 237.7888
394.6641, 235.1132
395.1462, 232.0318
395.6283, 227.3614
396.1104, 221.2338
396.5925, 214.3883
397.0746, 207.2252
397.5568, 199.8514
398.0389, 192.3321
398.5210, 184.0692
399.0031, 176.3560
399.4852, 169.5013
399.9673, 163.0695
400.4495, 156.4471
400.9316, 149.5264
401.4137, 142.8298
401.8958, 137.0292
402.3779, 132.3120
402.8600, 128.0671
403.3422, 124.9846
403.8243, 121.6648
404.3064, 116.8519
404.7885, 111.0665
405.2706, 105.9777
405.7527, 103.0247
406.2349, 101.8799
406.7170, 100.1052
407.1991, 97.27631
407.6812, 94.40277
408.1633, 91.02875
408.6454, 88.03564
409.1276, 86.75055
409.6097, 87.70239
410.0918, 89.24512
410.5739, 89.00964
411.0560, 86.84167
411.5381, 83.73608
412.0203, 78.94775
412.5024, 73.97223
412.9845, 69.34015
413.4666, 65.22961
413.9487, 62.01538
414.4308, 60.04077
414.9130, 59.19708
415.3951, 59.08722
415.8772, 59.70984
416.3593, 61.08234
416.8414, 63.77759
417.3235, 67.06177
417.8057, 70.04413
418.2878, 72.65906
418.7699, 74.61023
419.2520, 75.16016
419.7341, 74.49994
420.2162, 74.55408
420.6984, 76.17090
421.1805, 78.39514
421.6626, 79.67535
422.1447, 79.96924
422.6268, 81.35901
423.1089, 84.42377
423.5911, 89.07837
424.0732, 95.36804
424.5553, 103.2770
425.0374, 112.4169
425.5195, 122.7184
426.0016, 134.0729
426.4838, 145.3713
426.9659, 155.5696
427.4480, 166.7885
427.9301, 180.1430
428.4122, 195.1976
428.8943, 211.0575
429.3765, 227.4787
429.8586, 244.3123
430.3407, 261.5027
430.8228, 280.4944
431.3049, 296.3593
431.7870, 308.4293
432.2692, 317.7844
432.7513, 325.2184
433.2334, 330.7050
433.7155, 333.9353
434.1976, 334.8145
434.6797, 333.2224
435.1619, 327.0830
435.6440, 314.1812
436.1261, 298.9883
436.6082, 280.8126
437.0903, 261.2963
437.5724, 242.0971
438.0546, 223.8567
438.5367, 205.9805
439.0188, 187.2653
439.5009, 166.8865
439.9830, 148.3908
440.4651, 132.6362
440.9473, 117.9622
441.4294, 103.3171
441.9115, 89.12500
442.3936, 76.85040
442.8757, 68.01849
443.3578, 61.52179
443.8400, 53.80554
444.3221, 44.17609
444.8042, 34.97803
445.2863, 26.44861
445.7684, 19.01965
446.2505, 13.62683
446.7327, 10.56195
447.2148, 8.082703
447.6969, 4.561218
448.1790, 0.2691650
448.6611, 3.253357
449.1432, 5.504944
449.6254, 7.453430
450.1075, 10.26404
450.5896, 13.53168
451.0717, 15.90033
451.5538, 16.66302
452.0359, 16.61450
452.5181, 16.43915
453.0002, 16.12384
