##NAMES=Peretaite
##RRUFFID=R060459
##IDEAL CHEMISTRY=CaSb^3+^_4_O_4_(SO_4_)_2_(OH)_2_&#183;2H_2_O
##LOCALITY=Pereta mine, Grosseto, Tuscany, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Colorless thin plates, with red incrustations of valentinite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060459
307.9879, 23.38245
308.4700, 24.49500
308.9521, 25.82886
309.4343, 27.22766
309.9164, 28.46484
310.3985, 29.03894
310.8806, 29.69531
311.3627, 30.88696
311.8448, 32.64465
312.3270, 35.11670
312.8091, 39.59888
313.2912, 44.46704
313.7733, 47.81055
314.2554, 48.16638
314.7375, 47.50720
315.2197, 45.68030
315.7018, 43.07068
316.1839, 42.82922
316.6660, 47.44922
317.1481, 54.50537
317.6302, 62.02881
318.1124, 70.58057
318.5945, 78.28540
319.0766, 84.14990
319.5587, 88.59656
320.0408, 93.20459
320.5229, 97.11182
321.0051, 102.2606
321.4872, 110.0627
321.9693, 122.5184
322.4514, 134.0813
322.9335, 142.9357
323.4156, 150.2025
323.8978, 158.0358
324.3799, 166.5248
324.8620, 175.8921
325.3441, 186.3040
325.8262, 197.7812
326.3083, 209.9353
326.7905, 223.2920
327.2726, 237.1871
327.7547, 250.6130
328.2368, 262.6691
328.7189, 275.2762
329.2010, 288.7771
329.6832, 303.0497
330.1653, 318.1510
330.6474, 334.1348
331.1295, 350.8947
331.6116, 368.6694
332.0938, 389.0551
332.5759, 407.9285
333.0580, 423.9381
333.5401, 437.6591
334.0222, 452.7101
334.5043, 470.8347
334.9865, 488.3490
335.4686, 503.4279
335.9507, 516.3563
336.4328, 525.7365
336.9149, 532.0198
337.3970, 534.4988
337.8792, 531.0531
338.3613, 521.1445
338.8434, 507.2147
339.3255, 489.9783
339.8076, 469.0480
340.2898, 446.4678
340.7719, 421.7166
341.2540, 395.9237
341.7361, 369.6904
342.2182, 343.2896
342.7003, 317.8177
343.1825, 293.5724
343.6646, 270.5663
344.1467, 250.6222
344.6288, 233.9191
345.1109, 218.8348
345.5930, 202.5609
346.0752, 185.5679
346.5573, 171.6879
347.0394, 162.4337
347.5215, 156.2137
348.0036, 149.4128
348.4857, 142.0668
348.9679, 134.9822
349.4500, 128.4375
349.9321, 122.3845
350.4142, 116.9646
350.8963, 112.5439
351.3784, 108.3438
351.8606, 103.1354
352.3427, 97.16003
352.8248, 91.36401
353.3069, 85.90161
353.7890, 81.05237
354.2711, 77.36206
354.7533, 75.04138
355.2354, 73.29932
355.7175, 72.21216
356.1996, 71.11780
356.6817, 68.95386
357.1638, 63.95544
357.6460, 58.76770
358.1281, 55.58252
358.6102, 54.28613
359.0923, 53.04016
359.5744, 50.62561
360.0565, 47.84155
360.5387, 45.65564
361.0208, 45.21924
361.5029, 44.37732
361.9850, 41.74353
362.4671, 37.79810
362.9492, 34.09094
363.4314, 30.86621
363.9135, 28.24304
364.3956, 26.40308
364.8777, 25.75378
365.3598, 24.97180
365.8419, 23.57629
366.3241, 21.93555
366.8062, 20.60217
367.2883, 19.80029
367.7704, 19.16418
368.2526, 18.47144
368.7347, 17.58740
369.2168, 17.42505
369.6989, 19.01038
370.1810, 20.68323
370.6631, 21.06714
371.1453, 19.17749
371.6274, 17.46448
372.1095, 16.40442
372.5916, 15.81616
373.0737, 14.46350
373.5558, 11.77893
374.0380, 9.151001
374.5201, 7.221924
375.0022, 5.900757
375.4843, 5.769531
375.9664, 7.419189
376.4485, 9.766846
376.9307, 10.60437
377.4128, 9.619995
377.8949, 8.359497
378.3770, 7.207153
378.8591, 6.190552
379.3412, 6.326172
379.8234, 7.956909
380.3055, 9.508667
380.7876, 8.786499
381.2697, 5.944458
381.7518, 3.650635
382.2339, 2.687988
382.7161, 2.670410
383.1982, 2.992065
383.6803, 3.627930
384.1624, 3.907104
384.6445, 2.759399
385.1266, 0.8830570
385.6088, 0.1757810
386.0909, 1.187256
386.5730, 2.596680
387.0551, 2.913574
387.5372, 2.367798
388.0193, 1.631348
388.5015, 0.7733150
388.9836, 3.8208000E-02
389.4657, 0.4501950
389.9478, 0.7016600
390.4299, 0.3002930
390.9120, 2.356689
391.3942, 5.421875
391.8763, 6.538452
392.3584, 2.020386
392.8405, 1.883789
393.3226, 1.026489
393.8047, 3.554932
394.2869, 7.117676
394.7690, 6.236938
395.2511, 4.847046
395.7332, 5.645752
396.2154, 10.73376
396.6975, 14.50476
397.1796, 14.55762
397.6617, 12.78064
398.1438, 12.40698
398.6259, 14.18188
399.1081, 17.07629
399.5902, 21.27039
