##NAMES=Chondrodite
##RRUFFID=R110158
##IDEAL CHEMISTRY=Mg_5_(SiO_4_)_2_F_2_
##LOCALITY=Pein Pyit, Mogok, Mandalay Division, Burma
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Orange bleb enclosed in calcite, associated with red spinel
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110158
329.6221, 261.0156
330.1042, 265.2578
330.5863, 269.1172
331.0684, 260.3203
331.5505, 218.7656
332.0327, 167.0156
332.5148, 156.9219
332.9969, 207.4297
333.4790, 270.0859
333.9611, 329.7969
334.4432, 384.5547
334.9254, 435.0156
335.4075, 481.0078
335.8896, 518.4531
336.3717, 541.2734
336.8538, 545.7109
337.3359, 541.0312
337.8180, 527.0312
338.3001, 504.1953
338.7823, 489.2422
339.2644, 486.9922
339.7465, 486.2734
340.2286, 482.0156
340.7107, 479.4766
341.1928, 447.7500
341.6750, 372.2969
342.1571, 268.0312
342.6392, 198.2891
343.1213, 169.4766
343.6034, 142.6875
344.0855, 78.55469
344.5677, 19.85156
345.0498, 82.85938
345.5319, 97.14844
346.0140, 80.31250
346.4961, 56.00781
346.9782, 25.21875
347.4604, 7.429688
347.9425, 32.54688
348.4246, 82.78125
348.9067, 87.53906
349.3888, 37.89844
349.8709, 30.93750
350.3531, 84.25000
350.8352, 122.3594
351.3173, 146.8828
351.7994, 143.9922
352.2815, 132.3203
352.7636, 144.2500
353.2458, 179.1016
353.7279, 222.8828
354.2100, 266.0312
354.6921, 308.7188
355.1742, 353.2188
355.6563, 415.0078
356.1385, 462.8125
356.6206, 452.1250
357.1027, 394.2188
357.5848, 346.4062
358.0669, 348.0469
358.5490, 373.3906
359.0312, 400.5703
359.5133, 430.8984
359.9954, 452.6953
360.4775, 452.5781
360.9596, 440.3594
361.4417, 435.8672
361.9239, 459.9062
362.4060, 485.5312
362.8881, 499.3516
363.3702, 499.9453
363.8523, 490.4141
364.3344, 457.8594
364.8166, 422.7578
365.2987, 405.9375
365.7808, 423.9219
366.2629, 441.6875
366.7450, 450.1875
367.2271, 449.0547
367.7093, 456.5234
368.1914, 490.2734
368.6735, 521.4531
369.1556, 530.2891
369.6377, 478.9453
370.1198, 448.7188
370.6020, 452.4609
371.0841, 480.0312
371.5662, 495.7812
372.0483, 491.8516
372.5304, 483.8984
373.0125, 478.7812
373.4947, 479.8828
373.9768, 471.9141
374.4589, 450.6797
374.9410, 424.0391
375.4231, 403.0781
375.9052, 385.0938
376.3874, 379.2109
376.8695, 390.8984
377.3516, 421.3047
377.8337, 457.7734
378.3158, 505.3281
378.7979, 551.8984
379.2801, 578.9531
379.7622, 585.7812
380.2443, 610.9141
380.7264, 665.4453
381.2085, 740.6719
381.6906, 814.5469
382.1728, 885.7891
382.6549, 959.6562
383.1370, 1033.383
383.6191, 1109.531
384.1012, 1202.898
384.5833, 1320.453
385.0655, 1434.492
385.5476, 1507.617
386.0297, 1545.391
386.5118, 1565.453
386.9939, 1586.344
