##NAMES=Abelsonite
##RRUFFID=R070007
##IDEAL CHEMISTRY=Ni^2+^C_31_H_32_N_4_
##LOCALITY=Green River Formation, Utah, USA
##OWNER=RRUFF
##SOURCE=Geophysical Laboratory, Carnegie Institution of Washington
##DESCRIPTION=Purple platy crystals embedded in drill core
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R070007
##MEASURED CHEMISTRY=(Ni_0.92_Fe^2+^_0.05_Cr_0.02_)C_31_H_32_N_4_ ; C, H and N not measured but estimated by stoichiometry
284.2105, 36.80859
284.6926, 22.64795
285.1747, 12.71191
285.6568, 9.307129
286.1389, 12.28760
286.6211, 26.71094
287.1032, 57.80762
287.5853, 90.34473
288.0674, 95.24463
288.5495, 73.58545
289.0316, 54.41357
289.5138, 55.42920
289.9959, 72.07617
290.4780, 84.25684
290.9601, 89.65332
291.4422, 94.93018
291.9243, 115.2339
292.4065, 147.2993
292.8886, 167.5488
293.3707, 149.5698
293.8528, 110.6914
294.3349, 102.5444
294.8170, 131.2837
295.2992, 171.0083
295.7813, 192.4595
296.2634, 198.3999
296.7455, 199.3618
297.2276, 196.1631
297.7097, 192.2007
298.1919, 195.3950
298.6740, 206.7583
299.1561, 219.1567
299.6382, 224.9336
300.1203, 225.7104
300.6024, 225.7021
301.0845, 228.1567
301.5667, 230.4409
302.0488, 227.9639
302.5309, 220.2930
303.0130, 212.5234
303.4951, 206.0635
303.9772, 202.7988
304.4594, 206.5293
304.9415, 225.8779
305.4236, 249.0732
305.9057, 262.6436
306.3878, 265.8857
306.8699, 270.6865
307.3521, 285.6035
307.8342, 307.5439
308.3163, 332.2422
308.7984, 372.1367
309.2805, 403.7979
309.7626, 401.0557
310.2448, 364.8643
310.7269, 336.2148
311.2090, 345.6172
311.6911, 373.4014
312.1732, 397.5273
312.6553, 413.7861
313.1375, 421.5264
313.6196, 412.8125
314.1017, 390.1221
314.5838, 378.8691
315.0659, 401.2129
315.5480, 434.8730
316.0302, 461.0850
316.5123, 469.3662
316.9944, 473.9990
317.4765, 478.5801
317.9586, 483.3223
318.4407, 489.2461
318.9229, 495.9668
319.4050, 504.4600
319.8871, 515.6191
320.3692, 538.1719
320.8513, 553.2549
321.3334, 549.8096
321.8156, 533.3896
322.2977, 526.1680
322.7798, 533.7549
323.2619, 550.9326
323.7440, 576.1270
324.2261, 626.6943
324.7083, 660.8779
325.1904, 668.8975
325.6725, 657.1494
326.1546, 644.0078
326.6367, 613.5791
327.1188, 596.1973
327.6009, 605.1133
328.0830, 664.5811
328.5652, 707.2041
329.0473, 724.7080
329.5294, 727.0762
330.0115, 734.4248
330.4936, 749.8359
330.9757, 767.8232
331.4579, 785.8389
331.9400, 802.7227
332.4221, 827.7236
332.9042, 859.5723
333.3863, 900.2988
333.8684, 955.6172
334.3506, 1037.226
334.8327, 1109.833
335.3148, 1163.336
335.7969, 1195.741
336.2790, 1221.773
336.7611, 1238.075
337.2433, 1255.050
337.7254, 1291.053
338.2075, 1353.526
338.6896, 1404.073
339.1717, 1430.905
339.6538, 1436.683
340.1360, 1448.137
340.6181, 1467.923
341.1002, 1486.595
341.5823, 1489.797
342.0644, 1475.163
342.5465, 1468.387
343.0287, 1486.280
343.5108, 1516.029
343.9929, 1510.922
344.4750, 1469.363
344.9571, 1423.871
345.4392, 1409.053
345.9214, 1419.540
346.4035, 1418.828
346.8856, 1400.283
347.3677, 1366.773
347.8498, 1313.344
348.3319, 1242.305
348.8141, 1182.095
349.2962, 1162.774
349.7783, 1169.393
350.2604, 1167.810
350.7425, 1153.440
351.2246, 1128.264
351.7067, 1087.198
352.1888, 1035.172
352.6710, 989.6934
353.1531, 961.9707
353.6352, 945.6641
354.1173, 932.3594
354.5994, 920.2432
355.0815, 912.7725
355.5637, 924.4180
356.0458, 943.1055
356.5279, 945.7998
357.0100, 903.6084
357.4921, 853.4727
357.9742, 827.1592
358.4564, 829.2969
358.9385, 828.0107
359.4206, 795.6387
359.9027, 751.8613
360.3848, 720.5859
360.8669, 722.1914
361.3491, 727.9268
361.8312, 730.4150
362.3133, 729.3262
362.7954, 718.3740
363.2775, 687.8906
363.7596, 649.5801
364.2418, 612.6953
364.7239, 575.8057
365.2060, 545.1826
365.6881, 526.3506
366.1702, 516.0537
366.6523, 498.1602
367.1345, 461.7607
367.6166, 421.8467
368.0987, 387.1436
368.5808, 354.7930
369.0629, 333.6279
369.5450, 329.8271
370.0272, 336.7334
370.5093, 336.9014
370.9914, 322.3359
371.4735, 311.4033
371.9556, 313.9756
372.4377, 339.4336
372.9199, 343.1172
373.4020, 313.4922
373.8841, 272.6455
374.3662, 258.1992
374.8483, 281.2666
375.3304, 296.2236
375.8126, 285.2217
376.2947, 248.6475
376.7768, 221.3223
377.2589, 204.9883
377.7410, 193.1797
378.2231, 178.7598
378.7052, 161.5898
379.1873, 147.1777
379.6695, 136.7666
380.1516, 130.1172
380.6337, 128.2080
381.1158, 131.1025
381.5979, 130.6758
382.0800, 114.9219
382.5622, 88.87891
383.0443, 75.94434
383.5264, 85.60840
384.0085, 99.21094
384.4906, 82.57812
384.9727, 42.00098
385.4549, 10.01172
385.9370, 20.16016
386.4191, 46.59863
386.9012, 46.94727
387.3833, 10.39941
387.8654, 25.42285
388.3476, 19.95605
388.8297, 9.941406
389.3118, 31.51660
389.7939, 18.77832
390.2760, 0.5429690
390.7581, 3.204102
391.2403, 12.48633
391.7224, 24.18164
392.2045, 11.80762
392.6866, 7.763672
393.1687, 16.19531
393.6508, 14.04004
394.1330, 34.90332
394.6151, 18.86328
395.0972, 28.08887
395.5793, 57.47461
396.0614, 42.22070
396.5435, 16.78223
397.0257, 1.185547
397.5078, 2.703125
397.9899, 7.669922
398.4720, 25.36816
398.9541, 46.04785
399.4362, 43.16895
399.9184, 13.73145
400.4005, 58.46094
400.8826, 62.70605
401.3647, 6.436523
401.8468, 21.26270
402.3289, 8.602539
402.8111, 22.51660
403.2932, 43.51172
403.7753, 54.64062
404.2574, 54.50684
404.7395, 34.84473
405.2216, 1.270508
405.7037, 5.586914
406.1859, 30.23730
406.6680, 73.60254
407.1501, 95.21289
407.6322, 94.90527
408.1143, 88.49023
408.5964, 77.70508
409.0786, 64.37988
409.5607, 51.74707
410.0428, 39.55762
410.5249, 28.15527
411.0070, 14.37598
411.4891, 1.813477
411.9713, 2.571289
412.4534, 21.68555
412.9355, 41.01758
413.4176, 35.98438
413.8997, 14.13379
414.3818, 2.716797
414.8640, 4.185547
415.3461, 16.13086
415.8282, 10.02441
416.3103, 15.58691
416.7924, 35.16406
417.2745, 27.57617
417.7567, 6.831055
418.2388, 10.72266
418.7209, 24.66992
419.2030, 29.64941
419.6851, 16.96387
420.1672, 9.416992
420.6494, 28.77441
421.1315, 28.84766
421.6136, 24.43945
422.0957, 24.28320
422.5778, 34.66211
423.0599, 40.86523
423.5421, 43.85645
424.0242, 41.42285
424.5063, 29.12109
424.9884, 5.758789
425.4705, 36.30078
425.9526, 55.26758
426.4348, 61.72949
426.9169, 61.24902
427.3990, 48.94141
427.8811, 35.07227
428.3632, 30.73047
428.8453, 37.67285
429.3275, 48.96484
429.8095, 66.08691
430.2917, 86.37207
430.7738, 95.90039
431.2559, 93.99121
431.7380, 85.38867
432.2201, 65.25977
432.7022, 36.26855
433.1844, 33.82422
433.6665, 67.94336
434.1486, 114.2607
434.6307, 135.0742
435.1128, 133.6514
435.5949, 126.8203
436.0771, 122.8652
436.5592, 118.9033
437.0413, 104.9277
437.5234, 79.92285
438.0055, 65.52246
438.4876, 93.58398
438.9698, 140.0225
439.4519, 168.1445
439.9340, 140.8701
440.4161, 117.0312
440.8982, 148.5000
441.3803, 220.9922
441.8625, 274.1318
442.3446, 279.1504
442.8267, 256.6104
443.3088, 213.8213
443.7909, 131.3242
444.2730, 74.33984
444.7552, 71.98633
445.2373, 101.1113
445.7194, 122.9053
446.2015, 140.2793
446.6836, 145.4902
447.1657, 130.9219
447.6479, 93.80859
448.1300, 65.24414
448.6121, 41.88184
449.0942, 30.70508
449.5763, 40.97363
450.0584, 86.26465
450.5406, 113.1953
451.0227, 110.0547
451.5048, 88.94824
451.9869, 82.96582
452.4690, 95.01074
452.9511, 105.9512
453.4333, 104.7451
453.9154, 95.01758
454.3975, 93.24805
454.8796, 101.4082
455.3617, 107.6445
455.8438, 91.05566
456.3259, 57.12598
456.8080, 33.34863
457.2902, 38.36133
457.7723, 58.39941
458.2544, 65.21191
458.7365, 60.35254
459.2186, 58.69238
459.7007, 79.92285
460.1829, 106.7598
460.6650, 113.2705
461.1471, 81.29492
461.6292, 53.46387
462.1113, 64.99023
462.5934, 97.89941
463.0756, 116.7383
463.5577, 88.19629
464.0398, 63.06250
464.5219, 69.64160
465.0040, 116.2930
465.4861, 141.8184
465.9683, 113.1445
466.4504, 72.41504
466.9325, 55.40137
467.4146, 80.62207
467.8967, 103.6133
468.3788, 119.9199
468.8610, 130.8750
469.3431, 142.4844
469.8252, 156.8027
470.3073, 169.9053
470.7894, 179.3545
471.2715, 184.9834
471.7537, 187.4033
472.2358, 186.4160
472.7179, 182.2285
473.2000, 166.4395
473.6821, 139.3809
474.1642, 131.9502
474.6464, 164.4170
475.1285, 217.7832
475.6106, 244.8535
476.0927, 246.7197
476.5748, 244.2412
477.0569, 250.2383
477.5391, 262.3877
478.0212, 276.8809
478.5033, 293.3770
478.9854, 313.2490
479.4675, 338.6064
479.9496, 367.1514
480.4318, 394.5742
480.9139, 418.9570
481.3960, 443.3564
481.8781, 472.1113
482.3602, 506.0840
482.8423, 532.6807
483.3244, 536.4336
483.8065, 535.6660
484.2887, 543.4111
484.7708, 568.1201
485.2529, 592.6367
485.7350, 615.8223
486.2171, 638.5205
486.6992, 661.4121
487.1814, 682.4883
487.6635, 707.1865
488.1456, 738.3164
488.6277, 776.5645
489.1098, 810.8818
489.5919, 839.1797
490.0741, 867.7295
490.5562, 908.6504
491.0383, 961.9756
491.5204, 996.2197
492.0025, 998.2627
492.4846, 985.6357
492.9668, 997.0059
493.4489, 1029.584
493.9310, 1057.674
494.4131, 1064.660
494.8952, 1057.815
495.3773, 1047.562
495.8595, 1034.433
496.3416, 1019.800
496.8237, 1002.682
497.3058, 984.7559
497.7879, 968.2471
498.2701, 960.2910
498.7522, 947.4863
499.2343, 921.2305
499.7164, 884.1777
500.1985, 846.9805
500.6806, 813.8467
501.1628, 779.9521
501.6449, 741.4795
502.1270, 690.6182
502.6091, 653.3477
503.0912, 633.6904
503.5733, 626.0273
504.0555, 626.5830
504.5376, 645.9971
505.0197, 649.6631
505.5018, 627.9912
505.9839, 586.4814
506.4660, 548.8418
506.9482, 514.4131
507.4303, 482.1602
507.9124, 448.3682
508.3945, 414.7305
508.8766, 402.9414
509.3587, 418.7598
509.8408, 439.0977
510.3229, 430.8398
510.8051, 401.2168
511.2872, 376.9111
511.7693, 379.3887
512.2514, 385.3408
512.7335, 354.7676
513.2156, 293.2480
513.6978, 248.1953
514.1799, 270.3867
514.6620, 307.5859
515.1441, 314.9072
515.6262, 273.2988
516.1083, 237.5098
516.5905, 233.8799
517.0726, 244.0684
517.5547, 244.6719
518.0368, 212.1289
518.5189, 192.2051
519.0010, 195.9492
519.4832, 220.5342
519.9653, 244.3008
520.4474, 273.2676
520.9295, 293.1387
521.4116, 292.0195
521.8937, 263.0801
522.3759, 250.5566
522.8580, 260.6914
523.3401, 275.7451
523.8222, 267.4131
524.3043, 236.6523
524.7864, 213.7500
525.2686, 211.6504
525.7507, 220.5264
526.2328, 222.9434
526.7149, 219.1797
527.1970, 210.9902
527.6791, 197.8467
528.1613, 181.6143
528.6434, 162.2559
529.1255, 138.0957
529.6076, 121.4521
530.0897, 130.9941
530.5718, 148.9707
531.0540, 153.2939
531.5361, 117.1494
532.0182, 87.95801
532.5003, 81.57520
532.9824, 94.99805
533.4645, 109.9424
533.9467, 132.6367
534.4288, 148.4229
534.9109, 150.3086
535.3930, 134.4912
535.8751, 119.2842
536.3572, 101.3672
536.8394, 88.53223
537.3215, 93.12402
537.8036, 118.3457
538.2857, 135.7344
538.7678, 137.5967
539.2499, 129.2305
539.7321, 121.5986
540.2142, 114.7432
540.6963, 108.5146
541.1784, 102.5674
541.6605, 97.31445
542.1426, 93.98926
542.6248, 92.38379
543.1069, 90.83789
543.5890, 81.80176
544.0711, 74.45508
544.5532, 80.42578
545.0353, 112.0098
545.5175, 144.8545
545.9996, 173.6953
546.4817, 196.6514
546.9637, 209.1455
547.4459, 190.2744
547.9280, 180.1787
548.4101, 199.0596
548.8922, 250.7031
549.3743, 278.7910
549.8564, 270.5430
550.3386, 254.8545
550.8207, 252.4688
551.3028, 264.7510
551.7849, 286.9678
552.2670, 325.8789
552.7491, 363.1895
553.2313, 359.7910
553.7134, 318.2793
554.1955, 283.7197
554.6776, 281.9014
555.1597, 295.5938
555.6418, 289.2705
556.1240, 264.7432
556.6061, 238.8799
557.0882, 225.7773
557.5703, 216.3867
558.0524, 200.1318
558.5345, 173.2031
559.0167, 146.6787
559.4988, 126.3457
559.9809, 109.1768
560.4630, 91.40039
560.9451, 65.90527
561.4272, 46.60840
561.9094, 42.48828
562.3915, 49.03223
562.8736, 42.19141
563.3557, 9.923828
563.8378, 17.90430
564.3199, 26.25488
564.8021, 12.68652
565.2842, 2.756836
565.7663, 4.101563
566.2484, 7.106445
566.7305, 0.6386720
567.2126, 13.46191
567.6948, 19.67969
568.1769, 10.42676
568.6590, 1.991211
569.1411, 11.29492
569.6232, 39.98633
570.1053, 48.02734
570.5875, 15.13770
571.0696, 85.45508
571.5517, 97.92188
572.0338, 52.73340
572.5159, 19.67871
572.9980, 38.20215
573.4802, 75.00586
573.9623, 106.5898
574.4444, 124.6533
574.9265, 143.7812
575.4086, 167.9180
575.8907, 191.5498
576.3729, 209.0703
576.8550, 223.5732
577.3371, 224.2695
577.8192, 204.0293
578.3013, 169.7705
578.7834, 150.9863
579.2656, 148.7510
579.7477, 152.1611
580.2298, 154.7178
580.7119, 158.9170
581.1940, 174.4492
581.6761, 202.3955
582.1583, 232.5635
582.6404, 264.1270
583.1225, 289.5391
583.6046, 293.1494
584.0867, 256.0674
584.5688, 222.5430
585.0510, 227.7744
585.5331, 255.9033
586.0152, 273.3467
586.4973, 260.9336
586.9794, 244.6270
587.4615, 232.3379
587.9437, 224.6523
588.4258, 219.3115
588.9079, 221.9238
589.3900, 219.8135
589.8721, 202.8555
590.3542, 164.9092
590.8364, 140.9717
591.3185, 133.5430
591.8006, 136.0127
592.2827, 143.0615
592.7648, 153.8623
593.2469, 160.6445
593.7291, 161.8975
594.2112, 157.3174
594.6933, 138.1943
595.1754, 110.8145
595.6575, 98.10547
596.1396, 122.6348
596.6218, 159.9570
597.1039, 197.9805
597.5860, 235.9814
598.0681, 250.6914
598.5502, 208.2119
599.0323, 155.0498
599.5144, 124.5303
599.9965, 133.7275
600.4786, 144.1797
600.9608, 156.8545
601.4429, 169.8223
601.9250, 179.1934
602.4071, 183.2178
602.8892, 194.3281
603.3713, 220.6318
603.8535, 250.7158
604.3356, 241.0469
604.8177, 192.1025
605.2998, 150.7666
605.7819, 154.8438
606.2640, 183.6104
606.7462, 191.3369
607.2283, 176.0352
607.7104, 163.2969
608.1925, 174.9795
608.6746, 199.6416
609.1567, 225.5654
609.6389, 251.5303
610.1210, 276.8525
610.6031, 306.8691
611.0852, 331.9600
611.5673, 338.2607
612.0494, 297.6826
612.5316, 276.2627
613.0137, 292.9668
613.4958, 336.0293
613.9779, 355.7510
614.4600, 343.8262
614.9421, 332.5742
615.4243, 344.6240
615.9064, 375.4678
616.3885, 375.8516
616.8706, 343.6689
617.3527, 306.1670
617.8348, 289.1514
618.3170, 285.0938
618.7991, 279.4268
619.2812, 270.4082
619.7633, 256.8643
620.2454, 234.7461
620.7275, 208.0879
621.2097, 182.8838
621.6918, 166.0400
622.1739, 145.4316
622.6560, 109.8975
623.1381, 65.62305
623.6202, 45.04688
624.1024, 70.10254
624.5845, 89.14551
625.0666, 79.29102
625.5487, 39.30078
626.0308, 19.31152
626.5129, 24.14453
626.9951, 32.01172
627.4772, 24.41699
627.9593, 4.909180
628.4414, 9.417969
628.9235, 18.84180
629.4056, 27.72266
629.8878, 41.99219
630.3699, 59.12109
630.8520, 72.99609
631.3341, 85.12305
631.8162, 89.48633
632.2983, 79.74121
632.7805, 59.30273
633.2626, 38.47559
633.7447, 18.04004
634.2268, 0.6718750
634.7089, 19.83691
635.1910, 39.62500
635.6732, 44.18457
636.1553, 20.04688
636.6374, 4.261719
637.1195, 27.47168
637.6016, 92.71094
638.0837, 132.5977
638.5659, 140.0479
639.0480, 141.2568
639.5301, 170.8730
640.0122, 218.6758
640.4943, 256.2080
640.9764, 275.7979
641.4586, 283.9092
641.9407, 271.3506
642.4228, 253.0117
642.9049, 258.6348
643.3870, 327.4775
643.8691, 395.3135
644.3513, 439.6807
644.8334, 460.4609
645.3155, 468.3848
645.7976, 440.6836
646.2797, 429.5947
646.7618, 464.7793
647.2440, 552.2910
647.7261, 603.2568
648.2082, 610.8936
648.6903, 600.9854
649.1724, 592.6758
649.6545, 586.2402
650.1367, 586.0957
650.6187, 596.3086
651.1008, 597.8975
651.5829, 560.3574
652.0651, 501.0166
652.5472, 451.6064
653.0293, 424.0693
653.5114, 407.7119
