##NAMES=Wermlandite
##RRUFFID=R100051
##IDEAL CHEMISTRY=Mg_8_Al_2_(OH)_18_(SO_4_)_2_&#183;12H_2_O
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Pale bluish-green massive associated with calcite and magnetite. Can't verify it, so we made it non-public.
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R100051
327.7704, 9.850960
328.2525, 9.327148
328.7346, 9.232498
329.2167, 10.26113
329.6989, 10.93526
330.1810, 10.73463
330.6631, 9.996803
331.1452, 9.177643
331.6273, 8.486649
332.1094, 7.974831
332.5916, 7.845268
333.0737, 8.428970
333.5558, 8.832443
334.0379, 8.996971
334.5200, 8.895752
335.0021, 8.431633
335.4843, 7.606461
335.9664, 6.754471
336.4485, 6.164673
336.9306, 5.772614
337.4127, 5.270027
337.8948, 4.364418
338.3770, 3.631859
338.8591, 3.557114
339.3412, 4.091675
339.8233, 4.671814
340.3055, 4.632965
340.7876, 3.935684
341.2697, 3.704979
341.7518, 4.320404
342.2339, 4.927361
342.7160, 5.257179
343.1982, 5.349937
343.6803, 5.318436
344.1624, 5.203812
344.6445, 5.010620
345.1266, 4.823654
345.6087, 4.747383
346.0909, 4.548958
346.5730, 3.928764
347.0551, 3.157768
347.5372, 2.631050
348.0193, 2.550034
348.5014, 2.817482
348.9836, 3.254410
349.4657, 3.930489
349.9478, 4.351364
350.4299, 4.190315
350.9120, 3.900795
351.3941, 3.826744
351.8763, 4.023254
352.3584, 4.235992
352.8405, 4.030029
353.3226, 3.409538
353.8047, 3.457191
354.2868, 4.972755
354.7690, 6.434196
355.2511, 6.709229
355.7332, 6.021378
356.2153, 5.404030
356.6974, 5.657822
357.1795, 6.516983
357.6617, 6.743378
358.1438, 6.077278
358.6259, 5.282974
359.1080, 4.534454
359.5901, 3.991722
360.0722, 3.996025
360.5544, 4.912727
361.0365, 6.145401
361.5186, 6.777092
362.0007, 6.708656
362.4828, 6.816971
362.9649, 7.808182
363.4471, 8.953247
363.9292, 9.383400
364.4113, 8.907433
364.8934, 8.180260
365.3755, 7.552757
365.8576, 7.054878
366.3398, 6.902687
366.8219, 7.308037
367.3040, 7.835724
367.7861, 7.949669
368.2682, 7.697830
368.7503, 7.606842
369.2325, 8.038666
369.7146, 8.720871
370.1967, 9.228226
370.6788, 9.535172
371.1609, 9.592873
371.6430, 9.153236
372.1252, 8.413490
372.6073, 8.045860
373.0894, 8.584526
373.5715, 9.169060
374.0536, 8.926132
374.5357, 8.017464
375.0179, 7.466042
375.5000, 7.934013
375.9821, 8.916801
376.4642, 9.210823
376.9463, 8.649681
377.4284, 7.906944
377.9106, 7.062073
378.3927, 6.233467
378.8748, 5.601547
379.3569, 5.207359
379.8390, 5.075920
380.3211, 5.304939
380.8033, 5.973869
381.2854, 6.552834
381.7675, 7.067619
382.2496, 7.432564
382.7317, 7.675362
383.2138, 7.748085
383.6960, 7.327927
384.1781, 5.981926
384.6602, 3.851334
385.1423, 2.964279
385.6244, 4.472565
386.1065, 5.688797
386.5887, 5.429680
387.0708, 4.338089
387.5529, 3.586922
388.0350, 3.702118
388.5171, 4.246155
388.9992, 4.246262
389.4814, 3.055222
389.9635, 2.304382
390.4456, 2.385323
390.9277, 2.640152
391.4098, 2.641151
391.8919, 2.276291
392.3741, 1.494743
392.8562, 0.1008300
393.3383, 2.145500
393.8204, 3.153076
394.3025, 1.960251
394.7846, 0.6221770
395.2668, 0.3767240
395.7489, 0.9891590
396.2310, 1.256538
396.7131, 1.198685
397.1952, 0.8437190
397.6773, 0.2322240
398.1595, 1.066597
398.6416, 1.897575
399.1237, 1.839394
399.6058, 1.476952
400.0879, 1.293610
400.5700, 1.408417
401.0522, 1.641304
401.5343, 1.765915
402.0164, 1.749908
402.4985, 1.824768
402.9806, 2.307091
403.4627, 2.576782
403.9449, 2.155388
404.4270, 1.289497
404.9091, 0.6372680
405.3912, 0.7199250
405.8733, 1.249870
406.3554, 1.275597
406.8376, 0.5581740
407.3197, 7.1548000E-02
407.8018, 0.1950610
408.2839, 0.1013570
408.7660, 9.6886002E-02
409.2481, 0.2829670
409.7303, 0.4153750
410.2124, 6.6086002E-02
410.6945, 0.7080380
411.1766, 0.9287110
411.6587, 1.9020000E-02
412.1408, 1.067535
412.6230, 0.9819490
413.1051, 5.6823999E-02
413.5872, 0.6707690
414.0693, 0.1523590
414.5514, 1.595009
415.0335, 2.266769
415.5157, 2.025879
415.9978, 1.746025
416.4799, 2.038742
416.9620, 2.711563
417.4441, 3.138504
417.9262, 3.157288
418.4084, 3.122818
418.8905, 3.193489
419.3726, 3.358727
419.8547, 3.564240
420.3368, 3.766495
420.8189, 4.090271
421.3011, 4.796082
421.7832, 6.001816
422.2653, 7.061913
422.7474, 7.826004
423.2295, 8.472633
423.7116, 9.257469
424.1938, 10.14088
424.6759, 10.72300
425.1580, 10.60070
425.6401, 9.843132
426.1222, 9.756310
426.6043, 10.86072
427.0865, 11.91829
427.5686, 12.70845
428.0507, 13.24319
428.5328, 13.51078
429.0149, 13.51363
429.4970, 13.39195
429.9792, 13.37769
430.4613, 13.43004
430.9434, 13.70006
431.4255, 14.41854
431.9076, 15.11493
432.3897, 15.42622
432.8719, 15.45121
433.3540, 15.59531
433.8361, 16.21224
434.3182, 17.21549
434.8003, 17.97287
435.2824, 18.30038
435.7646, 18.65182
436.2467, 19.25042
436.7288, 19.87556
437.2109, 20.25496
437.6930, 20.30133
438.1751, 20.24305
438.6573, 20.39484
439.1394, 20.77911
439.6215, 21.06716
440.1036, 21.30969
440.5857, 21.32063
441.0678, 20.74776
441.5500, 19.79899
442.0321, 19.24052
442.5142, 19.62328
442.9963, 20.57272
443.4784, 21.56582
443.9605, 22.66443
444.4427, 23.31007
444.9248, 23.03147
445.4069, 22.19180
445.8890, 21.38086
446.3711, 20.48231
446.8532, 19.99870
447.3354, 20.64575
447.8175, 21.86021
448.2996, 22.30110
448.7817, 21.58978
449.2638, 20.59753
449.7459, 20.21226
450.2281, 20.47752
450.7102, 20.90700
451.1923, 21.77419
451.6744, 22.40652
452.1565, 22.27535
452.6386, 21.63055
453.1208, 21.16717
453.6029, 21.19579
454.0850, 21.64883
454.5671, 22.36823
455.0492, 23.70216
455.5313, 24.81956
456.0135, 25.91355
456.4956, 26.57484
456.9777, 26.17868
457.4598, 24.87855
457.9419, 23.74349
458.4240, 23.88678
458.9062, 25.32893
459.3883, 26.04519
459.8704, 25.31983
460.3525, 24.65192
460.8346, 24.52253
461.3167, 24.55596
461.7989, 24.16737
462.2810, 23.13302
462.7631, 22.04637
463.2452, 22.00906
463.7273, 23.28696
464.2094, 23.86062
464.6916, 22.98006
465.1737, 21.84518
465.6558, 21.00004
466.1379, 20.45218
466.6200, 20.12126
467.1021, 20.02190
467.5843, 20.08524
468.0664, 20.34148
468.5485, 20.85702
469.0306, 20.80253
469.5127, 19.45918
469.9948, 17.55280
470.4770, 16.29510
470.9591, 15.81152
471.4412, 15.60124
471.9233, 15.78600
472.4054, 16.03903
472.8875, 15.82123
473.3697, 15.03128
473.8518, 13.85902
474.3339, 12.36980
474.8160, 10.57563
475.2981, 9.042892
475.7802, 7.791458
476.2624, 6.775764
476.7445, 5.982475
477.2266, 5.402519
477.7087, 5.065605
478.1908, 4.982727
478.6729, 5.037575
479.1551, 5.026146
479.6372, 4.935776
480.1193, 4.797691
480.6014, 4.624512
481.0835, 4.398758
481.5656, 4.112366
482.0478, 3.765495
482.5299, 3.339691
483.0120, 2.803009
483.4941, 2.219467
483.9762, 1.861824
484.4583, 1.837364
484.9405, 1.826752
485.4226, 1.881767
485.9047, 1.849541
486.3868, 1.399361
486.8689, 0.5752260
487.3510, 0.1038440
487.8332, 1.064995
488.3153, 3.022957
488.7974, 3.658279
489.2795, 2.328011
489.7616, 1.054817
490.2437, 1.197861
490.7259, 2.170570
491.2080, 3.199890
491.6901, 4.274284
492.1722, 5.130592
492.6543, 5.408173
493.1364, 5.303566
493.6186, 5.388641
494.1007, 5.821259
494.5828, 6.430275
495.0649, 7.064789
495.5470, 7.733070
496.0291, 8.279686
496.5113, 8.501831
496.9934, 8.787804
497.4755, 9.345680
497.9576, 10.15091
498.4397, 11.19344
498.9218, 12.48344
499.4040, 13.80544
499.8861, 14.62345
500.3682, 14.36868
500.8503, 14.65865
501.3324, 15.76988
501.8145, 17.12287
502.2967, 18.40319
502.7788, 19.60531
503.2609, 20.88760
503.7430, 22.40177
504.2251, 24.04232
504.7072, 25.29502
505.1894, 25.78603
505.6715, 26.76827
506.1536, 29.02323
506.6357, 31.58140
507.1178, 33.66785
507.5999, 35.19712
508.0821, 36.65079
508.5642, 38.44192
509.0463, 40.42860
509.5284, 42.18498
510.0105, 43.64768
510.4926, 45.03603
510.9748, 46.43401
511.4569, 47.85783
511.9390, 49.29668
512.4211, 50.50182
512.9032, 52.16521
513.3853, 55.07280
513.8674, 58.54243
514.3495, 61.27192
514.8317, 62.99419
515.3138, 64.47030
515.7959, 66.44537
516.2780, 68.95253
516.7601, 71.64241
517.2422, 74.47843
517.7244, 77.51710
518.2065, 81.08362
518.6886, 84.76490
519.1707, 88.01978
519.6528, 90.64476
520.1349, 92.76006
520.6171, 94.38576
521.0992, 95.26058
521.5813, 96.72234
522.0634, 99.27001
522.5455, 101.9335
523.0276, 104.4669
523.5098, 106.8901
523.9919, 109.3173
524.4740, 111.8865
524.9561, 114.2639
525.4382, 115.7614
525.9203, 116.3469
526.4025, 117.4434
526.8846, 119.4986
527.3667, 122.0291
527.8488, 124.7233
528.3309, 127.5959
528.8130, 130.5135
529.2952, 133.9407
529.7773, 136.8471
530.2594, 138.0995
530.7415, 137.9931
531.2236, 137.7129
531.7057, 137.6934
532.1879, 137.8575
532.6700, 138.1431
533.1521, 138.5020
533.6342, 139.2538
534.1163, 141.0480
534.5984, 142.6845
535.0806, 143.2495
535.5627, 142.9545
536.0448, 142.5807
536.5269, 142.5648
537.0090, 142.7725
537.4911, 142.9984
537.9733, 143.2801
538.4554, 143.5943
538.9375, 143.9277
539.4196, 144.2340
539.9017, 144.6997
540.3839, 145.2313
540.8660, 145.4209
541.3481, 144.9586
541.8302, 143.9566
542.3123, 142.6252
542.7944, 140.8952
543.2766, 138.9090
543.7587, 136.9616
544.2408, 134.7208
544.7229, 131.6932
545.2050, 127.7706
545.6871, 123.4115
546.1693, 118.5148
546.6514, 113.5457
547.1335, 109.1834
547.6156, 105.3327
548.0977, 101.0448
548.5798, 95.70904
549.0620, 89.58347
549.5441, 83.59055
550.0262, 77.14484
550.5083, 71.66212
550.9904, 67.78386
551.4725, 64.34150
551.9547, 60.40894
552.4368, 56.07620
552.9189, 52.01972
553.4010, 48.78739
553.8831, 46.14990
554.3652, 43.23427
554.8474, 39.79020
555.3295, 36.77299
555.8116, 34.86221
556.2937, 33.17780
556.7758, 30.95712
557.2579, 28.21642
557.7401, 25.79041
558.2222, 24.42149
558.7043, 23.64751
559.1864, 22.49485
559.6685, 20.87173
560.1506, 19.35453
560.6328, 18.25914
561.1149, 17.44626
561.5970, 16.57222
562.0791, 15.55827
562.5612, 14.74043
563.0433, 14.35748
563.5255, 14.06650
564.0076, 13.77649
564.4897, 13.34120
564.9718, 12.22894
565.4539, 9.988922
565.9360, 7.187302
566.4182, 5.810303
566.9003, 6.765671
567.3824, 7.445351
567.8645, 7.612076
568.3466, 7.525360
568.8287, 7.347946
569.3109, 7.069656
569.7930, 6.574867
570.2751, 5.697815
570.7572, 4.641525
571.2393, 3.850212
571.7214, 3.345497
572.2036, 2.905510
572.6857, 2.479568
573.1678, 2.080322
573.6499, 1.619934
574.1320, 1.102371
574.6141, 0.9342580
575.0963, 1.641563
575.5784, 2.409157
576.0605, 2.440559
576.5426, 1.904663
577.0247, 1.477798
577.5068, 1.484032
577.9890, 1.616013
578.4711, 1.238937
578.9532, 0.1803740
579.4353, 0.6996460
579.9174, 0.5806660
580.3995, 1.748871
580.8817, 1.664696
581.3638, 0.8155140
581.8459, 0.2895660
582.3280, 0.6302720
582.8101, 1.251228
583.2922, 1.086220
583.7744, 6.0417000E-02
584.2565, 0.5813750
584.7386, 0.3736420
585.2207, 0.1976320
585.7029, 0.9661870
586.1850, 2.250084
586.6671, 2.909050
587.1492, 2.309135
587.6313, 1.500195
588.1135, 1.347675
588.5956, 1.517971
589.0777, 1.273350
589.5598, 0.4083710
590.0419, 0.5125960
590.5240, 0.8335080
591.0062, 0.5163760
591.4883, 0.4698720
591.9704, 1.216030
592.4525, 1.574108
592.9346, 0.7891960
593.4167, 0.3023300
593.8989, 0.6491580
594.3810, 7.0483997E-02
594.8631, 0.6525190
595.3452, 0.6221080
595.8273, 6.7947000E-02
596.3094, 0.2886390
596.7916, 0.2443050
597.2737, 0.5966800
597.7558, 0.1534500
598.2379, 0.5735930
598.7200, 1.140060
599.2021, 1.523426
599.6843, 1.520832
600.1664, 0.5441470
600.6485, 0.6418000
601.1306, 0.7053340
601.6127, 0.3066440
602.0948, 1.027969
602.5770, 0.6146740
603.0591, 0.5200840
603.5412, 1.238457
604.0233, 1.203854
604.5054, 1.284405
604.9875, 1.794922
605.4697, 2.143105
605.9518, 1.809944
606.4339, 0.9933550
606.9160, 0.2321360
607.3981, 0.1862260
607.8802, 0.3284610
608.3624, 0.2493550
608.8445, 9.8693997E-02
609.3266, 0.2754710
609.8087, 6.6307001E-02
610.2908, 0.1376950
610.7729, 1.2821000E-02
611.2551, 0.4022790
611.7372, 0.6873590
612.2193, 0.7607080
612.7014, 0.7303430
613.1835, 0.5854190
613.6656, 0.4062920
614.1478, 0.4447170
614.6299, 0.7593690
615.1120, 0.9736630
615.5941, 0.6277310
616.0762, 0.2839620
616.5583, 0.6004710
617.0405, 0.2732120
617.5226, 0.9945070
618.0047, 1.251945
618.4868, 1.317333
618.9689, 1.424953
619.4510, 1.629932
619.9332, 1.905994
620.4153, 2.261734
620.8974, 2.665134
621.3795, 3.037727
621.8616, 3.418556
622.3438, 3.549278
622.8259, 3.211525
623.3080, 2.679104
623.7901, 2.270123
624.2722, 1.976055
624.7543, 1.898968
625.2365, 2.336517
625.7186, 2.774021
626.2007, 2.695847
626.6828, 2.256657
627.1649, 1.930355
627.6470, 1.915218
628.1292, 2.065266
628.6113, 2.112823
629.0934, 1.942341
629.5755, 2.154190
630.0576, 3.516609
630.5397, 4.434582
631.0219, 4.101147
631.5040, 3.169125
631.9861, 2.556347
632.4682, 2.533520
632.9503, 2.653709
633.4324, 2.454475
633.9146, 2.069725
634.3967, 1.903130
634.8788, 1.982571
635.3609, 2.372078
635.8430, 3.327679
636.3251, 4.499874
636.8073, 4.763847
637.2894, 3.602352
637.7715, 2.907032
638.2536, 3.377056
638.7357, 4.028442
639.2178, 4.004162
639.7000, 3.479881
640.1821, 3.177349
640.6642, 3.501221
641.1463, 4.149181
641.6284, 4.546490
642.1105, 4.660797
642.5927, 4.535217
643.0748, 3.873478
643.5569, 3.294525
644.0390, 3.462379
644.5211, 3.915436
645.0032, 3.579826
645.4854, 1.716316
645.9675, 0.1717610
646.4496, 0.5653040
646.9317, 2.038662
647.4138, 3.083164
647.8959, 3.440086
648.3781, 3.309414
648.8602, 2.751110
649.3423, 1.946232
649.8244, 1.790554
650.3065, 3.266960
650.7886, 3.902237
651.2708, 2.774803
651.7529, 1.489983
652.2350, 1.132030
652.7171, 1.592857
653.1992, 2.330479
653.6813, 3.171551
654.1635, 3.828228
654.6456, 3.679859
655.1277, 2.797470
655.6098, 2.407726
656.0919, 2.871410
656.5740, 3.392281
657.0562, 3.218571
657.5383, 2.491707
658.0204, 2.193371
658.5025, 2.536461
658.9846, 2.984474
659.4667, 3.486721
659.9489, 3.895607
660.4310, 4.089249
660.9131, 4.114243
661.3952, 4.086655
661.8773, 4.106937
662.3594, 4.177448
662.8416, 4.335979
663.3237, 4.645523
663.8058, 4.814568
664.2879, 4.862186
664.7700, 4.638374
665.2521, 3.766392
665.7343, 2.541050
666.2164, 1.949684
666.6985, 2.753407
667.1806, 3.675095
667.6627, 3.671494
668.1448, 3.099079
668.6270, 2.627563
669.1091, 2.403244
669.5912, 2.268608
670.0733, 2.072979
670.5554, 1.849514
671.0375, 1.884487
671.5197, 2.614296
672.0018, 2.874180
672.4839, 1.821453
672.9660, 0.9217760
673.4481, 1.405205
673.9302, 2.925247
674.4124, 4.276123
674.8945, 4.981899
675.3766, 5.151436
675.8587, 4.631374
676.3408, 3.623184
676.8229, 3.166656
677.3051, 3.554039
677.7872, 4.052513
678.2693, 3.925964
678.7514, 3.273319
679.2335, 3.262405
679.7156, 4.966358
680.1978, 5.802563
680.6799, 4.324516
681.1620, 2.648418
681.6441, 2.944981
682.1262, 4.846817
682.6083, 6.224937
683.0905, 5.615829
683.5726, 4.064220
684.0547, 3.718304
684.5368, 4.573696
685.0189, 4.689369
685.5010, 3.394485
685.9832, 1.998512
686.4653, 1.639923
686.9474, 2.138752
687.4295, 2.500420
687.9116, 2.464699
688.3937, 2.617233
688.8759, 3.482834
689.3580, 4.383842
689.8401, 4.407326
690.3222, 3.711464
690.8043, 3.342514
691.2864, 4.040440
691.7686, 5.272995
692.2507, 5.649757
692.7328, 4.971573
693.2149, 4.813984
693.6970, 5.926262
694.1791, 6.808075
694.6613, 6.013351
695.1434, 4.271305
695.6255, 3.197601
696.1076, 3.203484
696.5897, 3.564590
697.0718, 4.427986
697.5540, 5.186634
698.0361, 4.793041
698.5182, 3.442474
699.0003, 2.467304
699.4824, 2.720840
699.9645, 3.671471
700.4467, 3.983631
700.9288, 3.419353
701.4109, 3.120026
701.8930, 3.562641
702.3751, 3.763557
702.8572, 2.944469
703.3394, 1.664841
703.8215, 0.8465390
704.3036, 0.7854610
