##NAMES=Stichtite
##RRUFFID=R060675
##IDEAL CHEMISTRY=Mg_6_Cr^3+^_2_CO_3_(OH)_16_&#183;4H_2_O
##LOCALITY=Nevada Creek, Dundas, Tasmania, Australia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Purple massive, associated with green serpentine
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060675
320.160, 720.225
320.642, 708.522
321.124, 695.856
321.606, 689.666
322.089, 689.671
322.571, 694.072
323.053, 719.099
323.535, 729.340
324.017, 703.576
324.499, 664.666
324.981, 642.160
325.463, 648.001
325.945, 670.097
326.428, 685.358
326.910, 695.468
327.392, 693.804
327.874, 672.169
328.356, 645.759
328.838, 622.256
329.320, 603.730
329.802, 591.170
330.284, 587.505
330.767, 593.220
331.249, 598.344
331.731, 614.693
332.213, 615.160
332.695, 572.823
333.177, 506.432
333.659, 458.954
334.142, 466.124
334.624, 499.380
335.106, 491.242
335.588, 429.860
336.070, 376.695
336.552, 374.897
337.034, 393.256
337.516, 391.101
337.998, 355.630
338.480, 314.785
338.963, 287.956
339.445, 273.943
339.927, 267.326
340.409, 268.224
340.891, 273.208
341.373, 277.798
341.855, 281.944
342.337, 285.866
342.819, 287.753
343.302, 290.197
343.784, 299.087
344.266, 314.763
344.748, 326.096
345.230, 322.063
345.712, 301.717
346.194, 285.458
346.677, 267.016
347.159, 258.129
347.641, 269.700
348.123, 294.888
348.605, 317.481
349.087, 328.361
349.569, 333.079
350.051, 349.743
350.533, 401.544
351.016, 434.332
351.498, 430.347
351.980, 416.067
352.462, 416.516
352.944, 436.280
353.426, 460.491
353.908, 470.750
354.390, 465.035
354.872, 455.877
355.355, 437.356
355.837, 420.831
356.319, 413.604
356.801, 412.022
357.283, 407.068
357.765, 392.562
358.247, 371.062
358.729, 347.079
359.211, 314.444
359.694, 296.245
360.176, 325.135
360.658, 363.290
361.140, 367.242
361.622, 320.853
362.104, 265.890
362.586, 237.914
363.069, 233.856
363.551, 237.295
364.033, 249.232
364.515, 259.266
364.997, 248.797
365.479, 218.556
365.961, 202.521
366.443, 222.044
366.925, 253.885
367.408, 273.433
367.890, 278.888
368.372, 277.690
368.854, 274.029
369.336, 268.147
369.818, 262.852
370.300, 254.625
370.782, 250.625
371.264, 250.442
371.747, 256.547
372.229, 274.921
372.711, 307.921
373.193, 347.778
373.675, 381.154
374.157, 410.837
374.639, 426.798
375.121, 416.256
375.603, 404.351
376.086, 413.766
376.568, 439.316
377.050, 453.125
377.532, 425.492
378.014, 362.106
378.496, 330.649
378.978, 358.829
379.460, 377.848
379.943, 352.892
380.425, 311.057
380.907, 288.898
381.389, 301.398
381.871, 327.075
382.353, 342.781
382.835, 348.645
383.317, 338.927
383.799, 300.195
384.282, 258.554
384.764, 242.640
385.246, 252.014
385.728, 263.305
386.210, 274.146
386.692, 278.482
387.174, 260.958
387.656, 220.162
388.138, 184.994
388.621, 177.663
389.103, 195.131
389.585, 208.148
390.067, 207.913
390.549, 213.216
391.031, 240.756
391.513, 276.345
391.996, 292.712
392.478, 279.518
392.960, 255.241
393.442, 253.013
393.924, 289.092
394.406, 310.050
394.888, 300.257
395.370, 290.432
395.852, 298.575
396.335, 323.177
396.817, 353.688
397.299, 384.095
397.781, 413.052
398.263, 433.597
398.745, 448.840
399.227, 449.022
399.709, 419.843
400.191, 381.411
400.674, 351.778
401.156, 335.113
401.638, 333.787
402.120, 364.849
402.602, 421.770
403.084, 440.790
403.566, 392.028
404.048, 334.874
404.530, 336.948
405.013, 385.292
405.495, 411.744
405.977, 375.194
406.459, 325.835
406.941, 317.143
407.423, 343.559
407.905, 359.484
408.387, 335.998
408.870, 290.010
409.352, 276.691
409.834, 317.842
410.316, 356.479
410.798, 388.327
411.280, 412.793
411.762, 424.127
412.244, 423.881
412.727, 426.343
413.209, 448.174
413.691, 491.643
414.173, 527.312
414.655, 552.259
415.137, 571.304
415.619, 575.989
416.101, 577.842
416.583, 597.114
417.065, 645.235
417.548, 700.845
418.030, 726.913
418.512, 719.620
418.994, 714.827
419.476, 716.891
419.958, 727.605
420.440, 747.958
420.922, 777.780
421.405, 813.880
421.887, 870.391
422.369, 925.538
422.851, 941.266
423.333, 916.191
423.815, 886.557
424.297, 872.451
424.779, 871.624
425.262, 873.876
425.744, 875.986
426.226, 884.976
426.708, 912.745
427.190, 944.093
427.672, 957.439
428.154, 948.686
428.636, 933.970
429.118, 932.243
429.601, 945.926
430.083, 957.416
430.565, 962.598
431.047, 969.957
431.529, 989.436
432.011, 1011.393
432.493, 1018.028
432.975, 999.455
433.457, 970.419
433.940, 956.543
434.422, 959.775
434.904, 967.177
435.386, 980.008
435.868, 992.727
436.350, 997.485
436.832, 995.773
437.314, 1002.671
437.797, 1035.235
438.279, 1075.872
438.761, 1095.436
439.243, 1093.478
439.725, 1095.100
440.207, 1117.001
440.689, 1151.570
441.171, 1170.762
441.654, 1149.648
442.136, 1154.286
442.618, 1232.152
443.100, 1325.640
443.582, 1364.484
444.064, 1340.278
444.546, 1300.751
445.028, 1293.873
445.510, 1320.925
445.992, 1353.505
446.475, 1398.824
446.957, 1441.612
447.439, 1473.660
447.921, 1502.768
448.403, 1539.683
448.885, 1588.708
449.367, 1642.933
449.849, 1693.815
450.332, 1741.107
