##NAMES=Euxenite-(Y)
##RRUFFID=R080101
##IDEAL CHEMISTRY=(Y,Ca,Ce,U,Th)(Nb,Ta,Ti)_2_O_6_
##LOCALITY=Betafo, Madagascar
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Khaki colored fragment from metamict sample R060856, after heating at T = 1000 C for 24 hours
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R080101
179.7173, 54.57471
180.1994, 69.05127
180.6815, 83.20605
181.1636, 95.72070
181.6458, 106.2402
182.1279, 113.1392
182.6100, 114.8657
183.0921, 113.1802
183.5742, 111.6426
184.0563, 110.3281
184.5385, 108.4600
185.0206, 104.9800
185.5027, 100.2139
185.9848, 95.64502
186.4669, 91.06445
186.9490, 87.23584
187.4312, 87.95850
187.9133, 94.17969
188.3954, 98.98975
188.8775, 92.98486
189.3596, 77.18359
189.8417, 60.66455
190.3239, 48.24170
190.8060, 38.29443
191.2881, 22.82227
191.7702, 1.289063
192.2523, 23.37402
192.7344, 48.15527
193.2166, 86.10645
193.6987, 124.3843
194.1808, 163.7520
194.6629, 203.9463
195.1450, 242.0405
195.6271, 276.7227
196.1093, 312.6138
196.5914, 356.1138
197.0735, 407.3252
197.5556, 464.1025
198.0377, 527.4746
198.5198, 597.9180
199.0020, 664.3701
199.4841, 726.0215
199.9662, 785.0435
200.4483, 845.7803
200.9304, 908.3467
201.4125, 971.5474
201.8947, 1036.429
202.3768, 1103.630
202.8589, 1163.996
203.3410, 1216.391
203.8231, 1263.664
204.3052, 1310.817
204.7874, 1358.939
205.2695, 1403.582
205.7516, 1444.152
206.2337, 1481.656
206.7158, 1507.543
207.1979, 1518.669
207.6801, 1521.249
208.1622, 1528.921
208.6443, 1544.344
209.1264, 1556.789
209.6085, 1560.567
210.0906, 1553.770
210.5728, 1546.895
211.0549, 1539.651
211.5370, 1532.840
212.0191, 1528.554
212.5012, 1527.013
212.9833, 1527.450
213.4655, 1530.294
213.9476, 1536.990
214.4297, 1540.470
214.9118, 1538.330
215.3939, 1534.051
215.8760, 1536.952
216.3581, 1550.026
216.8403, 1564.019
217.3224, 1573.938
217.8045, 1577.667
218.2866, 1584.080
218.7687, 1594.368
219.2508, 1606.847
219.7330, 1616.876
220.2151, 1624.028
220.6972, 1629.104
221.1793, 1632.128
221.6614, 1632.407
222.1435, 1632.135
222.6257, 1631.669
223.1078, 1630.489
223.5899, 1627.219
224.0720, 1621.647
224.5541, 1614.500
225.0362, 1605.809
225.5184, 1594.801
226.0005, 1584.823
226.4826, 1576.711
226.9647, 1569.710
227.4468, 1561.613
227.9289, 1553.819
228.4111, 1543.298
228.8932, 1528.159
229.3753, 1505.693
229.8574, 1485.764
230.3395, 1471.888
230.8216, 1460.093
231.3038, 1437.818
231.7859, 1397.491
232.2680, 1357.862
232.7501, 1327.840
233.2322, 1312.611
233.7143, 1295.119
234.1965, 1273.989
234.6786, 1250.548
235.1607, 1228.255
235.6428, 1207.094
236.1249, 1184.845
236.6070, 1160.796
237.0892, 1132.922
237.5713, 1108.340
238.0534, 1087.463
238.5355, 1069.493
239.0176, 1052.552
239.4997, 1036.500
239.9819, 1022.043
240.4640, 1010.140
240.9461, 1002.828
241.4282, 994.0908
241.9103, 984.2915
242.3924, 973.0615
242.8746, 958.8735
243.3567, 938.4531
243.8388, 920.4136
244.3209, 908.0122
244.8030, 901.5562
245.2851, 900.0229
245.7673, 903.9600
246.2494, 912.3306
246.7315, 923.5854
247.2136, 939.2490
247.6957, 957.0840
248.1778, 975.6260
248.6600, 993.1875
249.1421, 1015.979
249.6242, 1046.965
250.1063, 1081.306
250.5884, 1108.633
251.0705, 1120.699
251.5527, 1139.660
252.0348, 1175.143
252.5169, 1233.372
252.9990, 1285.557
253.4811, 1329.561
253.9632, 1369.325
254.4454, 1410.893
254.9275, 1454.302
255.4096, 1499.911
255.8917, 1548.501
256.3738, 1600.616
256.8560, 1651.414
257.3381, 1700.262
257.8202, 1748.702
258.3023, 1799.922
258.7844, 1853.402
259.2665, 1909.820
259.7487, 1970.259
260.2308, 2035.159
260.7129, 2099.039
261.1950, 2160.930
261.6771, 2222.541
262.1592, 2285.685
262.6414, 2348.959
263.1235, 2416.046
263.6056, 2488.396
264.0877, 2567.160
264.5698, 2642.777
265.0519, 2713.918
265.5341, 2783.453
266.0162, 2856.265
266.4983, 2933.609
266.9804, 3008.710
267.4625, 3079.816
267.9446, 3146.449
268.4268, 3216.619
268.9089, 3291.475
269.3910, 3365.426
269.8731, 3431.847
270.3552, 3487.634
270.8373, 3546.968
271.3195, 3615.781
271.8016, 3692.171
272.2837, 3758.451
272.7658, 3812.289
273.2479, 3862.918
273.7300, 3922.089
274.2122, 3992.431
274.6943, 4053.487
275.1764, 4098.478
275.6585, 4130.772
276.1406, 4168.884
276.6227, 4214.970
277.1049, 4260.124
277.5870, 4297.319
278.0691, 4326.480
278.5512, 4351.758
279.0333, 4374.278
279.5154, 4393.151
279.9976, 4404.625
280.4797, 4408.056
280.9618, 4408.115
281.4439, 4410.190
281.9260, 4414.415
282.4081, 4407.477
282.8903, 4385.734
283.3724, 4354.033
283.8545, 4323.606
284.3366, 4294.804
284.8187, 4264.630
285.3008, 4231.187
285.7830, 4194.368
286.2651, 4157.093
286.7472, 4118.978
287.2293, 4080.993
287.7114, 4045.123
288.1935, 4011.510
288.6757, 3978.628
289.1578, 3944.245
289.6399, 3909.041
290.1220, 3881.088
290.6041, 3861.766
291.0862, 3844.775
291.5684, 3818.718
292.0505, 3784.756
292.5326, 3755.104
293.0147, 3738.275
293.4968, 3729.901
293.9789, 3715.385
294.4611, 3694.155
294.9432, 3670.693
295.4253, 3648.894
295.9074, 3628.803
296.3895, 3611.713
296.8716, 3599.547
297.3538, 3589.794
297.8359, 3576.596
298.3180, 3559.540
298.8001, 3542.935
299.2822, 3531.662
299.7643, 3523.391
300.2465, 3512.564
300.7286, 3495.006
301.2107, 3474.732
301.6928, 3456.843
302.1749, 3441.513
302.6570, 3425.957
303.1392, 3409.740
303.6213, 3391.906
304.1034, 3371.561
304.5855, 3346.747
305.0676, 3319.922
305.5497, 3292.464
306.0319, 3264.332
306.5140, 3234.049
306.9961, 3198.616
307.4782, 3162.230
307.9603, 3130.412
308.4424, 3107.798
308.9246, 3083.571
309.4067, 3049.168
309.8888, 3007.455
310.3709, 2966.000
310.8530, 2928.693
311.3351, 2893.843
311.8173, 2860.970
312.2994, 2831.021
312.7815, 2798.727
313.2636, 2758.207
313.7457, 2713.741
314.2278, 2672.686
314.7100, 2642.470
315.1921, 2614.127
315.6742, 2580.904
316.1563, 2540.922
316.6384, 2504.909
317.1205, 2486.821
317.6027, 2473.357
318.0848, 2447.667
318.5669, 2393.899
319.0490, 2336.329
319.5311, 2283.759
320.0132, 2236.747
320.4954, 2191.411
320.9775, 2147.621
321.4596, 2104.733
321.9417, 2062.765
322.4238, 2021.596
322.9059, 1981.349
323.3881, 1943.998
323.8702, 1909.147
324.3523, 1869.058
324.8344, 1821.064
325.3165, 1768.722
325.7986, 1713.827
326.2808, 1650.272
326.7629, 1591.714
327.2450, 1541.063
327.7271, 1496.676
328.2092, 1451.844
328.6913, 1407.712
329.1735, 1362.155
329.6556, 1313.401
330.1377, 1257.908
330.6198, 1205.949
331.1019, 1160.364
331.5840, 1117.426
332.0662, 1068.883
332.5483, 1008.952
333.0304, 951.1597
333.5125, 901.5557
333.9946, 861.9092
334.4767, 818.0093
334.9589, 767.5518
335.4410, 715.4404
335.9231, 668.5752
336.4052, 629.9590
336.8873, 589.4106
337.3694, 543.4917
337.8515, 492.9478
338.3336, 447.6084
338.8158, 408.4116
339.2979, 372.6455
339.7800, 338.1909
340.2621, 305.6548
340.7442, 271.9434
341.2263, 236.2065
341.7085, 199.5093
342.1906, 166.2051
342.6727, 136.1733
343.1548, 109.2539
343.6369, 86.36963
344.1190, 67.22852
344.6012, 46.52930
345.0833, 23.48096
345.5654, 1.105957
346.0475, 27.33447
346.5296, 54.95654
347.0117, 79.43750
347.4939, 94.83936
347.9760, 104.9321
348.4581, 123.3843
348.9402, 152.2153
349.4223, 181.6572
349.9044, 200.6138
350.3866, 211.0049
350.8687, 219.5195
351.3508, 227.5029
351.8329, 235.7236
352.3150, 246.3433
352.7971, 259.1958
353.2793, 270.5332
353.7614, 277.1982
354.2435, 280.2529
354.7256, 280.9927
355.2077, 277.4834
355.6898, 274.8291
356.1720, 279.5674
356.6541, 289.7031
357.1362, 296.8418
357.6183, 296.5547
358.1004, 290.7676
