##NAMES=Lefontite
##RRUFFID=R140074
##IDEAL CHEMISTRY=Fe^2+^_2_Al_2_Be(PO_4_)_2_(OH)_6_
##LOCALITY=Galiléia, Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Reddish brown elongated crystals (to be named as lefontite, with the ideal formula Fe2Al2Be(PO4)2.(OH)6). Associated with ushkovite (R060954), atencioite, rockbridgeite, and albite.
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R140074
##MEASURED CHEMISTRY=(Fe_1.02_Mn_0.81_Ca_0.13_Mg_0.04_)_Σ=2.00_Al_1.99_(Be_1.02_Li_0.08_)(P_0.99_O_4_)_2_(OH)_6_. The BeO and Li2O contents were taken from R140428, which were determined by ICP-MS.
426.3007, 130.2205
426.7828, 130.1681
427.2649, 129.8133
427.7470, 129.1816
428.2291, 128.4053
428.7112, 127.4710
429.1934, 126.4327
429.6755, 125.2537
430.1576, 123.8643
430.6397, 122.2683
431.1218, 120.3842
431.6039, 118.6672
432.0861, 118.0219
432.5682, 118.5399
433.0503, 118.3126
433.5324, 116.1873
434.0145, 112.8544
434.4966, 110.8438
434.9788, 110.2114
435.4609, 110.1169
435.9430, 110.1391
436.4251, 110.1370
436.9072, 109.6128
437.3893, 108.2631
437.8715, 106.9188
438.3536, 106.6957
438.8357, 107.2761
439.3178, 107.7726
439.7999, 107.5888
440.2820, 107.1885
440.7642, 106.9992
441.2463, 107.0338
441.7284, 107.0438
442.2105, 106.8949
442.6926, 106.6343
443.1747, 106.3009
443.6569, 105.7021
444.1390, 105.2559
444.6211, 105.1664
445.1032, 105.3359
445.5853, 105.4908
446.0674, 105.5438
446.5496, 105.6217
447.0317, 105.7332
447.5138, 105.8026
447.9959, 106.2622
448.4780, 107.6038
448.9601, 109.0322
449.4423, 109.7471
449.9244, 109.3856
450.4065, 109.0576
450.8886, 108.7600
451.3707, 108.6365
451.8528, 109.3641
452.3350, 111.1199
452.8171, 113.1905
453.2992, 115.3779
453.7813, 117.6863
454.2634, 119.5353
454.7455, 120.9538
455.2277, 121.7632
455.7098, 121.3482
456.1919, 119.9183
456.6740, 118.9444
457.1561, 119.0764
457.6382, 119.8182
458.1204, 120.5955
458.6025, 121.3499
459.0846, 121.5897
459.5667, 120.6652
460.0488, 119.1704
460.5309, 117.8221
461.0131, 116.7133
461.4952, 115.8500
461.9773, 115.3760
462.4594, 115.1360
462.9415, 114.8937
463.4236, 115.1221
463.9058, 114.8084
464.3879, 113.2026
464.8700, 110.4586
465.3521, 107.9249
465.8342, 105.8548
466.3163, 104.1089
466.7985, 102.6580
467.2806, 101.9172
467.7627, 100.6874
468.2448, 98.68005
468.7269, 96.29938
469.2090, 94.11792
469.6912, 92.37701
470.1733, 90.35406
470.6554, 87.84662
471.1375, 84.85620
471.6196, 82.10065
472.1017, 79.60248
472.5839, 77.39368
473.0660, 75.54651
473.5481, 74.01202
474.0302, 72.09283
474.5123, 69.78094
474.9944, 67.22528
475.4766, 64.27795
475.9587, 60.98621
476.4408, 57.93903
476.9229, 55.50684
477.4050, 53.47614
477.8871, 51.55707
478.3693, 49.76746
478.8514, 48.10120
479.3335, 46.56274
479.8156, 45.14746
480.2977, 43.84149
480.7798, 42.61377
481.2620, 41.38391
481.7441, 40.00714
482.2262, 38.74884
482.7083, 37.91254
483.1904, 37.87225
483.6725, 37.66681
484.1547, 36.89313
484.6368, 35.68042
485.1189, 34.75549
485.6010, 34.62799
486.0831, 34.40344
486.5652, 33.59131
487.0474, 31.64941
487.5295, 30.34814
488.0116, 29.94110
488.4937, 29.94336
488.9758, 29.69574
489.4579, 29.10175
489.9401, 28.42725
490.4222, 27.62567
490.9043, 26.77802
491.3864, 26.32288
491.8685, 26.33002
492.3506, 26.22803
492.8328, 25.48578
493.3149, 24.27100
493.7970, 23.35535
494.2791, 22.83301
494.7612, 22.43573
495.2433, 21.79437
495.7255, 21.03101
496.2076, 20.44067
496.6897, 20.13794
497.1718, 20.05713
497.6539, 20.31433
498.1360, 20.80157
498.6182, 21.09039
499.1003, 20.85187
499.5824, 20.40497
500.0645, 19.92889
500.5466, 19.39288
501.0287, 19.01794
501.5109, 18.81982
501.9930, 18.82434
502.4751, 19.06384
502.9572, 19.88611
503.4393, 20.51862
503.9214, 20.75403
504.4036, 20.72607
504.8857, 20.97894
505.3678, 21.93311
505.8499, 22.42902
506.3320, 21.79456
506.8141, 19.91132
507.2963, 18.74084
507.7784, 18.36639
508.2605, 18.45752
508.7426, 18.84149
509.2247, 19.48285
509.7068, 19.81683
510.1890, 19.67084
510.6711, 19.29401
511.1532, 19.18567
511.6353, 19.25092
512.1174, 19.06433
512.5995, 18.05951
513.0817, 16.85681
513.5638, 16.29889
514.0459, 16.37299
514.5280, 16.42340
515.0101, 15.92108
515.4922, 15.26123
515.9744, 14.86493
516.4565, 15.07812
516.9386, 15.05438
517.4207, 14.30389
517.9028, 13.19153
518.3849, 12.31244
518.8671, 12.34991
519.3492, 11.98279
519.8313, 10.54907
520.3134, 8.191406
520.7955, 6.946594
521.2776, 7.375732
521.7598, 8.076172
522.2419, 8.356873
522.7240, 8.242737
523.2061, 7.389832
523.6882, 5.466614
524.1703, 3.482300
524.6525, 2.951782
525.1346, 3.778992
525.6167, 4.535217
526.0988, 5.018250
526.5809, 5.006531
527.0630, 3.638367
527.5452, 1.184631
528.0273, 0.8593750
528.5094, 1.251953
528.9915, 0.9520260
529.4736, 1.143921
529.9557, 1.939880
530.4379, 2.503845
530.9200, 1.868835
531.4021, 0.9965210
531.8842, 0.8747560
532.3663, 2.525024
532.8484, 3.838562
533.3306, 4.072327
533.8127, 3.637329
534.2948, 3.376831
534.7769, 3.326965
535.2590, 3.496948
535.7411, 3.920349
536.2233, 4.583801
536.7054, 5.352234
537.1875, 6.375000
537.6696, 7.174194
538.1517, 7.254822
538.6339, 6.510986
539.1160, 6.557190
539.5981, 7.762939
540.0802, 8.942993
540.5623, 8.132446
541.0444, 5.723389
541.5266, 3.963379
542.0087, 3.805786
542.4908, 4.360352
542.9729, 4.446899
543.4550, 4.159241
543.9371, 3.869934
544.4193, 4.013184
544.9014, 4.101501
545.3835, 3.785156
545.8656, 3.037903
546.3477, 1.840942
546.8298, 0.7396850
547.3120, 3.265198
547.7941, 4.507935
548.2762, 2.638855
548.7583, 1.734863
549.2404, 2.475342
549.7225, 4.233948
550.2047, 6.057861
550.6868, 8.271484
551.1689, 9.893982
551.6510, 10.47681
552.1331, 10.22632
552.6152, 10.47107
553.0974, 11.27136
553.5795, 12.30847
554.0616, 13.35016
554.5437, 14.44812
555.0258, 15.91528
555.5079, 17.81744
555.9901, 19.85071
556.4722, 21.70789
556.9543, 23.48328
557.4364, 25.33221
557.9185, 27.16260
558.4006, 29.30750
558.8828, 32.47156
559.3649, 36.14984
559.8470, 39.25092
560.3291, 40.54791
560.8112, 41.85010
561.2933, 44.18878
561.7755, 47.60187
562.2576, 50.43170
562.7397, 51.88763
563.2218, 53.10791
563.7039, 54.63452
564.1860, 56.55768
564.6682, 58.58636
565.1503, 60.77820
565.6324, 63.04791
566.1145, 65.16040
566.5966, 67.07861
567.0787, 69.55731
567.5609, 73.00977
568.0430, 76.83075
568.5251, 79.56360
569.0072, 81.33478
569.4893, 82.91931
569.9714, 84.69916
570.4536, 86.58783
570.9357, 88.40735
571.4178, 90.16174
571.8999, 92.12152
572.3820, 94.64832
572.8641, 97.32635
573.3463, 99.77045
573.8284, 101.9278
574.3105, 103.8462
574.7926, 105.4220
575.2747, 106.8013
575.7568, 108.1683
576.2390, 109.9246
576.7211, 111.1355
577.2032, 111.3914
577.6853, 111.0532
578.1674, 111.4219
578.6495, 112.7374
579.1317, 114.0679
579.6138, 115.0283
580.0959, 115.6629
580.5780, 116.1768
581.0601, 116.5310
581.5422, 117.2653
582.0244, 119.4605
582.5065, 122.3489
582.9886, 123.7327
583.4707, 123.0927
583.9528, 122.3258
584.4349, 123.1594
584.9171, 124.9599
585.3992, 126.7730
585.8813, 128.6506
586.3634, 129.9779
586.8455, 130.0687
587.3276, 129.3534
587.8098, 129.0577
588.2919, 129.7239
588.7740, 130.6202
589.2561, 131.5848
589.7382, 132.5759
590.2203, 133.3255
590.7025, 133.8378
591.1846, 134.1958
591.6667, 134.3272
592.1488, 134.1767
592.6309, 134.6624
593.1130, 135.9875
593.5952, 137.2745
594.0773, 137.2473
