##NAMES=Ramdohrite
##RRUFFID=R110001
##IDEAL CHEMISTRY=CdAg_5.5_Pb_12_Sb_21.5_S_48_
##LOCALITY=Chocaya, Potosi, Bolivia
##OWNER=RRUFF
##SOURCE=Mark N. Feinglos
##DESCRIPTION=Massive, silver metallic associated with quartz and wurtzite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110001
271.3991, 72.84236
271.8812, 73.04586
272.3633, 73.01921
272.8455, 72.82069
273.3276, 72.36364
273.8097, 71.67947
274.2918, 71.05811
274.7739, 70.99625
275.2560, 71.91004
275.7382, 72.50372
276.2202, 72.65862
276.7024, 72.65493
277.1845, 72.80022
277.6666, 73.06105
278.1487, 73.01860
278.6308, 72.02228
279.1129, 69.47170
279.5951, 68.10026
280.0772, 69.11587
280.5593, 70.05260
281.0414, 69.45665
281.5235, 67.43694
282.0056, 65.10036
282.4878, 63.53322
282.9699, 62.88429
283.4520, 61.85063
283.9341, 60.16922
284.4162, 58.41707
284.8983, 56.99773
285.3805, 55.73080
285.8626, 54.03022
286.3447, 51.33383
286.8268, 47.68506
287.3089, 45.09742
287.7910, 44.54491
288.2732, 43.92101
288.7553, 42.59152
289.2374, 40.76255
289.7195, 38.91158
290.2016, 37.32521
290.6837, 35.95415
291.1659, 34.47321
291.6480, 33.12390
292.1301, 31.39525
292.6122, 28.90012
293.0943, 26.04760
293.5764, 23.29200
294.0586, 20.81172
294.5407, 18.74675
295.0228, 17.47175
295.5049, 18.20618
295.9870, 18.25595
296.4691, 17.04068
296.9513, 15.30461
297.4334, 13.80840
297.9155, 12.80998
298.3976, 12.10541
298.8797, 11.41158
299.3618, 10.56071
299.8440, 10.01450
300.3261, 9.966309
300.8082, 10.10486
301.2903, 10.15974
301.7724, 10.08295
302.2545, 10.02077
302.7367, 10.17435
303.2188, 10.67034
303.7009, 11.00895
304.1830, 11.14355
304.6651, 11.11253
305.1472, 10.78313
305.6294, 10.23742
306.1115, 9.841660
306.5936, 9.949345
307.0757, 10.61802
307.5578, 11.22824
308.0399, 11.81632
308.5221, 12.39160
309.0042, 12.88112
309.4863, 13.26615
309.9684, 13.57964
310.4505, 13.84968
310.9326, 14.13395
311.4148, 14.68615
311.8969, 15.61850
312.3790, 16.67599
312.8611, 17.99784
313.3432, 19.32515
313.8253, 20.21161
314.3075, 20.43074
314.7896, 20.27367
315.2717, 20.47081
315.7538, 21.10739
316.2359, 21.90504
316.7180, 23.18974
317.2001, 24.56542
317.6823, 25.48157
318.1644, 25.78136
318.6465, 25.91146
319.1286, 26.58549
319.6107, 28.14613
320.0928, 29.47917
320.5750, 30.44986
321.0571, 31.31062
321.5392, 32.32154
322.0213, 33.46800
322.5034, 34.46576
322.9855, 34.98924
323.4677, 34.92874
323.9498, 35.09295
324.4319, 35.59385
324.9140, 36.20224
325.3961, 36.77371
325.8782, 37.34996
326.3604, 38.10721
326.8425, 39.19823
327.3246, 40.55333
327.8067, 41.55595
328.2888, 41.97524
328.7709, 42.38456
329.2531, 43.04254
329.7352, 43.76085
330.2173, 44.20476
330.6994, 44.20647
331.1815, 43.91445
331.6636, 43.72258
332.1458, 43.67984
332.6279, 43.72995
333.1100, 43.82545
333.5921, 43.96582
334.0742, 44.41442
334.5563, 45.18259
335.0385, 45.67144
335.5206, 44.92815
336.0027, 42.19302
336.4848, 40.14014
336.9669, 39.06130
337.4490, 38.33530
337.9312, 37.62374
338.4133, 36.86366
338.8954, 36.12285
339.3775, 35.47145
339.8596, 34.91603
340.3417, 34.32142
340.8239, 34.18067
341.3060, 33.51699
341.7881, 31.51388
342.2702, 28.73200
342.7523, 26.35714
343.2344, 25.16355
343.7166, 24.87572
344.1987, 24.16128
344.6808, 22.55590
345.1629, 21.01448
345.6450, 19.79981
346.1271, 18.63011
346.6093, 17.14830
347.0914, 15.24387
347.5735, 13.10727
348.0556, 11.12133
348.5377, 9.215950
349.0198, 7.606731
349.5020, 6.322641
349.9841, 5.265345
350.4662, 4.430269
350.9483, 3.786129
351.4304, 3.253199
351.9125, 2.780218
352.3947, 2.401897
352.8768, 1.877201
353.3589, 0.7594490
353.8410, 6.3556999E-02
354.3231, 5.7103999E-02
354.8052, 0.7183250
355.2874, 1.019491
355.7695, 0.2845310
356.2516, 1.239267
356.7337, 2.171391
357.2158, 2.077923
357.6979, 1.944389
358.1800, 1.951736
358.6621, 2.015743
359.1443, 2.002283
359.6264, 1.861223
360.1085, 1.727175
360.5906, 1.907646
361.0727, 2.641468
361.5548, 3.053360
362.0370, 2.942291
362.5191, 2.601963
363.0012, 2.070318
363.4833, 1.421850
363.9654, 0.8961770
364.4475, 0.7368200
364.9297, 0.9558660
365.4118, 1.365728
365.8939, 2.412844
366.3760, 3.144310
366.8581, 2.978384
367.3402, 2.236748
367.8224, 1.568905
368.3045, 1.344267
368.7866, 1.465919
369.2687, 1.707191
369.7508, 2.208555
370.2329, 2.506083
370.7151, 2.378305
371.1972, 2.019107
371.6793, 1.631072
372.1614, 1.281625
372.6435, 0.8248310
373.1256, 9.8917000E-02
373.6078, 1.564953
374.0899, 2.470514
374.5720, 2.099621
375.0541, 1.502819
375.5362, 1.482290
376.0183, 2.015301
376.5005, 2.596047
376.9826, 2.995476
377.4647, 3.190485
377.9468, 3.026567
378.4289, 2.314271
378.9110, 1.640826
379.3932, 1.333141
379.8753, 1.341580
380.3574, 1.658892
380.8395, 2.589820
381.3216, 3.545705
381.8037, 3.700781
382.2859, 3.040474
382.7680, 2.352490
383.2501, 1.851505
383.7322, 1.634586
384.2143, 1.851460
384.6964, 2.640542
385.1786, 3.382797
385.6607, 3.645526
386.1428, 3.586788
386.6249, 3.627578
387.1070, 3.875410
387.5891, 4.215270
388.0713, 4.673291
388.5534, 5.229959
389.0355, 5.281761
389.5176, 3.936337
389.9997, 2.516505
390.4818, 2.547680
390.9640, 4.030528
391.4461, 5.636723
391.9282, 6.548121
392.4103, 6.808638
392.8924, 6.842794
393.3745, 6.593519
