##NAMES=Stringhamite
##RRUFFID=R060934
##IDEAL CHEMISTRY=CaCuSiO_4_&#183;H_2_O
##LOCALITY=Santos mine, Tierra Amarilla, Chile
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Azure blue crust, there is no diffraction from this material
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060934
173.5916, 201.3169
174.0737, 198.9706
174.5558, 202.4149
175.0379, 210.5177
175.5201, 226.1290
176.0022, 242.8254
176.4843, 253.3777
176.9664, 257.9830
177.4485, 258.8274
177.9306, 257.1832
178.4128, 252.9684
178.8949, 246.3143
179.3770, 240.1420
179.8591, 229.7379
180.3412, 204.0757
180.8233, 162.7253
181.3055, 120.3644
181.7876, 89.15295
182.2697, 67.88452
182.7518, 51.35083
183.2339, 38.20251
183.7160, 28.46143
184.1982, 16.53782
184.6803, 19.69149
185.1624, 19.18390
185.6445, 15.25941
186.1266, -4.970578
186.6087, -2.114601
187.0908, -7.268924
187.5730, -11.90202
188.0551, -3.262434
188.5372, -16.56018
189.0193, -6.344387
189.5014, -4.274658
189.9835, 2.815277
190.4657, 1.840697
190.9478, 4.516718
191.4299, 17.03348
191.9120, 25.47841
192.3941, 27.01805
192.8762, 29.53516
193.3584, 32.07312
193.8405, 29.55566
194.3226, 33.29590
194.8047, 56.98486
195.2868, 98.97803
195.7689, 121.7919
196.2511, 117.2390
196.7332, 98.08337
197.2153, 94.26709
197.6974, 106.9662
198.1795, 126.4875
198.6616, 148.0272
199.1438, 171.9242
199.6259, 195.5276
200.1080, 219.0502
200.5901, 241.9232
201.0722, 260.2733
201.5543, 272.4810
202.0364, 286.7474
202.5186, 309.9695
203.0007, 343.1771
203.4828, 377.1603
203.9649, 411.1738
204.4470, 444.9138
204.9291, 474.9734
205.4113, 499.4500
205.8934, 525.5149
206.3755, 561.2758
206.8576, 609.8130
207.3397, 652.4817
207.8218, 684.0817
208.3040, 706.1956
208.7861, 734.0979
209.2682, 770.4828
209.7503, 807.0043
210.2324, 837.0820
210.7145, 861.4114
211.1967, 875.6140
