##NAMES=Romerite
##RRUFFID=R060820
##IDEAL CHEMISTRY=Fe^2+^Fe^3+^_2_(SO_4_)_4_&#183;14H_2_O
##LOCALITY=Alcaparrosa mine, Tierra Amarilla, Chile
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Reddish-brown isolated grains associated with copiapite, R060821
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060820
216.5000, 3076.085
216.9820, 3319.911
217.4640, 3547.729
217.9460, 3752.076
218.4280, 3932.279
218.9100, 4100.369
219.3920, 4266.247
219.8740, 4402.142
220.3570, 4482.717
220.8390, 4476.571
221.3210, 4493.128
221.8030, 4547.762
222.2850, 4636.120
222.7670, 4730.668
223.2490, 4833.401
223.7310, 4939.671
224.2140, 5045.929
224.6960, 5156.175
225.1780, 5260.457
225.6600, 5359.435
226.1420, 5452.346
226.6240, 5537.911
227.1060, 5615.720
227.5880, 5685.481
228.0700, 5743.889
228.5530, 5780.817
229.0350, 5828.389
229.5170, 5903.377
229.9990, 6004.187
230.4810, 6053.150
230.9630, 6031.352
231.4450, 5978.268
231.9270, 5927.873
232.4100, 5883.416
232.8920, 5836.151
233.3740, 5789.187
233.8560, 5742.802
234.3380, 5671.006
234.8200, 5560.987
235.3020, 5437.138
235.7840, 5320.815
236.2660, 5210.881
236.7490, 5111.475
237.2310, 5030.358
237.7130, 4968.368
238.1950, 4889.957
238.6770, 4777.317
239.1590, 4665.077
239.6410, 4590.013
240.1230, 4567.898
240.6050, 4552.188
241.0880, 4531.087
241.5700, 4501.671
242.0520, 4489.638
242.5340, 4495.111
243.0160, 4513.125
243.4980, 4535.838
243.9800, 4549.879
244.4620, 4595.109
244.9450, 4691.475
245.4270, 4846.545
245.9090, 4970.885
246.3910, 5048.462
246.8730, 5114.899
247.3550, 5210.877
247.8370, 5351.046
248.3190, 5493.779
248.8010, 5631.100
249.2840, 5759.852
249.7660, 5895.046
250.2480, 6034.335
250.7300, 6177.743
251.2120, 6328.183
251.6940, 6496.739
252.1760, 6652.459
252.6580, 6786.788
253.1410, 6896.886
253.6230, 7011.391
254.1050, 7133.968
254.5870, 7258.244
255.0690, 7380.830
255.5510, 7511.774
256.0330, 7621.246
256.5150, 7699.228
256.9970, 7742.961
257.4800, 7781.572
257.9620, 7812.118
258.4440, 7840.245
258.9260, 7878.663
259.4080, 7947.509
259.8900, 7977.657
260.3720, 7939.897
260.8540, 7825.773
261.3360, 7738.023
261.8190, 7684.506
262.3010, 7644.522
262.7830, 7592.984
263.2650, 7522.940
263.7470, 7458.897
264.2290, 7410.567
264.7110, 7379.955
265.1930, 7328.643
265.6760, 7249.594
266.1580, 7162.054
266.6400, 7086.430
267.1220, 7024.691
267.6040, 6972.814
268.0860, 6928.415
268.5680, 6891.119
269.0500, 6879.552
269.5320, 6900.809
270.0150, 6936.382
270.4970, 6970.287
270.9790, 7006.466
271.4610, 7020.799
271.9430, 6984.252
272.4250, 6950.167
272.9070, 6960.697
273.3890, 6961.250
273.8710, 6952.228
274.3540, 6903.707
274.8360, 6907.146
275.3180, 6890.229
275.8000, 6872.539
276.2820, 6883.531
276.7640, 6860.584
277.2460, 6738.946
277.7280, 6659.129
278.2110, 6608.362
278.6930, 6593.356
279.1750, 6553.679
279.6570, 6461.569
280.1390, 6327.970
280.6210, 6225.667
281.1030, 6159.417
281.5850, 6107.165
282.0680, 6053.437
282.5500, 6000.280
283.0320, 5924.000
283.5140, 5808.494
283.9960, 5665.931
284.4780, 5547.532
284.9600, 5455.541
285.4420, 5376.067
285.9240, 5304.621
286.4060, 5239.875
286.8890, 5166.062
287.3710, 5071.013
287.8530, 4968.955
288.3350, 4904.746
288.8170, 4880.142
289.2990, 4866.797
289.7810, 4842.482
290.2630, 4809.064
290.7460, 4777.127
291.2280, 4751.828
291.7100, 4726.445
292.1920, 4684.139
292.6740, 4625.045
293.1560, 4560.335
293.6380, 4499.982
294.1200, 4442.558
294.6030, 4378.995
295.0850, 4304.428
295.5670, 4227.302
296.0490, 4167.679
296.5310, 4123.931
297.0130, 4069.604
297.4950, 3977.174
297.9770, 3861.292
298.4590, 3750.348
298.9420, 3649.965
299.4240, 3558.183
299.9060, 3479.593
300.3880, 3411.396
300.8700, 3334.563
301.3520, 3227.869
301.8340, 3107.064
302.3160, 3002.248
302.7980, 2919.148
303.2810, 2845.956
303.7630, 2777.355
304.2450, 2709.490
304.7270, 2627.414
305.2090, 2511.219
305.6910, 2381.093
306.1730, 2262.997
306.6550, 2161.417
307.1380, 2062.879
307.6200, 1950.530
308.1020, 1831.668
308.5840, 1725.545
309.0660, 1650.617
309.5480, 1587.842
310.0300, 1521.574
310.5120, 1450.598
310.9940, 1376.444
311.4770, 1300.607
311.9590, 1223.286
312.4410, 1143.481
312.9230, 1052.536
313.4050, 965.4048
313.8870, 895.7793
314.3690, 844.8813
314.8510, 795.1743
315.3330, 735.4282
315.8160, 672.4517
316.2980, 615.0176
316.7800, 569.7065
317.2620, 526.6089
317.7440, 478.6670
318.2260, 425.1133
318.7080, 381.4619
319.1900, 363.6309
319.6720, 353.7661
320.1550, 335.0376
320.6370, 294.0405
321.1190, 252.4131
321.6010, 214.8398
322.0830, 181.3306
322.5650, 154.3545
323.0470, 139.5088
323.5300, 128.2710
324.0120, 114.7075
324.4940, 95.30078
324.9760, 76.33008
325.4580, 57.70020
325.9400, 39.86133
326.4220, 24.77881
326.9040, 13.65771
327.3860, 4.504883
327.8680, 3.687988
328.3510, 4.789551
328.8330, 12.70166
329.3150, 32.13477
329.7970, 59.04199
330.2790, 80.18115
330.7610, 92.39307
331.2430, 102.0747
331.7250, 111.8052
332.2080, 122.6875
332.6900, 131.3252
333.1720, 136.8872
333.6540, 140.4019
334.1360, 143.0264
334.6180, 139.8989
335.1000, 144.4253
335.5820, 166.2969
336.0650, 214.5806
336.5470, 237.8477
337.0290, 228.6851
337.5110, 202.3730
337.9930, 180.8433
338.4750, 162.0820
338.9570, 154.5723
339.4390, 165.9756
339.9210, 196.3193
340.4040, 210.4004
340.8860, 204.8398
341.3680, 191.0181
341.8500, 179.9307
342.3320, 171.4014
342.8140, 168.2354
343.2960, 173.2690
343.7780, 184.0298
344.2600, 190.3013
344.7430, 191.7871
345.2250, 189.5210
345.7070, 182.7769
346.1890, 172.1553
346.6710, 162.8047
347.1530, 155.4468
347.6350, 150.2124
348.1170, 151.3164
348.5990, 158.2100
349.0820, 157.6758
349.5640, 131.6245
350.0460, 90.61084
350.5280, 63.88037
351.0100, 61.03174
351.4920, 64.10107
351.9740, 46.33447
352.4570, 13.06152
352.9390, 14.23535
353.4210, 17.59961
353.9030, 9.551270
354.3850, 6.616211
354.8670, 11.21484
355.3490, 19.03125
355.8310, 23.62012
356.3130, 28.92236
356.7960, 43.01562
357.2780, 80.44189
357.7600, 121.0439
358.2420, 150.2212
358.7240, 166.8325
359.2060, 176.3521
359.6880, 175.5225
360.1700, 171.2534
360.6520, 171.7427
361.1350, 180.5981
361.6170, 193.9346
362.0990, 211.4839
362.5810, 232.8691
363.0630, 254.4258
363.5450, 275.0044
364.0270, 295.1309
364.5090, 315.1943
364.9910, 338.1392
365.4740, 358.0547
365.9560, 370.8608
366.4380, 378.8701
366.9200, 390.8765
367.4020, 406.4775
367.8840, 427.8350
368.3660, 456.5854
368.8480, 502.3408
369.3310, 541.1611
369.8130, 567.5518
370.2950, 587.3481
370.7770, 612.3867
371.2590, 650.9614
371.7410, 683.3926
372.2230, 701.1733
372.7050, 698.2178
373.1880, 707.2095
373.6700, 734.5269
374.1520, 767.1548
374.6340, 787.2280
375.1160, 787.9136
375.5980, 794.6152
376.0800, 817.1592
376.5620, 853.3354
377.0440, 874.7344
377.5260, 875.2642
378.0090, 876.9390
378.4910, 905.3726
378.9730, 961.8906
379.4550, 1006.214
379.9370, 1026.027
380.4190, 1032.450
380.9010, 1056.055
381.3840, 1098.220
381.8660, 1141.653
382.3480, 1173.244
382.8300, 1195.545
383.3120, 1218.574
383.7940, 1241.718
384.2760, 1269.642
384.7580, 1312.050
385.2400, 1366.448
385.7230, 1422.680
386.2050, 1478.346
386.6870, 1530.876
387.1690, 1574.211
387.6510, 1605.838
388.1330, 1640.337
388.6150, 1699.003
389.0970, 1769.289
389.5790, 1828.220
390.0620, 1852.770
390.5440, 1874.238
391.0260, 1919.866
391.5080, 1987.381
391.9900, 2048.168
392.4720, 2084.872
392.9540, 2110.735
393.4360, 2138.225
393.9180, 2182.580
394.4010, 2210.895
394.8830, 2199.623
395.3650, 2164.213
395.8470, 2149.225
396.3290, 2200.906
396.8110, 2247.866
397.2930, 2251.098
397.7750, 2175.899
398.2580, 2121.364
398.7400, 2122.322
399.2220, 2144.592
399.7040, 2134.227
400.1860, 2062.261
400.6680, 1990.195
401.1500, 1931.974
401.6320, 1888.904
402.1140, 1844.384
402.5970, 1805.451
403.0790, 1758.570
403.5610, 1689.075
404.0430, 1587.669
404.5250, 1490.223
405.0070, 1401.447
405.4890, 1320.104
405.9710, 1244.328
406.4530, 1173.840
406.9360, 1106.429
407.4180, 1038.727
407.9000, 970.8232
408.3820, 920.3438
408.8640, 889.1211
409.3460, 870.1157
409.8280, 852.3477
410.3100, 836.5625
410.7930, 829.1562
411.2750, 838.2290
411.7570, 857.5625
412.2390, 866.2188
412.7210, 862.8984
413.2030, 865.8848
413.6850, 899.5366
414.1670, 952.2114
414.6500, 998.4707
415.1320, 1020.155
415.6140, 1039.953
416.0960, 1084.796
416.5780, 1150.255
417.0600, 1212.657
417.5420, 1240.664
418.0240, 1265.900
418.5060, 1319.196
418.9880, 1419.248
419.4710, 1520.851
419.9530, 1597.398
420.4350, 1661.446
420.9170, 1739.129
421.3990, 1854.442
421.8810, 1971.368
422.3630, 2077.624
422.8450, 2172.873
423.3280, 2252.696
423.8100, 2297.196
424.2920, 2334.523
424.7740, 2391.265
425.2560, 2498.064
425.7380, 2588.233
426.2200, 2647.973
426.7020, 2681.492
427.1850, 2722.699
427.6670, 2774.152
428.1490, 2829.049
428.6310, 2883.096
429.1130, 2935.745
429.5950, 2990.927
430.0770, 3048.559
430.5590, 3108.909
431.0410, 3170.504
431.5240, 3230.600
432.0060, 3307.055
432.4880, 3417.620
432.9700, 3555.179
433.4520, 3653.803
433.9340, 3705.735
434.4160, 3766.814
434.8980, 3902.147
435.3800, 4099.157
435.8630, 4304.302
436.3450, 4510.750
436.8270, 4710.729
437.3090, 4877.313
437.7910, 5018.676
438.2730, 5175.016
438.7550, 5375.672
439.2370, 5604.619
439.7200, 5840.553
440.2020, 6077.195
440.6840, 6332.732
441.1660, 6631.866
441.6480, 6955.299
442.1300, 7276.803
442.6120, 7579.266
443.0940, 7883.738
443.5760, 8194.440
444.0590, 8513.032
444.5410, 8844.544
445.0230, 9197.087
445.5050, 9558.814
445.9870, 9926.245
446.4690, 10304.43
446.9510, 10676.59
447.4330, 11040.31
447.9150, 11397.57
448.3980, 11755.78
448.8800, 12116.50
449.3620, 12471.61
449.8440, 12821.90
450.3260, 13164.46
450.8080, 13500.33
451.2900, 13829.58
451.7720, 14151.80
452.2540, 14470.21
452.7370, 14785.23
453.2190, 15100.28
453.7010, 15417.90
454.1830, 15736.34
454.6650, 16038.07
455.1470, 16325.24
455.6290, 16599.20
456.1120, 16871.72
456.5940, 17134.70
457.0760, 17366.48
457.5580, 17557.62
458.0400, 17727.02
458.5220, 17898.56
459.0040, 18065.48
459.4860, 18203.02
459.9680, 18309.13
460.4510, 18376.26
460.9330, 18386.15
461.4150, 18340.06
461.8970, 18284.76
462.3790, 18267.82
462.8610, 18244.91
463.3430, 18169.65
463.8250, 17980.39
464.3070, 17807.00
464.7900, 17693.15
465.2720, 17627.90
465.7540, 17576.55
466.2360, 17557.69
466.7180, 17528.71
467.2000, 17468.16
467.6820, 17360.47
468.1640, 17275.08
468.6470, 17219.07
469.1290, 17178.68
469.6110, 17143.63
470.0930, 17115.84
470.5750, 17084.22
471.0570, 17050.83
471.5390, 17012.03
472.0210, 16940.92
472.5030, 16832.01
472.9860, 16710.37
473.4680, 16600.36
473.9500, 16499.37
474.4320, 16356.95
474.9140, 16166.40
475.3960, 15954.05
475.8780, 15750.07
476.3600, 15552.88
476.8420, 15353.80
477.3250, 15159.11
477.8070, 14958.59
478.2890, 14737.33
478.7710, 14496.52
479.2530, 14244.55
479.7350, 13984.99
480.2170, 13720.20
480.6990, 13448.74
481.1810, 13165.57
481.6640, 12889.35
482.1460, 12631.88
482.6280, 12388.63
483.1100, 12146.81
483.5920, 11922.21
484.0740, 11677.57
484.5560, 11387.85
485.0390, 11054.09
485.5210, 10728.53
486.0030, 10415.28
486.4850, 10113.08
486.9670, 9823.053
487.4490, 9570.416
487.9310, 9291.320
488.4130, 8973.489
488.8950, 8631.446
489.3780, 8294.170
489.8600, 7956.103
490.3420, 7640.380
490.8240, 7358.692
491.3060, 7105.309
491.7880, 6835.054
492.2700, 6542.032
492.7520, 6248.073
493.2340, 5974.432
493.7170, 5721.172
494.1990, 5475.450
494.6810, 5229.339
495.1630, 4996.003
495.6450, 4798.569
496.1270, 4627.138
496.6090, 4445.995
497.0910, 4216.807
497.5730, 3983.531
498.0560, 3786.938
498.5380, 3633.061
499.0200, 3487.047
499.5020, 3332.343
499.9840, 3176.296
500.4660, 3027.954
500.9480, 2898.957
501.4300, 2772.162
501.9130, 2640.813
502.3950, 2507.991
502.8770, 2384.591
503.3590, 2281.071
503.8410, 2180.085
504.3230, 2073.243
504.8050, 1960.304
505.2870, 1858.666
505.7700, 1770.044
506.2520, 1686.411
506.7340, 1603.542
507.2160, 1521.706
507.6980, 1447.170
