##NAMES=Atelestite
##RRUFFID=R080139
##IDEAL CHEMISTRY=Bi^3+^_2_O(As^5+^O_4_)(OH)
##LOCALITY=Daniel mine, Schneeberg, Saxony, Germany
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Small sharp tan to cream colored crystals, associated with dark brown eulytine
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R080139
273.7300, 16883.68
274.2122, 17185.19
274.6943, 17384.72
275.1764, 17481.17
275.6585, 17471.84
276.1406, 17337.34
276.6227, 17072.43
277.1049, 16701.24
277.5870, 16232.59
278.0691, 15663.08
278.5512, 15034.62
279.0333, 14346.13
279.5154, 13607.16
279.9976, 12840.92
280.4797, 12039.10
280.9618, 11241.88
281.4439, 10458.68
281.9260, 9692.762
282.4081, 8932.284
282.8903, 8164.621
283.3724, 7413.375
283.8545, 6737.206
284.3366, 6138.646
284.8187, 5585.557
285.3008, 5063.912
285.7830, 4570.378
286.2651, 4121.290
286.7472, 3716.891
287.2293, 3352.843
287.7114, 3022.888
288.1935, 2726.967
288.6757, 2461.479
289.1578, 2228.849
289.6399, 2026.154
290.1220, 1848.888
290.6041, 1694.512
291.0862, 1568.666
291.5684, 1482.294
292.0505, 1433.793
292.5326, 1410.277
293.0147, 1407.088
293.4968, 1423.756
293.9789, 1461.039
294.4611, 1519.592
294.9432, 1592.643
295.4253, 1669.388
295.9074, 1753.188
296.3895, 1855.373
296.8716, 1981.713
297.3538, 2129.942
297.8359, 2295.981
298.3180, 2478.605
298.8001, 2669.540
299.2822, 2858.155
299.7643, 3052.424
300.2465, 3268.609
300.7286, 3514.777
301.2107, 3785.383
301.6928, 4080.532
302.1749, 4396.053
302.6570, 4722.066
303.1392, 5042.527
303.6213, 5369.204
304.1034, 5715.703
304.5855, 6109.399
305.0676, 6505.623
305.5497, 6881.812
306.0319, 7233.408
306.5140, 7556.807
306.9961, 7858.883
307.4782, 8118.628
307.9603, 8318.100
308.4424, 8456.286
308.9246, 8530.036
309.4067, 8529.066
