##NAMES=Hauyne
##RRUFFID=R070121
##IDEAL CHEMISTRY=Na_3_Ca(Si_3_Al_3_)O_12_(SO_4_)
##LOCALITY=Hesse, Germany
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Blue cut gemstones
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070121
129.4506, 0.0000000E+00
129.9328, 5.823242
130.4149, 7.749023
130.8970, 11.22754
131.3791, 37.45996
131.8612, 70.25635
132.3433, 134.1221
132.8255, 239.9487
133.3076, 369.2222
133.7897, 474.4961
134.2718, 552.7134
134.7539, 619.4756
135.2360, 692.9731
135.7182, 776.0254
136.2003, 836.0605
136.6824, 860.7217
137.1645, 852.6592
137.6466, 849.0532
138.1287, 852.4072
138.6109, 855.9604
139.0930, 853.0420
139.5751, 846.7847
140.0572, 823.1382
140.5393, 771.0933
141.0214, 680.3794
141.5036, 606.6611
141.9857, 549.2588
142.4678, 508.7676
142.9499, 488.1426
143.4320, 493.4775
143.9141, 508.6470
144.3963, 525.9609
144.8784, 546.2646
145.3605, 567.3755
145.8426, 585.7510
146.3247, 603.2529
146.8068, 636.0522
147.2890, 692.0825
147.7711, 756.7153
148.2532, 820.7197
148.7353, 886.5928
149.2174, 948.7422
149.6995, 1003.946
150.1817, 1051.975
150.6638, 1102.624
151.1459, 1170.869
151.6280, 1235.664
152.1101, 1277.085
152.5922, 1271.213
153.0744, 1262.968
153.5565, 1263.356
154.0386, 1275.558
154.5207, 1287.019
155.0028, 1302.691
155.4849, 1315.664
155.9671, 1314.977
156.4492, 1290.771
156.9313, 1258.311
157.4134, 1220.880
157.8955, 1165.592
158.3777, 1129.967
158.8598, 1142.511
159.3419, 1185.809
159.8240, 1208.478
160.3061, 1163.155
160.7882, 1109.376
161.2704, 1087.537
161.7525, 1141.688
162.2346, 1192.251
162.7167, 1205.374
163.1988, 1185.199
163.6809, 1158.014
164.1631, 1120.153
164.6452, 1087.466
165.1273, 1076.089
165.6094, 1113.261
166.0915, 1157.159
166.5736, 1181.413
167.0558, 1185.055
167.5379, 1187.226
168.0200, 1197.795
168.5021, 1214.679
168.9842, 1234.554
169.4663, 1261.919
169.9485, 1288.395
170.4306, 1305.605
170.9127, 1311.336
171.3948, 1314.137
171.8769, 1326.502
172.3590, 1341.896
172.8412, 1344.098
173.3233, 1308.020
