##NAMES=Kosmochlor
##RRUFFID=R120015
##IDEAL CHEMISTRY=NaCrSi_2_O_6_
##LOCALITY=Synthetic
##OWNER=RRUFF
##SOURCE=George Harlow
##DESCRIPTION=Green fragments. Sample was synthesized by Harlow (1997) and used in the Origlieri et al (2003) study
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R120015
##MEASURED CHEMISTRY=Na_1.00_(Cr_0.99_Fe^3+^_0.01_)Si_2.00_O_6_ ;after normalization to four total cations, using data of Harlow (1997).
236.0914, 7.375801
236.5735, 6.865063
237.0556, 6.558445
237.5378, 6.591671
238.0199, 6.525814
238.5020, 6.265114
238.9841, 5.887775
239.4662, 5.713707
239.9483, 5.797108
240.4305, 6.012756
240.9126, 6.332272
241.3947, 6.904419
241.8768, 7.241032
242.3589, 7.194782
242.8410, 6.905842
243.3232, 6.888359
243.8053, 7.282570
244.2874, 7.755398
244.7695, 8.149551
245.2516, 8.492336
245.7337, 8.682487
246.2159, 8.593254
246.6980, 8.363834
247.1801, 8.455364
247.6622, 9.013298
248.1443, 9.672306
248.6264, 10.24515
249.1086, 10.65482
249.5907, 11.16922
250.0728, 11.79084
250.5549, 12.52019
251.0370, 13.34123
251.5191, 14.17821
252.0013, 15.23226
252.4834, 16.64199
252.9655, 18.54473
253.4476, 20.41790
253.9297, 22.31305
254.4118, 24.15339
254.8940, 25.89397
255.3761, 27.84057
255.8582, 29.15625
256.3403, 29.56469
256.8224, 29.19115
257.3046, 27.40063
257.7867, 23.67288
258.2688, 18.87810
258.7509, 14.61609
259.2330, 10.84649
259.7151, 7.772514
260.1973, 5.532173
260.6794, 4.286179
261.1615, 3.346886
261.6436, 2.833450
262.1257, 2.532722
262.6078, 2.086952
263.0900, 1.447403
263.5721, 0.7887420
264.0542, 0.1626050
264.5363, 0.4431840
265.0184, 0.9720920
265.5005, 1.443512
265.9827, 1.823669
266.4648, 2.047989
266.9469, 2.065727
267.4290, 2.068390
267.9111, 2.087177
268.3932, 2.116184
268.8754, 2.344254
269.3575, 2.926212
269.8396, 3.471828
270.3217, 3.389950
270.8038, 2.494122
271.2859, 1.699242
271.7681, 1.237785
272.2502, 1.107162
272.7323, 1.287773
273.2144, 1.950836
273.6965, 2.576439
274.1786, 2.527847
274.6608, 1.672272
275.1429, 0.8486560
275.6250, 0.2599640
276.1071, 0.1202010
276.5892, 0.5118330
277.0714, 0.9135740
277.5535, 1.308449
278.0356, 1.635147
278.5177, 1.871834
278.9998, 2.274849
279.4819, 2.951462
279.9641, 3.824738
280.4462, 4.479317
280.9283, 4.856430
281.4104, 5.276474
281.8925, 6.002266
282.3746, 7.035591
282.8568, 8.262032
283.3389, 9.777252
283.8210, 11.38680
284.3031, 12.41768
284.7852, 12.80028
285.2673, 13.25214
285.7495, 14.35622
286.2316, 16.06594
286.7137, 17.78979
287.1958, 19.50854
287.6779, 21.12840
288.1600, 22.34470
288.6422, 23.14980
289.1243, 24.04315
289.6064, 25.41850
290.0885, 27.17587
290.5706, 28.70092
291.0527, 29.87739
291.5349, 30.94888
292.0170, 32.25104
292.4991, 33.77003
292.9812, 35.52101
293.4633, 37.57806
293.9454, 39.86628
294.4276, 42.22138
294.9097, 44.67209
295.3918, 46.91710
295.8739, 48.62962
296.3560, 49.80486
296.8381, 50.50101
297.3203, 50.88081
297.8024, 50.76804
298.2845, 49.71961
298.7666, 47.68664
299.2487, 45.06881
299.7308, 41.95975
300.2130, 38.51496
300.6951, 35.22205
301.1772, 32.01922
301.6593, 29.20834
302.1414, 27.34539
302.6235, 26.42901
303.1057, 25.78484
303.5878, 24.80723
304.0699, 23.71844
304.5520, 22.94687
305.0341, 22.67613
305.5162, 22.73952
305.9984, 22.98846
306.4805, 23.42149
306.9626, 24.05275
307.4447, 25.07643
307.9268, 26.24389
308.4089, 27.19966
308.8911, 27.74857
309.3732, 28.22615
309.8553, 28.81961
310.3374, 29.54526
310.8195, 30.47345
311.3016, 31.63632
311.7838, 33.00838
312.2659, 34.55828
312.7480, 36.21549
313.2301, 38.19347
313.7122, 40.73595
314.1943, 43.71531
314.6765, 46.80759
315.1586, 49.57884
315.6407, 52.60799
316.1228, 56.34344
316.6049, 60.91631
317.0870, 65.80580
317.5692, 70.67928
318.0513, 75.71556
318.5334, 81.13861
319.0155, 87.43803
319.4976, 93.78430
319.9797, 100.0991
320.4619, 106.4690
320.9440, 111.5958
321.4261, 115.1160
321.9082, 117.1359
322.3903, 117.7393
322.8724, 115.2826
323.3546, 113.0949
323.8367, 111.6772
324.3188, 111.0878
324.8009, 112.0055
325.2830, 114.6638
325.7651, 118.7711
326.2473, 124.1382
326.7294, 131.2553
327.2115, 139.0027
327.6936, 146.9958
328.1757, 155.4317
328.6578, 165.5100
329.1400, 177.6946
329.6221, 191.1153
330.1042, 205.4232
330.5863, 219.5733
331.0684, 236.3522
331.5505, 255.6412
332.0327, 277.5161
332.5148, 301.9163
332.9969, 328.7947
333.4790, 358.3387
333.9611, 390.9990
334.4432, 426.8384
334.9254, 465.7363
335.4075, 508.0018
335.8896, 552.5660
336.3717, 598.5546
336.8538, 647.1740
337.3359, 693.6422
337.8180, 738.6798
338.3001, 781.9658
338.7823, 811.8556
339.2644, 829.9415
339.7465, 831.1365
340.2286, 807.9930
340.7107, 758.2878
341.1928, 697.7507
341.6750, 627.0623
342.1571, 549.0903
342.6392, 478.0000
343.1213, 413.0586
343.6034, 355.5813
344.0855, 306.0812
344.5677, 264.8583
345.0498, 229.6324
345.5319, 200.9004
346.0140, 177.3021
346.4961, 156.8593
346.9782, 139.5965
347.4604, 124.3475
347.9425, 110.8821
348.4246, 99.00642
348.9067, 88.58728
349.3888, 79.66898
349.8709, 71.92244
350.3531, 65.18896
350.8352, 59.35489
351.3173, 54.02452
351.7994, 49.04942
352.2815, 44.41496
352.7636, 40.12165
353.2458, 36.16736
353.7279, 32.35355
354.2100, 28.28112
354.6921, 24.26725
355.1742, 20.89082
355.6563, 18.48661
356.1385, 16.57336
356.6206, 14.75598
357.1027, 13.03461
357.5848, 11.46038
358.0669, 10.14075
358.5490, 8.925385
359.0312, 7.665192
359.5133, 6.272995
359.9954, 4.935059
360.4775, 3.682076
360.9596, 2.555618
361.4417, 1.662323
361.9239, 1.043060
362.4060, 0.6575160
362.8881, 0.5455470
363.3702, 0.7676090
363.8523, 0.9549180
364.3344, 1.054367
364.8166, 1.033203
365.2987, 0.8518600
365.7808, 1.0994000E-02
366.2629, 0.4943390
366.7450, 0.2057650
367.2271, 0.8737560
367.7093, 1.680374
368.1914, 1.843880
368.6735, 1.851181
369.1556, 2.017563
369.6377, 2.316040
370.1198, 2.823235
370.6020, 3.665245
371.0841, 4.734535
371.5662, 5.648727
372.0483, 6.362541
372.5304, 6.962746
373.0125, 7.474159
373.4947, 7.867439
373.9768, 8.236168
374.4589, 8.544815
374.9410, 8.860664
375.4231, 9.242065
375.9052, 9.599869
376.3874, 10.29057
376.8695, 11.49535
377.3516, 13.21670
377.8337, 14.88296
378.3158, 16.58891
378.7979, 18.05124
379.2801, 18.83137
379.7622, 18.89679
380.2443, 19.19863
380.7264, 20.07093
381.2085, 21.17711
381.6906, 21.58916
382.1728, 21.29883
382.6549, 20.75311
383.1370, 20.29979
383.6191, 19.84903
384.1012, 19.07366
