##NAMES=Diopside
##RRUFFID=R110128
##IDEAL CHEMISTRY=CaMgSi_2_O_6_
##LOCALITY=Alchori, Pakistan
##OWNER=RRUFF
##SOURCE=Jack Lowell
##DESCRIPTION=Dark green prismatic crystals associated with pale brown epidote, R110127
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110128
245.7337, 2.348382
246.2159, 2.260680
246.6980, 2.209441
247.1801, 2.219874
247.6622, 2.341231
248.1443, 2.449985
248.6264, 2.475354
249.1086, 2.353014
249.5907, 2.312902
250.0728, 2.428403
250.5549, 2.608927
251.0370, 2.594004
251.5191, 2.262818
252.0013, 1.928201
252.4834, 1.728732
252.9655, 1.716846
253.4476, 1.711323
253.9297, 1.727605
254.4118, 1.743593
254.8940, 1.700280
255.3761, 1.550356
255.8582, 1.424846
256.3403, 1.392549
256.8224, 1.501827
257.3046, 1.537901
257.7867, 1.467304
258.2688, 1.343966
258.7509, 1.285429
259.2330, 1.347495
259.7151, 1.360215
260.1973, 1.241610
260.6794, 0.9544050
261.1615, 0.7046780
261.6436, 0.4824130
262.1257, 0.3083920
262.6078, 0.2387280
263.0900, 0.3294740
263.5721, 0.3906890
264.0542, 0.3349080
264.5363, 0.1300750
265.0184, 3.6293998E-02
265.5005, 0.1038330
265.9827, 0.2223440
266.4648, 0.2185240
266.9469, 3.9740000E-02
267.4290, 0.1076530
267.9111, 0.1456100
268.3932, 6.4331003E-02
268.8754, 3.6290001E-02
269.3575, 6.9550999E-02
269.8396, 0.1439070
270.3217, 0.2475600
270.8038, 0.3973870
271.2859, 0.5115650
271.7681, 0.5625630
272.2502, 0.5523760
272.7323, 0.5230540
273.2144, 0.4613460
273.6965, 0.4096810
274.1786, 0.4258930
274.6608, 0.5259770
275.1429, 0.6060290
275.6250, 0.6363770
276.1071, 0.6238400
276.5892, 0.6314970
277.0714, 0.6780990
277.5535, 0.6921640
278.0356, 0.5602750
278.5177, 0.2565390
278.9998, 8.2947001E-02
279.4819, 0.1358470
279.9641, 0.3584590
280.4462, 0.5167110
280.9283, 0.6109700
281.4104, 0.6409280
281.8925, 0.5760130
282.3746, 0.4141840
282.8568, 0.3036210
283.3389, 0.2811420
283.8210, 0.3144930
284.3031, 0.3254250
284.7852, 0.3151780
285.2673, 0.2675050
285.7495, 0.1496100
286.2316, 3.1860001E-02
286.7137, 0.1871410
287.1958, 0.3053370
287.6779, 0.3920180
288.1600, 0.4400160
288.6422, 0.4483010
289.1243, 0.4802060
289.6064, 0.5921700
290.0885, 0.7676160
290.5706, 0.9041360
291.0527, 0.9757800
291.5349, 1.046008
292.0170, 1.226734
292.4991, 1.508738
292.9812, 1.813712
293.4633, 2.093876
293.9454, 2.360843
294.4276, 2.635484
294.9097, 2.906988
295.3918, 3.226150
295.8739, 3.695358
296.3560, 4.281286
296.8381, 4.850201
297.3203, 5.295319
297.8024, 5.680941
298.2845, 6.138626
298.7666, 6.673777
299.2487, 7.273852
299.7308, 7.931388
300.2130, 8.652703
300.6951, 9.445568
301.1772, 10.38527
301.6593, 11.36017
302.1414, 12.18283
302.6235, 12.85029
303.1057, 13.55692
303.5878, 14.42900
304.0699, 15.45294
304.5520, 16.59614
305.0341, 17.94442
305.5162, 19.31428
305.9984, 20.54352
306.4805, 21.62876
306.9626, 22.62885
307.4447, 23.52398
307.9268, 24.36710
308.4089, 25.20992
308.8911, 26.06027
309.3732, 26.92439
309.8553, 27.75793
310.3374, 28.59187
310.8195, 29.55298
311.3016, 30.81003
311.7838, 32.16133
312.2659, 33.45805
312.7480, 34.69118
313.2301, 35.80019
313.7122, 36.64277
314.1943, 37.34755
314.6765, 38.16654
315.1586, 39.34579
315.6407, 40.57886
316.1228, 41.70679
316.6049, 42.70943
317.0870, 43.57761
317.5692, 44.29745
318.0513, 44.87663
318.5334, 45.31992
319.0155, 45.77597
319.4976, 45.97220
319.9797, 45.74224
320.4619, 45.05400
320.9440, 44.21497
321.4261, 43.32651
321.9082, 42.33186
322.3903, 41.17834
322.8724, 39.84126
323.3546, 38.35989
323.8367, 36.65858
324.3188, 34.74846
324.8009, 32.94019
325.2830, 31.26599
325.7651, 29.73882
326.2473, 28.37529
326.7294, 27.29613
327.2115, 26.23412
327.6936, 25.10880
328.1757, 23.96470
328.6578, 22.97616
329.1400, 22.12547
329.6221, 21.45260
330.1042, 20.97233
330.5863, 20.71851
331.0684, 20.61102
331.5505, 20.72296
332.0327, 20.96280
332.5148, 21.13298
332.9969, 21.21549
333.4790, 21.25288
333.9611, 21.23190
334.4432, 21.09298
334.9254, 21.12354
335.4075, 21.34573
335.8896, 21.72628
336.3717, 22.23821
336.8538, 22.91391
337.3359, 23.59169
337.8180, 24.21163
338.3001, 24.77541
338.7823, 25.37143
339.2644, 25.99412
339.7465, 26.66328
340.2286, 27.41417
340.7107, 28.25254
341.1928, 29.08130
341.6750, 29.85767
342.1571, 30.60821
342.6392, 31.37711
343.1213, 32.16974
343.6034, 33.00533
344.0855, 33.94264
344.5677, 34.96175
345.0498, 35.89647
345.5319, 36.70049
346.0140, 37.44374
346.4961, 38.24110
346.9782, 39.08907
347.4604, 40.00204
347.9425, 41.00919
348.4246, 42.09028
348.9067, 43.17254
349.3888, 44.27502
349.8709, 45.26740
350.3531, 45.99648
350.8352, 46.48206
351.3173, 46.79653
351.7994, 46.95560
352.2815, 46.96989
352.7636, 46.88465
353.2458, 46.69902
353.7279, 46.32004
354.2100, 45.61176
354.6921, 44.66398
355.1742, 43.63600
355.6563, 42.57161
356.1385, 41.38073
356.6206, 40.17579
357.1027, 38.79772
357.5848, 37.38710
358.0669, 35.91163
358.5490, 34.45424
359.0312, 33.09748
359.5133, 31.84736
359.9954, 30.69035
360.4775, 29.59362
360.9596, 28.57834
361.4417, 27.70616
361.9239, 27.03340
362.4060, 26.47515
362.8881, 25.96252
363.3702, 25.46305
363.8523, 25.14726
364.3344, 25.15037
364.8166, 25.33933
365.2987, 25.56414
365.7808, 25.67424
366.2629, 25.93026
366.7450, 26.38927
367.2271, 27.05001
367.7093, 27.89687
368.1914, 28.95149
368.6735, 30.18254
369.1556, 31.57722
369.6377, 33.21296
370.1198, 34.86049
370.6020, 36.50308
371.0841, 38.15665
371.5662, 39.86317
372.0483, 41.58736
372.5304, 43.36773
373.0125, 45.22686
373.4947, 47.15074
373.9768, 49.18670
374.4589, 51.41759
374.9410, 53.71149
375.4231, 55.76851
375.9052, 57.43181
376.3874, 59.34382
376.8695, 61.78316
377.3516, 64.75507
377.8337, 67.26258
378.3158, 69.20482
378.7979, 71.09679
379.2801, 73.39228
379.7622, 76.11991
380.2443, 79.09921
380.7264, 82.43777
381.2085, 85.92120
381.6906, 88.98306
382.1728, 91.60373
382.6549, 94.11506
383.1370, 96.89590
383.6191, 99.78056
384.1012, 102.0375
384.5833, 103.6229
385.0655, 104.5429
385.5476, 104.8199
386.0297, 104.4517
386.5118, 103.4034
386.9939, 101.6677
387.4760, 99.22128
387.9582, 95.99007
388.4403, 91.94740
388.9224, 87.27898
389.4045, 81.95073
389.8866, 76.19936
390.3687, 70.28136
390.8509, 64.01482
391.3330, 57.99347
391.8151, 52.53505
392.2972, 47.63306
392.7793, 43.14980
393.2614, 39.09617
393.7436, 35.40453
394.2257, 31.94016
394.7078, 28.69260
395.1899, 25.71608
395.6720, 22.95778
396.1541, 20.49679
396.6363, 18.45552
397.1184, 17.13146
397.6005, 15.97810
398.0826, 14.84347
398.5647, 13.72073
399.0468, 12.60075
399.5290, 11.35928
400.0111, 10.19494
400.4932, 9.263060
400.9753, 8.792743
401.4574, 8.236155
401.9395, 7.481621
402.4217, 6.597250
402.9038, 5.904910
403.3859, 5.462275
403.8680, 5.120916
404.3501, 4.827768
404.8322, 4.615423
405.3144, 4.348620
405.7965, 4.017594
406.2786, 3.647536
406.7607, 3.260520
407.2428, 2.841452
407.7249, 2.487922
408.2071, 2.254683
408.6892, 2.121129
409.1713, 1.958899
409.6534, 1.759643
410.1355, 1.574061
410.6176, 1.460615
411.0998, 1.408525
411.5819, 1.356259
412.0640, 1.297497
412.5461, 1.214231
413.0282, 1.028624
413.5103, 0.7668660
413.9925, 0.5696590
414.4746, 0.5748620
414.9567, 0.6749810
415.4388, 0.7045250
415.9209, 0.6478030
416.4030, 0.5529390
416.8852, 0.4314270
417.3673, 0.3032840
417.8494, 0.1991530
418.3315, 0.1382430
418.8136, 0.1020070
419.2957, 8.6314999E-02
419.7779, 8.6658001E-02
420.2600, 7.8287996E-02
420.7421, 4.7589999E-02
421.2242, 4.6919999E-03
421.7063, 4.3265998E-02
422.1884, 9.6162997E-02
422.6706, 0.1522050
423.1527, 0.2232990
423.6348, 0.2954460
424.1169, 0.3423350
424.5990, 0.3314360
425.0811, 0.3247660
425.5633, 0.3558870
426.0454, 0.4345610
426.5275, 0.4575390
427.0096, 0.3816310
427.4917, 0.2808390
427.9738, 0.2249700
428.4560, 0.2587570
428.9381, 0.2422850
429.4202, 0.1192070
429.9023, 5.8506999E-02
430.3844, 9.8585002E-02
430.8665, 3.7712000E-02
431.3487, 0.2023610
431.8308, 0.3315150
432.3129, 0.4248090
432.7950, 0.4858440
433.2771, 0.5178800
433.7592, 0.5067720
434.2414, 0.3958290
434.7235, 0.1977580
435.2056, 7.0642002E-02
435.6877, 8.3369002E-02
436.1698, 0.1843850
436.6519, 0.2847640
437.1341, 0.3829360
437.6162, 0.4543810
438.0983, 0.4801670
438.5804, 0.4685070
439.0625, 0.4287090
439.5446, 0.3564760
440.0268, 0.2761870
440.5089, 0.1988860
440.9910, 0.1296940
441.4731, 7.9682000E-02
441.9552, 6.2540002E-02
442.4373, 5.8982000E-02
442.9195, 7.9071000E-02
443.4016, 0.1200640
443.8837, 0.1035460
444.3658, 8.6705998E-02
444.8479, 0.3008860
445.3300, 0.4187030
445.8122, 0.3418000
446.2943, 0.2663310
446.7764, 0.2151520
447.2585, 0.1882040
447.7406, 0.1857380
448.2227, 0.2455040
448.7049, 0.2919280
449.1870, 0.2955660
449.6691, 0.2443770
450.1512, 0.2249810
450.6333, 0.2487780
451.1154, 0.2925920
451.5976, 0.3428210
452.0797, 0.4136900
452.5618, 0.4362960
453.0439, 0.3724220
453.5260, 0.2682040
454.0081, 0.2745930
454.4903, 0.4062810
454.9724, 0.5539180
455.4545, 0.6916910
455.9366, 0.8063050
456.4187, 0.7748270
456.9008, 0.5701710
457.3830, 0.3489580
457.8651, 0.3341250
458.3472, 0.4638430
458.8293, 0.5317160
459.3114, 0.4071070
459.7935, 0.2459430
460.2757, 0.2861020
460.7578, 0.4889760
461.2399, 0.6591050
461.7220, 0.6505740
462.2041, 0.5660890
462.6862, 0.4912410
463.1684, 0.4320710
463.6505, 0.4130660
464.1326, 0.4852400
464.6147, 0.5943260
465.0968, 0.6709880
465.5789, 0.6489730
466.0611, 0.6369330
466.5432, 0.6994870
467.0253, 0.8237290
467.5074, 0.8632940
467.9895, 0.6709630
468.4716, 0.4957650
468.9538, 0.4689300
469.4359, 0.7089160
469.9180, 0.8318820
470.4001, 0.7717660
470.8822, 0.6409210
471.3643, 0.6192590
471.8465, 0.7561300
472.3286, 0.8538890
472.8107, 0.8368060
473.2928, 0.7362150
473.7749, 0.7662450
474.2570, 0.9581790
474.7392, 1.115042
475.2213, 1.046622
475.7034, 0.7912800
476.1855, 0.6148970
476.6676, 0.5529290
477.1497, 0.5470950
477.6319, 0.5138760
478.1140, 0.4703670
478.5961, 0.4735120
479.0782, 0.5830350
479.5603, 0.7298560
480.0424, 0.8552650
480.5246, 0.9550090
481.0067, 0.9952670
481.4888, 0.8507250
481.9709, 0.6950270
482.4530, 0.7199540
482.9352, 1.076839
483.4173, 1.322544
483.8994, 1.166860
484.3815, 0.8154870
484.8636, 0.5841610
485.3457, 0.5801280
485.8279, 0.6649210
486.3100, 0.8591990
486.7921, 1.163690
487.2742, 1.327682
487.7563, 1.230462
488.2384, 1.109702
488.7206, 1.099435
489.2027, 1.230731
489.6848, 1.370976
490.1669, 1.548155
490.6490, 1.707598
491.1311, 1.746369
491.6133, 1.648019
492.0954, 1.563544
492.5775, 1.529295
493.0596, 1.547050
493.5417, 1.662181
494.0238, 1.870454
494.5060, 2.052784
494.9881, 2.096107
495.4702, 2.047791
495.9523, 2.028366
496.4344, 2.059104
496.9165, 2.104542
497.3987, 2.105071
497.8808, 2.098536
498.3629, 2.154750
498.8450, 2.439382
499.3271, 2.679235
499.8092, 2.594881
500.2914, 2.259275
500.7735, 2.082409
501.2556, 2.393858
501.7377, 2.785640
502.2198, 3.023454
502.7019, 3.019046
503.1841, 2.999452
503.6662, 3.033058
504.1483, 3.047128
504.6304, 2.949643
505.1125, 2.629642
505.5946, 2.387226
506.0768, 2.316225
506.5589, 2.363585
507.0410, 2.240460
507.5231, 1.881311
508.0052, 1.531922
508.4873, 1.339509
508.9695, 1.308568
509.4516, 1.211001
509.9337, 1.031692
510.4158, 0.8422330
510.8979, 0.7295400
511.3800, 0.6773470
511.8622, 0.6230450
512.3443, 0.5354710
512.8264, 0.4640970
513.3085, 0.5166150
513.7906, 0.6525060
514.2728, 0.7287180
514.7549, 0.6134360
515.2370, 0.4377590
515.7191, 0.2813200
516.2012, 0.1489110
516.6833, 0.1519950
517.1655, 0.4992280
517.6476, 0.9036430
518.1297, 1.127506
518.6118, 0.9603030
519.0939, 0.8138950
519.5760, 0.7669580
520.0582, 0.7854270
520.5403, 0.7785840
521.0224, 0.6922330
521.5045, 0.6472650
521.9866, 0.6938620
522.4688, 0.8365100
522.9509, 0.9179440
523.4330, 0.9006610
523.9151, 0.8773360
524.3972, 0.9411980
524.8793, 1.096784
525.3615, 1.198543
525.8436, 1.226577
526.3257, 1.208901
526.8078, 1.166783
527.2899, 1.118937
527.7720, 1.123801
528.2542, 1.261348
528.7363, 1.407351
529.2184, 1.358648
529.7005, 1.154313
530.1826, 0.9892290
530.6647, 1.002208
531.1469, 1.093112
531.6290, 1.185090
532.1111, 1.282136
532.5932, 1.348776
533.0753, 1.356277
533.5574, 1.317501
534.0396, 1.250802
534.5217, 1.142811
535.0038, 1.034842
535.4859, 0.9095950
535.9680, 0.7862720
536.4501, 0.7287540
536.9323, 0.7699720
537.4144, 0.8324420
537.8965, 0.8979020
538.3786, 0.9667620
538.8607, 0.9780410
539.3428, 0.9211970
539.8250, 0.8314170
540.3071, 0.7244880
540.7892, 0.6101990
541.2713, 0.5419400
541.7534, 0.5282640
542.2355, 0.5624210
542.7177, 0.6849860
543.1998, 0.8610100
543.6819, 0.9671780
544.1640, 0.9146410
544.6461, 0.7880370
545.1282, 0.6137900
545.6104, 0.4123570
546.0925, 0.3024870
546.5746, 0.4326750
547.0567, 0.6142430
547.5388, 0.7247750
548.0209, 0.7353410
548.5031, 0.7122310
548.9852, 0.6229930
549.4673, 0.5286320
549.9494, 0.4956010
550.4315, 0.5823180
550.9136, 0.6385670
551.3958, 0.6344730
551.8779, 0.5935650
552.3600, 0.5877020
552.8421, 0.6249320
553.3242, 0.6681900
553.8063, 0.6964540
554.2885, 0.7149240
554.7706, 0.7915220
555.2527, 0.9364330
555.7348, 1.032177
556.2169, 0.9081090
556.6990, 0.6578720
557.1812, 0.5329070
557.6633, 0.5930720
558.1454, 0.7045770
558.6275, 0.7581020
559.1096, 0.7697800
559.5917, 0.7691790
560.0739, 0.7425530
560.5560, 0.7304330
561.0381, 0.8037470
561.5202, 0.9244590
562.0023, 0.9300670
562.4844, 0.5971890
562.9666, 0.2964120
563.4487, 0.2170080
563.9308, 0.4129300
564.4129, 0.5666170
564.8950, 0.6910780
565.3771, 0.7587640
565.8593, 0.7314280
566.3414, 0.5778790
566.8235, 0.4601840
567.3056, 0.3922700
567.7877, 0.3677850
568.2698, 0.3978650
568.7520, 0.4777720
569.2341, 0.5207180
569.7162, 0.4871830
570.1983, 0.4015850
570.6804, 0.2922980
571.1625, 0.1642700
571.6447, 4.8071999E-02
572.1268, 3.7335999E-02
572.6089, 0.1007990
573.0910, 0.1624160
573.5731, 0.2336650
574.0552, 0.2409980
574.5374, 5.4935001E-02
575.0195, 0.1695070
575.5016, 0.2821890
575.9837, 0.1571610
576.4658, 3.8867999E-02
576.9479, 9.0244003E-02
577.4301, 0.1908430
577.9122, 0.1661860
578.3943, 9.2524998E-02
578.8764, 0.2537280
579.3585, 0.1887260
579.8406, 5.9223998E-02
580.3228, 0.1748760
580.8049, 0.1424650
581.2870, 8.0232002E-02
581.7691, 6.1652001E-02
582.2512, 7.8310996E-02
582.7333, 9.1638997E-02
583.2155, 9.7369999E-02
583.6976, 0.1191960
584.1797, 0.2098320
584.6617, 0.3247640
585.1439, 0.3883170
585.6260, 0.3622910
586.1081, 0.3119000
586.5902, 0.2811890
587.0723, 0.2535480
587.5544, 0.1981970
588.0366, 1.4923000E-02
588.5187, 0.1062760
589.0008, 5.6758001E-02
589.4829, 0.1512560
589.9650, 0.2515660
590.4471, 0.1783110
590.9293, 8.2974002E-02
591.4114, 3.4713998E-02
591.8935, 3.8290001E-02
592.3756, 6.4565003E-02
592.8577, 0.1310350
593.3398, 0.1729410
593.8220, 0.1043120
594.3041, 6.0632002E-02
594.7862, 0.2229300
595.2683, 0.3837490
595.7504, 0.4861970
596.2325, 0.3996460
596.7147, 0.1931090
597.1968, 4.7320999E-02
597.6789, 9.3611002E-02
598.1610, 0.1850370
598.6431, 0.2093060
599.1252, 0.1834470
599.6074, 0.1897010
600.0895, 0.2808870
600.5716, 0.3912250
601.0537, 0.4993280
601.5358, 0.6106100
602.0179, 0.6752930
602.5001, 0.6812710
602.9822, 0.6522380
603.4643, 0.5896720
603.9464, 0.4626660
604.4285, 0.4280690
604.9106, 0.5109910
605.3928, 0.6595140
605.8749, 0.8237580
606.3570, 0.9987530
606.8391, 1.105859
607.3212, 1.091045
607.8033, 1.034642
608.2855, 1.054852
608.7676, 1.139154
609.2497, 1.242819
609.7318, 1.330727
610.2139, 1.434858
610.6960, 1.607264
611.1782, 1.844980
611.6603, 2.018805
612.1424, 2.034344
612.6245, 2.009422
613.1066, 2.014200
613.5887, 2.058509
614.0709, 2.127320
614.5530, 2.251809
615.0351, 2.373904
615.5172, 2.411998
615.9993, 2.325617
616.4814, 2.349029
616.9636, 2.536092
617.4457, 2.816915
617.9278, 3.086977
618.4099, 3.342439
618.8920, 3.545992
619.3741, 3.661898
619.8563, 3.734633
620.3384, 3.813440
620.8205, 3.900757
621.3026, 4.009810
621.7847, 4.196588
622.2668, 4.373705
622.7490, 4.432140
623.2311, 4.343882
623.7132, 4.374920
624.1953, 4.675337
624.6774, 5.066244
625.1595, 5.425754
625.6417, 5.746672
626.1238, 6.045969
626.6059, 6.315908
627.0880, 6.569818
627.5701, 6.806801
628.0522, 7.018189
628.5344, 7.307123
629.0165, 7.718370
629.4986, 8.183577
629.9807, 8.582794
630.4628, 8.920334
630.9449, 9.206327
631.4271, 9.357566
631.9092, 9.522906
632.3913, 9.905336
632.8734, 10.47214
633.3555, 11.03056
633.8376, 11.47487
634.3198, 11.89579
634.8019, 12.31800
635.2840, 12.72120
635.7661, 13.27597
636.2482, 14.14953
636.7303, 15.06396
637.2125, 15.81139
637.6946, 16.25626
638.1767, 16.93059
638.6588, 17.89676
639.1409, 19.04365
639.6230, 20.22231
640.1052, 21.43283
640.5873, 22.62732
641.0694, 23.77124
641.5515, 24.91382
642.0336, 25.97655
642.5157, 27.05523
642.9979, 28.46534
643.4800, 30.53392
643.9621, 32.84170
644.4442, 34.95279
644.9263, 36.96551
645.4084, 39.44839
645.8906, 42.75348
646.3727, 46.40398
646.8548, 50.19085
647.3369, 54.05346
647.8190, 58.21802
648.3011, 62.64355
648.7833, 67.40743
649.2654, 72.53952
649.7475, 78.12516
650.2296, 83.78837
650.7117, 89.49430
651.1938, 95.37591
651.6760, 101.5358
652.1581, 107.9688
652.6402, 114.4610
653.1223, 120.9456
653.6044, 127.5151
654.0865, 134.4530
654.5687, 141.6345
655.0508, 148.8426
655.5329, 156.0133
656.0150, 163.2805
656.4971, 170.6731
656.9792, 178.2012
657.4614, 185.9331
657.9435, 193.9144
658.4256, 202.0241
658.9077, 210.2901
659.3898, 218.6958
659.8719, 226.9388
660.3541, 235.0876
660.8362, 242.7175
661.3183, 249.9384
661.8004, 256.4465
662.2825, 261.4688
662.7646, 264.9616
663.2468, 266.9777
663.7289, 267.9704
664.2110, 267.3593
664.6931, 264.3357
665.1752, 258.5045
665.6573, 250.8018
666.1395, 241.1955
666.6216, 230.0791
667.1037, 217.9352
667.5858, 203.9470
668.0679, 189.9550
668.5500, 176.0033
669.0322, 162.2293
669.5143, 149.2564
669.9964, 137.0306
670.4785, 125.5406
670.9606, 114.7925
671.4427, 104.7251
671.9249, 95.27349
672.4070, 86.43356
672.8891, 78.49618
673.3712, 71.99519
673.8533, 66.34467
674.3354, 60.99229
674.8176, 55.91415
675.2997, 51.32775
675.7818, 47.55163
