##NAMES=Ottoite
##RRUFFID=R130126
##IDEAL CHEMISTRY=Pb_2_TeO_5_
##LOCALITY=Grand Central mine, Tombstone, Cochise County, Arizona
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Clusters of pale yellow-green spear-shaped crystals, in subparallel to divergent intergrowths.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130126
281.6355, 1.669907
282.1176, 1.141785
282.5998, 0.6484990
283.0819, 0.2121580
283.5640, 0.1618500
284.0461, 0.5075530
284.5282, 0.8418730
285.0103, 1.150604
285.4925, 1.359360
285.9746, 1.422134
286.4567, 1.518509
286.9388, 1.982437
287.4209, 2.879593
287.9030, 3.866058
288.3852, 4.883545
288.8673, 5.963257
289.3494, 7.153763
289.8315, 8.469193
290.3136, 9.830429
290.7957, 11.13428
291.2779, 12.35065
291.7600, 13.72740
292.2421, 15.31409
292.7242, 17.05731
293.2063, 18.87561
293.6884, 20.76814
294.1706, 22.84149
294.6527, 25.22487
295.1348, 27.94553
295.6169, 30.75252
296.0990, 33.23338
296.5811, 36.09840
297.0633, 40.16060
297.5454, 45.33330
298.0275, 50.56194
298.5096, 55.07866
298.9917, 58.98999
299.4738, 63.19469
299.9560, 68.10103
300.4381, 72.88699
300.9202, 76.81148
301.4023, 80.11057
301.8844, 83.89645
302.3665, 88.73225
302.8487, 94.53735
303.3308, 101.0386
303.8129, 109.1424
304.2950, 116.4875
304.7771, 121.3950
305.2592, 124.6994
305.7414, 128.5479
306.2235, 133.7540
306.7056, 139.8587
307.1877, 146.0444
307.6698, 152.3635
308.1519, 158.5686
308.6341, 164.4572
309.1162, 170.1956
309.5983, 175.9630
310.0804, 181.7542
310.5625, 187.7085
311.0446, 194.0527
311.5268, 200.8153
312.0089, 207.4701
312.4910, 213.7549
312.9731, 219.9450
313.4552, 226.5667
313.9373, 233.7014
314.4195, 240.6374
314.9016, 246.5201
315.3837, 251.4645
315.8658, 257.0528
316.3479, 264.5711
316.8300, 271.9572
317.3121, 277.5410
317.7943, 281.3216
318.2764, 284.0820
318.7585, 286.3950
319.2406, 287.9866
319.7227, 288.2304
320.2048, 287.0545
320.6870, 284.6787
321.1691, 281.2711
321.6512, 276.7883
322.1333, 270.9827
322.6154, 263.7490
323.0975, 255.1092
323.5797, 245.2543
324.0618, 233.8090
324.5439, 222.1786
325.0260, 210.8087
325.5081, 199.5802
325.9902, 188.0730
326.4724, 176.0666
326.9545, 164.0152
327.4366, 152.5591
327.9187, 141.6555
328.4008, 131.3448
328.8829, 121.6631
329.3651, 112.5973
329.8472, 104.0794
330.3293, 96.09904
330.8114, 88.77637
331.2935, 82.28665
331.7756, 76.72130
332.2578, 71.27354
332.7399, 65.97337
333.2220, 60.76570
333.7041, 55.27513
334.1862, 49.68660
334.6683, 45.02509
335.1505, 42.26459
335.6326, 41.09479
336.1147, 39.11075
336.5968, 35.58110
337.0789, 32.08325
337.5610, 29.19347
338.0432, 26.80634
338.5253, 24.74240
339.0074, 22.97760
339.4895, 21.38460
339.9716, 19.58141
340.4537, 17.30818
340.9359, 15.32523
341.4180, 13.92305
341.9001, 12.82680
342.3822, 11.66333
342.8643, 10.32751
343.3464, 9.025131
343.8286, 8.058990
344.3107, 7.569168
344.7928, 7.056152
345.2749, 6.635925
345.7570, 6.113159
346.2391, 5.234207
346.7213, 4.040237
347.2034, 2.867859
347.6855, 2.032883
348.1676, 1.551498
348.6497, 1.104126
349.1318, 0.5300290
349.6140, 0.1420440
350.0961, 0.2927700
350.5782, 0.7462620
351.0603, 0.9214320
351.5424, 0.4445650
352.0245, 0.4888760
352.5067, 1.040131
352.9888, 0.8623810
353.4709, 0.7337040
353.9530, 0.7627260
354.4351, 0.8829800
354.9172, 1.056686
355.3994, 1.264511
355.8815, 1.422501
356.3636, 1.390305
356.8457, 1.120621
357.3278, 0.7283780
357.8099, 0.1354370
358.2920, 0.5081790
358.7741, 1.089264
359.2563, 1.607193
359.7384, 2.131485
360.2205, 2.724411
360.7026, 3.380692
361.1847, 4.163116
361.6668, 5.291229
362.1490, 6.308914
362.6311, 6.887756
363.1132, 7.259354
363.5953, 7.865707
364.0774, 8.987930
364.5595, 10.51463
365.0417, 11.98351
365.5238, 13.50392
366.0059, 14.78819
366.4880, 15.61853
366.9701, 16.29997
367.4522, 17.09848
367.9344, 18.10373
368.4165, 19.28419
368.8986, 20.65532
369.3807, 22.38913
369.8628, 23.82883
370.3449, 24.67273
370.8271, 25.47708
371.3092, 26.56589
371.7913, 27.91637
372.2734, 29.30144
372.7555, 30.48807
373.2376, 31.48619
373.7198, 32.67905
374.2019, 34.28218
374.6840, 35.82462
375.1661, 37.07715
375.6482, 38.19006
376.1303, 39.42122
376.6125, 40.94846
377.0946, 42.55684
377.5767, 43.76625
378.0588, 44.49515
378.5409, 45.04373
379.0230, 45.51392
379.5052, 45.82668
379.9873, 45.88939
380.4694, 45.68448
380.9515, 45.31216
381.4336, 44.92752
381.9157, 44.52307
382.3979, 43.78793
382.8800, 42.64212
383.3621, 41.16049
383.8442, 39.33220
384.3263, 37.23788
384.8084, 35.10707
385.2906, 33.06401
385.7727, 31.09042
386.2548, 29.11520
386.7369, 27.12303
387.2190, 25.20833
387.7011, 23.42586
388.1833, 21.75136
388.6654, 20.18193
389.1475, 18.79266
389.6296, 17.37222
390.1117, 15.57179
390.5938, 13.47305
391.0760, 11.77684
391.5581, 10.73726
392.0402, 10.19133
392.5223, 9.982986
393.0044, 10.14383
393.4865, 10.19720
393.9687, 9.958954
394.4508, 9.498978
394.9329, 8.819855
395.4150, 7.878540
395.8971, 7.112366
396.3792, 6.986328
396.8614, 7.451859
397.3435, 7.751099
397.8256, 7.609741
398.3077, 7.503571
398.7898, 7.687531
399.2719, 8.159668
399.7540, 8.932266
400.2361, 10.07397
400.7183, 11.41716
401.2004, 12.44386
401.6825, 12.93257
402.1646, 13.54550
402.6467, 14.38133
403.1288, 15.40834
403.6110, 16.75621
404.0931, 18.40527
404.5752, 19.86520
405.0573, 20.48300
405.5394, 19.98444
406.0215, 20.01346
406.5037, 20.76627
406.9858, 21.78450
407.4679, 22.91478
407.9500, 24.13089
408.4321, 25.44583
408.9142, 26.87350
409.3964, 28.37755
409.8785, 29.78804
410.3606, 31.08366
410.8427, 32.31032
411.3248, 33.34016
411.8069, 34.39787
412.2891, 35.77296
412.7712, 37.50418
413.2533, 39.28716
413.7354, 40.65848
414.2175, 41.44112
414.6996, 42.51569
415.1818, 44.27118
415.6639, 45.99026
416.1460, 47.53764
416.6281, 48.81593
417.1102, 49.67387
417.5923, 50.02325
418.0745, 49.88411
418.5566, 49.30748
419.0387, 48.24040
419.5208, 46.86455
420.0029, 45.34538
420.4850, 43.48566
420.9672, 41.04843
421.4493, 37.99374
421.9314, 34.72394
422.4135, 31.38121
422.8956, 27.96150
423.3777, 25.20868
423.8599, 23.66283
424.3420, 22.26877
424.8241, 20.05914
425.3062, 17.25754
425.7883, 14.69334
426.2704, 12.71465
426.7526, 11.20714
427.2347, 10.12817
427.7168, 9.468628
428.1989, 8.703766
428.6810, 7.399048
429.1631, 5.917252
429.6453, 5.037521
430.1274, 4.962967
430.6095, 5.082642
431.0916, 5.171097
431.5737, 5.181808
432.0558, 5.054611
432.5380, 4.768204
433.0201, 4.455475
433.5022, 4.231781
433.9843, 4.092911
434.4664, 4.187256
434.9485, 4.760178
435.4307, 5.372452
435.9128, 5.726730
436.3949, 5.850113
436.8770, 5.909058
437.3591, 5.993622
437.8412, 6.115875
438.3234, 6.307968
438.8055, 6.663452
439.2876, 6.947128
439.7697, 6.959564
440.2518, 7.013824
440.7339, 7.476654
441.2160, 8.375336
441.6982, 9.391556
442.1803, 10.19827
442.6624, 10.82091
443.1445, 11.09932
443.6266, 10.39198
444.1087, 9.988907
444.5909, 10.63008
445.0730, 11.78462
445.5551, 12.54373
446.0372, 12.41600
446.5193, 11.76012
447.0014, 11.35135
447.4836, 11.24982
447.9657, 11.21512
448.4478, 11.24619
448.9299, 11.30070
449.4120, 11.36853
449.8941, 11.44102
450.3763, 11.48393
450.8584, 11.56490
451.3405, 11.61275
451.8226, 11.25754
452.3047, 10.32600
452.7868, 9.414185
453.2690, 8.965179
453.7511, 8.735291
454.2332, 8.380417
454.7153, 7.788712
455.1974, 7.139786
455.6795, 6.616455
456.1617, 6.173660
456.6438, 5.551620
457.1259, 4.585648
457.6080, 3.611206
458.0901, 3.201706
458.5722, 3.361481
459.0544, 3.196854
459.5365, 2.135773
460.0186, 0.9873500
460.5007, 0.4631650
460.9828, 0.5401920
461.4649, 0.8507230
461.9471, 1.212387
462.4292, 1.593933
462.9113, 1.863678
463.3934, 2.204346
463.8755, 2.207047
464.3576, 1.499237
464.8398, 0.6041110
465.3219, 4.4464000E-02
465.8040, 7.8139998E-02
466.2861, 4.9026001E-02
466.7682, 0.2649690
467.2503, 0.6070560
467.7325, 0.6642300
468.2146, 0.1417240
468.6967, 0.3578030
469.1788, 0.6959380
469.6609, 0.9040370
470.1430, 1.044388
470.6252, 1.145340
471.1073, 1.179214
471.5894, 1.060928
472.0715, 0.7318730
472.5536, 0.5068820
473.0357, 0.5110020
473.5179, 0.5649410
474.0000, 0.5847020
474.4821, 0.5654300
474.9642, 0.5239110
475.4463, 0.4516750
475.9284, 0.3687440
476.4106, 0.3505710
476.8927, 0.4211730
477.3748, 0.3851620
477.8569, 3.6880001E-02
478.3390, 0.5090330
478.8211, 0.4372410
479.3033, 0.3905490
479.7854, 1.068542
480.2675, 1.027557
480.7496, 0.5609590
481.2317, 0.2017670
481.7138, 4.6631001E-02
482.1959, 0.1092830
482.6780, 0.5236510
483.1602, 1.170914
483.6423, 1.350555
484.1244, 0.5679470
484.6065, 0.1154940
485.0886, 0.2459870
485.5707, 8.8040000E-03
486.0529, 0.4188390
486.5350, 0.8939820
487.0171, 1.269394
487.4992, 1.229340
487.9813, 0.4717860
488.4634, 0.1325530
488.9456, 0.4747310
489.4277, 0.9103090
489.9098, 1.184967
490.3919, 1.320816
490.8740, 1.445740
491.3561, 1.647568
491.8383, 1.858398
492.3204, 1.855148
492.8025, 1.517151
493.2846, 1.301361
