##NAMES=Sohngeite
##RRUFFID=R120117
##IDEAL CHEMISTRY=Ga(OH)_3_
##LOCALITY=Tsumeb, Namibia
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Twinned, pale yellow orthorhombic crystals
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R120117
238.6491, 86.39615
239.1312, 92.03128
239.6133, 96.22412
240.0955, 99.43115
240.5776, 102.4666
241.0597, 105.6996
241.5418, 109.2516
242.0239, 113.6818
242.5060, 119.9275
242.9882, 125.8109
243.4703, 130.3002
243.9524, 134.1483
244.4345, 138.4787
244.9166, 143.9587
245.3987, 150.3878
245.8809, 156.6923
246.3630, 162.5516
246.8451, 168.7196
247.3272, 175.8624
247.8093, 183.2530
248.2914, 189.7836
248.7736, 194.7968
249.2557, 198.7855
249.7378, 203.7205
250.2199, 210.7773
250.7020, 217.3981
251.1841, 222.8125
251.6663, 227.7336
252.1484, 232.9025
252.6305, 238.7062
253.1126, 245.0507
253.5947, 251.8070
254.0768, 259.0581
254.5590, 266.6242
255.0411, 275.2081
255.5232, 283.8351
256.0053, 291.3386
256.4874, 297.2038
256.9695, 302.1257
257.4517, 307.7716
257.9338, 315.2663
258.4159, 322.2005
258.8980, 328.4962
259.3801, 334.2469
259.8622, 339.9084
260.3444, 345.5587
260.8265, 350.3825
261.3086, 352.9092
261.7907, 352.3199
262.2728, 350.4631
262.7549, 346.7127
263.2371, 341.8095
263.7192, 336.9201
264.2013, 332.4009
264.6834, 327.2697
265.1655, 319.8982
265.6476, 309.1922
266.1298, 298.5359
266.6119, 288.2493
267.0940, 277.8958
267.5761, 266.8252
268.0582, 254.8914
268.5403, 243.0581
269.0225, 232.4655
269.5046, 223.4515
269.9867, 214.4572
270.4688, 205.3138
270.9509, 196.4072
271.4330, 188.1567
271.9152, 180.5970
272.3973, 173.0664
272.8794, 164.8248
273.3615, 155.8045
273.8436, 147.7704
274.3257, 141.2603
274.8079, 135.3377
275.2900, 129.1800
275.7721, 122.7737
276.2542, 117.0480
276.7363, 112.9410
277.2184, 110.2799
277.7006, 106.8033
278.1827, 101.6507
278.6648, 96.38367
279.1469, 92.20447
279.6290, 89.02371
280.1111, 85.90030
280.5933, 82.17865
281.0754, 78.14746
281.5575, 74.77151
282.0396, 72.85590
282.5217, 70.63278
283.0038, 66.78833
283.4860, 61.57806
283.9681, 56.28854
284.4502, 51.44614
284.9323, 46.92496
285.4144, 42.41165
285.8965, 37.90921
286.3787, 33.41299
286.8608, 28.73407
287.3429, 24.02457
287.8250, 19.84567
288.3071, 16.60275
288.7892, 13.67920
289.2714, 9.940765
289.7535, 5.208069
290.2356, 1.139008
290.7177, 1.133942
291.1998, 2.148193
291.6819, 3.494141
292.1641, 5.841400
292.6462, 7.936218
293.1283, 8.045685
293.6104, 6.427704
294.0925, 5.079681
294.5746, 5.170105
295.0568, 6.003174
295.5389, 6.215637
296.0210, 5.611206
296.5031, 4.497803
296.9852, 2.939270
297.4673, 1.056244
297.9495, 0.8871770
298.4316, 2.499146
298.9137, 4.233032
299.3958, 6.865479
299.8779, 10.54233
300.3600, 14.50455
300.8422, 18.47461
301.3243, 22.35385
301.8064, 25.81653
302.2885, 28.29578
302.7706, 30.85666
303.2527, 34.88614
303.7349, 40.49213
304.2170, 46.26617
304.6991, 51.28964
305.1812, 56.25687
305.6633, 62.09714
306.1454, 69.03342
306.6276, 76.54993
307.1097, 84.24719
307.5918, 92.11603
308.0739, 100.2439
308.5560, 108.1766
309.0381, 116.8186
309.5203, 126.8420
310.0024, 138.3111
310.4845, 151.1546
310.9666, 165.4064
311.4487, 181.0090
311.9308, 197.4129
312.4130, 213.7469
312.8951, 232.0404
313.3772, 253.1885
313.8593, 277.2053
314.3414, 304.3723
314.8235, 335.3148
315.3057, 369.5171
315.7878, 406.1832
316.2699, 445.2174
316.7520, 486.5158
317.2341, 531.9753
317.7162, 579.4439
318.1984, 624.4224
318.6805, 664.9738
319.1626, 702.0839
319.6447, 736.9554
320.1268, 769.3876
320.6089, 800.2897
321.0911, 828.0430
321.5732, 855.3777
322.0553, 885.9747
322.5374, 920.6843
323.0195, 958.9126
323.5016, 999.2876
323.9838, 1042.030
324.4659, 1089.599
324.9480, 1143.221
325.4301, 1202.426
325.9122, 1265.096
326.3943, 1331.501
326.8765, 1402.274
327.3586, 1477.323
327.8407, 1557.187
328.3228, 1642.311
328.8049, 1729.842
329.2870, 1827.709
329.7692, 1942.135
330.2513, 2071.922
330.7334, 2212.279
331.2155, 2361.149
331.6976, 2518.490
332.1797, 2687.374
332.6619, 2872.923
333.1440, 3056.454
333.6261, 3239.674
334.1082, 3411.522
334.5903, 3536.385
335.0724, 3603.370
335.5546, 3616.567
336.0367, 3579.494
336.5188, 3492.068
337.0009, 3356.235
337.4830, 3155.548
337.9651, 2908.663
338.4473, 2651.219
338.9294, 2376.068
339.4115, 2108.273
339.8936, 1865.531
340.3757, 1646.971
340.8578, 1454.446
341.3400, 1289.930
341.8221, 1151.507
342.3042, 1032.285
342.7863, 932.3696
343.2684, 845.0502
343.7505, 769.0884
344.2327, 703.1460
344.7148, 644.4693
345.1969, 593.0131
345.6790, 547.3173
346.1611, 507.0811
346.6432, 471.5511
347.1254, 438.8839
347.6075, 409.3922
348.0896, 382.1777
348.5717, 356.6337
349.0538, 332.6611
349.5359, 310.1794
350.0181, 288.8317
350.5002, 268.9605
350.9823, 251.3533
351.4644, 237.5331
351.9465, 224.9876
352.4286, 211.9195
352.9108, 198.5196
353.3929, 185.6404
353.8750, 173.7408
354.3571, 162.7806
354.8392, 152.5281
355.3214, 142.9252
355.8035, 134.0554
356.2856, 126.3496
356.7677, 119.2679
357.2498, 111.7052
357.7319, 103.2370
358.2141, 94.79190
358.6962, 87.62500
359.1783, 81.90613
359.6604, 76.35321
360.1425, 70.60925
360.6246, 65.07184
361.1068, 60.23685
361.5889, 56.07932
362.0710, 52.15738
362.5531, 48.03629
363.0352, 43.74020
363.5173, 40.14490
363.9995, 37.80969
364.4816, 35.53220
364.9637, 32.72693
365.4458, 29.52682
365.9279, 26.26663
366.4100, 23.08057
366.8922, 20.04846
367.3743, 17.51147
367.8564, 15.64899
368.3385, 13.97766
368.8206, 12.58685
369.3027, 11.28891
369.7849, 9.827789
370.2670, 8.148895
370.7491, 6.467987
371.2312, 5.108002
371.7133, 4.250977
372.1954, 3.197388
372.6776, 1.444244
373.1597, 7.0679002E-02
373.6418, 0.5230100
374.1239, 0.1100460
374.6060, 0.2302250
375.0881, 0.2708440
375.5703, 1.583893
376.0524, 2.757843
376.5345, 4.104279
377.0166, 4.972839
377.4987, 5.026154
377.9808, 4.557495
378.4630, 3.971649
378.9451, 3.454437
379.4272, 2.948517
379.9093, 2.290314
380.3914, 1.146301
380.8735, 0.4307560
381.3557, 0.4179380
381.8378, 0.6240840
382.3199, 0.9203800
382.8020, 1.163605
383.2841, 0.9428100
383.7662, 0.4286800
384.2484, 3.285980
384.7305, 4.954041
385.2126, 4.006989
385.6947, 3.195038
386.1768, 3.291534
386.6589, 4.194305
387.1411, 5.586060
387.6232, 7.343323
388.1053, 9.351563
388.5874, 11.20612
389.0695, 12.92398
389.5516, 14.43033
390.0338, 15.74863
390.5159, 16.87079
390.9980, 17.71985
391.4801, 18.28156
391.9622, 18.77182
392.4443, 19.53076
392.9265, 20.61649
393.4086, 21.40222
393.8907, 21.41644
394.3728, 21.48874
394.8549, 22.07706
395.3370, 23.14050
395.8192, 24.43970
396.3013, 26.11887
396.7834, 27.91330
397.2655, 28.84210
397.7476, 28.62479
398.2297, 28.26392
398.7119, 28.41333
399.1940, 28.69635
399.6761, 28.54684
400.1582, 27.63449
400.6403, 26.67123
401.1224, 26.63882
401.6046, 27.44797
402.0867, 27.50781
402.5688, 25.63159
403.0509, 23.62213
403.5330, 24.02054
404.0151, 26.89447
404.4973, 28.98114
404.9794, 28.16306
405.4615, 25.82471
405.9436, 24.34113
406.4257, 24.03967
406.9078, 24.22635
407.3900, 24.43481
407.8721, 24.69440
408.3542, 25.11319
408.8363, 25.92316
409.3184, 26.69659
409.8005, 26.89316
410.2827, 26.76346
410.7648, 27.33005
411.2469, 29.24591
411.7290, 31.71072
412.2111, 32.78842
412.6932, 31.96613
413.1754, 31.28531
413.6575, 31.22678
414.1396, 31.40854
414.6217, 31.66241
415.1038, 31.89578
415.5859, 31.57382
416.0681, 29.98816
416.5502, 26.87283
417.0323, 24.68665
417.5144, 23.77463
417.9965, 23.41199
418.4786, 24.13364
418.9608, 25.03815
419.4429, 24.26074
419.9250, 20.79126
420.4071, 15.95114
420.8892, 13.29758
421.3713, 14.44339
421.8535, 15.27832
422.3356, 15.67502
422.8177, 15.80927
423.2998, 15.64526
423.7819, 15.20312
424.2640, 14.70981
424.7462, 14.42154
425.2283, 14.37109
425.7104, 14.62811
426.1925, 16.04773
426.6746, 16.80734
427.1567, 15.61685
427.6389, 13.60791
428.1210, 12.67459
428.6031, 13.86526
429.0852, 16.12366
429.5673, 17.13406
430.0494, 16.40039
430.5316, 15.69986
431.0137, 15.46960
431.4958, 15.51883
431.9779, 15.93555
432.4600, 16.64490
432.9421, 17.14047
433.4243, 16.68579
433.9064, 15.60754
434.3885, 15.39993
434.8706, 16.39594
435.3527, 17.74475
435.8348, 18.76135
436.3170, 19.77039
436.7991, 21.46350
437.2812, 24.51709
437.7633, 27.60104
438.2454, 29.34915
438.7275, 29.91156
439.2097, 30.28952
439.6918, 30.51385
440.1739, 31.17920
440.6560, 33.44162
441.1381, 37.39777
441.6202, 41.18552
442.1024, 44.49225
442.5845, 47.23090
443.0666, 49.19260
443.5487, 50.37958
444.0308, 51.00027
444.5129, 50.93124
444.9951, 50.38837
445.4772, 51.32678
445.9593, 54.89996
446.4414, 58.37561
446.9235, 60.69705
447.4056, 62.47025
447.8878, 64.70883
448.3699, 67.74109
448.8520, 71.02158
449.3341, 73.69849
449.8162, 75.39197
450.2983, 77.55258
450.7805, 80.29977
451.2626, 83.32138
451.7447, 86.71933
452.2268, 90.27301
452.7089, 93.63345
453.1910, 96.62631
453.6732, 99.09653
454.1553, 100.2787
454.6374, 99.39792
455.1195, 98.48450
455.6016, 98.27039
456.0837, 97.92096
456.5659, 97.06802
457.0480, 95.50293
457.5301, 92.62354
458.0122, 87.40594
458.4943, 79.87637
458.9764, 72.44272
459.4586, 64.72519
459.9407, 57.84756
460.4228, 52.55710
460.9049, 48.38464
461.3870, 44.58276
461.8691, 41.10498
462.3513, 37.54474
462.8334, 33.02963
463.3155, 27.63376
463.7976, 23.35620
464.2797, 21.11014
464.7618, 19.94360
465.2440, 18.79083
465.7261, 17.66660
466.2082, 16.20209
466.6903, 13.85297
467.1724, 11.31317
467.6545, 9.389404
468.1367, 8.149902
468.6188, 7.370789
469.1009, 7.033630
469.5830, 7.022919
470.0651, 6.700226
470.5472, 5.970978
471.0294, 5.106415
471.5115, 4.121521
471.9936, 3.061920
472.4757, 1.823395
472.9578, 0.4298710
473.4399, 0.6545410
473.9221, 0.7748410
474.4042, 0.3488460
474.8863, 0.7944030
475.3684, 4.6448000E-02
475.8505, 0.8510130
476.3326, 0.9133300
476.8148, 0.6408390
477.2969, 0.8764340
477.7790, 2.046509
478.2611, 3.602142
478.7432, 4.288330
479.2253, 3.718628
479.7075, 3.340759
480.1896, 3.765778
480.6717, 4.057709
481.1538, 3.522858
481.6359, 2.302124
482.1180, 1.155884
482.6002, 0.6225280
483.0823, 0.5260930
483.5644, 0.3785710
484.0465, 0.1489560
484.5286, 5.2581999E-02
485.0107, 0.2411500
485.4929, 0.3367000
485.9750, 5.7128999E-02
486.4571, 0.7445680
486.9392, 0.8909610
487.4213, 0.9622190
487.9034, 3.811401
488.3856, 5.319550
488.8677, 5.107758
489.3498, 4.385590
489.8319, 4.097717
490.3140, 4.227203
490.7961, 4.301971
491.2783, 4.299255
491.7604, 4.263245
492.2425, 4.073517
492.7246, 3.889069
493.2067, 4.042480
493.6888, 4.652771
494.1710, 5.488312
494.6531, 6.175842
495.1352, 6.597168
495.6173, 7.137756
496.0994, 8.096924
496.5815, 8.898468
497.0637, 8.999420
497.5458, 8.745422
498.0279, 8.992889
498.5100, 10.28345
498.9921, 12.01962
499.4742, 12.53867
499.9564, 11.03680
500.4385, 10.37567
500.9206, 11.93716
501.4027, 13.68314
501.8848, 14.18713
502.3669, 13.57394
502.8491, 13.10907
503.3312, 14.12997
503.8133, 15.84219
504.2954, 15.75263
504.7775, 13.40829
505.2596, 11.44626
505.7418, 11.28070
506.2239, 12.13425
506.7060, 12.92667
507.1881, 13.64630
507.6702, 14.13019
508.1523, 14.09039
508.6345, 13.82822
509.1166, 13.86115
509.5987, 14.26529
510.0808, 14.81653
510.5629, 15.36887
511.0450, 15.91901
511.5272, 16.41266
512.0093, 17.08099
512.4914, 17.42947
512.9735, 17.11166
513.4556, 16.47391
513.9377, 15.97491
514.4199, 15.73865
514.9020, 15.52469
515.3841, 14.92975
515.8662, 13.75061
516.3483, 13.59821
516.8304, 15.60831
517.3126, 17.47107
517.7947, 18.70370
518.2768, 19.33243
518.7589, 19.34540
519.2410, 18.71063
519.7231, 17.87238
520.2053, 17.62274
520.6874, 18.04532
521.1695, 17.72144
521.6516, 15.62292
522.1337, 13.83539
522.6158, 14.18814
523.0980, 15.97287
523.5801, 17.13046
524.0622, 16.47510
524.5443, 15.33768
525.0264, 15.28027
525.5085, 16.08322
525.9907, 16.30307
526.4728, 15.18045
526.9549, 13.84433
527.4370, 14.23206
527.9191, 16.75455
528.4012, 18.29312
528.8834, 18.04480
529.3655, 17.13895
529.8476, 16.14447
530.3297, 15.12650
530.8118, 13.98004
531.2939, 12.60568
531.7761, 11.39203
532.2582, 11.39380
532.7403, 14.02097
533.2224, 15.01633
533.7045, 13.05499
534.1866, 10.78568
534.6688, 9.897522
535.1509, 10.09943
535.6330, 10.04034
536.1151, 8.751373
536.5972, 6.793610
537.0793, 5.699860
537.5615, 5.725372
538.0436, 5.454742
538.5257, 3.946625
539.0078, 2.500824
539.4899, 2.514954
539.9720, 3.933502
540.4542, 5.033600
540.9363, 4.734558
541.4184, 3.727814
541.9005, 3.034607
542.3826, 2.665894
542.8647, 1.997528
543.3469, 0.5207820
543.8290, 1.318024
544.3111, 2.329254
544.7932, 2.365326
545.2753, 1.850433
545.7574, 0.3005370
546.2396, 1.286469
546.7217, 2.023041
547.2038, 1.934753
547.6859, 1.552002
548.1680, 1.228149
548.6501, 0.9598690
549.1323, 0.7449950
549.6144, 0.6436770
550.0965, 0.4871830
550.5786, 0.1672670
551.0607, 0.1319890
551.5428, 0.4639590
552.0250, 0.7029110
552.5071, 0.3543700
552.9892, 1.455353
553.4713, 3.952179
553.9534, 4.665924
554.4355, 3.227600
554.9177, 1.796997
555.3998, 0.9729610
555.8819, 0.8127440
556.3640, 1.515533
556.8461, 3.235596
557.3282, 4.562927
557.8104, 4.842804
558.2925, 4.522156
558.7746, 3.682861
559.2567, 2.438568
559.7388, 2.302948
560.2209, 4.464172
560.7031, 7.867950
561.1852, 9.143066
561.6673, 5.755615
562.1494, 3.774689
562.6315, 4.240082
563.1136, 5.379272
563.5958, 6.091431
564.0779, 6.281250
564.5600, 6.286255
565.0421, 6.379913
565.5242, 6.402802
566.0063, 5.629883
566.4885, 3.507904
566.9706, 2.213715
567.4527, 2.902710
567.9348, 4.145538
568.4169, 5.189392
568.8990, 5.938782
569.3812, 6.300079
569.8633, 6.040161
570.3454, 5.453949
570.8275, 4.764587
571.3096, 4.020752
571.7917, 3.926117
572.2739, 5.029999
572.7560, 6.538055
573.2381, 6.951721
573.7202, 5.971313
574.2023, 5.162933
574.6844, 4.584351
575.1666, 4.299377
575.6487, 4.473267
576.1308, 4.978821
576.6129, 5.525879
577.0950, 5.976898
577.5771, 6.352783
578.0593, 6.705353
578.5414, 7.075104
579.0235, 7.346863
579.5056, 7.686768
579.9877, 7.752380
580.4698, 7.038605
580.9520, 5.947601
581.4341, 5.472931
581.9162, 6.337830
582.3983, 7.421844
582.8804, 6.974213
583.3625, 5.174164
583.8447, 3.805939
584.3268, 3.169220
584.8089, 3.325073
585.2910, 5.003174
585.7731, 7.937225
586.2552, 9.220734
586.7374, 6.937927
587.2195, 4.687500
587.7016, 4.652618
588.1837, 5.842743
588.6658, 6.421326
589.1479, 5.850861
589.6301, 4.983521
590.1122, 4.896973
590.5943, 5.706024
591.0764, 6.314911
591.5585, 6.736725
592.0406, 6.909637
592.5228, 6.734436
593.0049, 6.356018
593.4870, 5.913452
593.9691, 5.439423
594.4512, 4.944641
594.9333, 4.362640
595.4155, 3.766235
595.8976, 3.310211
596.3797, 2.858063
596.8618, 3.215820
597.3439, 5.588226
597.8260, 8.847260
598.3082, 10.18103
598.7903, 8.870697
599.2724, 7.416046
599.7545, 6.662140
600.2366, 6.144379
600.7188, 5.371216
601.2009, 4.305573
601.6830, 2.981445
602.1651, 1.374969
602.6472, 8.3861999E-02
603.1293, 0.1771240
603.6115, 4.019958
604.0936, 6.229523
604.5757, 5.252777
605.0578, 3.737122
605.5399, 3.044189
606.0220, 3.239807
606.5042, 4.037354
606.9863, 5.611084
607.4684, 7.195190
607.9505, 7.348846
608.4326, 6.106720
608.9147, 5.007568
609.3969, 4.482971
609.8790, 4.158844
610.3611, 3.644867
610.8432, 2.972687
611.3253, 2.444611
611.8074, 1.633972
612.2896, 1.423737
612.7717, 2.972748
613.2538, 5.246582
613.7359, 6.612640
614.2180, 6.565582
614.7001, 5.333038
615.1823, 2.794037
615.6644, 1.240265
616.1465, 2.663788
616.6286, 0.9812930
617.1107, 3.896484
617.5928, 4.071747
618.0750, 3.158630
618.5571, 2.934296
619.0392, 3.706146
619.5213, 4.293518
620.0034, 3.309998
620.4855, 1.625610
620.9677, 1.435486
621.4498, 2.880585
621.9319, 4.070526
622.4140, 4.015167
622.8961, 3.205688
623.3782, 2.592255
623.8604, 2.064392
624.3425, 2.035126
624.8246, 2.897186
625.3067, 3.974640
625.7888, 5.077972
626.2709, 5.992981
626.7531, 6.325409
627.2352, 5.871765
627.7173, 4.960846
628.1994, 4.152008
628.6815, 3.441925
629.1636, 2.837708
629.6458, 2.400848
630.1279, 1.995850
630.6100, 1.360565
631.0921, 0.7486570
631.5742, 0.7274780
632.0563, 1.694641
632.5385, 2.484741
633.0206, 2.056702
633.5027, 0.9078370
633.9848, 0.1397710
634.4669, 0.9450380
634.9490, 1.153931
635.4312, 0.3590090
635.9133, 1.146423
636.3954, 1.967590
636.8775, 1.458618
637.3596, 1.101196
637.8417, 0.9018860
638.3239, 0.8995970
638.8060, 1.430420
639.2881, 2.210938
639.7702, 2.326721
640.2523, 1.027344
640.7344, 0.7147830
641.2166, 0.7644960
641.6987, 0.9762880
642.1808, 2.121704
642.6629, 2.010468
643.1450, 1.514801
643.6271, 1.394379
644.1093, 1.539307
644.5914, 1.551697
645.0735, 1.075043
645.5556, 0.8030090
646.0377, 1.460327
646.5198, 2.355957
647.0020, 2.235107
647.4841, 1.009277
647.9662, 4.5898002E-02
648.4483, 0.2697750
648.9304, 1.730896
649.4125, 2.730255
649.8947, 2.979248
650.3768, 3.290771
650.8589, 4.254150
651.3410, 4.967468
651.8231, 4.412109
652.3052, 2.872131
652.7874, 1.904816
653.2695, 2.589264
653.7516, 3.943420
654.2337, 4.752594
654.7158, 5.154816
655.1979, 5.888916
655.6801, 7.234558
656.1622, 8.526367
656.6443, 8.925476
657.1264, 8.348755
657.6085, 8.475006
658.0906, 9.996826
658.5728, 11.25439
659.0549, 11.23422
659.5370, 11.13632
660.0191, 12.61560
660.5012, 15.63138
660.9833, 18.28983
661.4655, 18.80408
661.9476, 17.91614
662.4297, 17.93640
662.9118, 18.96262
663.3939, 20.20493
663.8760, 21.71356
664.3582, 22.97296
664.8403, 22.82681
665.3224, 21.43643
665.8045, 21.47571
666.2866, 24.92624
666.7687, 28.39944
667.2509, 29.44284
667.7330, 29.19510
668.2151, 29.84674
668.6972, 31.94360
669.1793, 34.20300
669.6614, 35.22339
670.1436, 35.15652
670.6257, 35.38129
671.1078, 35.71680
671.5899, 36.55093
672.0720, 38.86722
672.5541, 41.19418
673.0363, 41.83017
673.5184, 40.81281
674.0005, 40.22665
674.4826, 41.78870
674.9647, 43.62891
675.4468, 43.74521
675.9290, 42.59244
676.4111, 41.67480
676.8932, 41.47232
677.3753, 41.39069
677.8574, 40.63940
678.3395, 39.18704
678.8217, 38.64966
679.3038, 40.64075
679.7859, 41.47137
680.2680, 39.82932
680.7501, 37.29004
681.2322, 34.90634
681.7144, 32.95825
682.1965, 31.55032
682.6786, 30.86691
683.1607, 30.76923
683.6428, 31.35629
684.1249, 32.40338
684.6071, 32.05359
685.0892, 29.44049
685.5713, 26.46637
686.0534, 25.37250
686.5355, 26.31213
687.0176, 26.58286
687.4998, 26.00290
687.9819, 25.11404
688.4640, 23.73575
688.9461, 22.38986
689.4282, 21.50055
689.9103, 21.09183
690.3925, 20.95639
690.8746, 21.15762
691.3567, 21.41202
691.8388, 20.66843
692.3209, 18.85730
692.8030, 17.70963
693.2852, 17.99728
693.7673, 18.58502
694.2494, 18.06058
694.7315, 16.53613
695.2136, 16.04156
695.6957, 18.26340
696.1779, 19.59164
696.6600, 17.82080
697.1421, 15.10107
697.6242, 13.94611
698.1063, 14.52008
698.5884, 15.32129
699.0706, 15.34250
699.5527, 14.63702
700.0348, 13.09888
700.5169, 10.52655
700.9990, 8.322388
701.4811, 6.281799
701.9633, 5.337006
702.4454, 7.463776
702.9275, 11.50162
703.4096, 13.45789
703.8917, 11.31451
704.3738, 9.062988
704.8560, 8.302338
705.3381, 8.365601
705.8202, 8.606476
706.3023, 8.860199
706.7844, 9.094818
707.2665, 9.325317
707.7487, 9.390381
708.2308, 8.577423
708.7129, 6.424652
709.1950, 5.634521
709.6771, 7.368286
710.1592, 9.417755
710.6414, 10.67068
711.1235, 11.17380
711.6056, 10.88571
712.0877, 9.574707
712.5698, 8.045776
713.0519, 6.228485
713.5341, 4.697174
714.0162, 4.415070
714.4983, 5.183319
714.9804, 5.878601
715.4625, 5.867432
715.9446, 5.365967
716.4268, 4.784943
716.9089, 4.070923
717.3910, 3.518219
717.8731, 3.266449
718.3552, 2.988159
718.8373, 2.444946
719.3195, 1.814209
719.8016, 1.316772
720.2837, 0.9609070
720.7658, 0.8658450
721.2479, 1.283356
721.7300, 1.851440
722.2122, 2.411163
722.6943, 2.785645
723.1764, 2.310516
723.6585, 0.6791690
724.1406, 1.157745
724.6227, 1.724060
725.1049, 0.9116210
725.5870, 0.2162170
726.0691, 2.445496
726.5512, 3.688843
727.0333, 2.096802
727.5154, 9.4329998E-02
727.9976, 0.2839360
728.4797, 1.682983
728.9618, 2.934692
729.4439, 1.255432
729.9260, 0.7901310
730.4081, 0.5293880
730.8903, 1.173737
731.3724, 2.099792
731.8545, 1.621979
732.3366, 0.6848140
732.8187, 0.2568970
