##NAMES=Lorandite
##RRUFFID=R060961
##IDEAL CHEMISTRY=TlAsS_2_
##LOCALITY=Allchar, Macedonia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Deep red prisms or tabular crystals, associated with prismatic realgar.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060961
248.0518, 61.83075
248.5339, 79.31342
249.0160, 96.80286
249.4981, 108.2192
249.9802, 110.4890
250.4624, 111.7699
250.9445, 114.4415
251.4266, 117.4039
251.9087, 125.3168
252.3908, 139.7764
252.8729, 158.4246
253.3551, 176.5258
253.8372, 193.9045
254.3193, 210.7441
254.8014, 226.5046
255.2835, 239.2664
255.7656, 257.3073
256.2477, 282.8406
256.7299, 312.7762
257.2120, 339.6252
257.6941, 362.4649
258.1762, 384.4853
258.6583, 407.0190
259.1404, 429.5266
259.6226, 454.6366
260.1047, 483.5794
260.5868, 514.5629
261.0689, 544.2333
261.5510, 572.3152
262.0331, 599.8932
262.5153, 626.9240
262.9974, 652.1858
263.4795, 680.9405
263.9616, 713.0621
264.4437, 748.6859
264.9258, 787.9438
265.4080, 833.0176
265.8901, 877.7278
266.3722, 919.4522
266.8543, 959.5225
267.3364, 992.2985
267.8185, 1014.392
268.3007, 1031.851
268.7828, 1060.554
269.2649, 1105.314
269.7470, 1148.471
270.2291, 1182.770
270.7112, 1208.602
271.1934, 1221.710
271.6755, 1217.978
272.1576, 1205.137
272.6397, 1202.495
273.1218, 1213.914
273.6039, 1221.208
274.0860, 1216.265
274.5681, 1198.969
275.0503, 1170.028
275.5324, 1128.211
276.0145, 1077.045
276.4966, 1019.741
276.9787, 954.4989
277.4608, 888.0001
277.9430, 822.3290
278.4251, 758.4841
278.9072, 699.1675
279.3893, 644.6164
279.8714, 593.1694
280.3535, 540.9667
280.8357, 486.6516
281.3178, 437.6571
281.7999, 400.3322
282.2820, 374.1625
282.7641, 343.1912
283.2462, 304.2661
283.7284, 264.5112
284.2105, 236.9725
284.6926, 222.0897
285.1747, 211.5687
285.6568, 202.3608
286.1389, 194.2281
286.6211, 185.8000
287.1032, 176.6724
287.5853, 167.4851
288.0674, 160.4559
288.5495, 155.6614
289.0316, 149.3307
289.5138, 137.5829
289.9959, 122.0071
290.4780, 110.5963
290.9601, 104.4734
291.4422, 100.5911
291.9243, 95.41541
292.4065, 88.90710
292.8886, 81.39868
293.3707, 69.83008
293.8528, 57.50195
294.3349, 55.61224
294.8170, 66.57812
295.2992, 78.93829
295.7813, 74.83484
296.2634, 58.53210
296.7455, 47.59863
297.2276, 54.41278
297.7097, 71.96533
298.1919, 85.78876
298.6740, 94.97681
299.1561, 102.9516
299.6382, 113.6182
300.1203, 126.3926
300.6024, 138.7711
301.0845, 148.6463
301.5667, 157.8790
