##NAMES=Dmisteinbergite
##RRUFFID=R130087
##IDEAL CHEMISTRY=CaAl_2_Si_2_O_8_
##LOCALITY=Katashina Village, Gunma Prefecture, Japan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Colorless platelets with pearly luster. Associated with prehnite and wairakite, R061075
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R130087
253.2472, 618.3096
253.7293, 621.0381
254.2114, 634.8052
254.6935, 654.6475
255.1756, 665.5166
255.6578, 651.1636
256.1399, 616.2266
256.6220, 596.3555
257.1041, 594.1943
257.5862, 605.4946
258.0684, 639.4741
258.5505, 682.5693
259.0326, 709.2100
259.5147, 703.2227
259.9968, 673.1968
260.4789, 638.6011
260.9611, 591.7227
261.4432, 558.0059
261.9253, 558.2114
262.4074, 573.5903
262.8895, 580.8799
263.3716, 572.7583
263.8537, 558.4204
264.3358, 547.2900
264.8180, 538.0244
265.3001, 530.4517
265.7822, 528.5093
266.2643, 525.5991
266.7464, 514.0591
267.2285, 491.8579
267.7107, 468.7397
268.1928, 450.5322
268.6749, 436.8828
269.1570, 431.1255
269.6391, 439.3672
270.1212, 450.8662
270.6034, 454.5640
271.0855, 449.8403
271.5676, 439.0337
272.0497, 415.6597
272.5318, 387.1631
273.0139, 378.3999
273.4961, 400.2178
273.9782, 428.9746
274.4603, 438.7437
274.9424, 431.4707
275.4245, 423.9185
275.9066, 420.1982
276.3888, 419.9434
276.8709, 425.9600
277.3530, 440.3262
277.8351, 450.1763
278.3172, 439.7271
278.7993, 412.6104
279.2815, 398.9463
279.7636, 418.0044
280.2457, 437.9766
280.7278, 426.5542
281.2099, 387.4673
281.6920, 356.2466
282.1742, 357.2241
282.6563, 384.0654
283.1384, 401.7822
283.6205, 418.9326
284.1026, 420.3916
284.5847, 388.3462
285.0669, 336.7437
285.5490, 293.6045
286.0311, 270.7061
286.5132, 264.9214
286.9953, 270.5615
287.4774, 306.0981
287.9596, 323.6948
288.4417, 297.0957
288.9238, 258.5151
289.4059, 247.9297
289.8880, 274.8716
290.3701, 316.1602
290.8523, 339.4712
291.3344, 336.9316
291.8165, 335.2930
292.2986, 339.5962
292.7807, 341.1733
293.2628, 327.7910
293.7450, 302.7764
294.2271, 285.2212
294.7092, 294.7612
295.1913, 334.2427
295.6734, 361.0737
296.1555, 373.7539
296.6377, 376.7944
297.1198, 363.5020
297.6019, 341.5376
298.0840, 324.6357
298.5661, 318.9180
299.0482, 324.3506
299.5304, 345.8945
300.0125, 416.5288
300.4946, 455.7373
300.9767, 432.5576
301.4588, 385.0439
301.9409, 348.4922
302.4231, 333.8491
302.9052, 334.5200
303.3873, 342.1924
303.8694, 359.6426
304.3515, 378.5562
304.8336, 400.0405
305.3158, 419.8262
305.7979, 436.7441
306.2800, 450.2773
306.7621, 458.8003
307.2442, 457.9150
307.7263, 448.0366
308.2085, 443.7510
308.6906, 448.8696
309.1727, 456.3672
309.6548, 458.3877
310.1369, 458.3643
310.6190, 466.6030
311.1012, 497.5439
311.5833, 539.0244
312.0654, 558.0933
312.5475, 546.8901
313.0296, 537.8203
313.5117, 552.7578
313.9939, 581.1592
314.4760, 607.9619
314.9581, 627.0767
315.4402, 648.3311
315.9223, 682.3179
316.4044, 727.8608
316.8866, 768.7114
317.3687, 780.0596
317.8508, 802.4160
318.3329, 914.4390
318.8150, 1145.603
319.2971, 1354.949
319.7793, 1477.616
320.2614, 1547.128
320.7435, 1616.220
321.2256, 1694.934
321.7077, 1787.845
322.1898, 1897.451
322.6720, 2024.180
323.1541, 2182.587
323.6362, 2381.946
324.1183, 2606.568
324.6004, 2881.704
325.0826, 3185.945
325.5647, 3430.120
326.0468, 3539.077
326.5289, 3520.602
327.0110, 3518.354
327.4931, 3595.691
327.9753, 3616.629
328.4574, 3542.065
328.9395, 3387.332
329.4216, 3173.018
329.9037, 2907.280
330.3858, 2601.140
