##NAMES=Diamond
##RRUFFID=R050207
##IDEAL CHEMISTRY=C
##LOCALITY=Unknown
##OWNER=RRUFF
##SOURCE=Eric Van Valkenburg
##DESCRIPTION=Single crystal,  type I
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050207
226.4826, 4.688839
226.9647, 3.343853
227.4468, 2.720798
227.9289, 2.961170
228.4110, 3.701954
228.8931, 5.044323
229.3753, 8.156895
229.8574, 9.058620
230.3395, 6.618301
230.8216, 2.167343
231.3037, 0.4158330
231.7858, 0.3992840
232.2680, 0.3940540
232.7501, 1.204346
233.2322, 2.119293
233.7143, 2.840187
234.1964, 3.216953
234.6785, 3.483391
235.1607, 4.419342
235.6428, 6.797230
236.1249, 8.154064
236.6070, 7.128716
237.0891, 1.309280
237.5712, 1.383739
238.0533, 0.4198530
238.5355, 4.978630
239.0176, 7.809875
239.4997, 7.737587
239.9818, 7.587608
240.4639, 8.903927
240.9460, 13.55875
241.4282, 15.11976
241.9103, 12.46981
242.3924, 7.084621
242.8745, 2.219810
243.3566, 3.036358
243.8387, 6.378292
244.3209, 6.347286
244.8030, 0.7556300
245.2851, 2.179134
245.7672, 0.8492580
246.2493, 2.479980
246.7314, 2.591900
247.2136, 2.976307
247.6957, 7.848267
248.1778, 9.320248
248.6599, 5.917732
249.1420, 3.392715
249.6241, 1.779816
250.1063, 1.007603
250.5884, 1.060516
251.0705, 2.277912
251.5526, 3.538620
252.0347, 4.489948
252.5168, 5.180580
252.9990, 5.284336
253.4811, 4.433666
253.9632, 3.237663
254.4453, 2.810013
254.9274, 3.495880
255.4095, 4.301971
255.8917, 4.911556
256.3738, 5.277424
256.8559, 5.677330
257.3380, 6.272121
257.8201, 6.775234
258.3022, 6.606133
258.7844, 5.098911
259.2665, 4.432270
259.7486, 5.577118
260.2307, 9.298737
260.7128, 11.00003
261.1949, 10.17777
261.6771, 7.878799
262.1592, 5.066189
262.6413, 0.8991510
263.1234, 1.546432
263.6055, 0.9479980
264.0876, 2.952900
264.5698, 6.298836
265.0519, 9.469364
265.5340, 11.56853
266.0161, 11.12577
266.4982, 7.150093
266.9803, 3.701591
267.4625, 1.822140
267.9446, 1.515400
268.4267, 1.847965
268.9088, 2.783325
269.3909, 4.059505
269.8730, 5.624447
270.3552, 7.874626
270.8373, 8.621902
271.3194, 6.523285
271.8015, 2.103363
272.2836, 0.9855610
272.7657, 4.289536
273.2479, 8.446281
273.7300, 9.876507
274.2121, 7.963211
274.6942, 7.112610
275.1763, 8.717953
275.6584, 12.06374
276.1406, 13.26319
276.6227, 11.96884
277.1048, 9.649681
277.5869, 7.162704
278.0690, 4.399952
278.5511, 2.781300
279.0333, 2.720901
279.5154, 3.700092
279.9975, 4.134796
280.4796, 3.918205
280.9617, 3.878181
281.4438, 4.899689
281.9260, 6.992771
282.4081, 8.247368
282.8902, 8.110630
283.3723, 7.341831
283.8544, 8.202492
284.3365, 10.91159
284.8187, 12.93003
285.3008, 11.79770
285.7829, 7.895988
286.2650, 5.880157
286.7471, 6.745064
287.2292, 8.942383
287.7114, 9.238068
288.1935, 7.746773
288.6756, 6.545158
289.1577, 7.400406
289.6398, 9.735687
290.1219, 10.52229
290.6041, 9.441395
291.0862, 7.195869
291.5683, 3.879688
292.0504, 0.2529490
292.5325, 2.894394
293.0146, 1.853985
293.4968, 1.610413
293.9789, 3.796776
294.4610, 4.528587
294.9431, 4.466724
295.4252, 4.045300
295.9073, 3.429287
296.3895, 3.017639
296.8716, 2.536484
297.3537, 2.478386
297.8358, 4.595726
298.3179, 9.008404
298.8000, 12.84555
299.2822, 12.83359
299.7643, 10.01594
300.2464, 6.994095
300.7285, 3.686394
301.2106, 1.187317
301.6927, 1.949146
302.1748, 5.932022
302.6570, 10.02491
303.1391, 11.31354
303.6212, 10.69729
304.1033, 9.599781
304.5854, 7.998077
305.0675, 6.893097
305.5497, 8.140018
306.0318, 11.11153
306.5139, 12.64575
306.9960, 8.335213
307.4781, 2.215492
307.9602, 0.3534550
308.4424, 3.438774
308.9245, 7.976414
309.4066, 8.359821
309.8887, 5.781296
310.3708, 3.566917
310.8529, 4.000900
311.3351, 5.316612
311.8172, 6.066093
312.2993, 5.953621
312.7814, 5.456188
313.2635, 4.719200
313.7456, 3.814499
314.2278, 2.875519
314.7099, 1.838535
315.1920, 0.8727070
315.6741, 0.3405490
316.1562, 2.152397
316.6383, 2.268051
317.1205, 2.508163
317.6026, 8.944717
318.0847, 12.92486
318.5668, 10.79603
319.0489, 8.081287
319.5310, 7.061676
320.0132, 7.906097
320.4953, 8.605759
320.9774, 8.388340
321.4595, 7.858330
321.9416, 7.482567
322.4237, 7.273861
322.9059, 7.231918
323.3880, 7.871269
323.8701, 9.027622
324.3522, 8.836067
324.8343, 4.527660
325.3164, 0.3939700
325.7986, 0.9852490
326.2807, 4.834633
326.7628, 8.369179
327.2449, 7.071857
327.7270, 2.528496
328.2091, 1.018044
328.6913, 5.657223
329.1734, 10.68022
329.6555, 13.79803
330.1376, 14.86292
330.6197, 14.30266
331.1018, 10.40128
331.5840, 5.353970
332.0661, 3.742367
332.5482, 8.768017
333.0303, 12.55968
333.5124, 12.15797
333.9945, 6.503216
334.4767, 2.193138
334.9588, 0.7262540
335.4409, 2.341316
335.9230, 2.707813
336.4051, 1.584885
336.8872, 0.2464370
337.3694, 2.992233
337.8515, 6.548077
338.3336, 8.799904
338.8157, 9.527096
339.2978, 9.476925
339.7799, 9.358994
340.2621, 9.252445
340.7442, 8.434177
341.2263, 6.369270
341.7084, 3.705967
342.1905, 2.941021
342.6726, 4.443413
343.1548, 5.614128
343.6369, 3.639832
344.1190, 1.124111
344.6011, 2.814545
345.0832, 0.1066250
345.5653, 4.589790
346.0475, 6.965443
346.5296, 7.145134
347.0117, 6.680664
347.4938, 6.217094
347.9759, 5.750420
348.4580, 5.393646
348.9402, 4.943947
349.4223, 4.457752
349.9044, 4.747383
350.3865, 5.599918
350.8686, 6.804249
351.3507, 8.958447
351.8329, 11.01770
352.3150, 11.42903
352.7971, 10.22814
353.2792, 8.438412
353.7613, 5.692879
354.2434, 3.131851
354.7256, 2.861603
355.2077, 7.359188
355.6898, 12.01689
356.1719, 11.60211
356.6540, 7.335125
357.1361, 4.197540
357.6183, 7.100002
358.1004, 11.42135
358.5825, 12.47092
359.0646, 7.691673
359.5467, 3.933960
360.0288, 6.745266
360.5110, 13.05655
360.9931, 17.03860
361.4752, 14.01835
361.9573, 9.966343
362.4394, 8.079414
362.9215, 9.048206
363.4037, 9.643898
363.8858, 8.245834
364.3679, 6.227821
364.8500, 5.041325
365.3321, 5.788208
365.8142, 6.530315
366.2964, 6.907341
366.7785, 6.871265
367.2606, 6.820911
367.7427, 7.270012
368.2248, 7.394360
368.7069, 6.668945
369.1891, 3.330463
369.6712, 1.451981
370.1533, 1.763783
370.6354, 3.533306
371.1175, 5.122730
371.5996, 6.371979
372.0818, 7.654068
372.5639, 9.306538
