##NAMES=Lavendulan
##RRUFFID=R060716
##IDEAL CHEMISTRY=NaCaCu^2+^_5_(As^5+^O_4_)_4_Cl&#183;5H_2_O
##LOCALITY=Guanaco, Antofagasta Province, Chile
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Rosettes of blue platy crystals associated with dark green lammerite, R060715
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060716
343.7780, 2078.736
344.2600, 2047.526
344.7430, 2029.614
345.2250, 2003.453
345.7070, 1939.292
346.1890, 1841.370
346.6710, 1748.709
347.1530, 1675.483
347.6350, 1611.126
348.1170, 1527.191
348.5990, 1422.913
349.0820, 1317.620
349.5640, 1228.581
350.0460, 1150.820
350.5280, 1070.535
351.0100, 983.5176
351.4920, 894.6646
351.9740, 808.3870
352.4570, 724.9263
352.9390, 644.1458
353.4210, 559.9153
353.9030, 480.6558
354.3850, 421.0076
354.8670, 387.5913
355.3490, 358.2957
355.8310, 313.3083
356.3130, 258.9849
356.7960, 208.9399
357.2780, 171.9998
357.7600, 141.7771
358.2420, 112.0720
358.7240, 81.50269
359.2060, 55.18359
359.6880, 37.30005
360.1700, 25.34473
360.6520, 15.86157
361.1350, 10.32080
361.6170, 4.688721
362.0990, 3.596436
362.5810, 14.50269
363.0630, 23.49829
363.5450, 33.28760
364.0270, 39.52100
364.5090, 38.22241
364.9910, 19.80347
365.4740, 3.009033
365.9560, 7.185303
366.4380, 11.60400
366.9200, 15.97583
367.4020, 19.06616
367.8840, 23.80322
368.3660, 31.71289
368.8480, 50.51538
369.3310, 63.02930
369.8130, 64.53394
370.2950, 59.60547
370.7770, 60.74219
371.2590, 70.44971
371.7410, 83.25513
372.2230, 98.36426
372.7050, 118.7783
373.1880, 131.3931
373.6700, 131.7754
374.1520, 127.4050
374.6340, 129.9373
375.1160, 140.8594
375.5980, 154.4597
376.0800, 170.4111
376.5620, 188.5183
377.0440, 201.0261
377.5260, 205.7073
378.0090, 209.9055
378.4910, 222.1963
378.9730, 242.9727
379.4550, 264.3232
379.9370, 285.3098
380.4190, 305.1987
380.9010, 319.0659
381.3840, 326.6531
381.8660, 335.2786
382.3480, 348.9365
382.8300, 367.9756
383.3120, 396.3406
383.7940, 438.0298
384.2760, 481.7239
384.7580, 510.1123
385.2400, 525.0359
385.7230, 537.4688
386.2050, 554.2913
386.6870, 572.2175
387.1690, 584.3618
387.6510, 588.4478
388.1330, 595.7327
388.6150, 623.3916
389.0970, 661.1853
389.5790, 688.9590
390.0620, 694.4475
390.5440, 689.6357
391.0260, 677.3569
391.5080, 658.5215
391.9900, 650.9075
392.4720, 674.7732
392.9540, 709.8743
393.4360, 736.8247
393.9180, 748.5059
394.4010, 752.5986
394.8830, 750.6353
395.3650, 742.9609
395.8470, 731.0168
396.3290, 706.2773
396.8110, 683.8523
397.2930, 671.6897
397.7750, 674.6387
398.2580, 681.1409
398.7400, 696.2107
399.2220, 713.8892
399.7040, 722.1748
400.1860, 712.1440
400.6680, 701.5444
401.1500, 695.7029
401.6320, 695.7505
402.1140, 697.4895
402.5970, 700.2397
403.0790, 702.9622
403.5610, 706.3469
404.0430, 712.8140
404.5250, 716.6343
405.0070, 713.7749
405.4890, 704.2375
405.9710, 694.6814
406.4530, 686.3608
406.9360, 677.9612
407.4180, 667.3291
407.9000, 654.2756
408.3820, 645.7700
408.8640, 644.4553
409.3460, 645.8870
409.8280, 642.5093
410.3100, 634.3350
410.7930, 621.9438
411.2750, 602.1880
411.7570, 578.3867
412.2390, 561.3154
412.7210, 551.8931
413.2030, 543.3496
413.6850, 527.2722
414.1670, 506.7886
414.6500, 489.0593
415.1320, 475.9578
415.6140, 467.5747
416.0960, 467.4519
416.5780, 474.1672
417.0600, 477.6475
417.5420, 470.9526
418.0240, 457.9778
418.5060, 442.1736
418.9880, 422.7197
419.4710, 403.2295
419.9530, 380.2241
420.4350, 358.2036
420.9170, 346.8774
421.3990, 359.4553
421.8810, 375.5498
422.3630, 387.9348
422.8450, 397.7231
423.3280, 398.8245
423.8100, 380.2747
424.2920, 356.2202
424.7740, 342.2854
425.2560, 349.9861
425.7380, 354.7141
426.2200, 348.7610
426.7020, 333.7180
427.1850, 333.9822
427.6670, 360.1428
428.1490, 387.9968
428.6310, 401.3262
429.1130, 394.1985
429.5950, 391.6853
430.0770, 396.5547
430.5590, 405.3730
431.0410, 410.3608
431.5240, 410.5405
432.0060, 412.2048
432.4880, 421.2878
432.9700, 436.1560
433.4520, 436.5259
433.9340, 419.5320
434.4160, 403.0022
434.8980, 413.6477
435.3800, 444.5142
435.8630, 461.6851
436.3450, 446.8174
436.8270, 421.0093
437.3090, 422.8423
437.7910, 447.9006
438.2730, 467.6462
438.7550, 457.9609
439.2370, 433.4753
439.7200, 410.3789
440.2020, 388.7742
440.6840, 377.0930
441.1660, 389.8286
441.6480, 416.0310
442.1300, 436.2434
442.6120, 438.4243
443.0940, 434.9841
443.5760, 430.2114
444.0590, 424.2617
444.5410, 419.0901
445.0230, 423.1523
445.5050, 424.4956
445.9870, 413.7898
446.4690, 379.2217
446.9510, 345.1755
447.4330, 310.4985
447.9150, 277.5403
448.3980, 254.9160
448.8800, 249.8950
449.3620, 246.5134
449.8440, 238.5273
450.3260, 225.0327
450.8080, 210.6819
451.2900, 194.6436
451.7720, 178.6624
452.2540, 167.4670
452.7370, 163.8501
453.2190, 147.9863
453.7010, 108.9338
454.1830, 54.74438
454.6650, 21.61206
455.1470, 10.50806
455.6290, 5.935059
456.1120, 4.355713
456.5940, 18.16504
457.0760, 26.26685
457.5580, 25.20166
458.0400, 23.80713
458.5220, 36.70703
459.0040, 59.11743
459.4860, 76.10327
459.9680, 72.30933
460.4510, 64.32788
460.9330, 74.94629
461.4150, 104.6306
461.8970, 122.9104
462.3790, 101.5625
462.8610, 64.43115
463.3430, 35.04150
463.8250, 25.03223
464.3070, 17.86182
464.7900, 10.93042
465.2720, 2.953125
465.7540, 10.20972
466.2360, 33.89233
466.7180, 59.04028
467.2000, 81.82471
467.6820, 101.0916
468.1640, 120.8975
468.6470, 138.6230
469.1290, 158.8303
469.6110, 186.7974
470.0930, 226.2341
470.5750, 264.9851
471.0570, 300.0061
471.5390, 332.7024
472.0210, 372.7061
472.5030, 422.0818
472.9860, 471.4160
473.4680, 514.8564
473.9500, 552.7053
474.4320, 585.9656
474.9140, 613.8862
475.3960, 640.1038
475.8780, 670.9700
476.3600, 705.2146
476.8420, 736.7161
477.3250, 768.0388
477.8070, 792.2334
478.2890, 792.6677
478.7710, 771.8555
479.2530, 753.2659
479.7350, 760.1919
480.2170, 775.0950
480.6990, 777.5063
481.1810, 758.4326
481.6640, 736.9844
482.1460, 728.4304
482.6280, 723.6201
483.1100, 705.9990
483.5920, 653.7314
484.0740, 602.7715
484.5560, 570.5183
485.0390, 560.9158
485.5210, 537.8547
486.0030, 481.1555
486.4850, 421.4802
486.9670, 378.7471
487.4490, 363.8730
487.9310, 347.3982
488.4130, 328.1187
488.8950, 306.3943
489.3780, 281.6011
489.8600, 251.3113
490.3420, 225.7361
490.8240, 211.5947
491.3060, 207.7905
491.7880, 192.5491
492.2700, 163.3796
492.7520, 134.6470
493.2340, 126.3528
493.7170, 132.6558
494.1990, 124.5161
494.6810, 87.98438
495.1630, 47.11426
495.6450, 39.66699
496.1270, 58.03882
496.6090, 72.88672
497.0910, 65.83643
497.5730, 48.68530
498.0560, 30.86572
498.5380, 13.19238
499.0200, 3.188477
499.5020, 22.53979
499.9840, 37.95044
500.4660, 42.26978
500.9480, 26.27295
501.4300, 6.961670
501.9130, 16.34546
502.3950, 40.73364
502.8770, 56.54565
503.3590, 55.25293
503.8410, 52.57349
504.3230, 52.03516
504.8050, 52.27295
505.2870, 62.12451
505.7700, 84.90186
506.2520, 112.8750
506.7340, 137.4949
507.2160, 157.7012
507.6980, 180.2246
508.1800, 206.4897
508.6620, 235.5813
509.1440, 266.6675
509.6260, 299.7747
510.1080, 329.8120
510.5910, 349.7090
511.0730, 364.7905
511.5550, 387.7793
512.0370, 419.4055
512.5190, 458.5535
513.0010, 508.1125
513.4830, 563.8928
513.9660, 619.3350
514.4480, 674.4128
514.9300, 725.8335
