##NAMES=Munakataite
##RRUFFID=R110005
##IDEAL CHEMISTRY=Pb_2_Cu_2_(Se^4+^O_3_)SO_4_(OH)_4_
##LOCALITY=Tonopah-Belmont mine, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Blue acicular to prismatic crystals with tapering terminations, associated with brochantite and cerussite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110005
260.7404, 0.7277510
261.2225, 0.1727030
261.7047, 2.0072000E-02
262.1868, 0.3043870
262.6689, 0.5792890
263.1510, 0.6407000
263.6331, 0.4987050
264.1152, 0.6253970
264.5974, 1.253613
265.0795, 1.788157
265.5616, 1.475614
266.0437, 0.1304370
266.5258, 1.083158
267.0079, 0.8067980
267.4901, 0.5158720
267.9722, 1.204959
268.4543, 1.098372
268.9364, 0.6970090
269.4185, 0.3195640
269.9006, 0.1071810
270.3828, 0.1685990
270.8649, 0.3040870
271.3470, 1.180833
271.8291, 1.864074
272.3112, 2.342088
272.7933, 2.675799
273.2755, 2.893408
273.7576, 2.988507
274.2397, 3.003887
274.7218, 2.895567
275.2039, 2.737727
275.6860, 2.854959
276.1682, 3.378635
276.6503, 3.686568
277.1324, 3.164913
277.6145, 1.710793
278.0966, 0.9023900
278.5787, 0.9705450
279.0609, 1.615013
279.5430, 2.334049
280.0251, 3.188667
280.5072, 3.716207
280.9893, 3.458819
281.4715, 2.424869
281.9536, 1.846348
282.4357, 1.853582
282.9178, 2.177143
283.3999, 2.407845
283.8820, 2.545408
284.3642, 2.595054
284.8463, 2.626676
285.3284, 2.614091
285.8105, 2.146123
286.2926, 1.086420
286.7747, 3.2100000E-03
287.2569, 0.2112410
287.7390, 0.4267770
288.2211, 0.9682950
288.7032, 0.9998290
289.1853, 0.6177850
289.6674, 0.1894080
290.1496, 0.3119230
290.6317, 0.7043470
291.1138, 0.6660130
291.5959, 0.2690470
292.0780, 3.5882000E-02
292.5602, 0.3137630
293.0423, 0.8054330
293.5244, 0.5790440
294.0065, 0.3988000
294.4886, 1.297878
294.9707, 1.131564
295.4529, 0.2061580
295.9350, 0.3572000
296.4171, 0.1778570
296.8992, 0.4310590
297.3813, 1.069584
297.8634, 1.714975
298.3456, 2.121258
298.8277, 1.924146
299.3098, 1.354245
299.7919, 0.9307500
300.2740, 0.8191920
300.7561, 0.7993370
301.2383, 0.4560410
301.7204, 0.1134740
302.2025, 0.4372580
302.6846, 0.1406640
303.1667, 1.047344
303.6488, 1.302622
304.1310, 0.5527200
304.6131, 0.2243010
305.0952, 0.2374000
305.5773, 1.500953
306.0594, 2.381958
306.5415, 1.923707
307.0237, 0.9364860
307.5058, 0.2176020
307.9879, 0.1534810
308.4700, 0.2540740
308.9521, 0.1141340
309.4343, 0.6865970
309.9164, 1.006885
310.3985, 0.5115660
310.8806, 6.3529000E-02
311.3627, 5.5615000E-02
311.8448, 0.5674860
312.3270, 1.109848
312.8091, 1.012760
313.2912, 0.6427110
313.7733, 0.4391930
314.2554, 0.7898210
314.7375, 1.140445
315.2197, 1.166103
315.7018, 0.8990500
316.1839, 0.6384630
316.6660, 0.4620770
317.1481, 0.3806820
317.6302, 0.4104350
318.1124, 0.6795510
318.5945, 0.8975550
319.0766, 0.8997650
319.5587, 0.7529510
320.0408, 0.7103260
320.5229, 0.8338510
321.0051, 1.075412
321.4872, 1.422876
321.9693, 1.939886
322.4514, 2.440265
322.9335, 2.817929
323.4156, 3.154494
323.8978, 3.586389
324.3799, 4.310559
324.8620, 4.999726
325.3441, 5.553712
325.8262, 5.858012
326.3083, 6.090297
326.7905, 6.217569
327.2726, 6.291725
327.7547, 6.364787
328.2368, 6.425885
328.7189, 6.550495
329.2010, 6.765721
329.6832, 7.080033
330.1653, 7.317651
330.6474, 7.639449
331.1295, 7.768504
331.6116, 7.430880
332.0938, 6.035418
332.5759, 5.110647
333.0580, 4.886892
333.5401, 5.311332
334.0222, 6.083494
334.5043, 7.653059
334.9865, 8.960955
335.4686, 9.277038
335.9507, 8.099051
336.4328, 7.273560
336.9149, 6.896573
337.3970, 6.927494
337.8792, 7.354627
338.3613, 8.363609
338.8434, 9.262015
339.3255, 9.664225
339.8076, 9.473397
340.2898, 9.545040
340.7719, 9.907256
341.2540, 10.48347
341.7361, 11.20963
342.2182, 12.08532
342.7003, 13.00281
343.1825, 13.99026
343.6646, 15.00648
344.1467, 15.71906
344.6288, 16.11575
345.1109, 16.22250
345.5930, 16.00883
346.0752, 15.48811
346.5573, 14.99652
347.0394, 14.64769
347.5215, 14.33958
348.0036, 13.73692
348.4857, 12.85323
348.9679, 12.08183
349.4500, 11.75642
349.9321, 11.76861
350.4142, 11.85542
350.8963, 12.04592
351.3784, 12.13208
351.8606, 11.59809
352.3427, 10.59797
352.8248, 9.842654
353.3069, 9.940495
353.7890, 10.42077
354.2711, 10.69650
354.7533, 10.70460
355.2354, 10.72229
355.7175, 11.08274
356.1996, 11.59718
356.6817, 12.01437
357.1638, 12.26330
357.6460, 12.34074
358.1281, 12.03708
358.6102, 11.42533
359.0923, 11.24418
359.5744, 12.59402
360.0565, 14.21060
360.5387, 14.91888
361.0208, 13.39848
361.5029, 12.06692
361.9850, 12.23088
362.4671, 13.45898
362.9492, 14.53853
363.4314, 14.93009
363.9135, 15.09751
364.3956, 15.29352
364.8777, 15.61566
365.3598, 15.90886
365.8419, 15.83954
366.3241, 15.74661
366.8062, 16.18098
367.2883, 18.03694
367.7704, 19.59301
368.2526, 20.15050
368.7347, 19.40325
369.2168, 19.44526
369.6989, 21.18882
370.1810, 23.17939
370.6631, 24.16952
371.1453, 22.94950
371.6274, 22.54993
372.1095, 23.65542
372.5916, 25.99523
373.0737, 27.74173
373.5558, 28.79309
374.0380, 29.42653
374.5201, 29.67086
375.0022, 29.23341
375.4843, 29.43770
375.9664, 30.59344
376.4485, 32.17681
376.9307, 33.17313
377.4128, 33.49158
377.8949, 33.56418
378.3770, 33.44669
378.8591, 33.16125
379.3412, 33.26543
379.8234, 33.86970
380.3055, 34.47089
380.7876, 34.36406
381.2697, 33.59715
381.7518, 33.09288
382.2339, 33.33985
382.7161, 33.81596
383.1982, 33.09766
383.6803, 31.22885
384.1624, 29.29866
384.6445, 28.26745
385.1266, 27.80128
385.6088, 27.05173
386.0909, 25.84932
386.5730, 24.48368
387.0551, 23.42214
387.5372, 22.51153
388.0193, 21.28609
388.5015, 18.91133
388.9836, 16.42574
389.4657, 15.21163
389.9478, 15.38408
390.4299, 15.38506
390.9120, 13.71881
391.3942, 11.39577
391.8763, 9.687855
392.3584, 9.506132
392.8405, 9.590792
393.3226, 9.392844
393.8047, 8.942416
394.2869, 8.376868
394.7690, 7.426998
395.2511, 6.598457
395.7332, 6.277983
396.2154, 6.918589
396.6975, 7.243464
397.1796, 6.799362
397.6617, 5.900600
398.1438, 5.094192
398.6259, 4.235419
399.1081, 3.679542
399.5902, 3.687314
400.0723, 4.400985
400.5544, 4.672829
