##NAMES=Triphylite
##RRUFFID=R050624
##IDEAL CHEMISTRY=LiFe^2+^PO_4_
##LOCALITY=Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Gemological Center
##DESCRIPTION=Brown fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050624
##MEASURED CHEMISTRY=Li_1.00_(Fe^2+^_0.55_Mn^2+^_0.45_)_Σ=1_P_1.00_O_4_ ; Li not measured, but estimated by difference
230.9292, 214.3644
231.4114, 229.4940
231.8935, 244.5458
232.3756, 258.8831
232.8577, 272.1359
233.3398, 286.3018
233.8220, 302.8668
234.3041, 319.8895
234.7862, 332.2682
235.2683, 339.5018
235.7504, 342.8884
236.2325, 342.9137
236.7147, 339.4776
237.1968, 332.7866
237.6789, 321.4764
238.1610, 307.5090
238.6431, 295.0546
239.1252, 283.8676
239.6074, 274.3970
240.0895, 266.4268
240.5716, 258.9728
241.0537, 256.4146
241.5358, 261.1852
242.0179, 269.6723
242.5001, 274.3905
242.9822, 272.0695
243.4643, 271.2771
243.9464, 275.6328
244.4285, 287.5035
244.9106, 296.7791
245.3928, 303.4670
245.8749, 307.5919
246.3570, 308.9677
246.8391, 306.4370
247.3212, 303.1379
247.8034, 300.5685
248.2855, 299.8084
248.7676, 295.0187
249.2497, 285.1547
249.7318, 272.0441
250.2139, 258.4462
250.6961, 244.8038
251.1782, 229.8169
251.6603, 212.5856
252.1424, 192.4479
252.6245, 173.6539
253.1066, 155.9742
253.5888, 139.6994
254.0709, 124.9061
254.5530, 111.4955
255.0351, 99.75598
255.5172, 90.27307
255.9993, 83.26288
256.4815, 75.50726
256.9636, 66.51495
257.4457, 57.39709
257.9278, 49.23383
258.4099, 41.85443
258.8921, 35.81714
259.3742, 31.45685
259.8563, 28.83606
260.3384, 26.12073
260.8205, 23.33124
261.3026, 20.46295
261.7848, 17.34583
262.2669, 13.68848
262.7490, 10.68280
263.2311, 8.703369
263.7132, 7.683167
264.1953, 6.821716
264.6775, 6.329529
265.1596, 5.654968
265.6417, 4.093628
266.1238, 1.203674
266.6059, 1.066650
267.0880, 2.142090
267.5702, 2.200989
268.0523, 2.731873
268.5344, 3.916016
269.0165, 5.394775
269.4986, 7.098450
269.9807, 9.300049
270.4629, 9.793213
270.9450, 7.564636
271.4271, 3.706787
271.9092, 2.907288
272.3913, 6.203674
272.8734, 9.475464
273.3556, 9.778625
273.8377, 6.647644
274.3198, 3.719666
274.8019, 1.327271
275.2840, 0.6305540
275.7661, 2.432739
276.2483, 4.155945
276.7304, 5.421997
277.2125, 5.512146
277.6946, 4.245850
278.1768, 4.655090
278.6589, 7.333618
279.1410, 11.18854
279.6231, 13.99774
280.1052, 15.68158
280.5873, 17.09943
281.0695, 18.62604
281.5516, 20.28815
282.0337, 22.06989
282.5158, 23.91870
282.9979, 25.95642
283.4800, 28.42188
283.9622, 31.29156
284.4443, 34.35229
284.9264, 38.07050
285.4085, 42.19666
285.8906, 44.34174
286.3727, 44.16205
286.8549, 43.22614
287.3370, 43.79315
287.8191, 45.77075
288.3012, 47.19623
288.7833, 47.03705
289.2654, 45.72241
289.7476, 45.14081
290.2297, 45.34204
290.7118, 45.51324
291.1939, 44.76685
291.6760, 43.21887
292.1581, 41.27985
292.6403, 38.79883
293.1224, 36.18408
293.6045, 34.31689
294.0866, 33.25970
294.5687, 32.39667
295.0508, 31.01862
295.5330, 29.30731
296.0151, 28.01288
296.4972, 27.36224
296.9793, 27.14301
297.4614, 27.07483
297.9435, 27.15833
298.4257, 27.30090
298.9078, 27.52118
299.3899, 27.78705
299.8720, 28.08984
300.3541, 28.30951
300.8362, 28.43823
301.3184, 28.49860
301.8005, 28.72620
302.2826, 29.55414
302.7647, 31.81006
303.2469, 34.74457
303.7290, 37.00641
304.2111, 38.51068
304.6932, 39.75677
305.1753, 40.68414
305.6574, 41.62042
306.1396, 43.31641
306.6217, 46.80518
307.1038, 50.89209
307.5859, 54.20715
308.0680, 56.61652
308.5501, 59.10193
309.0323, 62.78229
309.5144, 66.97046
309.9965, 70.56647
310.4786, 72.39862
310.9607, 73.99841
311.4428, 76.53253
311.9250, 80.02081
312.4071, 83.84503
312.8892, 87.94244
313.3713, 92.00470
313.8534, 95.73193
314.3355, 99.23370
314.8177, 102.1333
315.2998, 103.8532
315.7819, 104.6210
316.2640, 105.7064
316.7461, 109.0280
317.2282, 112.1004
317.7104, 113.0553
318.1925, 110.9971
318.6746, 107.4822
319.1567, 102.2407
319.6388, 95.82330
320.1209, 89.84686
320.6031, 84.92560
321.0852, 80.48767
321.5673, 76.21149
322.0494, 72.04651
322.5315, 68.07379
323.0136, 64.48157
323.4958, 61.04138
323.9779, 57.35889
324.4600, 53.89404
324.9421, 49.75043
325.4242, 44.01495
325.9064, 35.64734
326.3885, 29.96106
326.8706, 29.41101
327.3527, 30.89630
327.8348, 31.12366
328.3170, 29.48413
328.7991, 27.41260
329.2812, 25.10193
329.7633, 22.38098
330.2454, 19.21246
330.7275, 14.33582
331.2097, 10.16730
331.6918, 8.678406
332.1739, 12.41089
332.6560, 14.56415
333.1381, 13.92389
333.6202, 11.06128
334.1024, 8.713928
334.5845, 6.857605
335.0666, 5.489014
335.5487, 4.679932
336.0308, 4.737244
336.5129, 4.718567
336.9951, 4.659912
337.4772, 4.423279
337.9593, 3.650818
338.4414, 2.198425
338.9235, 0.6618040
