##NAMES=Quartz
##RRUFFID=X080016
##IDEAL CHEMISTRY=SiO_2_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted citrine gemstone, 10.23 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080016
199.4841, 1350.232
199.9662, 1383.456
200.4483, 1416.858
200.9304, 1450.825
201.4125, 1482.568
201.8947, 1510.893
202.3768, 1535.737
202.8589, 1558.257
203.3410, 1579.011
203.8231, 1596.815
204.3052, 1609.254
204.7874, 1616.271
205.2695, 1618.703
205.7516, 1617.049
206.2337, 1611.469
206.7158, 1600.563
207.1979, 1583.525
207.6801, 1561.871
208.1622, 1539.270
208.6443, 1516.261
209.1264, 1490.333
209.6085, 1459.674
210.0906, 1423.149
210.5728, 1387.191
211.0549, 1353.076
211.5370, 1318.945
212.0191, 1281.277
212.5012, 1238.862
212.9833, 1195.197
213.4655, 1152.283
213.9476, 1110.085
214.4297, 1067.919
214.9118, 1025.673
215.3939, 983.5853
215.8760, 940.6017
216.3581, 895.9915
216.8403, 852.7084
217.3224, 812.9279
217.8045, 777.4235
218.2866, 741.9872
218.7687, 706.3154
219.2508, 670.8420
219.7330, 637.6579
220.2151, 606.9062
220.6972, 578.2712
221.1793, 552.2120
221.6614, 529.2999
222.1435, 506.6728
222.6257, 483.8009
223.1078, 461.2820
223.5899, 440.0912
224.0720, 420.1473
224.5541, 401.6180
225.0362, 384.3919
225.5184, 369.3424
226.0005, 353.7628
226.4826, 337.0057
226.9647, 319.8212
227.4468, 303.6827
227.9289, 288.6069
228.4111, 274.7462
228.8932, 262.2679
229.3753, 251.6835
229.8574, 241.2411
230.3395, 230.9527
230.8216, 220.9596
231.3038, 211.3689
231.7859, 202.3072
232.2680, 193.5923
232.7501, 185.0566
233.2322, 176.3890
233.7143, 168.4957
234.1965, 161.3959
234.6786, 155.0739
235.1607, 149.3770
235.6428, 144.6538
236.1249, 139.9086
236.6070, 134.6603
237.0892, 128.4590
237.5713, 122.7782
238.0534, 117.6673
238.5355, 113.1082
239.0176, 109.0405
239.4997, 105.4728
239.9819, 102.1769
240.4640, 99.16344
240.9461, 96.56448
241.4282, 93.99231
241.9103, 91.37422
242.3924, 88.69632
242.8746, 85.96175
243.3567, 82.86200
243.8388, 80.35522
244.3209, 78.82133
244.8030, 78.53105
245.2851, 78.44449
245.7673, 78.59462
246.2494, 78.98422
246.7315, 79.60150
247.2136, 80.51329
247.6957, 81.50058
248.1778, 82.55614
248.6600, 83.82817
249.1421, 84.76472
249.6242, 85.18282
250.1063, 85.30479
250.5884, 85.57083
251.0705, 85.96888
251.5527, 86.52849
252.0348, 87.27940
252.5169, 88.25374
252.9990, 89.28704
253.4811, 90.19509
253.9632, 91.28595
254.4454, 93.08698
254.9275, 95.67887
255.4096, 98.83849
255.8917, 102.5626
256.3738, 106.9345
256.8560, 111.3094
257.3381, 115.2872
257.8202, 119.6584
258.3023, 125.7228
258.7844, 133.6819
259.2665, 142.7429
259.7487, 152.8023
260.2308, 163.8957
260.7129, 175.4416
261.1950, 187.3094
261.6771, 199.7050
262.1592, 213.4683
262.6414, 229.9817
263.1235, 244.3149
263.6056, 256.3353
264.0877, 266.6348
264.5698, 266.2999
265.0519, 253.4818
265.5341, 232.6375
266.0162, 207.3321
266.4983, 175.6825
266.9804, 145.8958
267.4625, 119.3326
267.9446, 96.21900
268.4268, 76.88980
268.9089, 62.10497
269.3910, 50.43826
269.8731, 40.52841
270.3552, 32.49934
270.8373, 26.08138
271.3195, 21.38367
271.8016, 18.30991
272.2837, 15.67623
272.7658, 13.50752
273.2479, 11.60067
273.7300, 9.726929
274.2122, 7.882767
274.6943, 6.175316
275.1764, 4.619873
275.6585, 3.220490
276.1406, 1.994614
276.6227, 0.9669950
277.1049, 6.7253001E-02
277.5870, 0.8286590
278.0691, 1.752808
278.5512, 2.274788
279.0333, 2.201744
279.5154, 1.739441
279.9976, 1.550171
280.4797, 1.654434
280.9618, 1.916153
281.4439, 2.299957
281.9260, 2.803001
282.4081, 3.320343
282.8903, 3.858627
283.3724, 4.383980
283.8545, 4.828667
284.3366, 5.195423
284.8187, 5.461102
285.3008, 5.650513
285.7830, 5.755257
286.2651, 5.496014
286.7472, 4.719009
287.2293, 3.822811
287.7114, 3.561817
288.1935, 3.932594
288.6757, 4.508987
289.1578, 5.223225
289.6399, 5.997284
290.1220, 6.281422
290.6041, 5.961506
291.0862, 5.448452
291.5684, 5.429066
292.0505, 5.839401
292.5326, 6.049744
293.0147, 5.611340
293.4968, 4.734577
293.9789, 4.022354
294.4611, 3.485271
294.9432, 3.142319
295.4253, 3.177010
295.9074, 3.486034
296.3895, 3.608959
296.8716, 3.140759
297.3538, 2.409321
297.8359, 2.210148
298.3180, 2.573853
298.8001, 2.858345
299.2822, 2.219242
299.7643, 1.009171
300.2465, 0.1641810
300.7286, 0.3025700
301.2107, 0.7907030
301.6928, 0.7258380
302.1749, 0.1354370
302.6570, 0.4999690
303.1392, 0.7473180
303.6213, 0.7894820
304.1034, 0.9656600
304.5855, 1.510326
305.0676, 2.072433
305.5497, 2.165157
306.0319, 1.890224
306.5140, 1.747486
306.9961, 2.134155
307.4782, 2.830463
307.9603, 3.623634
308.4424, 4.512817
308.9246, 5.376629
309.4067, 6.100620
309.8888, 6.704399
310.3709, 7.256573
310.8530, 7.775902
311.3351, 8.250576
311.8173, 8.635105
312.2994, 8.885689
312.7815, 9.191235
313.2636, 9.822765
313.7457, 10.57219
314.2278, 11.06932
314.7100, 10.85276
315.1921, 10.54836
315.6742, 10.54675
316.1563, 10.93164
316.6384, 11.39405
317.1205, 11.84840
317.6027, 12.30205
318.0848, 12.76347
318.5669, 13.46684
319.0490, 13.97223
319.5311, 13.97490
320.0132, 13.43922
320.4954, 13.07481
320.9775, 12.99029
321.4596, 13.20791
321.9417, 13.75594
322.4238, 15.19240
322.9059, 16.38616
323.3881, 16.99545
323.8702, 17.05740
324.3523, 17.11774
324.8344, 17.23003
325.3165, 17.37861
325.7986, 17.55316
326.2808, 17.92572
326.7629, 18.12164
327.2450, 17.98803
327.7271, 17.62624
328.2092, 17.43373
328.6913, 17.38571
329.1735, 17.53324
329.6556, 17.93824
330.1377, 18.94909
330.6198, 19.53244
331.1019, 19.28763
331.5840, 18.73411
332.0662, 18.89470
332.5483, 20.31957
333.0304, 21.67234
333.5125, 22.45659
333.9946, 22.52644
334.4767, 22.86368
334.9589, 23.62481
335.4410, 24.48148
335.9231, 24.92875
336.4052, 24.65339
336.8873, 24.83727
337.3694, 25.90256
337.8515, 27.77598
338.3336, 29.33962
338.8158, 30.43208
339.2979, 31.54570
339.7800, 33.27243
340.2621, 35.73038
340.7442, 37.84987
341.2263, 39.33521
341.7085, 40.38218
342.1906, 41.54791
342.6727, 42.86689
343.1548, 44.18779
343.6369, 45.33705
344.1190, 46.34760
344.6012, 47.68927
345.0833, 49.36521
345.5654, 51.43879
346.0475, 54.19536
346.5296, 57.57072
347.0117, 60.99124
347.4939, 63.80242
347.9760, 66.37591
348.4581, 69.75929
348.9402, 73.94563
349.4223, 79.27817
349.9044, 86.79987
350.3866, 96.03127
350.8687, 105.3952
351.3508, 114.2135
351.8329, 122.9471
352.3150, 132.0128
352.7971, 141.4620
353.2793, 151.9321
353.7614, 166.0434
354.2435, 181.2926
354.7256, 194.2456
355.2077, 206.7437
355.6898, 212.9807
356.1720, 206.5900
356.6541, 188.9562
357.1362, 166.4738
357.6183, 137.6022
358.1004, 108.0968
358.5826, 82.97530
359.0647, 63.36668
359.5468, 47.82885
360.0289, 36.67445
360.5110, 28.96107
360.9931, 22.88173
361.4753, 18.39075
361.9574, 14.89724
362.4395, 12.22368
362.9216, 10.39899
363.4037, 9.093063
363.8858, 8.734421
364.3680, 8.630222
364.8501, 8.069660
365.3322, 6.259655
365.8143, 4.672123
366.2964, 3.710014
366.7785, 3.364330
367.2607, 3.101540
367.7428, 2.793995
368.2249, 2.592018
368.7070, 2.592899
369.1891, 2.998379
369.6712, 3.322220
370.1534, 3.478928
370.6355, 3.543076
371.1176, 3.747501
371.5997, 4.100048
372.0818, 4.580761
372.5639, 5.186020
373.0461, 5.961235
373.5282, 6.732578
374.0103, 7.516129
374.4924, 8.324539
374.9745, 9.130146
375.4566, 9.887218
375.9388, 10.82614
376.4209, 12.11824
376.9030, 13.73464
377.3851, 14.86479
377.8672, 15.44386
378.3493, 15.77299
378.8315, 16.02869
379.3136, 16.22041
379.7957, 16.67521
380.2778, 17.53230
380.7599, 18.64629
381.2420, 19.62658
381.7242, 20.44143
382.2063, 21.54075
382.6884, 23.11701
383.1705, 25.20113
383.6526, 27.80254
384.1347, 30.88246
384.6169, 34.61765
385.0990, 39.15734
385.5811, 44.48030
386.0632, 50.32737
386.5453, 56.82980
387.0274, 63.69894
387.5096, 70.17962
387.9917, 76.25851
388.4738, 83.13302
388.9559, 91.57665
389.4380, 101.2143
389.9201, 111.6228
390.4023, 122.0715
390.8844, 133.8614
391.3665, 147.8185
391.8486, 163.8968
392.3307, 181.4715
392.8128, 203.5418
393.2950, 224.8367
393.7771, 242.8465
394.2592, 258.7607
394.7413, 266.9562
395.2234, 261.2087
395.7055, 247.3591
396.1877, 234.4418
396.6698, 221.0473
397.1519, 212.1261
397.6340, 210.2134
398.1161, 216.1321
398.5982, 222.0731
399.0804, 232.7026
399.5625, 240.0204
400.0446, 238.2747
400.5267, 225.6434
401.0088, 206.2459
401.4909, 177.3374
401.9731, 141.7110
402.4552, 110.8695
402.9373, 85.01460
403.4194, 63.58167
403.9015, 46.58477
404.3836, 34.52805
404.8658, 25.02982
405.3479, 18.55401
405.8300, 14.12823
406.3121, 10.44843
406.7942, 7.557045
407.2763, 5.112686
407.7585, 3.063026
408.2406, 1.370125
408.7227, 0.1282650
409.2048, 1.429329
409.6869, 2.541168
410.1690, 3.465385
410.6512, 4.199478
411.1333, 4.747208
411.6154, 5.093529
412.0975, 5.280518
412.5796, 5.323593
413.0617, 5.244255
413.5439, 5.146851
414.0260, 5.195480
414.5081, 5.215813
414.9902, 4.850975
415.4723, 4.024643
415.9544, 3.327721
416.4366, 3.453224
416.9187, 3.978928
417.4008, 4.273613
417.8829, 4.001106
418.3650, 3.514145
418.8471, 2.924400
419.3293, 2.264572
419.8114, 1.667641
420.2935, 1.244812
420.7756, 0.9033660
421.2577, 0.6040040
421.7398, 0.3613360
422.2220, 3.7537001E-02
422.7041, 0.4183350
423.1862, 0.9285130
423.6683, 1.414215
424.1504, 1.728302
424.6325, 2.225266
425.1147, 3.014877
425.5968, 4.140648
426.0789, 5.265556
426.5610, 6.176956
427.0431, 7.316574
427.5252, 9.108475
428.0074, 12.04961
428.4895, 14.41676
428.9716, 15.79212
429.4537, 16.52367
429.9358, 17.60556
430.4179, 19.00879
430.9001, 20.85155
431.3822, 23.24196
431.8643, 26.17526
432.3464, 29.17349
432.8285, 32.17858
433.3106, 35.43390
433.7928, 39.22935
434.2749, 43.55063
434.7570, 48.26962
435.2391, 53.27727
435.7212, 58.71288
436.2033, 65.00533
436.6855, 72.05037
437.1676, 79.36839
437.6497, 86.42862
438.1318, 93.58167
438.6139, 101.2228
439.0960, 109.2621
439.5782, 118.3635
440.0603, 129.2465
440.5424, 141.6176
441.0245, 154.7318
441.5066, 167.4877
441.9887, 181.6708
442.4709, 198.0576
442.9530, 216.7021
443.4351, 238.0388
443.9172, 262.0155
444.3993, 288.7516
444.8814, 317.9200
445.3636, 348.2036
445.8457, 382.8822
446.3278, 421.9764
446.8099, 465.6019
447.2920, 515.0605
447.7741, 569.6683
448.2563, 631.2481
448.7384, 699.9683
449.2205, 777.1525
449.7026, 856.4533
450.1847, 938.6079
450.6668, 1020.824
451.1490, 1099.485
451.6311, 1173.255
452.1132, 1249.224
452.5953, 1328.232
453.0774, 1410.745
453.5595, 1501.265
454.0417, 1599.955
454.5238, 1708.934
455.0059, 1829.278
455.4880, 1960.760
455.9701, 2108.252
456.4522, 2271.184
456.9344, 2450.546
457.4165, 2645.877
457.8986, 2859.200
458.3807, 3090.340
458.8628, 3344.932
459.3449, 3613.779
459.8271, 3892.460
460.3092, 4179.856
460.7913, 4475.891
461.2734, 4789.073
461.7555, 5104.466
462.2376, 5420.153
462.7198, 5739.599
463.2019, 6026.801
463.6840, 6296.770
464.1661, 6511.536
464.6482, 6625.148
465.1303, 6628.103
465.6125, 6525.976
466.0946, 6302.743
466.5767, 5964.212
467.0588, 5576.423
467.5409, 5099.055
468.0230, 4612.657
468.5052, 4147.950
468.9873, 3696.068
469.4694, 3288.097
469.9515, 2925.897
470.4336, 2607.199
470.9157, 2326.575
471.3979, 2088.647
471.8800, 1879.212
472.3621, 1696.227
472.8442, 1539.465
473.3263, 1401.810
473.8084, 1283.915
474.2906, 1179.701
474.7727, 1086.005
475.2548, 1002.537
475.7369, 928.5780
476.2190, 864.3708
476.7011, 807.6201
477.1833, 755.7806
477.6654, 708.4661
478.1475, 664.6240
478.6296, 623.5269
479.1117, 585.8904
479.5938, 553.1953
480.0760, 524.9220
480.5581, 498.6570
481.0402, 473.0110
481.5223, 448.4552
482.0044, 425.2182
482.4865, 403.4486
482.9687, 383.3830
483.4508, 365.6623
483.9329, 349.5050
484.4150, 334.0385
484.8971, 318.6635
485.3792, 304.2478
485.8614, 291.0235
486.3435, 278.9172
486.8256, 267.2741
487.3077, 255.9859
487.7898, 245.4434
488.2719, 235.8961
488.7541, 227.7970
489.2362, 219.8406
489.7183, 212.0327
490.2004, 204.3387
490.6825, 196.5106
491.1646, 188.4767
491.6468, 180.7246
492.1289, 173.2525
492.6110, 166.1938
493.0931, 159.4784
493.5752, 153.0819
494.0573, 147.1681
494.5395, 141.9310
495.0216, 137.2028
495.5037, 132.5058
495.9858, 127.8796
496.4679, 123.2585
496.9500, 118.6124
