##NAMES=Pseudobrookite
##RRUFFID=R120173
##IDEAL CHEMISTRY=(Fe^3+^_2_Ti)O_5_
##LOCALITY=Nuestra Señora del Carmen Mines, La Celia, Jumilla, Murcia, Spain
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Dark brown tabular, associated with R120174 enstatite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120173
183.3138, 17.19421
183.7960, 17.57556
184.2781, 18.85559
184.7602, 19.41870
185.2423, 19.32349
185.7244, 19.08734
186.2065, 18.77380
186.6887, 18.51520
187.1708, 18.91559
187.6529, 20.17102
188.1350, 21.80054
188.6171, 22.79120
189.0992, 23.17554
189.5814, 23.87817
190.0635, 25.90674
190.5456, 29.00464
191.0277, 31.09229
191.5098, 31.63385
191.9919, 31.49823
192.4741, 32.53955
192.9562, 34.80811
193.4383, 37.24866
193.9204, 38.94360
194.4025, 39.96826
194.8846, 41.64941
195.3668, 44.26520
195.8489, 47.48279
196.3310, 50.69720
196.8131, 53.96356
197.2952, 56.74451
197.7773, 58.56152
198.2595, 59.40125
198.7416, 60.25067
199.2237, 61.09070
199.7058, 61.92822
200.1879, 63.18610
200.6700, 65.12640
201.1522, 66.68561
201.6343, 67.10339
202.1164, 66.36639
202.5985, 65.31305
203.0806, 63.86859
203.5627, 62.06561
204.0449, 60.41937
204.5270, 59.13135
205.0091, 57.53119
205.4912, 54.86035
205.9733, 50.79730
206.4554, 47.15875
206.9376, 44.33063
207.4197, 42.04175
207.9018, 39.16595
208.3839, 35.64978
208.8660, 31.98932
209.3481, 28.23718
209.8303, 24.02380
210.3124, 20.69708
210.7945, 18.74493
211.2766, 17.96722
211.7587, 17.08197
212.2408, 16.01825
212.7230, 14.84229
213.2051, 13.49475
213.6872, 11.76508
214.1693, 10.61444
214.6514, 10.25250
215.1335, 10.51270
215.6157, 10.66077
216.0978, 10.51355
216.5799, 10.56561
217.0620, 11.31659
217.5441, 13.22986
218.0262, 14.37183
218.5084, 14.12207
218.9905, 12.93927
219.4726, 13.23022
219.9547, 15.71027
220.4368, 18.47906
220.9189, 20.15436
221.4011, 20.03796
221.8832, 20.83905
222.3653, 23.25793
222.8474, 26.78937
223.3295, 29.11792
223.8116, 29.46881
224.2938, 29.76160
224.7759, 31.28040
225.2580, 34.78387
225.7401, 37.60168
226.2222, 39.37360
226.7043, 40.30829
227.1865, 41.40656
227.6686, 42.77246
228.1507, 44.08453
228.6328, 45.16779
229.1149, 46.07477
229.5970, 46.59161
230.0792, 46.50708
230.5613, 46.02917
231.0434, 45.99890
231.5255, 46.76050
232.0076, 47.48853
232.4897, 47.73419
232.9719, 47.37567
233.4540, 46.82294
233.9361, 45.91492
234.4182, 44.84906
234.9003, 44.31305
235.3824, 44.49719
235.8646, 44.93964
236.3467, 45.49225
236.8288, 46.46735
237.3109, 46.80518
237.7930, 46.27246
238.2751, 45.09662
238.7573, 43.91583
239.2394, 42.40466
239.7215, 41.31940
240.2036, 41.13367
240.6857, 42.63177
241.1678, 43.19458
241.6500, 42.55585
242.1321, 41.04358
242.6142, 39.45917
243.0963, 37.78827
243.5784, 36.07117
244.0605, 34.31561
244.5427, 32.43329
245.0248, 30.73895
245.5069, 29.28772
245.9890, 28.01239
246.4711, 26.81836
246.9532, 25.90070
247.4354, 24.75854
247.9175, 23.18311
248.3996, 21.04279
248.8817, 18.91888
249.3638, 16.79303
249.8459, 14.71606
250.3281, 12.77307
250.8102, 10.97192
251.2923, 9.314209
251.7744, 7.802490
252.2565, 6.468872
252.7386, 5.202393
253.2208, 3.971069
253.7029, 2.832031
254.1850, 1.884705
254.6671, 1.224854
255.1492, 0.5291140
255.6313, 0.4609380
256.1135, 1.930908
256.5956, 2.449280
257.0777, 1.549255
257.5598, 0.1837160
258.0419, 0.4156490
258.5240, 0.1589970
259.0062, 0.7600100
259.4883, 2.628113
259.9704, 5.561890
260.4525, 7.299500
260.9346, 7.373535
261.4167, 6.814941
261.8989, 6.885193
262.3810, 7.984924
262.8631, 8.603149
263.3452, 8.261353
263.8273, 6.937012
264.3094, 5.726868
264.7916, 4.417969
265.2737, 3.463440
265.7558, 3.546021
266.2379, 5.237000
266.7200, 5.988586
267.2021, 4.896606
267.6843, 2.248779
268.1664, 0.9644170
268.6485, 1.502747
269.1306, 2.486877
269.6127, 2.780090
270.0948, 2.267090
270.5770, 1.699707
271.0591, 1.241516
271.5412, 0.8767700
272.0233, 0.3754880
272.5054, 0.2449340
272.9875, 1.030884
273.4697, 2.125671
273.9518, 3.653137
274.4339, 4.634583
274.9160, 4.723511
275.3981, 4.377380
275.8802, 5.096558
276.3624, 7.107666
276.8445, 9.097595
277.3266, 10.15265
277.8087, 10.22864
278.2908, 10.60406
278.7729, 11.35864
279.2551, 12.44830
279.7372, 13.92157
280.2193, 15.88849
280.7014, 17.64539
281.1835, 18.75415
281.6656, 19.22650
282.1478, 19.71948
282.6299, 20.21039
283.1120, 20.82983
283.5941, 21.80084
284.0762, 23.13788
284.5583, 24.70380
285.0405, 26.45691
285.5226, 28.39972
286.0047, 30.53418
286.4868, 32.83997
286.9689, 35.40131
287.4510, 38.59381
287.9332, 42.36505
288.4153, 45.70868
288.8974, 47.88422
289.3795, 49.25500
289.8616, 51.12042
290.3438, 53.52094
290.8259, 56.11432
291.3080, 58.66858
291.7901, 61.12311
292.2722, 63.25800
292.7543, 64.54425
293.2365, 65.63910
293.7186, 68.32745
294.2007, 72.60034
294.6828, 77.16779
295.1649, 80.94196
295.6470, 84.05176
296.1292, 87.03735
296.6113, 89.83582
297.0934, 92.74414
297.5755, 96.57837
298.0576, 101.2554
298.5397, 105.6194
299.0219, 108.3694
299.5040, 110.2917
299.9861, 113.0789
300.4682, 117.2383
300.9503, 122.0081
301.4324, 126.7632
301.9146, 131.4384
302.3967, 135.9700
302.8788, 140.0520
303.3609, 144.0175
303.8430, 148.1914
304.3251, 152.5609
304.8073, 157.3459
305.2894, 163.1067
305.7715, 169.4720
306.2536, 175.7332
306.7357, 181.2481
307.2178, 186.5338
307.7000, 191.9915
308.1821, 197.6285
308.6642, 203.4045
309.1463, 209.4802
309.6284, 215.5958
310.1105, 221.4606
310.5927, 226.3222
311.0748, 231.2238
311.5569, 237.3492
312.0390, 244.7016
312.5211, 251.4377
313.0032, 255.7498
313.4854, 259.2665
313.9675, 263.6500
314.4496, 270.6504
314.9317, 277.7771
315.4138, 283.6453
315.8959, 288.4513
316.3781, 293.7794
316.8602, 300.7706
317.3423, 308.1438
317.8244, 314.9176
318.3065, 320.7183
318.7886, 326.4146
319.2708, 331.9409
319.7529, 337.4645
320.2350, 343.5374
320.7171, 350.5613
321.1992, 358.0125
321.6813, 365.7159
322.1635, 373.8329
322.6456, 381.6949
323.1277, 388.8779
323.6098, 395.6637
324.0919, 402.5792
324.5740, 409.2997
325.0562, 416.6402
325.5383, 425.2812
326.0204, 435.7749
326.5025, 444.8599
326.9846, 451.1451
327.4667, 456.4158
327.9489, 462.6747
328.4310, 471.4102
328.9131, 479.5514
329.3952, 486.4996
329.8773, 492.2420
330.3594, 498.3220
330.8416, 504.8665
331.3237, 511.5715
331.8058, 518.2124
332.2879, 524.9264
332.7700, 531.2792
333.2521, 537.1362
333.7343, 542.6312
334.2164, 548.5320
334.6985, 555.1172
335.1806, 561.5302
335.6627, 567.2774
336.1448, 572.0859
336.6270, 576.9663
337.1091, 582.0803
337.5912, 587.0889
338.0733, 591.5322
338.5554, 595.5439
339.0375, 598.6004
339.5197, 600.0641
340.0018, 599.7180
340.4839, 600.3328
340.9660, 602.2047
341.4481, 604.4167
341.9302, 605.9201
342.4124, 606.7386
342.8945, 606.5038
343.3766, 604.6389
343.8587, 601.6624
344.3408, 600.0719
344.8229, 600.0438
345.3051, 600.1204
345.7872, 599.2072
346.2693, 597.3343
346.7514, 594.5233
347.2335, 590.6719
347.7156, 586.0731
348.1978, 581.3798
348.6799, 576.5781
349.1620, 571.3229
349.6441, 565.0526
350.1262, 558.1965
350.6083, 551.8657
351.0905, 546.2603
351.5726, 540.7407
352.0547, 534.5200
352.5368, 527.7359
353.0189, 520.8118
353.5010, 514.5296
353.9832, 507.9462
354.4653, 499.5638
354.9474, 489.1792
355.4295, 478.7617
355.9116, 469.7792
356.3937, 461.7067
356.8759, 453.8901
357.3580, 446.3698
357.8401, 438.6933
358.3222, 430.5831
358.8043, 422.0031
359.2864, 413.1580
359.7686, 403.8472
360.2507, 394.4276
360.7328, 385.3383
361.2149, 376.7771
361.6970, 368.2332
362.1791, 359.4803
362.6613, 350.5771
363.1434, 341.6711
363.6255, 333.0735
364.1076, 324.2480
364.5897, 314.6688
365.0718, 304.0491
365.5540, 294.1358
366.0361, 285.6780
366.5182, 277.9578
367.0003, 270.1180
367.4824, 262.2223
367.9645, 254.0635
368.4467, 245.3439
368.9288, 236.1776
369.4109, 227.5596
369.8930, 220.1272
370.3751, 212.7915
370.8572, 204.7397
371.3394, 195.2800
371.8215, 186.4447
372.3036, 178.3881
372.7857, 171.0576
373.2678, 164.2411
373.7499, 158.1246
374.2321, 152.0437
374.7142, 145.6390
375.1963, 138.6128
375.6784, 132.3348
376.1605, 126.9965
376.6426, 122.1887
377.1248, 117.6626
377.6069, 113.4922
378.0890, 108.7917
378.5711, 103.0366
379.0532, 96.41748
379.5353, 90.81421
380.0175, 86.28259
380.4996, 82.22845
380.9817, 78.27484
