##NAMES=Bindheimite
##RRUFFID=R050546
##IDEAL CHEMISTRY=Pb_2_Sb^5+^_2_O_7_
##LOCALITY=Arabia District, Pershing County, Nevada, USA
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Yellow-brown coarsely fibrous massive, intimately mixed with mimetite
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050546
##MEASURED CHEMISTRY=(Pb_1.33_Fe_0.47_Ca_0.20_)_Σ=2_(Sb^5+^_1.97_As^5+^_0.03_)_Σ=2_O_7_  ;(darker phase, with trace amounts of Na);   (Pb_4.07_Ca_0.92_Fe_0.01_)_Σ=5_((As_2.97_Sb_0.03_)_Σ=1_O_4_)_3_Cl_1.00_ (lighter phase = mimetite)
150.2309, 18.18726
150.7131, 0.2919920
151.1952, 16.24805
151.6773, 30.54834
152.1594, 45.57739
152.6415, 49.48047
153.1236, 54.16040
153.6058, 58.73706
154.0879, 63.37109
154.5700, 66.66797
155.0521, 66.46533
155.5342, 62.50635
156.0163, 59.67017
156.4985, 61.85229
156.9806, 64.74390
157.4627, 64.51709
157.9448, 59.96118
158.4269, 53.52075
158.9090, 48.99023
159.3912, 47.16357
159.8733, 45.19287
160.3554, 42.77905
160.8375, 39.80151
161.3196, 36.29395
161.8017, 32.23145
162.2839, 27.50317
162.7660, 21.47974
163.2481, 12.13086
163.7302, 4.248779
164.2123, 0.9924320
164.6944, 4.589844
165.1766, 7.594971
165.6587, 10.43042
166.1408, 13.38501
166.6229, 18.01611
167.1050, 24.97754
167.5871, 32.86963
168.0693, 42.85938
168.5514, 53.57764
169.0335, 62.16333
169.5156, 66.41187
169.9977, 66.70142
170.4798, 70.36182
170.9620, 79.31055
171.4441, 88.97388
171.9262, 97.66968
172.4083, 105.3850
172.8904, 112.4377
173.3725, 118.9009
173.8547, 124.9214
174.3368, 131.2944
174.8189, 137.4346
175.3010, 144.2751
175.7831, 152.9124
176.2652, 163.4106
176.7474, 174.2717
177.2295, 184.9155
177.7116, 195.0671
178.1937, 204.0449
178.6758, 210.4590
179.1579, 216.0305
179.6401, 223.5630
180.1222, 233.7722
180.6043, 243.8137
181.0864, 251.4231
181.5685, 257.6543
182.0506, 264.2678
182.5328, 272.1731
183.0149, 281.0327
183.4970, 290.1802
183.9791, 301.4158
184.4612, 309.8867
184.9433, 312.1873
185.4255, 310.8267
185.9076, 310.1541
186.3897, 313.4197
186.8718, 320.1484
187.3539, 324.9336
187.8360, 324.7192
188.3182, 325.8049
188.8003, 331.3003
189.2824, 339.5540
189.7645, 347.0049
190.2466, 350.5278
190.7287, 349.8586
191.2109, 351.5850
191.6930, 358.8770
192.1751, 365.4792
192.6572, 368.6580
193.1393, 369.2620
193.6214, 370.0195
194.1036, 373.5403
194.5857, 380.4485
195.0678, 384.9282
195.5499, 387.0940
196.0320, 387.3970
196.5141, 384.3452
196.9963, 378.9851
197.4784, 374.9540
197.9605, 375.9451
198.4426, 382.8809
198.9247, 388.4956
199.4068, 391.4976
199.8890, 393.9135
200.3711, 397.9468
200.8532, 403.5836
201.3353, 408.2839
201.8174, 409.4753
202.2995, 406.9122
202.7817, 404.5803
203.2638, 403.4766
203.7459, 402.0961
204.2280, 398.2390
204.7101, 391.4249
205.1922, 385.2173
205.6744, 383.5598
206.1565, 385.4895
206.6386, 386.6743
207.1207, 386.6586
207.6028, 385.1124
208.0849, 381.5513
208.5671, 375.7798
209.0492, 368.0609
209.5313, 357.9109
210.0134, 345.9768
210.4955, 334.3206
210.9776, 323.3245
211.4598, 312.9490
211.9419, 303.2190
212.4240, 294.6025
212.9061, 286.1501
213.3882, 277.3616
213.8703, 268.3772
214.3525, 259.2952
214.8346, 250.5386
215.3167, 241.9893
215.7988, 232.7224
216.2809, 222.6211
216.7630, 212.0449
217.2451, 200.2446
217.7273, 188.1240
218.2094, 177.2720
218.6915, 168.8257
219.1736, 162.4990
219.6557, 156.5610
220.1378, 152.2639
220.6200, 146.8188
221.1021, 138.8103
221.5842, 129.3818
222.0663, 120.3079
222.5484, 112.7166
223.0305, 106.4771
223.5127, 100.6509
223.9948, 95.04028
224.4769, 90.22632
224.9590, 87.20483
225.4411, 85.09985
225.9232, 82.45703
226.4054, 78.20239
226.8875, 72.40381
227.3696, 67.02563
227.8517, 62.51270
228.3338, 57.88550
228.8159, 52.48438
229.2981, 46.93628
229.7802, 42.38623
230.2623, 39.67041
230.7444, 38.58032
231.2265, 36.72363
231.7086, 33.02124
232.1908, 29.77466
232.6729, 27.70728
233.1550, 26.50317
233.6371, 25.52368
234.1192, 24.39966
234.6013, 23.16602
235.0835, 22.04736
235.5656, 20.90698
236.0477, 20.01196
236.5298, 19.05713
237.0119, 18.36060
237.4940, 19.03784
237.9762, 22.15137
238.4583, 26.62231
238.9404, 27.57080
239.4225, 22.26538
239.9046, 17.18408
240.3867, 14.70044
240.8689, 14.12500
241.3510, 13.70215
241.8331, 12.50171
242.3152, 11.00464
242.7973, 10.68042
243.2794, 11.96289
243.7616, 13.45703
244.2437, 14.52979
244.7258, 15.34448
245.2079, 16.43848
245.6900, 18.26489
246.1721, 20.16211
246.6543, 20.77368
247.1364, 19.63599
247.6185, 18.66089
248.1006, 19.08154
248.5827, 20.48535
249.0648, 21.28320
249.5470, 20.23828
250.0291, 19.35498
250.5112, 21.90405
250.9933, 28.48901
251.4754, 34.51196
251.9576, 36.96313
252.4397, 36.57446
252.9218, 36.62695
253.4039, 37.74585
253.8860, 39.84692
254.3681, 42.72729
254.8503, 46.37378
255.3324, 50.32300
255.8145, 54.48462
256.2966, 58.80103
256.7787, 62.67456
257.2608, 65.20752
257.7430, 68.36841
258.2251, 74.12231
258.7072, 82.11182
259.1893, 89.86743
259.6714, 94.84009
260.1535, 97.81982
260.6357, 103.7720
261.1178, 115.4431
261.5999, 127.1150
262.0820, 134.4600
262.5641, 138.7229
263.0462, 143.7971
263.5284, 152.4258
264.0105, 164.1069
264.4926, 176.2292
264.9747, 189.3884
265.4568, 201.9497
265.9389, 212.6636
266.4211, 222.2952
266.9032, 232.2620
267.3853, 243.1487
267.8674, 255.0178
268.3495, 268.4172
268.8316, 283.9460
269.3138, 300.2969
269.7959, 318.1260
270.2780, 336.1345
270.7601, 352.1138
271.2422, 364.2876
271.7243, 374.2556
272.2065, 387.0706
272.6886, 403.1577
273.1707, 421.6372
273.6528, 444.3398
274.1349, 468.1724
274.6170, 488.9365
275.0992, 504.5972
275.5813, 517.4143
276.0634, 532.9683
276.5455, 553.0547
277.0276, 572.7012
277.5097, 589.9756
277.9919, 606.9810
278.4740, 625.7944
278.9561, 647.2383
279.4382, 670.1494
279.9203, 692.8948
280.4024, 716.2915
280.8846, 737.3643
281.3667, 753.2783
281.8488, 768.7612
282.3309, 787.7947
282.8130, 811.1382
283.2951, 835.8777
283.7773, 857.7610
284.2594, 875.9802
284.7415, 893.1372
285.2236, 907.9746
285.7057, 922.9460
286.1878, 939.7407
286.6700, 958.3560
287.1521, 977.6042
287.6342, 996.4387
288.1163, 1015.001
288.5984, 1031.961
289.0805, 1045.301
289.5627, 1058.885
290.0448, 1075.164
290.5269, 1093.563
291.0090, 1111.503
291.4911, 1126.635
291.9732, 1138.750
292.4554, 1150.252
292.9375, 1162.715
293.4196, 1173.053
293.9017, 1179.784
294.3838, 1183.542
294.8659, 1185.642
295.3481, 1186.868
295.8302, 1187.317
296.3123, 1188.223
296.7944, 1192.144
297.2765, 1193.746
297.7586, 1191.027
298.2408, 1185.510
298.7229, 1179.704
299.2050, 1175.097
299.6871, 1170.843
300.1692, 1163.659
300.6513, 1151.698
301.1335, 1138.741
301.6156, 1125.166
302.0977, 1110.878
302.5798, 1095.510
303.0619, 1078.991
303.5440, 1061.794
304.0262, 1044.571
304.5083, 1027.102
304.9904, 1010.184
305.4725, 995.5762
305.9546, 980.4727
306.4367, 961.7996
306.9189, 939.1970
307.4010, 915.3870
307.8831, 894.2634
308.3652, 877.1797
308.8473, 859.3674
309.3294, 839.5591
309.8116, 820.0063
310.2937, 802.4963
310.7758, 786.8276
311.2579, 771.4568
311.7400, 755.0476
312.2221, 737.3667
312.7043, 719.0869
313.1864, 696.5437
313.6685, 676.9148
314.1506, 664.5713
314.6327, 657.6094
315.1148, 651.0791
315.5970, 641.3870
316.0791, 628.8291
316.5612, 617.4290
317.0433, 608.6772
317.5254, 599.3477
318.0075, 587.9443
318.4897, 575.7703
318.9718, 564.7634
319.4539, 555.9199
319.9360, 548.8174
320.4181, 542.0610
320.9002, 535.5361
321.3824, 529.7100
321.8645, 524.8560
