##NAMES=Kleinite
##RRUFFID=R060329
##IDEAL CHEMISTRY=Hg_2_N(Cl,SO_4_)&#183;nH_2_O
##LOCALITY=McDermott mine, Humboldt County, Nevada, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Light yellow hexagonal prismatic or tabular crystals, associated with orange or dark yellow platy terlinguacreekite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060329
243.8821, 617.8965
244.3642, 639.0508
244.8463, 662.5732
245.3284, 689.2285
245.8106, 719.7930
246.2927, 756.7373
246.7748, 800.3467
247.2569, 842.6113
247.7390, 882.4941
248.2211, 920.2900
248.7033, 955.5391
249.1854, 987.8770
249.6675, 1020.481
250.1496, 1056.537
250.6317, 1095.927
251.1138, 1137.344
251.5960, 1182.886
252.0781, 1229.494
252.5602, 1274.096
253.0423, 1316.241
253.5244, 1355.497
254.0065, 1387.180
254.4887, 1414.658
254.9708, 1448.095
255.4529, 1494.795
255.9350, 1546.887
256.4171, 1591.796
256.8992, 1627.341
257.3813, 1664.007
257.8635, 1712.462
258.3456, 1767.036
258.8277, 1818.939
259.3098, 1863.072
259.7919, 1904.262
260.2740, 1949.159
260.7562, 1998.183
261.2383, 2048.799
261.7204, 2101.639
262.2025, 2154.776
262.6846, 2206.031
263.1667, 2253.804
263.6489, 2300.389
264.1310, 2349.464
264.6131, 2401.351
265.0952, 2454.619
265.5773, 2509.034
266.0594, 2564.142
266.5416, 2619.607
267.0237, 2675.130
267.5058, 2731.860
267.9879, 2791.650
268.4700, 2854.461
268.9521, 2920.509
269.4343, 2994.888
269.9164, 3070.212
270.3985, 3139.307
270.8806, 3199.991
271.3627, 3258.930
271.8448, 3324.416
272.3270, 3397.813
272.8091, 3472.175
273.2912, 3545.760
273.7733, 3619.829
274.2554, 3695.707
274.7375, 3773.968
275.2197, 3852.703
275.7018, 3929.777
276.1839, 4004.088
276.6660, 4081.817
277.1481, 4166.729
277.6302, 4253.018
278.1124, 4335.831
278.5945, 4415.868
279.0766, 4497.653
279.5587, 4586.855
280.0408, 4684.754
280.5229, 4780.768
281.0051, 4868.971
281.4872, 4959.851
281.9693, 5058.891
282.4514, 5164.887
282.9335, 5273.275
283.4156, 5379.201
283.8978, 5482.501
284.3799, 5589.928
284.8620, 5704.663
285.3441, 5820.578
285.8262, 5934.633
286.3083, 6048.015
286.7905, 6163.717
287.2726, 6283.102
287.7547, 6406.282
288.2368, 6532.478
288.7189, 6662.896
289.2010, 6795.339
289.6832, 6930.459
290.1653, 7066.193
290.6474, 7200.799
291.1295, 7332.738
291.6116, 7462.065
292.0938, 7588.269
292.5759, 7713.227
293.0580, 7830.916
293.5401, 7933.356
294.0222, 8031.372
294.5043, 8137.366
294.9865, 8257.170
295.4686, 8384.950
295.9507, 8506.670
296.4328, 8620.203
296.9149, 8730.616
297.3970, 8833.599
297.8792, 8936.988
298.3613, 9049.834
298.8434, 9174.362
299.3255, 9300.618
299.8076, 9411.292
300.2897, 9499.226
300.7719, 9587.021
301.2540, 9675.854
301.7361, 9765.091
302.2182, 9855.278
302.7003, 9945.942
303.1824, 10036.72
303.6646, 10129.67
304.1467, 10229.05
304.6288, 10313.04
305.1109, 10368.62
305.5930, 10422.23
306.0751, 10487.78
306.5573, 10563.10
307.0394, 10636.84
307.5215, 10699.60
308.0036, 10751.76
308.4857, 10795.01
308.9678, 10821.88
309.4500, 10845.94
309.9321, 10875.33
310.4142, 10905.14
310.8963, 10924.71
311.3784, 10926.06
311.8605, 10910.36
312.3427, 10891.18
312.8248, 10871.34
313.3069, 10844.61
313.7890, 10809.72
314.2711, 10767.50
314.7532, 10717.83
315.2354, 10660.83
315.7175, 10598.20
316.1996, 10537.08
316.6817, 10487.34
317.1638, 10422.11
317.6459, 10332.95
318.1281, 10232.33
318.6102, 10132.41
319.0923, 10036.57
319.5744, 9938.553
320.0565, 9827.367
320.5386, 9695.981
321.0208, 9568.334
321.5029, 9449.627
321.9850, 9331.236
322.4671, 9209.726
322.9492, 9082.961
323.4313, 8948.860
323.9135, 8804.376
324.3956, 8650.525
324.8777, 8479.209
325.3598, 8280.658
325.8419, 8073.756
326.3240, 7861.232
326.8062, 7644.657
327.2883, 7424.378
327.7704, 7199.659
328.2525, 6970.507
328.7346, 6734.841
329.2167, 6489.320
329.6989, 6239.977
330.1810, 5985.060
330.6631, 5727.131
331.1452, 5471.151
331.6273, 5219.353
332.1094, 4973.576
332.5916, 4737.975
333.0737, 4513.673
333.5558, 4298.662
334.0379, 4093.788
334.5200, 3895.352
335.0021, 3701.272
335.4843, 3510.098
335.9664, 3325.254
336.4485, 3155.162
336.9306, 3004.132
337.4127, 2854.828
337.8948, 2701.564
338.3770, 2550.919
338.8591, 2406.391
339.3412, 2268.200
339.8233, 2136.884
340.3055, 2012.950
340.7876, 1897.978
341.2697, 1783.776
341.7518, 1668.301
342.2339, 1555.489
342.7160, 1445.571
343.1982, 1339.446
343.6803, 1238.201
344.1624, 1143.066
344.6445, 1053.715
345.1266, 967.0815
345.6087, 882.6704
346.0909, 800.8438
346.5730, 720.4331
347.0551, 643.1133
347.5372, 571.2817
348.0193, 504.7192
348.5014, 443.3955
348.9836, 387.0654
349.4657, 337.1309
349.9478, 289.3667
350.4299, 242.2432
350.9120, 197.1191
351.3941, 154.1860
351.8763, 113.7061
352.3584, 78.55127
352.8405, 53.57715
353.3226, 38.66113
353.8047, 23.62988
354.2868, 19.25661
354.7690, 8.312012
355.2511, 24.20947
355.7332, 39.97754
356.2153, 53.20605
356.6974, 61.52588
357.1795, 65.82812
357.6617, 69.60205
358.1438, 72.44287
358.6259, 75.65674
359.1080, 81.20068
359.5901, 86.89258
360.0722, 89.59570
360.5544, 87.80908
361.0365, 83.34082
361.5186, 77.32568
362.0007, 69.02637
362.4828, 65.65820
362.9649, 75.79590
363.4471, 89.33154
363.9292, 93.96729
364.4113, 86.87402
364.8934, 78.40625
365.3755, 77.93408
365.8576, 83.41357
366.3398, 83.35938
366.8219, 72.49219
367.3040, 59.79199
367.7861, 56.55859
368.2682, 61.70410
368.7503, 63.30518
369.2325, 52.26514
369.7146, 36.26611
370.1967, 29.38916
370.6788, 33.84521
371.1609, 40.19678
371.6430, 41.75977
372.1252, 39.47266
372.6073, 36.13232
373.0894, 30.14307
373.5715, 24.90479
374.0536, 23.23047
374.5357, 24.65186
375.0179, 27.39795
375.5000, 31.55615
375.9821, 35.39648
376.4642, 34.78076
376.9463, 27.89600
377.4284, 21.07178
377.9106, 17.27393
378.3927, 15.15625
378.8748, 12.30566
379.3569, 8.105957
379.8390, 3.231934
380.3211, 1.404297
380.8033, 5.744629
381.2854, 11.00977
381.7675, 19.83350
382.2496, 28.17725
382.7317, 31.91064
383.2138, 31.28125
383.6960, 30.21924
384.1781, 31.21484
384.6602, 34.16797
385.1423, 39.36426
385.6244, 51.31348
386.1065, 60.10156
386.5887, 59.24756
387.0708, 53.74805
387.5529, 52.80713
388.0350, 60.61084
388.5171, 72.61621
388.9992, 78.77148
389.4814, 73.79883
389.9635, 70.88086
390.4456, 72.01270
390.9277, 73.96875
391.4098, 74.02393
391.8919, 71.91211
392.3741, 69.26465
392.8562, 67.96729
393.3383, 68.45752
393.8204, 66.90234
394.3025, 58.47266
394.7846, 53.13232
395.2668, 56.63477
395.7489, 65.48877
396.2310, 73.39648
396.7131, 76.83105
397.1952, 76.22314
397.6773, 72.52002
398.1595, 60.80908
398.6416, 54.37256
399.1237, 57.67041
399.6058, 64.49268
400.0879, 70.46875
400.5700, 74.24512
401.0522, 75.67041
401.5343, 73.17480
402.0164, 65.31299
402.4985, 62.31787
402.9806, 70.99023
403.4627, 78.55859
403.9449, 78.02295
404.4270, 71.74805
404.9091, 66.57764
405.3912, 67.35498
405.8733, 71.97217
406.3554, 73.84717
406.8376, 72.41553
407.3197, 69.65430
407.8018, 65.45264
408.2839, 60.75732
408.7660, 56.13477
409.2481, 51.45117
409.7303, 48.28418
410.2124, 50.15820
410.6945, 56.50928
411.1766, 57.94678
411.6587, 49.73779
412.1408, 39.58203
412.6230, 34.75928
413.1051, 34.56494
413.5872, 34.50732
414.0693, 32.43066
414.5514, 29.51123
415.0335, 28.04492
415.5157, 28.40625
415.9978, 27.47949
416.4799, 22.31299
416.9620, 14.30957
417.4441, 8.158203
417.9262, 4.600098
418.4084, 2.469238
418.8905, 1.474121
419.3726, 1.460938
419.8547, 2.041504
420.3368, 3.002441
420.8189, 3.765137
421.3011, 4.233887
421.7832, 5.498535
422.2653, 3.921387
422.7474, 3.361328
423.2295, 12.18115
423.7116, 19.17432
424.1938, 23.83984
424.6759, 27.08936
425.1580, 29.94141
425.6401, 32.63965
426.1222, 33.31006
426.6043, 28.96338
427.0865, 25.75781
427.5686, 26.00781
428.0507, 28.27344
428.5328, 30.69971
429.0149, 32.47559
429.4970, 33.39795
429.9792, 32.89844
430.4613, 29.13428
430.9434, 27.66357
431.4255, 29.99219
431.9076, 33.01562
432.3897, 34.58887
432.8719, 35.22021
433.3540, 37.18652
433.8361, 42.66260
434.3182, 50.74658
434.8003, 55.81689
435.2824, 56.16309
435.7646, 56.13037
436.2467, 57.60645
436.7288, 59.06299
437.2109, 58.19043
437.6930, 54.18799
438.1751, 50.41309
438.6573, 51.70117
439.1394, 58.47021
439.6215, 63.82812
440.1036, 66.74902
440.5857, 68.47656
441.0678, 71.26074
441.5500, 74.08936
442.0321, 73.06982
442.5142, 62.37451
442.9963, 47.82520
443.4784, 40.68994
443.9605, 42.17383
444.4427, 43.67773
444.9248, 41.32959
445.4069, 35.97070
445.8890, 29.48438
446.3711, 21.51465
446.8532, 12.96191
447.3354, 11.72612
447.8175, 4.991699
448.2996, 11.05713
448.7817, 13.04346
449.2638, 16.22021
449.7459, 26.87939
450.2281, 45.61768
450.7102, 62.44971
451.1923, 74.83398
451.6744, 87.21680
452.1565, 101.2441
452.6386, 117.3354
453.1208, 136.4893
453.6029, 159.7930
454.0850, 185.3252
454.5671, 207.6445
455.0492, 218.9014
455.5313, 237.4424
456.0135, 268.7964
456.4956, 303.5732
456.9777, 334.3843
457.4598, 360.7847
457.9419, 388.2905
458.4240, 422.3765
458.9062, 462.9316
459.3883, 505.5967
459.8704, 552.6465
460.3525, 599.5659
460.8346, 644.3384
461.3167, 689.4697
461.7989, 737.6196
462.2810, 789.9941
462.7631, 845.5205
463.2452, 903.3799
463.7273, 964.0405
464.2094, 1025.230
464.6916, 1086.594
465.1737, 1148.076
465.6558, 1207.842
466.1379, 1266.917
466.6200, 1330.221
467.1021, 1402.086
467.5843, 1479.296
468.0664, 1555.048
468.5485, 1629.766
469.0306, 1704.295
469.5127, 1776.973
469.9948, 1850.596
470.4770, 1928.942
470.9591, 2014.246
471.4412, 2097.869
471.9233, 2174.458
472.4054, 2246.780
472.8875, 2319.209
473.3697, 2392.744
473.8518, 2465.620
474.3339, 2536.819
474.8160, 2605.612
475.2981, 2669.117
475.7802, 2726.198
476.2624, 2779.409
