##NAMES=Galeite
##RRUFFID=R130025
##IDEAL CHEMISTRY=Na_15_(S^6+^O_4_)_5_ClF_4_
##LOCALITY=Searles Lake, Trona, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Colorless hexagonal prisms with tapering pyramidal terminations, associated with gaylussite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130025
423.4685, 1.499023
423.9506, 1.345673
424.4327, 1.644043
424.9149, 2.005859
425.3970, 2.709656
425.8791, 3.311676
426.3612, 3.322937
426.8433, 2.097015
427.3254, 1.313782
427.8076, 1.339447
428.2897, 2.052582
428.7718, 2.634735
429.2539, 3.112915
429.7360, 3.376495
430.2181, 3.253204
430.7003, 2.641113
431.1824, 2.327087
431.6645, 2.415039
432.1466, 2.688263
432.6287, 2.708496
433.1108, 2.468353
433.5930, 2.482330
434.0751, 3.224762
434.5572, 4.342987
435.0393, 4.446167
435.5214, 3.511841
436.0035, 2.596222
436.4857, 2.884674
436.9678, 3.911652
437.4499, 4.531006
437.9320, 4.393951
438.4141, 3.958832
438.8962, 3.438263
439.3784, 2.978546
439.8605, 3.013031
440.3426, 4.098114
440.8247, 5.565491
441.3068, 6.993927
441.7889, 8.355804
442.2711, 9.359497
442.7532, 9.659637
443.2353, 9.600891
443.7174, 9.541840
444.1995, 9.432343
444.6816, 9.491272
445.1638, 9.724915
445.6459, 10.15790
446.1280, 10.91003
446.6101, 12.52539
447.0922, 14.02734
447.5743, 14.88965
448.0565, 14.55460
448.5386, 14.98053
449.0207, 16.57578
449.5028, 18.68396
449.9849, 20.28418
450.4670, 21.03418
450.9492, 22.08099
451.4313, 23.68320
451.9134, 25.79108
452.3955, 28.12497
452.8776, 30.71002
453.3597, 33.26462
453.8419, 35.56415
454.3240, 37.59860
454.8061, 39.51923
455.2882, 41.21423
455.7703, 43.08594
456.2524, 45.73544
456.7346, 49.14359
457.2167, 52.86841
457.6988, 56.93826
458.1809, 61.13556
458.6630, 65.19077
459.1451, 69.06140
459.6273, 72.84033
460.1094, 76.69101
460.5915, 80.42990
461.0736, 83.80627
461.5557, 86.74744
462.0378, 89.36136
462.5200, 91.49222
463.0021, 93.45175
463.4842, 95.66837
463.9663, 98.58231
464.4484, 101.5480
464.9305, 104.3416
465.4127, 106.8348
465.8948, 109.0237
466.3769, 110.3496
466.8590, 111.7408
467.3411, 113.8683
467.8232, 118.2431
468.3054, 121.4572
468.7875, 123.0627
469.2696, 123.4785
469.7517, 123.7555
470.2338, 124.1636
470.7159, 123.9254
471.1981, 122.8940
471.6802, 121.0901
472.1623, 117.7724
472.6444, 112.7702
473.1265, 106.7611
473.6086, 100.6615
474.0908, 94.45123
474.5729, 87.21933
475.0550, 78.45432
475.5371, 69.14145
476.0192, 61.02838
476.5013, 54.02692
476.9835, 47.74936
477.4656, 41.90115
477.9477, 36.59140
478.4298, 31.95505
478.9119, 27.99420
479.3940, 24.81546
479.8762, 22.89069
480.3583, 21.67703
480.8404, 20.45920
481.3225, 19.04095
481.8046, 17.55289
482.2867, 15.88165
482.7689, 14.18689
483.2510, 12.87170
483.7331, 12.39621
484.2152, 12.05908
484.6973, 11.47379
485.1794, 10.48203
485.6616, 9.932068
486.1437, 10.42282
486.6258, 11.11258
487.1079, 11.32663
487.5900, 10.67526
488.0721, 10.07465
488.5543, 9.608765
489.0364, 9.297089
489.5185, 9.270386
490.0006, 9.669800
490.4827, 9.870209
490.9648, 9.370880
491.4470, 8.236389
491.9291, 8.094238
492.4112, 9.113892
492.8933, 10.31650
493.3754, 10.71268
493.8575, 10.43723
494.3397, 9.987671
494.8218, 9.344696
495.3039, 8.839569
495.7860, 9.262970
496.2681, 10.30191
496.7502, 10.87704
497.2324, 9.494232
497.7145, 7.963135
498.1966, 8.425812
498.6787, 10.99841
499.1608, 12.93784
499.6429, 12.19183
500.1251, 10.48181
500.6072, 9.314026
501.0893, 9.289917
501.5714, 9.476898
502.0535, 10.06888
502.5356, 10.71420
503.0178, 10.63171
503.4999, 8.682434
503.9820, 7.185455
504.4641, 6.947418
504.9462, 8.039917
505.4283, 8.416321
505.9105, 7.766663
506.3926, 6.876923
506.8747, 6.354492
507.3568, 6.275116
507.8389, 6.057739
508.3210, 5.613739
508.8032, 5.175842
509.2853, 4.985229
509.7674, 4.958252
510.2495, 4.927704
510.7316, 4.820343
511.2137, 4.633240
511.6959, 4.387970
512.1780, 4.014832
512.6601, 3.459320
513.1422, 2.511292
513.6243, 1.466766
514.1064, 0.6768800
514.5886, 0.1877140
515.0707, 1.7181000E-02
515.5528, 0.4313660
516.0349, 1.113342
516.5170, 1.610504
516.9991, 1.817383
517.4813, 1.791229
517.9634, 1.431427
518.4455, 0.7955930
518.9276, 0.3071290
519.4097, 3.6956999E-02
519.8918, 0.1286010
520.3740, 0.1477050
520.8561, 1.074707
521.3382, 1.225281
521.8203, 6.6315003E-02
522.3024, 1.366180
522.7845, 0.6428220
523.2667, 2.649109
523.7488, 4.832214
524.2309, 4.946655
524.7130, 3.693268
525.1951, 2.660889
525.6772, 1.847870
526.1594, 1.251648
526.6415, 0.9053650
527.1236, 0.7655940
527.6057, 0.8518980
528.0878, 1.173645
528.5699, 1.311890
529.0521, 0.5473020
529.5342, 0.4788820
530.0163, 0.8648070
530.4984, 4.8827998E-02
530.9805, 0.8577580
531.4626, 1.195923
531.9448, 1.190887
532.4269, 1.278259
532.9090, 1.881897
533.3911, 2.301910
533.8732, 2.168823
534.3553, 1.442902
534.8375, 1.004608
535.3196, 0.8718570
535.8017, 1.020691
536.2838, 1.534149
536.7659, 2.778778
537.2480, 3.287201
537.7302, 2.809326
538.2123, 1.914490
538.6944, 1.406799
539.1765, 1.298370
539.6586, 1.414612
540.1407, 1.846008
540.6229, 2.359436
541.1050, 2.340057
541.5871, 1.829407
542.0692, 1.195648
542.5513, 0.5950930
543.0334, 4.9896002E-02
543.5156, 0.4722290
543.9977, 0.9813540
544.4798, 1.210693
544.9619, 0.7535710
545.4440, 3.4179999E-03
545.9261, 0.6053160
546.4083, 0.8509220
546.8904, 1.079407
547.3725, 1.570221
547.8546, 2.099304
548.3367, 2.208984
548.8188, 1.063293
549.3010, 0.2991030
549.7831, 0.5102540
550.2652, 1.673615
550.7473, 2.248688
551.2294, 1.979614
551.7115, 1.555573
552.1937, 1.434113
552.6758, 1.668091
553.1579, 1.705444
553.6400, 1.459442
554.1221, 1.214996
554.6042, 1.464325
555.0864, 2.115692
555.5685, 2.583771
556.0506, 2.677948
556.5327, 2.514374
557.0148, 2.045502
557.4969, 1.395111
557.9791, 1.036743
558.4612, 1.755615
558.9433, 2.519226
559.4254, 2.314392
559.9075, 1.055969
560.3896, 4.1992001E-02
