##NAMES=Cerianite-(Ce)
##RRUFFID=R050379
##IDEAL CHEMISTRY=CeO_2_
##LOCALITY=Sierra de Bermejillo, Durango, Mexico
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Black crystals or grains, exhibiting a greasy luster
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050379
310.2703, 12.95207
310.7524, 12.50539
311.2345, 12.11101
311.7166, 11.19713
312.1987, 9.789589
312.6808, 8.750763
313.1630, 9.110771
313.6451, 9.883118
314.1272, 10.00622
314.6093, 8.482178
315.0914, 6.837799
315.5735, 5.780983
316.0557, 5.244476
316.5378, 4.875946
317.0199, 4.568108
317.5020, 4.345436
317.9841, 4.260254
318.4662, 4.611053
318.9484, 4.666191
319.4305, 4.002174
319.9126, 2.842270
320.3947, 1.771919
320.8768, 0.7770390
321.3589, 5.3307001E-02
321.8411, 0.2156070
322.3232, 0.2839970
322.8053, 0.5209350
323.2874, 1.7850000E-03
323.7695, 0.8519360
324.2516, 1.345032
324.7338, 0.9136050
325.2159, 0.5373230
325.6980, 0.5593720
326.1801, 1.099091
326.6622, 1.577591
327.1443, 2.038315
327.6265, 2.376602
328.1086, 2.483673
328.5907, 1.876740
329.0728, 1.599243
329.5549, 2.005295
330.0370, 3.105286
330.5192, 3.729218
331.0013, 3.552628
331.4834, 3.180084
331.9655, 3.031525
332.4476, 3.310104
332.9297, 3.456253
333.4119, 3.349533
333.8940, 3.067764
334.3761, 2.983658
334.8582, 3.265305
335.3403, 3.492172
335.8224, 3.387344
336.3046, 2.715393
336.7867, 2.455521
337.2688, 2.796951
337.7509, 3.428070
338.2330, 3.741837
338.7151, 3.723648
339.1973, 3.422592
339.6794, 2.696106
340.1615, 1.508713
340.6436, 0.8715210
341.1257, 0.9034580
341.6078, 1.236206
342.0900, 1.451401
342.5721, 1.547043
343.0542, 1.540146
343.5363, 1.408035
344.0184, 1.179733
344.5005, 0.9861300
344.9827, 0.8393250
345.4648, 0.6602330
345.9469, 0.3219150
346.4290, 0.1477510
346.9111, 0.4479370
347.3932, 0.4639890
347.8754, 0.3621220
348.3575, 0.3958440
348.8396, 0.5652310
349.3217, 0.9262540
349.8038, 1.614655
350.2859, 2.511078
350.7681, 3.382111
351.2502, 4.242905
351.7323, 4.903854
352.2144, 4.862808
352.6965, 4.386963
353.1786, 4.277634
353.6608, 5.352371
354.1429, 6.826355
354.6250, 7.666824
355.1071, 7.816788
355.5892, 7.871185
356.0714, 8.270004
356.5535, 8.876480
357.0356, 9.488617
357.5177, 10.09995
357.9998, 10.64139
358.4819, 10.87677
358.9641, 10.90106
359.4462, 11.23904
359.9283, 12.40840
360.4104, 13.87746
360.8925, 15.22914
361.3746, 16.45294
361.8568, 17.39938
362.3389, 17.65561
362.8210, 17.57584
363.3031, 17.97676
363.7852, 19.57410
364.2673, 21.33830
364.7495, 22.73674
365.2316, 23.55429
365.7137, 24.59972
366.1958, 26.34644
366.6779, 28.27881
367.1600, 29.80835
367.6422, 30.25032
368.1243, 30.92488
368.6064, 32.28285
369.0885, 34.38403
369.5706, 36.01216
370.0527, 36.63216
370.5349, 37.20612
371.0170, 38.38966
371.4991, 40.51930
371.9812, 42.67857
372.4633, 44.91710
372.9454, 47.15137
373.4276, 49.00111
373.9097, 50.29425
374.3918, 51.54543
374.8739, 52.90120
375.3560, 54.31973
375.8381, 56.15451
376.3203, 58.53586
376.8024, 61.13303
377.2845, 63.42218
377.7666, 65.31058
378.2487, 67.15421
378.7308, 68.97334
379.2130, 70.81404
379.6951, 72.83087
380.1772, 75.11418
380.6593, 77.46327
381.1414, 79.69411
381.6235, 81.77855
382.1057, 83.93065
382.5878, 86.31454
383.0699, 88.71291
383.5520, 90.55368
384.0341, 91.88518
384.5162, 93.30176
384.9984, 95.40315
385.4805, 97.85855
385.9626, 99.96133
386.4447, 101.6557
386.9268, 103.1632
387.4089, 104.4997
387.8911, 105.7572
388.3732, 107.2236
388.8553, 109.3913
389.3374, 111.6817
389.8195, 113.4463
390.3016, 114.6525
390.7838, 115.7748
391.2659, 117.2089
391.7480, 118.6726
392.2301, 119.8461
392.7122, 120.5358
393.1943, 121.0301
393.6765, 121.3306
394.1586, 121.5735
394.6407, 122.0047
395.1228, 123.1723
395.6049, 124.1254
396.0870, 124.3280
396.5692, 123.4548
397.0513, 122.7795
397.5334, 122.8711
398.0155, 123.2359
398.4976, 123.1912
398.9797, 122.3459
399.4619, 121.3584
399.9440, 120.3907
400.4261, 119.4445
400.9082, 118.2330
401.3903, 116.8079
401.8724, 115.0705
402.3546, 112.8737
402.8367, 109.8466
403.3188, 107.2283
403.8009, 105.2498
404.2830, 103.6504
404.7651, 101.7353
405.2473, 99.40877
405.7294, 97.09332
406.2115, 94.95197
406.6936, 93.00623
407.1757, 91.10715
407.6578, 89.21872
408.1400, 87.46790
408.6221, 86.03668
