##NAMES=Pseudomalachite
##RRUFFID=R050597
##IDEAL CHEMISTRY=Cu_5_(PO_4_)_2_(OH)_4_
##LOCALITY=Cerro Negro mine, Carrizalillo, Chile
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Dark-green tabular crystals associated with chalcosiderite, R060007
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050597
263.2311, 327.2998
263.7132, 325.9451
264.1953, 321.3268
264.6775, 312.9183
265.1596, 302.5212
265.6417, 291.4950
266.1238, 279.7922
266.6059, 267.4594
267.0880, 254.4802
267.5702, 240.7722
268.0523, 226.5608
268.5344, 211.4194
269.0165, 196.5736
269.4986, 182.5761
269.9807, 169.1556
270.4629, 157.0408
270.9450, 146.8021
271.4271, 137.8469
271.9092, 128.3417
272.3913, 117.8330
272.8734, 107.5399
273.3556, 98.19025
273.8377, 89.80835
274.3198, 82.59045
274.8019, 76.62701
275.2840, 71.78491
275.7661, 67.80402
276.2483, 64.83331
276.7304, 61.94659
277.2125, 57.88965
277.6946, 52.45874
278.1768, 50.51385
278.6589, 53.34003
279.1410, 58.63184
279.6231, 61.96863
280.1052, 63.26862
280.5873, 63.34467
281.0695, 61.55487
281.5516, 57.97540
282.0337, 57.97449
282.5158, 62.41919
282.9979, 68.89490
283.4800, 73.19696
283.9622, 75.16809
284.4443, 78.23785
284.9264, 85.29999
285.4085, 95.51691
285.8906, 100.9739
286.3727, 100.5080
286.8549, 98.97705
287.3370, 103.4090
287.8191, 113.4634
288.3012, 122.7947
288.7833, 128.6556
289.2654, 132.0206
289.7476, 136.5433
290.2297, 142.3816
290.7118, 148.3994
291.1939, 152.9567
291.6760, 156.4216
292.1581, 161.0368
292.6403, 167.5383
293.1224, 175.3110
293.6045, 183.8802
294.0866, 193.2978
294.5687, 202.8152
295.0508, 211.8035
295.5330, 220.3973
296.0151, 228.6965
296.4972, 236.8909
296.9793, 244.4854
297.4614, 250.2048
297.9435, 254.3287
298.4257, 258.4427
298.9078, 264.1805
299.3899, 270.5381
299.8720, 275.3425
300.3541, 278.2245
300.8362, 279.5098
301.3184, 279.7025
301.8005, 278.7028
302.2826, 276.1254
302.7647, 271.5502
303.2469, 265.3093
303.7290, 257.4484
304.2111, 247.7626
304.6932, 237.6047
305.1753, 228.8763
305.6574, 220.8514
306.1396, 212.1796
306.6217, 201.7908
307.1038, 190.4922
307.5859, 179.0407
308.0680, 167.3721
308.5501, 155.6266
309.0323, 142.9037
309.5144, 130.2935
309.9965, 119.5743
310.4786, 113.5783
310.9607, 108.1161
311.4428, 99.29865
311.9250, 87.25867
312.4071, 76.18756
312.8892, 69.81177
313.3713, 65.48547
313.8534, 60.37555
314.3355, 52.14020
314.8177, 44.24725
315.2998, 38.68823
315.7819, 35.14758
316.2640, 31.78107
316.7461, 27.41278
317.2282, 23.14862
317.7104, 19.85992
318.1925, 18.61609
318.6746, 17.05646
319.1567, 13.68671
319.6388, 9.289795
320.1209, 6.065979
320.6031, 6.243042
321.0852, 6.612061
321.5673, 5.360168
322.0494, 5.385423
322.5315, 5.857555
323.0136, 4.697144
323.4958, 6.294922
323.9779, 7.031494
324.4600, 5.529724
324.9421, 4.414490
325.4242, 4.796570
325.9064, 7.197876
326.3885, 8.944092
326.8706, 9.246338
327.3527, 9.021973
327.8348, 9.246155
328.3170, 11.52008
328.7991, 12.55200
329.2812, 11.35986
329.7633, 7.871887
330.2454, 5.097107
330.7275, 3.180603
331.2097, 1.908691
331.6918, 1.198059
332.1739, 1.557373
332.6560, 1.744568
333.1381, 2.170288
333.6202, 2.450195
334.1024, 5.421077
334.5845, 5.283997
335.0666, 11.24982
335.5487, 15.46838
336.0308, 16.72760
336.5129, 19.72137
336.9951, 25.07452
337.4772, 31.87036
337.9593, 38.53485
338.4414, 45.14630
338.9235, 52.04144
339.4056, 59.51971
339.8878, 67.42163
340.3699, 74.04602
340.8520, 78.57660
341.3341, 83.64270
341.8162, 93.00659
342.2983, 106.8382
342.7805, 121.7546
343.2626, 136.5095
343.7447, 151.4136
344.2268, 167.7231
344.7089, 185.6707
345.1910, 204.1440
345.6732, 220.9359
346.1553, 236.6731
346.6374, 255.5117
347.1195, 279.4048
347.6016, 305.9094
348.0837, 329.3787
348.5659, 350.2437
349.0480, 372.7289
349.5301, 400.2491
350.0122, 431.7676
350.4944, 463.1824
350.9765, 493.4976
351.4586, 525.0975
351.9407, 561.6158
352.4228, 601.7827
352.9049, 641.3495
353.3871, 676.2084
353.8692, 710.0714
354.3513, 747.7264
354.8334, 789.4615
355.3155, 833.5662
355.7976, 880.3046
356.2798, 928.5873
