##NAMES=Philipsbornite
##RRUFFID=R070065
##IDEAL CHEMISTRY=Pb^2+^Al_3_(As^5+^O_4_)(As^5+^O_3_OH)(OH)_6_
##LOCALITY=Hat Yai Province, Thailand
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Colorless pyramidal crystals, associated with yellow mimetite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070065
176.2162, 19.41846
176.6983, 29.54321
177.1804, 38.00708
177.6625, 52.41064
178.1446, 72.71265
178.6267, 97.00928
179.1089, 125.2722
179.5910, 156.2244
180.0731, 187.1567
180.5552, 215.3545
181.0373, 242.4287
181.5194, 268.9253
182.0016, 293.9646
182.4837, 323.2314
182.9658, 366.8210
183.4479, 423.0586
183.9300, 478.0808
184.4121, 518.6257
184.8943, 551.2168
185.3764, 600.6880
185.8585, 672.4670
186.3406, 754.7590
186.8227, 827.0073
187.3048, 889.2698
187.7870, 950.4578
188.2691, 1015.262
188.7512, 1084.117
189.2333, 1152.542
189.7154, 1218.983
190.1975, 1286.500
190.6796, 1361.979
191.1618, 1445.600
191.6439, 1529.995
192.1260, 1608.170
192.6081, 1680.058
193.0902, 1751.414
193.5723, 1821.837
194.0545, 1891.872
194.5366, 1960.650
195.0187, 2027.914
195.5008, 2098.534
195.9829, 2183.680
196.4650, 2284.597
196.9472, 2370.418
197.4293, 2429.158
197.9114, 2464.888
198.3935, 2501.064
198.8756, 2540.568
199.3577, 2573.919
199.8399, 2586.632
200.3220, 2575.819
200.8041, 2566.116
201.2862, 2570.197
201.7683, 2587.400
202.2504, 2582.507
202.7325, 2552.181
203.2147, 2505.154
203.6968, 2451.916
204.1789, 2391.244
204.6610, 2329.511
205.1431, 2268.351
205.6252, 2207.877
206.1074, 2151.066
206.5895, 2101.051
207.0716, 2050.664
207.5537, 1984.584
208.0358, 1898.108
208.5179, 1810.265
209.0001, 1729.403
209.4822, 1657.850
209.9643, 1584.545
210.4464, 1505.024
210.9285, 1426.507
211.4106, 1368.730
211.8928, 1342.253
212.3749, 1312.226
212.8570, 1256.063
213.3391, 1161.954
213.8212, 1084.634
214.3033, 1031.016
214.7855, 994.4177
215.2676, 950.9648
215.7497, 893.4688
216.2318, 841.9253
216.7139, 812.5923
217.1960, 818.2090
217.6781, 807.6501
218.1603, 768.6379
218.6424, 708.9412
219.1245, 672.3850
219.6066, 670.0032
220.0887, 674.3823
220.5708, 665.9788
221.0530, 639.2605
221.5351, 612.6885
222.0172, 586.7083
222.4993, 561.9204
222.9814, 546.7654
223.4635, 542.2356
223.9457, 545.9111
224.4278, 558.2480
224.9099, 587.4841
225.3920, 606.4849
225.8741, 604.6978
226.3562, 583.3396
226.8384, 582.0559
227.3205, 610.7290
227.8026, 648.0825
228.2847, 674.7446
228.7668, 689.9624
229.2489, 696.5061
229.7310, 692.3982
230.2132, 677.6584
230.6953, 668.9539
231.1774, 668.0972
231.6595, 671.2559
232.1416, 675.1274
232.6237, 682.0681
233.1059, 685.9827
233.5880, 684.6897
234.0701, 676.8137
234.5522, 672.6011
235.0343, 678.5464
235.5164, 682.7463
235.9986, 668.6692
236.4807, 622.0916
236.9628, 582.1838
237.4449, 561.3064
237.9270, 564.0291
238.4091, 556.2935
238.8913, 531.6077
239.3734, 501.1589
239.8555, 480.2627
240.3376, 473.5161
240.8197, 468.5366
241.3018, 461.4595
241.7840, 450.8181
242.2661, 445.5242
242.7482, 449.8596
243.2303, 456.6328
243.7124, 453.5466
244.1945, 431.3669
244.6767, 414.9351
245.1588, 412.7454
245.6409, 428.3784
246.1230, 444.2734
246.6051, 459.9309
247.0872, 476.2798
247.5694, 494.4980
248.0515, 513.1455
248.5336, 536.3491
249.0157, 567.2383
249.4978, 610.7720
249.9799, 643.8369
250.4621, 660.7231
250.9442, 670.1938
251.4263, 688.2126
251.9084, 717.8418
252.3905, 750.1501
252.8726, 781.6318
253.3548, 810.9634
253.8369, 845.1155
254.3190, 887.8721
254.8011, 933.1396
255.2832, 967.2439
255.7653, 982.7932
256.2474, 1000.460
256.7296, 1028.782
257.2117, 1070.628
257.6938, 1113.399
258.1759, 1159.981
258.6580, 1205.256
259.1401, 1238.643
259.6223, 1256.009
260.1044, 1269.330
260.5865, 1283.434
261.0686, 1299.189
261.5507, 1312.408
262.0328, 1323.381
262.5150, 1331.500
262.9971, 1335.397
263.4792, 1334.671
263.9613, 1330.736
264.4434, 1325.864
264.9255, 1323.319
265.4077, 1306.933
265.8898, 1275.389
266.3719, 1230.991
266.8540, 1175.732
267.3361, 1104.997
267.8182, 1036.705
268.3004, 979.7424
268.7825, 935.0679
269.2646, 896.0830
269.7467, 866.8206
270.2288, 839.3496
270.7109, 796.4290
271.1931, 733.9497
271.6752, 669.8669
272.1573, 610.7625
272.6394, 556.9399
273.1215, 509.3423
273.6036, 469.7585
274.0857, 433.5769
274.5678, 390.2029
275.0500, 337.1238
275.5321, 287.8467
276.0142, 247.5376
276.4963, 216.5171
276.9784, 195.0286
277.4605, 186.1941
277.9427, 182.3296
278.4248, 169.3530
278.9069, 146.6897
279.3890, 120.2439
279.8711, 89.66919
280.3532, 55.06714
280.8354, 28.27344
281.3175, 9.861572
281.7996, 1.177490
282.2817, 3.578857
282.7638, 3.395508
283.2459, 7.959717
283.7281, 1.903320
284.2102, 13.56152
284.6923, 23.12476
285.1744, 25.58667
285.6565, 23.94189
286.1386, 23.13525
286.6208, 23.09399
287.1029, 20.37085
287.5850, 11.59180
288.0671, 1.910645
288.5492, 12.64673
289.0313, 20.02686
289.5135, 25.92065
289.9956, 33.59961
290.4777, 42.73267
290.9598, 49.53564
291.4419, 48.13525
291.9240, 42.58130
292.4062, 48.12817
292.8883, 66.45996
293.3704, 88.95508
293.8525, 104.4929
294.3346, 114.4551
294.8167, 126.2268
295.2989, 143.4282
295.7810, 164.7422
296.2631, 189.1277
296.7452, 217.2673
297.2273, 243.6843
297.7094, 258.6824
298.1916, 266.5176
298.6737, 280.6028
299.1558, 316.4065
299.6379, 358.8684
300.1200, 380.5337
