##NAMES=Variscite
##RRUFFID=R100222
##IDEAL CHEMISTRY=AlPO_4_&#183;2H_2_O
##LOCALITY=Canarana, Mato Grosso, Brazil
##OWNER=RRUFF
##SOURCE=Luiz Menezes
##DESCRIPTION=Green blocky, combination of pseudo-octahedral and pseudo-cubes on quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100222
401.5705, 88.93884
402.0526, 86.93286
402.5347, 86.99182
403.0168, 91.68896
403.4990, 99.39111
403.9811, 107.3536
404.4632, 114.2311
404.9453, 120.8027
405.4274, 129.0168
405.9095, 140.2939
406.3917, 150.8151
406.8738, 159.9255
407.3559, 168.6842
407.8380, 177.3087
408.3201, 186.1677
408.8022, 196.3167
409.2844, 209.1866
409.7665, 224.9141
410.2486, 240.3035
410.7307, 254.5013
411.2128, 269.2389
411.6949, 285.2827
412.1771, 302.1157
412.6592, 319.2019
413.1413, 336.4802
413.6234, 353.1567
414.1055, 367.9861
414.5876, 381.8430
415.0698, 391.2837
415.5519, 392.5186
416.0340, 390.9805
416.5161, 389.7546
416.9982, 389.3279
417.4803, 389.2461
417.9625, 388.4974
418.4446, 387.4741
418.9267, 389.0430
419.4088, 394.2500
419.8909, 400.5747
420.3730, 407.2561
420.8552, 413.7440
421.3373, 418.6361
421.8194, 420.5195
422.3015, 421.5759
422.7836, 424.1006
423.2657, 428.0925
423.7479, 433.4661
424.2300, 440.2328
424.7121, 448.4199
425.1942, 457.7125
425.6763, 468.0050
426.1584, 479.9587
426.6406, 494.6193
427.1227, 510.8949
427.6048, 526.4980
428.0869, 541.0544
428.5690, 556.6084
429.0511, 574.8752
429.5333, 596.0969
430.0154, 618.5383
430.4975, 643.5042
430.9796, 668.5148
431.4617, 692.4606
431.9438, 715.2325
432.4260, 737.1475
432.9081, 758.4307
433.3902, 778.4249
433.8723, 795.1702
434.3544, 807.7893
434.8365, 818.1292
435.3187, 828.7231
435.8008, 835.5857
436.2829, 835.4259
436.7650, 827.8793
437.2471, 814.5471
437.7292, 796.9795
438.2114, 775.2061
438.6935, 748.6233
439.1756, 714.4274
439.6577, 677.9836
440.1398, 638.5857
440.6219, 598.6686
441.1040, 561.5833
441.5862, 528.6624
442.0683, 497.7103
442.5504, 465.4451
443.0325, 431.3331
443.5146, 398.2472
443.9967, 364.6123
444.4789, 333.3829
444.9610, 306.8993
445.4431, 284.8159
445.9252, 264.7024
446.4073, 245.1439
446.8894, 226.2496
447.3716, 208.6539
447.8537, 192.3228
448.3358, 177.8014
448.8179, 165.6072
449.3000, 154.9750
449.7821, 145.2994
450.2643, 136.4840
450.7464, 128.4105
451.2285, 120.7690
451.7106, 113.7015
452.1927, 108.5623
452.6748, 106.5549
453.1570, 104.5940
453.6391, 98.12061
454.1212, 88.36597
454.6033, 81.50452
455.0854, 80.84973
455.5675, 82.32190
456.0497, 82.69482
456.5318, 81.94763
457.0139, 80.43433
457.4960, 77.94263
457.9781, 75.28479
458.4602, 74.91479
458.9424, 78.14233
459.4245, 80.51965
459.9066, 80.74280
460.3887, 80.04541
460.8708, 79.43970
461.3529, 79.18469
461.8351, 79.52307
462.3172, 80.91821
462.7993, 83.45679
463.2814, 84.02295
463.7635, 80.91956
464.2456, 77.93066
464.7278, 75.79236
465.2099, 74.37537
465.6920, 73.30481
466.1741, 72.43774
466.6562, 72.19214
467.1383, 73.70667
467.6205, 78.28162
468.1026, 80.54907
